StateCode,Sex,YearOfBirth,Name,Number
AK,M,1982,Douglas,19
AK,M,1982,Bryan,18
AK,M,1982,Samuel,18
AK,M,1982,Luke,17
AK,M,1982,Seth,17
AK,M,1982,Stephen,17
AK,M,1982,Wesley,17
AK,M,1982,Erik,16
AK,M,1982,Keith,16
AK,M,1982,Joel,15
AK,M,1982,Nathaniel,15
AK,M,1982,Troy,15
AK,M,1982,Alexander,14
AK,M,1982,Brett,14
AK,M,1982,Noah,14
AK,M,1982,Raymond,14
AK,M,1982,Carl,13
AK,M,1982,Casey,13
AK,M,1982,Cory,13
AK,M,1982,Gabriel,13
AK,M,1982,Lucas,13
AK,M,1982,Martin,13
AK,M,1982,Walter,13
AK,M,1982,Clayton,12
AK,M,1982,Clinton,12
AK,M,1982,Curtis,12
AK,M,1982,Dennis,12
AK,M,1982,Evan,12
AK,M,1982,Jordan,12
AK,M,1982,Marcus,12
AK,M,1982,Micah,12
AK,M,1982,Trevor,12
AK,M,1982,Billy,11
AK,M,1982,Colin,11
AK,M,1982,Ronald,11
AK,M,1982,Shane,11
AK,M,1982,Victor,11
AK,M,1982,Allen,10
AK,M,1982,Blake,10
AK,M,1982,Bradley,10
AK,M,1982,Caleb,10
AK,M,1982,Corey,10
AK,M,1982,Jack,10
AK,M,1982,Larry,10
AK,M,1982,Lee,10
AK,M,1982,Levi,10
AK,M,1982,Randy,10
AK,M,1982,Shaun,10
AK,M,1982,Terry,10
AK,M,1982,Todd,10
AK,M,1982,Brent,9
AK,M,1982,Cody,9
AK,M,1982,Frank,9
AK,M,1982,Garrett,9
AK,M,1982,Gary,9
AK,M,1982,Harold,9
AK,M,1982,Henry,9
AK,M,1982,Isaac,9
AK,M,1982,Jamie,9
AK,M,1982,Philip,9
AK,M,1982,Phillip,9
AK,M,1982,Rodney,9
AK,M,1982,Taylor,9
AK,M,1982,Adrian,8
AK,M,1982,Alex,8
AK,M,1982,Cameron,8
AK,M,1982,Craig,8
AK,M,1982,Frederick,8
AK,M,1982,Jerry,8
AK,M,1982,Mathew,8
AK,M,1982,Morgan,8
AK,M,1982,Ralph,8
AK,M,1982,Roger,8
AK,M,1982,Roy,8
AK,M,1982,Theodore,8
AK,M,1982,Tony,8
AK,M,1982,Wayne,8
AK,M,1982,Arthur,7
AK,M,1982,Bobby,7
AK,M,1982,Darren,7
AK,M,1982,Jeffery,7
AK,M,1982,Johnathan,7
AK,M,1982,Jon,7
AK,M,1982,Kelly,7
AK,M,1982,Kristopher,7
AK,M,1982,Marvin,7
AK,M,1982,Norman,7
AK,M,1982,Stanley,7
AK,M,1982,Tyson,7
AK,M,1982,Vincent,7
AK,M,1982,Zachariah,7
AK,M,1982,Allan,6
AK,M,1982,Byron,6
AK,M,1982,Chase,6
AK,M,1982,Collin,6
AK,M,1982,Derrick,6
AK,M,1982,Dominic,6
AK,M,1982,Ethan,6
AK,M,1982,Harry,6
AK,M,1982,Hunter,6
AK,M,1982,Jake,6
AK,M,1982,Lance,6
AK,M,1982,Lawrence,6
AK,M,1982,Leonard,6
AK,M,1982,Marc,6
AK,M,1982,Robin,6
AK,M,1982,Russell,6
AK,M,1982,Tommy,6
AK,M,1982,Abraham,5
AK,M,1982,Alan,5
AK,M,1982,Albert,5
AK,M,1982,Alec,5
AK,M,1982,Andy,5
AK,M,1982,Austin,5
AK,M,1982,Barry,5
AK,M,1982,Brendan,5
AK,M,1982,Christian,5
AK,M,1982,Cole,5
AK,M,1982,Dale,5
AK,M,1982,Dana,5
AK,M,1982,Darryl,5
