StateCode,Sex,YearOfBirth,Name,Number
AL,F,1916,Euna,14
AL,F,1916,Hester,14
AL,F,1916,Iris,14
AL,F,1916,Loretta,14
AL,F,1916,Muriel,14
AL,F,1916,Myrtis,14
AL,F,1916,Nadine,14
AL,F,1916,Ozella,14
AL,F,1916,Selma,14
AL,F,1916,Susan,14
AL,F,1916,Victoria,14
AL,F,1916,Audie,13
AL,F,1916,Avis,13
AL,F,1916,Connie,13
AL,F,1916,Delia,13
AL,F,1916,Faye,13
AL,F,1916,Gwendolyn,13
AL,F,1916,Imogene,13
AL,F,1916,Ina,13
AL,F,1916,Lettie,13
AL,F,1916,Lura,13
AL,F,1916,Merle,13
AL,F,1916,Mozell,13
AL,F,1916,Dolores,12
AL,F,1916,Elaine,12
AL,F,1916,Evie,12
AL,F,1916,Gertie,12
AL,F,1916,Janet,12
AL,F,1916,Lelia,12
AL,F,1916,Marian,12
AL,F,1916,Ouida,12
AL,F,1916,Pearline,12
AL,F,1916,Sophia,12
AL,F,1916,Goldie,11
AL,F,1916,James,11
AL,F,1916,Janice,11
AL,F,1916,Juliette,11
AL,F,1916,Lennie,11
AL,F,1916,Letha,11
AL,F,1916,Lonie,11
AL,F,1916,Luvenia,11
AL,F,1916,Madie,11
AL,F,1916,Nola,11
AL,F,1916,Oma,11
AL,F,1916,Peggy,11
AL,F,1916,Rosalie,11
AL,F,1916,Shirley,11
AL,F,1916,Theresa,11
AL,F,1916,Zora,11
AL,F,1916,Aileen,10
AL,F,1916,Alta,10
AL,F,1916,Anita,10
AL,F,1916,Arlene,10
AL,F,1916,Dorthy,10
AL,F,1916,Earnestine,10
AL,F,1916,Emmie,10
AL,F,1916,Exie,10
AL,F,1916,Florene,10
AL,F,1916,Hettie,10
AL,F,1916,Jeannette,10
AL,F,1916,Lorena,10
AL,F,1916,Madge,10
AL,F,1916,Molly,10
AL,F,1916,Ocie,10
AL,F,1916,Octavia,10
AL,F,1916,Olene,10
AL,F,1916,Ossie,10
AL,F,1916,Priscilla,10
AL,F,1916,Rhoda,10
AL,F,1916,Vesta,10
AL,F,1916,Ava,9
AL,F,1916,Berta,9
AL,F,1916,Caroline,9
AL,F,1916,Cassie,9
AL,F,1916,Clemmie,9
AL,F,1916,Clyde,9
AL,F,1916,Earlene,9
AL,F,1916,Ellie,9
AL,F,1916,Erline,9
AL,F,1916,Fay,9
AL,F,1916,Ira,9
AL,F,1916,Judy,9
AL,F,1916,June,9
AL,F,1916,Lenora,9
AL,F,1916,Lilly,9
AL,F,1916,Linda,9
AL,F,1916,Lorraine,9
AL,F,1916,Lovie,9
AL,F,1916,Lue,9
AL,F,1916,Myrtie,9
AL,F,1916,Neva,9
AL,F,1916,Olive,9
AL,F,1916,Rita,9
AL,F,1916,Rubie,9
AL,F,1916,Shellie,9
AL,F,1916,Tennie,9
AL,F,1916,Winifred,9
AL,F,1916,Adele,8
AL,F,1916,Alene,8
AL,F,1916,Alva,8
AL,F,1916,Bulah,8
AL,F,1916,Cecil,8
AL,F,1916,Celia,8
AL,F,1916,Charity,8
AL,F,1916,Corinne,8
AL,F,1916,Elvira,8
AL,F,1916,Erin,8
AL,F,1916,Fern,8
AL,F,1916,Floy,8
AL,F,1916,Freddie,8
AL,F,1916,Genevieve,8
AL,F,1916,Georgie,8
AL,F,1916,Glennie,8
AL,F,1916,Henry,8
AL,F,1916,Iona,8
AL,F,1916,Jettie,8
AL,F,1916,Joe,8
AL,F,1916,Joyce,8
AL,F,1916,Kitty,8
AL,F,1916,Lassie,8
AL,F,1916,Laverne,8
AL,F,1916,Leatha,8
AL,F,1916,Lera,8
AL,F,1916,Lona,8
AL,F,1916,Loraine,8
AL,F,1916,Louisa,8
AL,F,1916,Mammie,8
AL,F,1916,Maud,8
AL,F,1916,Maurice,8
AL,F,1916,Nona,8
AL,F,1916,Novella,8
AL,F,1916,Odie,8
AL,F,1916,Patricia,8
AL,F,1916,Phyllis,8
AL,F,1916,Sweetie,8
AL,F,1916,Tessie,8
AL,F,1916,Tiny,8
AL,F,1916,Willia,8
AL,F,1916,Zella,8
AL,F,1916,Adelle,7
AL,F,1916,Allene,7
AL,F,1916,Almeda,7
AL,F,1916,Alpha,7
AL,F,1916,Althea,7
AL,F,1916,Annette,7
AL,F,1916,Beverly,7
AL,F,1916,Claire,7
AL,F,1916,Edwina,7
AL,F,1916,Fanny,7
AL,F,1916,Florrie,7
AL,F,1916,Idella,7
AL,F,1916,Inell,7
AL,F,1916,Jo,7
AL,F,1916,Jonnie,7
AL,F,1916,Kathrine,7
AL,F,1916,Louella,7
AL,F,1916,Louvenia,7
AL,F,1916,Luna,7
AL,F,1916,Margret,7
AL,F,1916,Maye,7
AL,F,1916,Minerva,7
AL,F,1916,Missouri,7
AL,F,1916,Nella,7
AL,F,1916,Nobie,7
AL,F,1916,Oleta,7
AL,F,1916,Ona,7
AL,F,1916,Pansy,7
AL,F,1916,Rutha,7
AL,F,1916,Sibyl,7
AL,F,1916,Sudie,7
AL,F,1916,Veola,7
AL,F,1916,Viva,7
AL,F,1916,Zola,7
AL,F,1916,Arline,6
AL,F,1916,Audry,6
AL,F,1916,Belle,6
AL,F,1916,Bobby,6
AL,F,1916,Bula,6
AL,F,1916,Burma,6
AL,F,1916,Christeen,6
