StateCode,Sex,YearOfBirth,Name,Number
AL,F,1951,Kaye,11
AL,F,1951,Lorraine,11
AL,F,1951,Lou,11
AL,F,1951,Lucile,11
AL,F,1951,Madeline,11
AL,F,1951,Marcella,11
AL,F,1951,Melanie,11
AL,F,1951,Millie,11
AL,F,1951,Mollie,11
AL,F,1951,Nona,11
AL,F,1951,Odessa,11
AL,F,1951,Rena,11
AL,F,1951,Ava,10
AL,F,1951,Beverley,10
AL,F,1951,Clementine,10
AL,F,1951,Deloise,10
AL,F,1951,Donnie,10
AL,F,1951,Eugenia,10
AL,F,1951,Florine,10
AL,F,1951,Gay,10
AL,F,1951,Jerri,10
AL,F,1951,Lenora,10
AL,F,1951,Mavis,10
AL,F,1951,Molly,10
AL,F,1951,Nita,10
AL,F,1951,Regenia,10
AL,F,1951,Sherrie,10
AL,F,1951,Sondra,10
AL,F,1951,Sonja,10
AL,F,1951,Valeria,10
AL,F,1951,Voncile,10
AL,F,1951,Alicia,9
AL,F,1951,Arlene,9
AL,F,1951,Beulah,9
AL,F,1951,Carmen,9
AL,F,1951,Caroline,9
AL,F,1951,Celeste,9
AL,F,1951,Celestine,9
AL,F,1951,Dale,9
AL,F,1951,Debora,9
AL,F,1951,Elouise,9
AL,F,1951,Erma,9
AL,F,1951,Ester,9
AL,F,1951,Francine,9
AL,F,1951,Gayla,9
AL,F,1951,Laurie,9
AL,F,1951,Leona,9
AL,F,1951,Lorine,9
AL,F,1951,Lottie,9
AL,F,1951,Mabel,9
AL,F,1951,Madelyn,9
AL,F,1951,Nell,9
AL,F,1951,Pat,9
AL,F,1951,Patrice,9
AL,F,1951,Pearl,9
AL,F,1951,Portia,9
AL,F,1951,Queen,9
AL,F,1951,Rubye,9
AL,F,1951,Sherrill,9
AL,F,1951,Vernell,9
AL,F,1951,Antoinette,8
AL,F,1951,Betsy,8
AL,F,1951,Bobby,8
AL,F,1951,Cassie,8
AL,F,1951,Cathrine,8
AL,F,1951,Cheri,8
AL,F,1951,Christina,8
AL,F,1951,Elnora,8
AL,F,1951,Estelle,8
AL,F,1951,Gearldine,8
AL,F,1951,Iva,8
AL,F,1951,James,8
AL,F,1951,Kathie,8
AL,F,1951,Lucinda,8
AL,F,1951,Marguerite,8
AL,F,1951,Melody,8
AL,F,1951,Michelle,8
AL,F,1951,Nan,8
AL,F,1951,Pamelia,8
AL,F,1951,Regena,8
AL,F,1951,Rosia,8
AL,F,1951,Shannon,8
AL,F,1951,Shelley,8
AL,F,1951,Shelly,8
AL,F,1951,Sonia,8
AL,F,1951,Violet,8
AL,F,1951,Wendy,8
AL,F,1951,Winnie,8
AL,F,1951,Althea,7
AL,F,1951,Augusta,7
AL,F,1951,Barbra,7
AL,F,1951,Bernadette,7
AL,F,1951,Cathleen,7
AL,F,1951,Claire,7
AL,F,1951,Clarice,7
AL,F,1951,Doretha,7
AL,F,1951,Gaynell,7
AL,F,1951,Jeanetta,7
AL,F,1951,Jeanie,7
AL,F,1951,Jerrie,7
AL,F,1951,Judi,7
AL,F,1951,Karon,7
AL,F,1951,Katheryn,7
AL,F,1951,Kitty,7
AL,F,1951,Laverne,7
AL,F,1951,Lelia,7
AL,F,1951,Lora,7
AL,F,1951,Lue,7
AL,F,1951,Luvenia,7
AL,F,1951,Myrtice,7
AL,F,1951,Opal,7
AL,F,1951,Patty,7
AL,F,1951,Retha,7
AL,F,1951,Roxie,7
AL,F,1951,Sherri,7
AL,F,1951,Valencia,7
AL,F,1951,Wilda,7
AL,F,1951,Willene,7
AL,F,1951,Wonda,7
AL,F,1951,Yvette,7
AL,F,1951,Adell,6
AL,F,1951,Adrienne,6
AL,F,1951,Angelia,6
AL,F,1951,Annice,6
AL,F,1951,Avis,6
AL,F,1951,Candice,6
AL,F,1951,Cara,6
AL,F,1951,Carlotta,6
AL,F,1951,Cathie,6
AL,F,1951,Cathryn,6
AL,F,1951,Ceola,6
AL,F,1951,Charlette,6
AL,F,1951,Cherry,6
AL,F,1951,Corine,6
AL,F,1951,Crystal,6
AL,F,1951,Dannie,6
AL,F,1951,Delilah,6
AL,F,1951,Dona,6
AL,F,1951,Easter,6
AL,F,1951,Elois,6
AL,F,1951,Evon,6
AL,F,1951,Fredia,6
AL,F,1951,Gertha,6
AL,F,1951,Gilda,6
AL,F,1951,Hannah,6
AL,F,1951,Harriette,6
AL,F,1951,Helene,6
AL,F,1951,Imogene,6
AL,F,1951,Ina,6
AL,F,1951,Jaunita,6
AL,F,1951,Jeraldine,6
AL,F,1951,Joanna,6
AL,F,1951,Jocelyn,6
AL,F,1951,John,6
AL,F,1951,Kathrine,6
AL,F,1951,Leigh,6
AL,F,1951,Margret,6
AL,F,1951,Maudie,6
AL,F,1951,Mickey,6
AL,F,1951,Mittie,6
AL,F,1951,Myrna,6
AL,F,1951,Phillis,6
AL,F,1951,Rebekah,6
AL,F,1951,Retta,6
AL,F,1951,Ronda,6
AL,F,1951,Sandy,6
AL,F,1951,Susanne,6
AL,F,1951,Teresia,6
AL,F,1951,Valarie,6
AL,F,1951,Verdell,6
AL,F,1951,Vickey,6
AL,F,1951,Alfredia,5
AL,F,1951,Allison,5
AL,F,1951,Angeline,5
AL,F,1951,Arlinda,5
AL,F,1951,Camilla,5
AL,F,1951,Charles,5
AL,F,1951,Cherie,5
AL,F,1951,Cheryle,5
AL,F,1951,Classie,5
AL,F,1951,Colleen,5
AL,F,1951,Corene,5
AL,F,1951,Creola,5
AL,F,1951,David,5
AL,F,1951,Dawn,5
AL,F,1951,Delbra,5
AL,F,1951,Delia,5
AL,F,1951,Dovie,5
AL,F,1951,Emmie,5
AL,F,1951,Evie,5
AL,F,1951,Floria,5
AL,F,1951,George,5
AL,F,1951,Georgie,5
AL,F,1951,Gwen,5
AL,F,1951,Gwenda,5
AL,F,1951,Hellen,5
AL,F,1951,Inell,5
AL,F,1951,Ira,5
AL,F,1951,Jacqulyn,5
AL,F,1951,Jana,5
AL,F,1951,Jolene,5
AL,F,1951,Jonnie,5
AL,F,1951,Joycelyn,5
AL,F,1951,Kathey,5
AL,F,1951,Kattie,5
AL,F,1951,Kerry,5
AL,F,1951,Laurel,5
AL,F,1951,Lauretta,5
AL,F,1951,Lavonne,5
AL,F,1951,Leatha,5
AL,F,1951,Lettie,5
AL,F,1951,Lily,5
AL,F,1951,Louvenia,5
AL,F,1951,Luella,5
AL,F,1951,Lynette,5
AL,F,1951,Magnolia,5
AL,F,1951,Melonie,5
AL,F,1951,Michele,5
AL,F,1951,Muriel,5
AL,F,1951,Nannie,5
AL,F,1951,Natalie,5
