StateCode,Sex,YearOfBirth,Name,Number
AL,F,1966,Claire,6
AL,F,1966,Daisy,6
AL,F,1966,Dara,6
AL,F,1966,Dedra,6
AL,F,1966,Dee,6
AL,F,1966,Deedra,6
AL,F,1966,Denita,6
AL,F,1966,Donald,6
AL,F,1966,Dora,6
AL,F,1966,Eleanor,6
AL,F,1966,Erin,6
AL,F,1966,Ernestine,6
AL,F,1966,Fannie,6
AL,F,1966,Fontella,6
AL,F,1966,Francis,6
AL,F,1966,Gena,6
AL,F,1966,Gracie,6
AL,F,1966,Jacquelin,6
AL,F,1966,James,6
AL,F,1966,Jannette,6
AL,F,1966,Jeri,6
AL,F,1966,Jerry,6
AL,F,1966,Jimmie,6
AL,F,1966,Jodi,6
AL,F,1966,Juliette,6
AL,F,1966,Karon,6
AL,F,1966,Kris,6
AL,F,1966,Lara,6
AL,F,1966,Latricia,6
AL,F,1966,Leann,6
AL,F,1966,Lessie,6
AL,F,1966,Letha,6
AL,F,1966,Lolita,6
AL,F,1966,Lucinda,6
AL,F,1966,Lula,6
AL,F,1966,Mable,6
AL,F,1966,Madeline,6
AL,F,1966,Mollie,6
AL,F,1966,Nadine,6
AL,F,1966,Robbin,6
AL,F,1966,Rosalyn,6
AL,F,1966,Shana,6
AL,F,1966,Shawna,6
AL,F,1966,Sheron,6
AL,F,1966,Sherrill,6
AL,F,1966,Shonda,6
AL,F,1966,Tana,6
AL,F,1966,Tawanda,6
AL,F,1966,Tena,6
AL,F,1966,Trudy,6
AL,F,1966,Althea,5
AL,F,1966,Andra,5
AL,F,1966,Anthony,5
AL,F,1966,Arnetta,5
AL,F,1966,Ava,5
AL,F,1966,Bobby,5
AL,F,1966,Caryn,5
AL,F,1966,Cathleen,5
AL,F,1966,Celia,5
AL,F,1966,Chandra,5
AL,F,1966,Cherri,5
AL,F,1966,Cinda,5
AL,F,1966,Debrah,5
AL,F,1966,Delana,5
AL,F,1966,Demetrice,5
AL,F,1966,Donita,5
AL,F,1966,Elisabeth,5
AL,F,1966,Elnora,5
AL,F,1966,Elsie,5
AL,F,1966,Etta,5
AL,F,1966,Eula,5
AL,F,1966,Evette,5
AL,F,1966,Faith,5
AL,F,1966,Fran,5
AL,F,1966,Gretta,5
AL,F,1966,Harriett,5
AL,F,1966,Inger,5
AL,F,1966,Jada,5
AL,F,1966,Jeanna,5
AL,F,1966,Johnna,5
AL,F,1966,Karol,5
AL,F,1966,Katina,5
AL,F,1966,Lauren,5
AL,F,1966,Lavonda,5
AL,F,1966,Lea,5
AL,F,1966,Lola,5
