StateCode,Sex,YearOfBirth,Name,Number
AL,F,1981,Latonia,5
AL,F,1981,Latoyia,5
AL,F,1981,Laurel,5
AL,F,1981,Lea,5
AL,F,1981,Leanne,5
AL,F,1981,Letitia,5
AL,F,1981,Lorie,5
AL,F,1981,Lorrie,5
AL,F,1981,Lyndsay,5
AL,F,1981,Marcus,5
AL,F,1981,Margie,5
AL,F,1981,Marisa,5
AL,F,1981,Marissa,5
AL,F,1981,Micah,5
AL,F,1981,Michael,5
AL,F,1981,Mona,5
AL,F,1981,Myra,5
AL,F,1981,Nickie,5
AL,F,1981,Nikita,5
AL,F,1981,Nora,5
AL,F,1981,Precious,5
AL,F,1981,Princess,5
AL,F,1981,Quintina,5
AL,F,1981,Reagan,5
AL,F,1981,Reshonda,5
AL,F,1981,Rhea,5
AL,F,1981,Robbie,5
AL,F,1981,Robert,5
AL,F,1981,Rosa,5
AL,F,1981,Roshunda,5
AL,F,1981,Sadie,5
AL,F,1981,Sallie,5
AL,F,1981,Shameeka,5
AL,F,1981,Shandra,5
AL,F,1981,Shanita,5
AL,F,1981,Shavonne,5
AL,F,1981,Shawana,5
AL,F,1981,Shellie,5
AL,F,1981,Shereka,5
AL,F,1981,Somer,5
AL,F,1981,Susanne,5
AL,F,1981,Sybil,5
AL,F,1981,Tai,5
AL,F,1981,Takesha,5
AL,F,1981,Tamica,5
AL,F,1981,Tamiko,5
AL,F,1981,Tammi,5
AL,F,1981,Tangela,5
AL,F,1981,Terrica,5
AL,F,1981,Tessa,5
AL,F,1981,Tiana,5
AL,F,1981,Tierra,5
AL,F,1981,Tiffiny,5
AL,F,1981,Timeka,5
AL,F,1981,Tori,5
AL,F,1981,Trina,5
AL,F,1981,Twanna,5
AL,F,1981,Tyler,5
AL,F,1981,Valeria,5
AL,F,1981,Windy,5
AL,F,1981,Yvette,5
AL,F,1982,Jennifer,871
AL,F,1982,Jessica,700
AL,F,1982,Amanda,660
AL,F,1982,Tiffany,450
AL,F,1982,Crystal,437
AL,F,1982,Ashley,436
AL,F,1982,Kimberly,353
AL,F,1982,April,339
AL,F,1982,Stephanie,326
AL,F,1982,Amy,323
AL,F,1982,Mary,314
AL,F,1982,Elizabeth,264
AL,F,1982,Melissa,245
AL,F,1982,Heather,241
AL,F,1982,Angela,227
AL,F,1982,Rachel,220
AL,F,1982,Emily,217
AL,F,1982,Sarah,216
AL,F,1982,Amber,214
AL,F,1982,Brandy,210
AL,F,1982,Laura,190
AL,F,1982,Erica,182
AL,F,1982,Rebecca,182
AL,F,1982,Brandi,181
AL,F,1982,Lauren,179
AL,F,1982,Lindsey,158
AL,F,1982,Christina,154
AL,F,1982,Jamie,147
AL,F,1982,Leslie,147
AL,F,1982,Andrea,146
AL,F,1982,Lisa,136
AL,F,1982,Kelly,134
AL,F,1982,Courtney,130
AL,F,1982,Erin,125
AL,F,1982,Kristen,125
AL,F,1982,Misty,125
AL,F,1982,Natasha,125
AL,F,1982,Christy,121
AL,F,1982,Michelle,117
AL,F,1982,Katherine,114
AL,F,1982,Candice,112
AL,F,1982,Anna,108
AL,F,1982,Latoya,103
AL,F,1982,Allison,100
AL,F,1982,Julie,98
AL,F,1982,Lindsay,97
AL,F,1982,Alicia,96
AL,F,1982,Nicole,96
AL,F,1982,Pamela,94
AL,F,1982,Latasha,91
AL,F,1982,Samantha,91
AL,F,1982,Sara,90
AL,F,1982,Melanie,85
AL,F,1982,Candace,83
AL,F,1982,Lori,83
AL,F,1982,Shannon,82
AL,F,1982,Natalie,81
AL,F,1982,Tara,80
AL,F,1982,Cassandra,79
AL,F,1982,Dana,79
AL,F,1982,Kristy,79
AL,F,1982,Catherine,75
AL,F,1982,Katie,75
AL,F,1982,Kristin,75
AL,F,1982,Kathryn,74
AL,F,1982,Valerie,74
AL,F,1982,Miranda,73
AL,F,1982,Wendy,73
AL,F,1982,Holly,72
AL,F,1982,Leah,71
AL,F,1982,Susan,71
AL,F,1982,Katrina,70
AL,F,1982,Stacy,70
AL,F,1982,Carrie,69
AL,F,1982,Cynthia,69
AL,F,1982,Tina,69
AL,F,1982,Patricia,68
AL,F,1982,Tonya,67
AL,F,1982,Karen,66
AL,F,1982,Monica,66
AL,F,1982,Krystal,64
AL,F,1982,Tracy,63
AL,F,1982,Kayla,60
AL,F,1982,Stacey,60
AL,F,1982,Megan,56
AL,F,1982,Casey,55
AL,F,1982,Tabitha,55
AL,F,1982,Cassie,54
AL,F,1982,Margaret,54
AL,F,1982,Tammy,54
AL,F,1982,Bethany,53
AL,F,1982,Victoria,53
AL,F,1982,Bridget,52
AL,F,1982,Julia,51
AL,F,1982,Robin,51
AL,F,1982,Brittany,50
AL,F,1982,Meredith,50
AL,F,1982,Haley,49
AL,F,1982,Tasha,49
AL,F,1982,Virginia,49
AL,F,1982,Sheena,48
AL,F,1982,Whitney,47
AL,F,1982,Kelli,46
AL,F,1982,Sabrina,46
AL,F,1982,Alisha,45
AL,F,1982,Chasity,45
AL,F,1982,Danielle,45
AL,F,1982,Jacqueline,43
AL,F,1982,Latonya,43
AL,F,1982,Teresa,43
AL,F,1982,Terri,43
AL,F,1982,Alison,42
AL,F,1982,Jillian,42
AL,F,1982,Carla,41
AL,F,1982,Felicia,41
AL,F,1982,Sandra,41
AL,F,1982,Barbara,40
AL,F,1982,Kristi,40
AL,F,1982,Kristina,40
AL,F,1982,Leigh,40
AL,F,1982,Rebekah,40
AL,F,1982,Angel,39
AL,F,1982,Donna,39
AL,F,1982,Jenny,39
AL,F,1982,Adrienne,38
AL,F,1982,Lacey,38
AL,F,1982,Sharon,38
AL,F,1982,Tamara,38
AL,F,1982,Alexis,37
AL,F,1982,Brooke,37
AL,F,1982,Tameka,37
AL,F,1982,Linda,36
AL,F,1982,Regina,36
AL,F,1982,Veronica,36
AL,F,1982,Summer,35
AL,F,1982,Deanna,34
AL,F,1982,Tamika,34
AL,F,1982,Christie,33
AL,F,1982,Diana,33
AL,F,1982,Rhonda,33
AL,F,1982,Carolyn,32
AL,F,1982,Cheryl,32
AL,F,1982,Constance,32
AL,F,1982,Monique,32
AL,F,1982,Shanna,32
AL,F,1982,Brenda,31
AL,F,1982,Christine,31
AL,F,1982,Ebony,31
AL,F,1982,Tanya,31
AL,F,1982,Carmen,30
AL,F,1982,Joy,30
AL,F,1982,Lakesha,30
AL,F,1982,Melinda,30
AL,F,1982,Nikki,30
AL,F,1982,Sonya,30
AL,F,1982,Erika,29
AL,F,1982,Mandy,29
AL,F,1982,Rachael,28
AL,F,1982,Yolanda,28
AL,F,1982,Dorothy,27
AL,F,1982,Morgan,27
AL,F,1982,Audrey,26
AL,F,1982,Joanna,26
AL,F,1982,Sherry,25
AL,F,1982,Toni,25
AL,F,1982,Abby,24
AL,F,1982,Ginger,24
AL,F,1982,Jill,24
AL,F,1982,Kathleen,24
AL,F,1982,Nancy,24
AL,F,1982,Beverly,23
AL,F,1982,Bonnie,23
AL,F,1982,Jaime,23
AL,F,1982,Shameka,23
AL,F,1982,Shelly,23
AL,F,1982,Tabatha,23
AL,F,1982,Brittney,22
AL,F,1982,Charity,22
AL,F,1982,Deborah,22
AL,F,1982,Evelyn,22
