StateCode,Sex,YearOfBirth,Name,Number
AL,F,2008,Kiana,6
AL,F,2008,Kloe,6
AL,F,2008,Kristin,6
AL,F,2008,Lacie,6
AL,F,2008,Laken,6
AL,F,2008,Lakin,6
AL,F,2008,Laurel,6
AL,F,2008,Lilah,6
AL,F,2008,Lillyann,6
AL,F,2008,Linley,6
AL,F,2008,Lorelai,6
AL,F,2008,Luz,6
AL,F,2008,Maegan,6
AL,F,2008,Magdalena,6
AL,F,2008,Makinley,6
AL,F,2008,Maribel,6
AL,F,2008,Marilyn,6
AL,F,2008,Marina,6
AL,F,2008,Mariya,6
AL,F,2008,Mayra,6
AL,F,2008,Milagros,6
AL,F,2008,Millie,6
AL,F,2008,Natalya,6
AL,F,2008,Nia,6
AL,F,2008,Perla,6
AL,F,2008,Precious,6
AL,F,2008,Rileigh,6
AL,F,2008,Rosalinda,6
AL,F,2008,Rowan,6
AL,F,2008,Sanaa,6
AL,F,2008,Saylor,6
AL,F,2008,Shamiya,6
AL,F,2008,Sharon,6
AL,F,2008,Sheyla,6
AL,F,2008,Shiloh,6
AL,F,2008,Skyla,6
AL,F,2008,Tamara,6
AL,F,2008,Tara,6
AL,F,2008,Tatianna,6
AL,F,2008,Trista,6
AL,F,2008,Ximena,6
AL,F,2008,Xiomara,6
AL,F,2008,Yazmine,6
AL,F,2008,Zakiyah,6
AL,F,2008,Zaniya,6
AL,F,2008,Zariya,6
AL,F,2008,Zaylee,6
AL,F,2008,Zykerria,6
AL,F,2008,Abbygail,5
AL,F,2008,Addalyn,5
AL,F,2008,Adrian,5
AL,F,2008,Aimee,5
AL,F,2008,Ainslee,5
AL,F,2008,Aja,5
AL,F,2008,Alannah,5
AL,F,2008,Alauna,5
AL,F,2008,Alena,5
AL,F,2008,Alliyah,5
AL,F,2008,Amani,5
AL,F,2008,Amayah,5
AL,F,2008,Amirah,5
AL,F,2008,Angelica,5
AL,F,2008,Angeline,5
AL,F,2008,Angie,5
AL,F,2008,Arden,5
AL,F,2008,Aryana,5
AL,F,2008,Ashari,5
AL,F,2008,Asiah,5
AL,F,2008,Asya,5
AL,F,2008,August,5
AL,F,2008,Averi,5
AL,F,2008,Averie,5
AL,F,2008,Aylin,5
AL,F,2008,Bentley,5
AL,F,2008,Bridget,5
AL,F,2008,Brionna,5
AL,F,2008,Bryanna,5
AL,F,2008,Brynlee,5
AL,F,2008,Candice,5
AL,F,2008,Cassandra,5
AL,F,2008,Chanel,5
AL,F,2008,Christine,5
AL,F,2008,Cloe,5
AL,F,2008,Daniella,5
AL,F,2008,Deborah,5
AL,F,2008,Denise,5
AL,F,2008,Elena,5
AL,F,2008,Elisa,5
AL,F,2008,Elliana,5
AL,F,2008,Ellis,5
AL,F,2008,Elsie,5
AL,F,2008,Emalee,5
AL,F,2008,Emarie,5
AL,F,2008,Emely,5
AL,F,2008,Emmaleigh,5
AL,F,2008,Eulalia,5
AL,F,2008,Fatima,5
AL,F,2008,Finley,5
AL,F,2008,Gillian,5
AL,F,2008,Gracyn,5
AL,F,2008,Gwendolyn,5
AL,F,2008,Hana,5
AL,F,2008,Iris,5
AL,F,2008,Iyanna,5
AL,F,2008,Jaci,5
AL,F,2008,Jaila,5
AL,F,2008,Jakaria,5
AL,F,2008,Jaleria,5
AL,F,2008,Jaliah,5
AL,F,2008,Jamaria,5
AL,F,2008,Jamyah,5
AL,F,2008,Jane,5
AL,F,2008,Janyla,5
AL,F,2008,Jaycie,5
AL,F,2008,Jenifer,5
AL,F,2008,Jorja,5
AL,F,2008,Judith,5
AL,F,2008,Kaiya,5
AL,F,2008,Kaleah,5
AL,F,2008,Kaylyn,5
AL,F,2008,Keely,5
AL,F,2008,Kenadie,5
AL,F,2008,Keyla,5
AL,F,2008,Keziah,5
AL,F,2008,Kianna,5
AL,F,2008,Kierra,5
AL,F,2008,Kirstin,5
AL,F,2008,Kourtney,5
AL,F,2008,Kyara,5
AL,F,2008,Lailah,5
AL,F,2008,Lamya,5
AL,F,2008,Laniya,5
AL,F,2008,Larissa,5
AL,F,2008,Laurie,5
AL,F,2008,Lea,5
AL,F,2008,Leilani,5
AL,F,2008,Lia,5
AL,F,2008,Lilian,5
AL,F,2008,Linda,5
AL,F,2008,Lorelei,5
AL,F,2008,Macayla,5
AL,F,2008,Makala,5
AL,F,2008,Makaylah,5
AL,F,2008,Malaya,5
AL,F,2008,Marisa,5
AL,F,2008,Mariyah,5
AL,F,2008,Marli,5
AL,F,2008,Marlie,5
AL,F,2008,Martina,5
AL,F,2008,Mayrin,5
AL,F,2008,Meagan,5
AL,F,2008,Melisa,5
AL,F,2008,Miah,5
AL,F,2008,Micah,5
AL,F,2008,Murphy,5
AL,F,2008,Myasia,5
AL,F,2008,Myleigh,5
AL,F,2008,Nivea,5
AL,F,2008,Noelle,5
AL,F,2008,Payten,5
AL,F,2008,Peighton,5
AL,F,2008,Randi,5
AL,F,2008,Rayne,5
AL,F,2008,Rayven,5
AL,F,2008,River,5
AL,F,2008,Ryann,5
AL,F,2008,Rylan,5
AL,F,2008,Samya,5
AL,F,2008,Sariyah,5
AL,F,2008,Savanah,5
AL,F,2008,Scarlet,5
AL,F,2008,Shakayla,5
AL,F,2008,Shannon,5
AL,F,2008,Suzanna,5
AL,F,2008,Tamya,5
