StateCode,Sex,YearOfBirth,Name,Number
AL,M,1918,Bernie,7
AL,M,1918,Carey,7
AL,M,1918,Carter,7
AL,M,1918,Collins,7
AL,M,1918,Crawford,7
AL,M,1918,Dallas,7
AL,M,1918,Dewitt,7
AL,M,1918,Early,7
AL,M,1918,Eli,7
AL,M,1918,Eligah,7
AL,M,1918,Elzie,7
AL,M,1918,Emory,7
AL,M,1918,Garfield,7
AL,M,1918,Harley,7
AL,M,1918,Harrison,7
AL,M,1918,Jackson,7
AL,M,1918,Jefferson,7
AL,M,1918,Jerome,7
AL,M,1918,Jess,7
AL,M,1918,Jonnie,7
AL,M,1918,King,7
AL,M,1918,Lindsey,7
AL,M,1918,Lois,7
AL,M,1918,Ludie,7
AL,M,1918,Maxie,7
AL,M,1918,Michael,7
AL,M,1918,Morgan,7
AL,M,1918,Myron,7
AL,M,1918,Napoleon,7
AL,M,1918,Newman,7
AL,M,1918,Olin,7
AL,M,1918,Orbie,7
AL,M,1918,Otha,7
AL,M,1918,Pat,7
AL,M,1918,Patrick,7
AL,M,1918,Pershing,7
AL,M,1918,Prince,7
AL,M,1918,Royce,7
AL,M,1918,Sanford,7
AL,M,1918,Thurston,7
AL,M,1918,Van,7
AL,M,1918,Wilford,7
AL,M,1918,Winfred,7
AL,M,1918,Alfonso,6
AL,M,1918,Allie,6
AL,M,1918,Andy,6
AL,M,1918,Artie,6
AL,M,1918,Artis,6
AL,M,1918,Bernice,6
AL,M,1918,Bud,6
AL,M,1918,Casey,6
AL,M,1918,Christopher,6
AL,M,1918,Collie,6
AL,M,1918,Dorsey,6
AL,M,1918,Doyle,6
AL,M,1918,Durward,6
AL,M,1918,Dwight,6
AL,M,1918,Earlie,6
AL,M,1918,Elisha,6
AL,M,1918,Emerson,6
AL,M,1918,Emmitt,6
AL,M,1918,Ennis,6
AL,M,1918,Fredrick,6
AL,M,1918,Green,6
AL,M,1918,Hardy,6
AL,M,1918,Herschel,6
AL,M,1918,Hilliard,6
AL,M,1918,Hobert,6
AL,M,1918,Hosea,6
AL,M,1918,Hosie,6
AL,M,1918,Jamie,6
AL,M,1918,Joshua,6
AL,M,1918,Lawson,6
AL,M,1918,Levie,6
AL,M,1918,Lorenzo,6
AL,M,1918,Loyal,6
AL,M,1918,Lynn,6
AL,M,1918,Manuel,6
AL,M,1918,Neal,6
AL,M,1918,Oren,6
AL,M,1918,Palmer,6
AL,M,1918,Rosevelt,6
AL,M,1918,Royal,6
AL,M,1918,Simmie,6
AL,M,1918,Simon,6
AL,M,1918,Vincent,6
AL,M,1918,Virgle,6
AL,M,1918,Waymon,6
AL,M,1918,Wilton,6
AL,M,1918,Abner,5
AL,M,1918,Adam,5
AL,M,1918,Alphonse,5
AL,M,1918,Alphonso,5
AL,M,1918,Amon,5
AL,M,1918,Arlin,5
AL,M,1918,Arvin,5
AL,M,1918,Auther,5
AL,M,1918,Avery,5
AL,M,1918,Benny,5
AL,M,1918,Berry,5
AL,M,1918,Bishop,5
AL,M,1918,Braxton,5
AL,M,1918,Bryant,5
AL,M,1918,Buren,5
AL,M,1918,Burl,5
AL,M,1918,Burt,5
AL,M,1918,Clarance,5
AL,M,1918,Clearence,5
AL,M,1918,Clement,5
AL,M,1918,Clovis,5
AL,M,1918,Cooper,5
AL,M,1918,Davis,5
AL,M,1918,Dee,5
AL,M,1918,Delmar,5
AL,M,1918,Dolphus,5
AL,M,1918,Edison,5
AL,M,1918,Egbert,5
AL,M,1918,Emmet,5
AL,M,1918,Erskine,5
AL,M,1918,Ethel,5
AL,M,1918,Ethridge,5
AL,M,1918,Euell,5
AL,M,1918,Felton,5
AL,M,1918,Foch,5
AL,M,1918,Forest,5
AL,M,1918,Frazier,5
AL,M,1918,Gregory,5
AL,M,1918,Harmon,5
AL,M,1918,Hermon,5
AL,M,1918,Hudson,5
AL,M,1918,Ivan,5
AL,M,1918,Ivory,5
AL,M,1918,Jeremiah,5
AL,M,1918,Jonas,5
AL,M,1918,Josh,5
AL,M,1918,Kelly,5
AL,M,1918,Langston,5
AL,M,1918,Lowell,5
AL,M,1918,Luke,5
AL,M,1918,Macon,5
AL,M,1918,Murry,5
AL,M,1918,Nick,5
AL,M,1918,Obie,5
AL,M,1918,Odie,5
AL,M,1918,Ora,5
AL,M,1918,Orval,5
AL,M,1918,Otho,5
AL,M,1918,Randolph,5
AL,M,1918,Rayford,5
AL,M,1918,Reginald,5
AL,M,1918,Rupert,5
AL,M,1918,Seth,5
AL,M,1918,Theron,5
AL,M,1918,Titus,5
AL,M,1918,Tony,5
AL,M,1918,Washington,5
AL,M,1918,Webb,5
AL,M,1918,Zeb,5
AL,M,1918,Zollie,5
AL,M,1919,James,2223
AL,M,1919,John,1431
AL,M,1919,William,1399
AL,M,1919,Robert,914
AL,M,1919,Willie,906
AL,M,1919,George,633
AL,M,1919,Charles,497
AL,M,1919,Thomas,450
AL,M,1919,Henry,379
AL,M,1919,Joseph,349
AL,M,1919,Joe,315
AL,M,1919,Edward,311
AL,M,1919,Walter,300
AL,M,1919,Frank,292
AL,M,1919,Charlie,244
AL,M,1919,Fred,244
AL,M,1919,Arthur,223
AL,M,1919,Jack,219
AL,M,1919,Albert,211
AL,M,1919,David,206
AL,M,1919,Johnnie,199
AL,M,1919,Clarence,184
AL,M,1919,Roy,168
AL,M,1919,Richard,166
AL,M,1919,Jesse,162
AL,M,1919,Jessie,160
AL,M,1919,Ralph,156
AL,M,1919,Eddie,155
AL,M,1919,Howard,154
AL,M,1919,Paul,147
AL,M,1919,Samuel,147
AL,M,1919,Raymond,143
AL,M,1919,Cecil,140
AL,M,1919,Ernest,139
AL,M,1919,Louis,133
AL,M,1919,Woodrow,131
AL,M,1919,Eugene,130
AL,M,1919,Marvin,130
AL,M,1919,Sam,129
AL,M,1919,Oscar,127
AL,M,1919,Jimmie,125
AL,M,1919,Andrew,119
AL,M,1919,Floyd,112
AL,M,1919,Lee,108
AL,M,1919,Grady,105
AL,M,1919,Earnest,101
AL,M,1919,Clyde,100
AL,M,1919,Luther,100
AL,M,1919,Carl,99
AL,M,1919,Curtis,98
AL,M,1919,Leon,97
AL,M,1919,Earl,94
AL,M,1919,Herbert,91
AL,M,1919,Leroy,91
AL,M,1919,Horace,90
AL,M,1919,Harry,89
AL,M,1919,Jim,86
AL,M,1919,Leonard,86
AL,M,1919,Lewis,86
AL,M,1919,Daniel,83
AL,M,1919,Harold,83
AL,M,1919,Johnie,80
AL,M,1919,Edgar,79
AL,M,1919,Hubert,79
AL,M,1919,Rufus,78
AL,M,1919,Herman,75
AL,M,1919,Alfred,74
AL,M,1919,Homer,74
AL,M,1919,Alvin,70
AL,M,1919,Clifford,70
AL,M,1919,Melvin,70
AL,M,1919,Harvey,69
AL,M,1919,Claude,67
AL,M,1919,Otis,67
AL,M,1919,Tommie,67
AL,M,1919,Willard,67
AL,M,1919,Lawrence,66
AL,M,1919,Nathaniel,66
AL,M,1919,Wallace,65
AL,M,1919,Dewey,64
AL,M,1919,Benjamin,63
AL,M,1919,Lester,63
AL,M,1919,Tom,63
AL,M,1919,Will,58
AL,M,1919,Lonnie,57
AL,M,1919,Marion,57
AL,M,1919,Oliver,57
AL,M,1919,Elbert,55
AL,M,1919,Ben,54
AL,M,1919,Wilson,54
AL,M,1919,Chester,53
AL,M,1919,Julius,53
AL,M,1919,Norman,53
AL,M,1919,Roosevelt,53
AL,M,1919,Bill,52
AL,M,1919,Isaac,51
AL,M,1919,Milton,50
AL,M,1919,Allen,49
AL,M,1919,Elmer,48
AL,M,1919,Ray,47
AL,M,1919,Mack,46
AL,M,1919,Ellis,45
AL,M,1919,Leslie,45
AL,M,1919,Cleveland,44
AL,M,1919,Emmett,44
AL,M,1919,Hugh,44
AL,M,1919,Leo,44
AL,M,1919,Lloyd,44
AL,M,1919,Archie,43
AL,M,1919,Bennie,43
AL,M,1919,Percy,43
AL,M,1919,Dan,42
AL,M,1919,Grover,42
AL,M,1919,Johnny,42
AL,M,1919,Ollie,42
AL,M,1919,Troy,39
AL,M,1919,Virgil,39
AL,M,1919,Ira,38
AL,M,1919,Theodore,38
AL,M,1919,Alex,37
AL,M,1919,Amos,37
AL,M,1919,Calvin,37
AL,M,1919,Edwin,37
AL,M,1919,Vernon,37
AL,M,1919,Wilburn,37
AL,M,1919,Morris,36
AL,M,1919,Aaron,35
AL,M,1919,Clinton,35
AL,M,1919,Ed,35
AL,M,1919,Sylvester,35
AL,M,1919,Gordon,34
AL,M,1919,Loyd,34
AL,M,1919,Clifton,33
AL,M,1919,Donald,33
AL,M,1919,Jerry,33
AL,M,1919,Louie,33
AL,M,1919,Arnold,32
AL,M,1919,Douglas,32
AL,M,1919,Francis,32
AL,M,1919,Marshall,32
AL,M,1919,Nathan,32
AL,M,1919,Wesley,32
AL,M,1919,Willis,32
AL,M,1919,Aubrey,31
AL,M,1919,Charley,31
AL,M,1919,Dave,31
AL,M,1919,Billie,28
AL,M,1919,Booker,28
AL,M,1919,Dennis,28
AL,M,1919,Felix,28
AL,M,1919,Guy,28
AL,M,1919,Junior,28
AL,M,1919,Perry,28
AL,M,1919,Russell,28
AL,M,1919,Wilbur,28
AL,M,1919,Alton,27
AL,M,1919,Billy,27
AL,M,1919,Gilbert,27
AL,M,1919,Monroe,27
AL,M,1919,Phillip,27
AL,M,1919,Quinton,27
AL,M,1919,Sidney,27
AL,M,1919,Coy,26
AL,M,1919,Julian,26
AL,M,1919,Kenneth,26
AL,M,1919,Millard,26
AL,M,1919,Buford,25
AL,M,1919,Preston,25
AL,M,1919,Glenn,24
AL,M,1919,Jake,24
AL,M,1919,Major,24
AL,M,1919,Moses,24
AL,M,1919,Ned,24
AL,M,1919,Warren,24
AL,M,1919,Houston,23
AL,M,1919,Hoyt,23
AL,M,1919,Jasper,23
AL,M,1919,Mose,23
AL,M,1919,Ottis,23
AL,M,1919,Travis,23
AL,M,1919,Early,22
AL,M,1919,Franklin,22
AL,M,1919,Owen,22
AL,M,1919,Roscoe,22
AL,M,1919,Bernard,21
AL,M,1919,Claud,21
AL,M,1919,Freddie,21
AL,M,1919,Olen,21
AL,M,1919,Roland,21
AL,M,1919,Bob,20
AL,M,1919,Hollis,20
AL,M,1919,Jacob,20
AL,M,1919,Kermit,20
AL,M,1919,Martin,20
AL,M,1919,Ocie,20
AL,M,1919,Pete,20
AL,M,1919,Sherman,20
AL,M,1919,Austin,19
AL,M,1919,Glen,19
AL,M,1919,Lenard,19
AL,M,1919,Malcolm,19
AL,M,1919,Sammie,19
AL,M,1919,Tommy,19
AL,M,1919,Bruce,18
AL,M,1919,Coleman,18
AL,M,1919,Fletcher,18
AL,M,1919,Frederick,18
AL,M,1919,Joel,18
AL,M,1919,King,18
AL,M,1919,Lamar,18
AL,M,1919,Nelson,18
AL,M,1919,Noah,18
AL,M,1919,Odis,18
AL,M,1919,Peter,18
AL,M,1919,Ted,18
AL,M,1919,Alexander,17
AL,M,1919,Buster,17
AL,M,1919,Clayton,17
AL,M,1919,Crawford,17
AL,M,1919,Ervin,17
AL,M,1919,Gus,17
AL,M,1919,Jackson,17
AL,M,1919,Maurice,17
AL,M,1919,Rex,17
AL,M,1919,Wiley,17
AL,M,1919,Abraham,16
AL,M,1919,Barney,16
AL,M,1919,Earlie,16
AL,M,1919,Elijah,16
AL,M,1919,Everett,16
AL,M,1919,Felton,16
AL,M,1919,Forrest,16
AL,M,1919,Gene,16
