StateCode,Sex,YearOfBirth,Name,Number
AL,M,1956,Lamar,24
AL,M,1956,Malcolm,24
AL,M,1956,Tim,24
AL,M,1956,Bryan,23
AL,M,1956,Oliver,23
AL,M,1956,Doyle,22
AL,M,1956,Jon,22
AL,M,1956,Sammie,22
AL,M,1956,Amos,21
AL,M,1956,Derrick,21
AL,M,1956,Sherman,21
AL,M,1956,Winfred,21
AL,M,1956,Arnold,20
AL,M,1956,Clayton,20
AL,M,1956,Teddy,20
AL,M,1956,Andy,19
AL,M,1956,Ira,19
AL,M,1956,Max,19
AL,M,1956,Randal,19
AL,M,1956,Van,19
AL,M,1956,Alonzo,18
AL,M,1956,Freddy,18
AL,M,1956,Guy,18
AL,M,1956,Lorenza,18
AL,M,1956,Alex,17
AL,M,1956,Allan,17
AL,M,1956,Andre,17
AL,M,1956,Bob,17
AL,M,1956,Bradley,17
AL,M,1956,Francis,17
AL,M,1956,Gilbert,17
AL,M,1956,Greg,17
AL,M,1956,Nelson,17
AL,M,1956,Percy,17
AL,M,1956,Rickie,17
AL,M,1956,Rodger,17
AL,M,1956,Al,16
AL,M,1956,Alexander,16
AL,M,1956,Dewayne,16
AL,M,1956,Kent,16
AL,M,1956,Moses,16
AL,M,1956,Myron,16
AL,M,1956,Neal,16
AL,M,1956,Bradford,15
AL,M,1956,Cleveland,15
AL,M,1956,Elijah,15
AL,M,1956,Elvis,15
AL,M,1956,Emmett,15
AL,M,1956,Ervin,15
AL,M,1956,Grover,15
AL,M,1956,Rocky,15
AL,M,1956,Royce,15
AL,M,1956,Terrell,15
AL,M,1956,Willard,15
AL,M,1956,Willis,15
AL,M,1956,Broderick,14
AL,M,1956,Buddy,14
AL,M,1956,Carey,14
AL,M,1956,Carlos,14
AL,M,1956,Connie,14
AL,M,1956,Dexter,14
AL,M,1956,Donny,14
AL,M,1956,Hubert,14
AL,M,1956,Jasper,14
AL,M,1956,Marlon,14
AL,M,1956,Clark,13
AL,M,1956,Eddy,13
AL,M,1956,Everett,13
AL,M,1956,Hal,13
AL,M,1956,Rick,13
AL,M,1956,Ronny,13
AL,M,1956,Toney,13
AL,M,1956,Wiley,13
AL,M,1956,Woodrow,13
AL,M,1956,Forrest,12
AL,M,1956,Freeman,12
AL,M,1956,Gerry,12
AL,M,1956,Hayward,12
AL,M,1956,Homer,12
AL,M,1956,Houston,12
AL,M,1956,Jacky,12
AL,M,1956,Jacob,12
AL,M,1956,Kelly,12
AL,M,1956,Levi,12
AL,M,1956,Norris,12
AL,M,1956,Roland,12
AL,M,1956,Wilson,12
AL,M,1956,Clay,11
AL,M,1956,Dana,11
AL,M,1956,Dave,11
AL,M,1956,Dean,11
AL,M,1956,Elton,11
AL,M,1956,Emanuel,11
