StateCode,Sex,YearOfBirth,Name,Number
AL,M,1975,Chauncey,6
AL,M,1975,Chuck,6
AL,M,1975,Cody,6
AL,M,1975,Darrel,6
AL,M,1975,Demetrice,6
AL,M,1975,Deon,6
AL,M,1975,Emmanuel,6
AL,M,1975,Gene,6
AL,M,1975,Gerard,6
AL,M,1975,Gerry,6
AL,M,1975,Jaime,6
AL,M,1975,Jonas,6
AL,M,1975,Karl,6
AL,M,1975,Kelley,6
AL,M,1975,Kennith,6
AL,M,1975,Kenyon,6
AL,M,1975,Lashawn,6
AL,M,1975,Lucas,6
AL,M,1975,Luke,6
AL,M,1975,Mathew,6
AL,M,1975,Matt,6
AL,M,1975,Miles,6
AL,M,1975,Nikia,6
AL,M,1975,Noah,6
AL,M,1975,Rashad,6
AL,M,1975,Rayford,6
AL,M,1975,Reco,6
AL,M,1975,Rocky,6
AL,M,1975,Rufus,6
AL,M,1975,Shaun,6
AL,M,1975,Simon,6
AL,M,1975,Tarus,6
AL,M,1975,Ulysses,6
AL,M,1975,Van,6
AL,M,1975,Wilbert,6
AL,M,1975,Willard,6
AL,M,1975,Winston,6
AL,M,1975,Amos,5
AL,M,1975,Angelo,5
AL,M,1975,Antoine,5
AL,M,1975,Brannon,5
AL,M,1975,Bryce,5
AL,M,1975,Caleb,5
AL,M,1975,Dallas,5
AL,M,1975,Darnell,5
AL,M,1975,Darron,5
AL,M,1975,Decarlos,5
AL,M,1975,Dedric,5
AL,M,1975,Dedrick,5
AL,M,1975,Dejuan,5
AL,M,1975,Demetris,5
AL,M,1975,Devin,5
AL,M,1975,Dewey,5
AL,M,1975,Dylan,5
AL,M,1975,Elton,5
AL,M,1975,Emmett,5
AL,M,1975,Erick,5
AL,M,1975,Fernando,5
AL,M,1975,Gilbert,5
AL,M,1975,Guy,5
AL,M,1975,Jacques,5
AL,M,1975,Jarrett,5
AL,M,1975,Jerald,5
AL,M,1975,Jeremey,5
AL,M,1975,Jeromy,5
AL,M,1975,Jerrell,5
AL,M,1975,Jose,5
AL,M,1975,Kareem,5
AL,M,1975,Kirby,5
AL,M,1975,Kirk,5
AL,M,1975,Kristian,5
AL,M,1975,Lamont,5
AL,M,1975,Lane,5
AL,M,1975,Markus,5
AL,M,1975,Marquis,5
AL,M,1975,Nelson,5
AL,M,1975,Orlanda,5
AL,M,1975,Owen,5
