StateCode,Sex,YearOfBirth,Name,Number
AR,F,1939,Corinne,5
AR,F,1939,Dorothea,5
AR,F,1939,Elvie,5
AR,F,1939,Ester,5
AR,F,1939,Fredia,5
AR,F,1939,Genevieve,5
AR,F,1939,Gertie,5
AR,F,1939,Jeanne,5
AR,F,1939,Jeffie,5
AR,F,1939,Johnny,5
AR,F,1939,Joye,5
AR,F,1939,Katheryn,5
AR,F,1939,Kathy,5
AR,F,1939,Leota,5
AR,F,1939,Lessie,5
AR,F,1939,Leta,5
AR,F,1939,Lily,5
AR,F,1939,Loyce,5
AR,F,1939,Lynn,5
AR,F,1939,Mabel,5
AR,F,1939,Meredith,5
AR,F,1939,Molly,5
AR,F,1939,Nelma,5
AR,F,1939,Neoma,5
AR,F,1939,Oleta,5
AR,F,1939,Peggie,5
AR,F,1939,Penny,5
AR,F,1939,Rutha,5
AR,F,1939,Shirlene,5
AR,F,1939,Tommy,5
AR,F,1939,Toni,5
AR,F,1939,Vergie,5
AR,F,1939,Versie,5
AR,F,1939,Veta,5
AR,F,1939,Wilda,5
AR,F,1939,William,5
AR,F,1939,Willine,5
AR,F,1940,Mary,1189
AR,F,1940,Betty,849
AR,F,1940,Barbara,581
AR,F,1940,Shirley,543
AR,F,1940,Linda,360
AR,F,1940,Dorothy,352
AR,F,1940,Carolyn,332
AR,F,1940,Patricia,313
AR,F,1940,Martha,279
AR,F,1940,Joyce,272
AR,F,1940,Patsy,266
AR,F,1940,Helen,245
AR,F,1940,Wanda,227
AR,F,1940,Margaret,218
AR,F,1940,Peggy,211
AR,F,1940,Ruby,208
AR,F,1940,Nancy,193
AR,F,1940,Alice,184
AR,F,1940,Virginia,180
AR,F,1940,Doris,176
AR,F,1940,Frances,174
AR,F,1940,Norma,143
AR,F,1940,Bonnie,141
AR,F,1940,Glenda,134
AR,F,1940,Bobbie,126
AR,F,1940,Elizabeth,123
AR,F,1940,Jo,122
AR,F,1940,Donna,116
AR,F,1940,Carol,113
AR,F,1940,Emma,112
AR,F,1940,Juanita,112
AR,F,1940,Lois,112
AR,F,1940,Ruth,111
AR,F,1940,Wilma,110
AR,F,1940,Judy,109
AR,F,1940,Willie,109
AR,F,1940,Anna,108
AR,F,1940,Gloria,108
AR,F,1940,Janice,107
AR,F,1940,Mildred,104
AR,F,1940,Sandra,103
AR,F,1940,Brenda,102
AR,F,1940,Evelyn,98
AR,F,1940,Annie,96
AR,F,1940,Phyllis,92
AR,F,1940,Louise,90
AR,F,1940,Sarah,90
AR,F,1940,Margie,88
AR,F,1940,Edna,87
AR,F,1940,Marilyn,87
AR,F,1940,Jean,86
AR,F,1940,Hazel,84
AR,F,1940,Thelma,84
AR,F,1940,Sue,82
AR,F,1940,Billie,80
AR,F,1940,Ann,79
AR,F,1940,Bertha,76
AR,F,1940,Clara,73
AR,F,1940,Judith,73
AR,F,1940,Lillie,73
AR,F,1940,Rose,72
AR,F,1940,Georgia,70
AR,F,1940,Rosie,70
AR,F,1940,Gladys,68
AR,F,1940,Anita,66
AR,F,1940,Joan,66
AR,F,1940,Ethel,61
AR,F,1940,Loretta,61
AR,F,1940,Charlotte,59
AR,F,1940,Ella,59
AR,F,1940,Beverly,58
AR,F,1940,Edith,58
AR,F,1940,Melba,58
AR,F,1940,Sylvia,58
AR,F,1940,Eva,57
AR,F,1940,Jessie,57
AR,F,1940,Jane,56
AR,F,1940,Mae,56
AR,F,1940,Maxine,56
AR,F,1940,Bernice,55
AR,F,1940,Geraldine,55
AR,F,1940,Joann,55
AR,F,1940,Geneva,54
AR,F,1940,Johnnie,54
AR,F,1940,Ellen,53
AR,F,1940,Laura,53
AR,F,1940,Bettye,52
AR,F,1940,Katherine,51
AR,F,1940,Mattie,50
AR,F,1940,Rebecca,50
AR,F,1940,Sharon,50
AR,F,1940,Velma,50
AR,F,1940,Alma,49
AR,F,1940,Marie,49
AR,F,1940,Vera,49
AR,F,1940,Catherine,48
AR,F,1940,Ida,47
AR,F,1940,Julia,47
AR,F,1940,Minnie,47
AR,F,1940,Vivian,47
AR,F,1940,Erma,45
AR,F,1940,Charlene,44
AR,F,1940,Dorthy,43
AR,F,1940,Lillian,43
AR,F,1940,Nina,43
AR,F,1940,Delores,42
AR,F,1940,Bettie,41
AR,F,1940,Earnestine,40
AR,F,1940,Beatrice,39
AR,F,1940,Bessie,39
AR,F,1940,Elsie,39
AR,F,1940,Josephine,39
AR,F,1940,Pauline,39
AR,F,1940,Fannie,38
AR,F,1940,Pat,38
AR,F,1940,Ruthie,38
AR,F,1940,Yvonne,38
AR,F,1940,Cora,37
AR,F,1940,Freda,37
AR,F,1940,Jeanette,37
AR,F,1940,Marjorie,37
AR,F,1940,Rita,37
AR,F,1940,Christine,36
AR,F,1940,Lula,36
AR,F,1940,Grace,35
AR,F,1940,Lynda,35
AR,F,1940,Joy,34
AR,F,1940,Kathryn,34
AR,F,1940,Nellie,34
AR,F,1940,Pearlie,34
AR,F,1940,Opal,33
AR,F,1940,Verna,33
AR,F,1940,Connie,32
AR,F,1940,Janet,32
AR,F,1940,Annette,31
AR,F,1940,Florence,31
AR,F,1940,Jimmie,31
AR,F,1940,Lucille,31
AR,F,1940,Faye,30
AR,F,1940,Frankie,30
AR,F,1940,Irma,30
AR,F,1940,Kay,29
AR,F,1940,Reba,29
AR,F,1940,Sara,29
AR,F,1940,Esther,28
AR,F,1940,Hattie,28
AR,F,1940,June,28
AR,F,1940,Lou,28
AR,F,1940,Nelda,28
AR,F,1940,Roberta,28
AR,F,1940,Stella,28
AR,F,1940,Carrie,27
AR,F,1940,Dora,27
AR,F,1940,Freddie,27
AR,F,1940,Jackie,27
AR,F,1940,Lola,27
AR,F,1940,Ollie,27
AR,F,1940,Pearl,27
AR,F,1940,Audrey,26
AR,F,1940,Eula,26
AR,F,1940,Irene,26
AR,F,1940,Nora,26
AR,F,1940,Ora,26
AR,F,1940,Paula,26
AR,F,1940,Viola,26
AR,F,1940,Darlene,25
AR,F,1940,Flora,25
AR,F,1940,Lucy,25
AR,F,1940,Mable,25
AR,F,1940,Myrna,25
AR,F,1940,Rosemary,25
AR,F,1940,Dixie,24
AR,F,1940,Dolores,24
AR,F,1940,Eddie,24
AR,F,1940,Essie,24
AR,F,1940,Lorene,24
AR,F,1940,Myrtle,24
AR,F,1940,Shelby,24
AR,F,1940,Ada,23
AR,F,1940,Ernestine,23
AR,F,1940,Francis,23
AR,F,1940,Jerry,23
AR,F,1940,Lee,23
AR,F,1940,Polly,23
AR,F,1940,Priscilla,23
AR,F,1940,Susan,23
AR,F,1940,Daisy,22
AR,F,1940,Delois,22
AR,F,1940,Etta,22
AR,F,1940,Mamie,22
AR,F,1940,Rachel,22
AR,F,1940,Rosetta,22
AR,F,1940,Sally,22
AR,F,1940,Tommie,22
AR,F,1940,Alberta,21
AR,F,1940,Beulah,21
AR,F,1940,Glenna,21
AR,F,1940,Janie,21
AR,F,1940,Janis,21
AR,F,1940,Jewel,21
AR,F,1940,Karen,21
AR,F,1940,Susie,21
AR,F,1940,Della,20
AR,F,1940,Eunice,20
AR,F,1940,Gwendolyn,20
AR,F,1940,Maggie,20
AR,F,1940,Marion,20
AR,F,1940,Nadine,20
AR,F,1940,Naomi,20
AR,F,1940,Patty,20
AR,F,1940,Robbie,20
AR,F,1940,Rosa,20
AR,F,1940,Anne,19
AR,F,1940,Bennie,19
AR,F,1940,Gracie,19
AR,F,1940,Lena,19
AR,F,1940,Leona,19
AR,F,1940,Sherry,19
AR,F,1940,Bobby,18
AR,F,1940,Cynthia,18
AR,F,1940,Earlene,18
AR,F,1940,Earline,18
AR,F,1940,May,18
AR,F,1940,Nettie,18
AR,F,1940,Ola,18
AR,F,1940,Carole,17
AR,F,1940,Jewell,17
AR,F,1940,Joanne,17
AR,F,1940,Laverne,17
AR,F,1940,Lottie,17
AR,F,1940,Mona,17
AR,F,1940,Addie,16
AR,F,1940,Elaine,16
AR,F,1940,Ina,16
AR,F,1940,Katie,16
AR,F,1940,Marva,16
AR,F,1940,Myra,16
AR,F,1940,Virgie,16
AR,F,1940,Claudia,15
AR,F,1940,Jennie,15
AR,F,1940,Winnie,15
AR,F,1940,Alta,14
AR,F,1940,Deloris,14
AR,F,1940,Dollie,14
AR,F,1940,Effie,14
AR,F,1940,Eleanor,14
AR,F,1940,Estella,14
AR,F,1940,Gail,14
AR,F,1940,Iris,14
AR,F,1940,Kathleen,14
AR,F,1940,Melva,14
AR,F,1940,Pearline,14
AR,F,1940,Shelba,14
AR,F,1940,Suzanne,14
AR,F,1940,Willa,14
AR,F,1940,Arlene,13
AR,F,1940,Corine,13
AR,F,1940,Eloise,13
AR,F,1940,Emily,13
AR,F,1940,Flossie,13
AR,F,1940,Georgie,13
AR,F,1940,Henrietta,13
AR,F,1940,Imogene,13
AR,F,1940,Lela,13
AR,F,1940,Leola,13
AR,F,1940,Nona,13
AR,F,1940,Queen,13
AR,F,1940,Ramona,13
AR,F,1940,Sondra,13
AR,F,1940,Violet,13
AR,F,1940,Agnes,12
