StateCode,Sex,YearOfBirth,Name,Number
AR,F,2003,Brooklynn,14
AR,F,2003,Chelsea,14
AR,F,2003,Christina,14
AR,F,2003,Cynthia,14
AR,F,2003,Desiree,14
AR,F,2003,Diamond,14
AR,F,2003,Gabriella,14
AR,F,2003,Haven,14
AR,F,2003,India,14
AR,F,2003,Jadyn,14
AR,F,2003,Julie,14
AR,F,2003,Kiara,14
AR,F,2003,Kiley,14
AR,F,2003,Lacey,14
AR,F,2003,Madalyn,14
AR,F,2003,Patricia,14
AR,F,2003,Ryleigh,14
AR,F,2003,Tori,14
AR,F,2003,Abbie,13
AR,F,2003,Adriana,13
AR,F,2003,Alison,13
AR,F,2003,Angelica,13
AR,F,2003,Angelina,13
AR,F,2003,Brenda,13
AR,F,2003,Camryn,13
AR,F,2003,Cindy,13
AR,F,2003,Diana,13
AR,F,2003,Heidi,13
AR,F,2003,Kara,13
AR,F,2003,Margaret,13
AR,F,2003,Mikayla,13
AR,F,2003,Savanna,13
AR,F,2003,Shayla,13
AR,F,2003,Aliyah,12
AR,F,2003,Allyson,12
AR,F,2003,Annabelle,12
AR,F,2003,Clara,12
AR,F,2003,Jakayla,12
AR,F,2003,Jayda,12
AR,F,2003,Kailee,12
AR,F,2003,Kamryn,12
AR,F,2003,Karla,12
AR,F,2003,Kendall,12
AR,F,2003,Laci,12
AR,F,2003,Lauryn,12
AR,F,2003,Macie,12
AR,F,2003,Madilyn,12
AR,F,2003,Miranda,12
AR,F,2003,Nadia,12
AR,F,2003,Naomi,12
AR,F,2003,Rebekah,12
AR,F,2003,Alana,11
AR,F,2003,Alejandra,11
AR,F,2003,Aniya,11
AR,F,2003,Baby,11
AR,F,2003,Brandy,11
AR,F,2003,Brittney,11
AR,F,2003,Delaney,11
AR,F,2003,Jazmin,11
AR,F,2003,Juliana,11
AR,F,2003,Kali,11
AR,F,2003,Kate,11
AR,F,2003,Kyleigh,11
AR,F,2003,Lillie,11
AR,F,2003,Lucy,11
AR,F,2003,Miracle,11
AR,F,2003,Perla,11
AR,F,2003,Piper,11
AR,F,2003,Zoie,11
AR,F,2003,Amari,10
AR,F,2003,Cecilia,10
AR,F,2003,Destinee,10
AR,F,2003,Georgia,10
AR,F,2003,Justice,10
AR,F,2003,Karina,10
AR,F,2003,Kassidy,10
AR,F,2003,Katlyn,10
AR,F,2003,Kendra,10
AR,F,2003,Kenzie,10
AR,F,2003,Kristin,10
AR,F,2003,Laila,10
AR,F,2003,Maci,10
AR,F,2003,Makenna,10
AR,F,2003,Mckayla,10
AR,F,2003,Meagan,10
AR,F,2003,Meghan,10
AR,F,2003,Mollie,10
AR,F,2003,Monica,10
AR,F,2003,Nevaeh,10
AR,F,2003,Skyla,10
AR,F,2003,Tabitha,10
AR,F,2003,Tamia,10
AR,F,2003,Taniya,10
AR,F,2003,Veronica,10
AR,F,2003,Vivian,10
AR,F,2003,Abagail,9
AR,F,2003,Alyson,9
AR,F,2003,Annie,9
AR,F,2003,Ashlee,9
AR,F,2003,Ashleigh,9
AR,F,2003,Caitlin,9
AR,F,2003,Cameron,9
AR,F,2003,Carlee,9
AR,F,2003,Carley,9
AR,F,2003,Carlie,9
AR,F,2003,Cassandra,9
AR,F,2003,Elisabeth,9
AR,F,2003,Ellie,9
AR,F,2003,Guadalupe,9
AR,F,2003,Hailee,9
AR,F,2003,Haylie,9
AR,F,2003,Isabelle,9
AR,F,2003,Ivy,9
AR,F,2003,Jessie,9
AR,F,2003,Karli,9
AR,F,2003,Karlie,9
AR,F,2003,Kierra,9
AR,F,2003,Kinsey,9
AR,F,2003,Kyra,9
AR,F,2003,Macey,9
AR,F,2003,Maya,9
AR,F,2003,Nancy,9
AR,F,2003,Paris,9
AR,F,2003,Raegan,9
AR,F,2003,Tara,9
AR,F,2003,Tristan,9
AR,F,2003,Addyson,8
AR,F,2003,Akira,8
AR,F,2003,Alayna,8
AR,F,2003,Ally,8
AR,F,2003,Amya,8
AR,F,2003,Anastasia,8
AR,F,2003,April,8
AR,F,2003,Aspen,8
AR,F,2003,Ayanna,8
AR,F,2003,Brenna,8
AR,F,2003,Brynn,8
AR,F,2003,Camille,8
AR,F,2003,Carson,8
AR,F,2003,Chasity,8
AR,F,2003,Claudia,8
AR,F,2003,Eden,8
AR,F,2003,Elise,8
AR,F,2003,Ellen,8
AR,F,2003,Jaiden,8
AR,F,2003,Jamia,8
AR,F,2003,Jasmin,8
AR,F,2003,Julianna,8
AR,F,2003,Karlee,8
AR,F,2003,Katlynn,8
AR,F,2003,Kayleigh,8
AR,F,2003,Kelsie,8
AR,F,2003,Lexie,8
AR,F,2003,Lindsay,8
AR,F,2003,Madisyn,8
AR,F,2003,Madyson,8
AR,F,2003,Michaela,8
AR,F,2003,Nina,8
AR,F,2003,Patience,8
AR,F,2003,Regan,8
AR,F,2003,Shania,8
AR,F,2003,Tyra,8
AR,F,2003,Zaria,8
AR,F,2003,Ainsley,7
AR,F,2003,Alaina,7
AR,F,2003,Aurora,7
AR,F,2003,Casey,7
AR,F,2003,Celeste,7
AR,F,2003,Cora,7
AR,F,2003,Cydney,7
AR,F,2003,Dakota,7
AR,F,2003,Daniela,7
AR,F,2003,Deanna,7
AR,F,2003,Deja,7
AR,F,2003,Denise,7
AR,F,2003,Dulce,7
AR,F,2003,Elaina,7
AR,F,2003,Emely,7
AR,F,2003,Fatima,7
AR,F,2003,Felicity,7
AR,F,2003,Genesis,7
AR,F,2003,Graci,7
AR,F,2003,Hadley,7
AR,F,2003,Hailie,7
AR,F,2003,Halie,7
AR,F,2003,Hayden,7
AR,F,2003,Helen,7
AR,F,2003,Jacie,7
AR,F,2003,Jacy,7
AR,F,2003,Jalyn,7
AR,F,2003,Janiya,7
AR,F,2003,Kaylea,7
AR,F,2003,Kaylie,7
AR,F,2003,Kaylin,7
AR,F,2003,Kennedi,7
AR,F,2003,Lacy,7
AR,F,2003,Lexi,7
AR,F,2003,Linda,7
AR,F,2003,Logan,7
AR,F,2003,London,7
AR,F,2003,Luz,7
AR,F,2003,Maegan,7
AR,F,2003,Maleah,7
AR,F,2003,Miriam,7
AR,F,2003,Montana,7
AR,F,2003,Precious,7
AR,F,2003,Presley,7
AR,F,2003,Randi,7
AR,F,2003,Reese,7
AR,F,2003,Ruth,7
AR,F,2003,Scarlett,7
AR,F,2003,Shannon,7
AR,F,2003,Stormy,7
AR,F,2003,Sunny,7
AR,F,2003,Taliyah,7
AR,F,2003,Tamya,7
AR,F,2003,Taryn,7
AR,F,2003,Tatyana,7
AR,F,2003,Thalia,7
AR,F,2003,Tia,7
AR,F,2003,Yesenia,7
AR,F,2003,Abbi,6
AR,F,2003,Alisha,6
AR,F,2003,Amethyst,6
AR,F,2003,Amiya,6
AR,F,2003,Ann,6
AR,F,2003,Annalee,6
AR,F,2003,Anne,6
AR,F,2003,Annika,6
AR,F,2003,Ashten,6
AR,F,2003,Bianca,6
AR,F,2003,Brandi,6
AR,F,2003,Breonna,6
AR,F,2003,Candice,6
AR,F,2003,Carissa,6
AR,F,2003,Carrie,6
AR,F,2003,Charlie,6
AR,F,2003,Cheyanne,6
AR,F,2003,Christa,6
