StateCode,Sex,YearOfBirth,Name,Number
AR,M,1916,Grady,23
AR,M,1916,Leslie,23
AR,M,1916,Morris,23
AR,M,1916,Roosevelt,23
AR,M,1916,Donald,22
AR,M,1916,Gerald,22
AR,M,1916,Johnny,22
AR,M,1916,Wesley,22
AR,M,1916,Dan,21
AR,M,1916,Dewey,21
AR,M,1916,Don,21
AR,M,1916,Elmo,21
AR,M,1916,Orville,21
AR,M,1916,Rufus,21
AR,M,1916,Delbert,20
AR,M,1916,Isaac,20
AR,M,1916,Jess,20
AR,M,1916,Mack,20
AR,M,1916,Pete,20
AR,M,1916,Tommie,20
AR,M,1916,Bert,19
AR,M,1916,Dale,19
AR,M,1916,Edwin,19
AR,M,1916,Sherman,19
AR,M,1916,Aaron,18
AR,M,1916,Austin,18
AR,M,1916,Calvin,18
AR,M,1916,Gilbert,18
AR,M,1916,Maurice,18
AR,M,1916,Noel,18
AR,M,1916,Wayne,18
AR,M,1916,Arlie,17
AR,M,1916,Bernard,17
AR,M,1916,Booker,17
AR,M,1916,Cleo,17
AR,M,1916,Freddie,17
AR,M,1916,Hershel,17
AR,M,1916,Jewel,17
AR,M,1916,Martin,17
AR,M,1916,Noble,17
AR,M,1916,Preston,17
AR,M,1916,Sylvester,17
AR,M,1916,Amos,16
AR,M,1916,Aubrey,16
AR,M,1916,Burl,16
AR,M,1916,Clinton,16
AR,M,1916,Frederick,16
AR,M,1916,Gordon,16
AR,M,1916,Rex,16
AR,M,1916,Roscoe,16
AR,M,1916,Theodore,16
AR,M,1916,Ed,15
AR,M,1916,Fay,15
AR,M,1916,Forrest,15
AR,M,1916,Max,15
AR,M,1916,Millard,15
AR,M,1916,Monroe,15
AR,M,1916,Ollie,15
AR,M,1916,Percy,15
AR,M,1916,Will,15
AR,M,1916,Billy,14
AR,M,1916,Dennis,14
AR,M,1916,Grover,14
AR,M,1916,Jeff,14
AR,M,1916,Lowell,14
AR,M,1916,Nathan,14
AR,M,1916,Otto,14
AR,M,1916,Victor,14
AR,M,1916,Wilburn,14
AR,M,1916,Alonzo,13
