StateCode,Sex,YearOfBirth,Name,Number
AZ,F,1967,Pauline,17
AZ,F,1967,Rosemary,17
AZ,F,1967,Terry,17
AZ,F,1967,Traci,17
AZ,F,1967,Trina,17
AZ,F,1967,Christy,16
AZ,F,1967,Dina,16
AZ,F,1967,Jessica,16
AZ,F,1967,Joanne,16
AZ,F,1967,Kristi,16
AZ,F,1967,Shawna,16
AZ,F,1967,Shirley,16
AZ,F,1967,Stella,16
AZ,F,1967,Audrey,15
AZ,F,1967,Cassandra,15
AZ,F,1967,Kelli,15
AZ,F,1967,Lorena,15
AZ,F,1967,Peggy,15
AZ,F,1967,Vickie,15
AZ,F,1967,Claudia,14
AZ,F,1967,Isabel,14
AZ,F,1967,Jean,14
AZ,F,1967,Jo,14
AZ,F,1967,Kimberley,14
AZ,F,1967,Monique,14
AZ,F,1967,Natalie,14
AZ,F,1967,Roxanne,14
AZ,F,1967,Shari,14
AZ,F,1967,Shawn,14
AZ,F,1967,Allison,13
AZ,F,1967,Alma,13
AZ,F,1967,Angelica,13
AZ,F,1967,Belinda,13
AZ,F,1967,Cheri,13
AZ,F,1967,Delores,13
AZ,F,1967,Dora,13
AZ,F,1967,Doreen,13
AZ,F,1967,Elaine,13
AZ,F,1967,Elisa,13
AZ,F,1967,Jane,13
AZ,F,1967,Jody,13
AZ,F,1967,Josephine,13
AZ,F,1967,Lucy,13
AZ,F,1967,Lynette,13
AZ,F,1967,Margie,13
AZ,F,1967,Marlene,13
AZ,F,1967,Mona,13
AZ,F,1967,Sandy,13
AZ,F,1967,Sheryl,13
AZ,F,1967,Tami,13
AZ,F,1967,Tracie,13
AZ,F,1967,Vivian,13
AZ,F,1967,Beatrice,12
AZ,F,1967,Corina,12
AZ,F,1967,Danielle,12
AZ,F,1967,Darla,12
AZ,F,1967,Desiree,12
AZ,F,1967,Felicia,12
AZ,F,1967,Gail,12
AZ,F,1967,Janelle,12
AZ,F,1967,Kellie,12
AZ,F,1967,Kerry,12
AZ,F,1967,Louise,12
AZ,F,1967,Marjorie,12
AZ,F,1967,Martina,12
AZ,F,1967,Melody,12
AZ,F,1967,Misty,12
AZ,F,1967,Nina,12
AZ,F,1967,Nora,12
AZ,F,1967,Penny,12
AZ,F,1967,Robyn,12
AZ,F,1967,Shauna,12
AZ,F,1967,Sherrie,12
AZ,F,1967,Vicky,12
AZ,F,1967,Wanda,12
AZ,F,1967,Angelita,11
AZ,F,1967,Angie,11
AZ,F,1967,Antoinette,11
AZ,F,1967,Dianna,11
AZ,F,1967,Doris,11
AZ,F,1967,Elena,11
AZ,F,1967,Ginger,11
AZ,F,1967,Joanna,11
AZ,F,1967,Josie,11
AZ,F,1967,Kirsten,11
AZ,F,1967,Lena,11
AZ,F,1967,Lora,11
AZ,F,1967,Lorie,11
AZ,F,1967,Marcella,11
AZ,F,1967,Patsy,11
AZ,F,1967,Rosie,11
AZ,F,1967,Ruby,11
AZ,F,1967,Tammie,11
AZ,F,1967,Verna,11
AZ,F,1967,Wendi,11
AZ,F,1967,Amelia,10
AZ,F,1967,Delia,10
AZ,F,1967,Ellen,10
AZ,F,1967,Georgia,10
AZ,F,1967,Georgina,10
AZ,F,1967,Gwendolyn,10
AZ,F,1967,Judith,10
AZ,F,1967,Kara,10
AZ,F,1967,Kerri,10
AZ,F,1967,Kristy,10
AZ,F,1967,Lana,10
AZ,F,1967,Lara,10
AZ,F,1967,Leigh,10
AZ,F,1967,Lupe,10
AZ,F,1967,Lynda,10
AZ,F,1967,Marcia,10
AZ,F,1967,Marla,10
AZ,F,1967,Nadine,10
AZ,F,1967,Patti,10
AZ,F,1967,Patty,10
AZ,F,1967,Phyllis,10
AZ,F,1967,Rachael,10
AZ,F,1967,Staci,10
AZ,F,1967,Susanne,10
AZ,F,1967,Vonda,10
AZ,F,1967,Amanda,9
AZ,F,1967,Carey,9
AZ,F,1967,Clara,9
AZ,F,1967,Cristina,9
AZ,F,1967,Deann,9
AZ,F,1967,Edna,9
AZ,F,1967,Ernestine,9
AZ,F,1967,Jeannette,9
AZ,F,1967,Jeannie,9
AZ,F,1967,Kari,9
AZ,F,1967,Kristie,9
AZ,F,1967,Leann,9
AZ,F,1967,Lenora,9
AZ,F,1967,Luz,9
AZ,F,1967,Marian,9
AZ,F,1967,Matilda,9
AZ,F,1967,Rene,9
AZ,F,1967,Rosita,9
AZ,F,1967,Susie,9
AZ,F,1967,Suzette,9
AZ,F,1967,Tonia,9
AZ,F,1967,Trisha,9
AZ,F,1967,Alberta,8
AZ,F,1967,Audra,8
AZ,F,1967,Bernice,8
AZ,F,1967,Bertha,8
AZ,F,1967,Celeste,8
AZ,F,1967,Christie,8
AZ,F,1967,Clarissa,8
AZ,F,1967,Danette,8
AZ,F,1967,Deana,8
AZ,F,1967,Eleanor,8
AZ,F,1967,Erika,8
AZ,F,1967,Estella,8
AZ,F,1967,Geneva,8
AZ,F,1967,Genevieve,8
AZ,F,1967,Gretchen,8
AZ,F,1967,Jana,8
AZ,F,1967,Joan,8
AZ,F,1967,Jodie,8
AZ,F,1967,Karin,8
AZ,F,1967,Katrina,8
AZ,F,1967,Laverne,8
AZ,F,1967,Lois,8
AZ,F,1967,Maricela,8
AZ,F,1967,Marina,8
AZ,F,1967,Nanette,8
AZ,F,1967,Vera,8
AZ,F,1967,Angelina,7
AZ,F,1967,Blanca,7
AZ,F,1967,Candace,7
AZ,F,1967,Deanne,7
AZ,F,1967,Dena,7
AZ,F,1967,Eileen,7
AZ,F,1967,Elsa,7
AZ,F,1967,Elvia,7
AZ,F,1967,Francine,7
AZ,F,1967,Gladys,7
AZ,F,1967,Graciela,7
AZ,F,1967,June,7
AZ,F,1967,Karla,7
AZ,F,1967,Kendra,7
AZ,F,1967,Krista,7
AZ,F,1967,Leona,7
AZ,F,1967,Lupita,7
AZ,F,1967,Lynnette,7
AZ,F,1967,Mara,7
AZ,F,1967,Maryann,7
AZ,F,1967,Mercedes,7
AZ,F,1967,Meredith,7
AZ,F,1967,Miriam,7
AZ,F,1967,Raquel,7
AZ,F,1967,Rena,7
AZ,F,1967,Rosalinda,7
AZ,F,1967,Rosemarie,7
AZ,F,1967,Silvia,7
AZ,F,1967,Sophia,7
AZ,F,1967,Stacie,7
AZ,F,1967,Tamera,7
AZ,F,1967,Tammi,7
AZ,F,1967,Adriana,6
AZ,F,1967,Adrienne,6
AZ,F,1967,Aimee,6
AZ,F,1967,Alfreda,6
AZ,F,1967,Betsy,6
AZ,F,1967,Bobbie,6
AZ,F,1967,Brandi,6
AZ,F,1967,Caren,6
AZ,F,1967,Cecelia,6
AZ,F,1967,Celia,6
AZ,F,1967,Chris,6
AZ,F,1967,Consuelo,6
AZ,F,1967,Daphne,6
AZ,F,1967,Debora,6
AZ,F,1967,Dee,6
AZ,F,1967,Elva,6
AZ,F,1967,Elvira,6
AZ,F,1967,Emily,6
AZ,F,1967,Flora,6
AZ,F,1967,Gayle,6
AZ,F,1967,Glenda,6
AZ,F,1967,Ida,6
AZ,F,1967,Jeanne,6
AZ,F,1967,Jeri,6
AZ,F,1967,Joni,6
AZ,F,1967,Karyn,6
AZ,F,1967,Lillian,6
AZ,F,1967,Lorna,6
AZ,F,1967,Lourdes,6
AZ,F,1967,Malinda,6
AZ,F,1967,Marion,6
AZ,F,1967,Marnie,6
AZ,F,1967,Maureen,6
AZ,F,1967,Melisa,6
AZ,F,1967,Mia,6
AZ,F,1967,Paulette,6
AZ,F,1967,Rebekah,6
AZ,F,1967,Rochelle,6
AZ,F,1967,Roni,6
AZ,F,1967,Roseann,6
AZ,F,1967,Susana,6
AZ,F,1967,Tania,6
AZ,F,1967,Tara,6
AZ,F,1967,Abigail,5
AZ,F,1967,Alisa,5
AZ,F,1967,Amber,5
AZ,F,1967,Arlinda,5
AZ,F,1967,Belen,5
AZ,F,1967,Billie,5
AZ,F,1967,Bonita,5
AZ,F,1967,Cherie,5
AZ,F,1967,Christi,5
AZ,F,1967,Deedee,5
AZ,F,1967,Delphina,5
AZ,F,1967,Dianne,5
AZ,F,1967,Dori,5
AZ,F,1967,Eliza,5
AZ,F,1967,Ella,5
AZ,F,1967,Erlinda,5
AZ,F,1967,Evangeline,5
AZ,F,1967,Faith,5
AZ,F,1967,Glenna,5
AZ,F,1967,Helena,5
