StateCode,Sex,YearOfBirth,Name,Number
AZ,F,1984,Toni,21
AZ,F,1984,Angel,20
AZ,F,1984,Beth,20
AZ,F,1984,Bonnie,20
AZ,F,1984,Cassie,20
AZ,F,1984,Gabriela,20
AZ,F,1984,Kayla,20
AZ,F,1984,Marie,20
AZ,F,1984,Shanna,20
AZ,F,1984,Yolanda,20
AZ,F,1984,Abigail,19
AZ,F,1984,Alexandria,19
AZ,F,1984,Amelia,19
AZ,F,1984,Elisa,19
AZ,F,1984,Jessie,19
AZ,F,1984,Naomi,19
AZ,F,1984,Suzanne,19
AZ,F,1984,Bernadette,18
AZ,F,1984,Bridget,18
AZ,F,1984,Carly,18
AZ,F,1984,Carolyn,18
AZ,F,1984,Casey,18
AZ,F,1984,Gloria,18
AZ,F,1984,Randi,18
AZ,F,1984,Rosa,18
AZ,F,1984,Alejandra,17
AZ,F,1984,Caitlin,17
AZ,F,1984,Carol,17
AZ,F,1984,Caroline,17
AZ,F,1984,Corina,17
AZ,F,1984,Dominique,17
AZ,F,1984,Irene,17
AZ,F,1984,Isabel,17
AZ,F,1984,Jocelyn,17
AZ,F,1984,Juanita,17
AZ,F,1984,Kate,17
AZ,F,1984,Mandy,17
AZ,F,1984,Melody,17
AZ,F,1984,Roberta,17
AZ,F,1984,Rose,17
AZ,F,1984,Rosemary,17
AZ,F,1984,Tabitha,17
AZ,F,1984,Tammy,17
AZ,F,1984,Yvette,17
AZ,F,1984,Brianne,16
AZ,F,1984,Cindy,16
AZ,F,1984,Debra,16
AZ,F,1984,Genevieve,16
AZ,F,1984,Janet,16
AZ,F,1984,Johanna,16
AZ,F,1984,Judith,16
AZ,F,1984,Kristine,16
AZ,F,1984,Lydia,16
AZ,F,1984,Marisol,16
AZ,F,1984,Martha,16
AZ,F,1984,Miriam,16
AZ,F,1984,Staci,16
AZ,F,1984,Summer,16
AZ,F,1984,Anita,15
AZ,F,1984,Annette,15
AZ,F,1984,Ashleigh,15
AZ,F,1984,Brandie,15
AZ,F,1984,Breanna,15
AZ,F,1984,Carla,15
AZ,F,1984,Christy,15
AZ,F,1984,Jolene,15
AZ,F,1984,Joy,15
AZ,F,1984,Kelsey,15
AZ,F,1984,Nina,15
AZ,F,1984,Pearl,15
AZ,F,1984,Rochelle,15
AZ,F,1984,Tonya,15
AZ,F,1984,Trisha,15
AZ,F,1984,Adrianna,14
AZ,F,1984,Alissa,14
AZ,F,1984,Ariana,14
AZ,F,1984,Carissa,14
AZ,F,1984,Destiny,14
AZ,F,1984,Elise,14
AZ,F,1984,Evelyn,14
AZ,F,1984,Grace,14
AZ,F,1984,Hillary,14
AZ,F,1984,Jana,14
AZ,F,1984,Jennie,14
AZ,F,1984,Jillian,14
AZ,F,1984,Josephine,14
AZ,F,1984,Karina,14
AZ,F,1984,Keri,14
AZ,F,1984,Larissa,14
AZ,F,1984,Mallory,14
AZ,F,1984,Marisa,14
AZ,F,1984,Marquita,14
AZ,F,1984,Robyn,14
AZ,F,1984,Ruth,14
AZ,F,1984,Sheila,14
AZ,F,1984,Stacie,14
AZ,F,1984,Trista,14
AZ,F,1984,Antoinette,13
AZ,F,1984,Araceli,13
AZ,F,1984,Belinda,13
AZ,F,1984,Charlene,13
AZ,F,1984,Connie,13
AZ,F,1984,Frances,13
AZ,F,1984,Jeanette,13
AZ,F,1984,Kasey,13
AZ,F,1984,Laurie,13
AZ,F,1984,Margarita,13
AZ,F,1984,Shelby,13
AZ,F,1984,Taylor,13
AZ,F,1984,Tessa,13
AZ,F,1984,Adrian,12
AZ,F,1984,Alma,12
AZ,F,1984,Angelita,12
AZ,F,1984,Becky,12
AZ,F,1984,Blanca,12
AZ,F,1984,Britney,12
AZ,F,1984,Celeste,12
AZ,F,1984,Celia,12
AZ,F,1984,Charity,12
AZ,F,1984,Chelsey,12
AZ,F,1984,Christa,12
AZ,F,1984,Elena,12
AZ,F,1984,Emma,12
AZ,F,1984,Jami,12
AZ,F,1984,Jordan,12
AZ,F,1984,Kellie,12
AZ,F,1984,Kirsten,12
AZ,F,1984,Kristie,12
AZ,F,1984,Leann,12
AZ,F,1984,Lucia,12
AZ,F,1984,Marcella,12
AZ,F,1984,Mindy,12
AZ,F,1984,Norma,12
AZ,F,1984,Rita,12
AZ,F,1984,Serena,12
AZ,F,1984,Shauna,12
AZ,F,1984,Traci,12
AZ,F,1984,Aubrey,11
AZ,F,1984,Casandra,11
AZ,F,1984,Daniela,11
AZ,F,1984,Debbie,11
AZ,F,1984,Diane,11
AZ,F,1984,Dulce,11
AZ,F,1984,Esther,11
AZ,F,1984,Eva,11
AZ,F,1984,Francine,11
AZ,F,1984,Francisca,11
AZ,F,1984,Justina,11
AZ,F,1984,Justine,11
AZ,F,1984,Kristal,11
AZ,F,1984,Maribel,11
AZ,F,1984,Marina,11
AZ,F,1984,Paula,11
AZ,F,1984,Rhiannon,11
AZ,F,1984,Rhonda,11
AZ,F,1984,Ryan,11
AZ,F,1984,Selina,11
AZ,F,1984,Terra,11
AZ,F,1984,Audra,10
AZ,F,1984,Aurora,10
AZ,F,1984,Carolina,10
AZ,F,1984,Charlotte,10
AZ,F,1984,Christie,10
AZ,F,1984,Donna,10
AZ,F,1984,Elisha,10
AZ,F,1984,Esmeralda,10
AZ,F,1984,Georgina,10
AZ,F,1984,Gwendolyn,10
AZ,F,1984,Helen,10
AZ,F,1984,Jade,10
AZ,F,1984,Janae,10
AZ,F,1984,Judy,10
AZ,F,1984,Katy,10
AZ,F,1984,Krystle,10
AZ,F,1984,Kyla,10
AZ,F,1984,Lorraine,10
AZ,F,1984,Lynette,10
AZ,F,1984,Maricela,10
AZ,F,1984,Maureen,10
AZ,F,1984,Meredith,10
AZ,F,1984,Myra,10
AZ,F,1984,Nikki,10
AZ,F,1984,Reyna,10
AZ,F,1984,Rosanna,10
AZ,F,1984,Ruby,10
AZ,F,1984,Sally,10
AZ,F,1984,Shelly,10
AZ,F,1984,Sherry,10
AZ,F,1984,Susana,10
AZ,F,1984,Tashina,10
AZ,F,1984,Venessa,10
AZ,F,1984,Yesenia,10
AZ,F,1984,Amie,9
AZ,F,1984,Annie,9
AZ,F,1984,Antonia,9
AZ,F,1984,Ashlie,9
AZ,F,1984,Bridgette,9
AZ,F,1984,Camille,9
AZ,F,1984,Catalina,9
AZ,F,1984,Christi,9
AZ,F,1984,Cody,9
AZ,F,1984,Constance,9
AZ,F,1984,Deidra,9
AZ,F,1984,Delia,9
AZ,F,1984,Desirae,9
AZ,F,1984,Elisabeth,9
AZ,F,1984,Gabrielle,9
AZ,F,1984,Jayme,9
AZ,F,1984,Jeannette,9
AZ,F,1984,Jodie,9
AZ,F,1984,Josie,9
AZ,F,1984,Julianne,9
AZ,F,1984,Kassandra,9
AZ,F,1984,Kendall,9
AZ,F,1984,Kerry,9
AZ,F,1984,Lara,9
AZ,F,1984,Liliana,9
AZ,F,1984,Lynn,9
AZ,F,1984,Mia,9
AZ,F,1984,Nadia,9
AZ,F,1984,Nicolette,9
AZ,F,1984,Paige,9
AZ,F,1984,Renae,9
AZ,F,1984,Rocio,9
AZ,F,1984,Selena,9
AZ,F,1984,Shayla,9
AZ,F,1984,Terri,9
AZ,F,1984,Tiana,9
AZ,F,1984,Alisa,8
AZ,F,1984,Alyson,8
AZ,F,1984,Andria,8
AZ,F,1984,Arielle,8
AZ,F,1984,Bertha,8
AZ,F,1984,Bobbie,8
AZ,F,1984,Brenna,8
AZ,F,1984,Brittani,8
AZ,F,1984,Chrystal,8
AZ,F,1984,Daisy,8
AZ,F,1984,Eileen,8
AZ,F,1984,Ellen,8
AZ,F,1984,Hilary,8
AZ,F,1984,Hollie,8
AZ,F,1984,Jasmin,8
AZ,F,1984,Katelyn,8
AZ,F,1984,Katharine,8
AZ,F,1984,Kerri,8
AZ,F,1984,Lacy,8
AZ,F,1984,Laurel,8
AZ,F,1984,Lorena,8
