StateCode,Sex,YearOfBirth,Name,Number
AZ,F,1996,Erika,77
AZ,F,1996,Miranda,77
AZ,F,1996,Jocelyn,76
AZ,F,1996,Daisy,75
AZ,F,1996,Desiree,75
AZ,F,1996,Alejandra,74
AZ,F,1996,Julia,74
AZ,F,1996,Olivia,74
AZ,F,1996,Ariana,73
AZ,F,1996,Gabriella,72
AZ,F,1996,Adriana,71
AZ,F,1996,Erin,68
AZ,F,1996,Shania,68
AZ,F,1996,Dominique,67
AZ,F,1996,Kelly,66
AZ,F,1996,Brenda,65
AZ,F,1996,Jamie,65
AZ,F,1996,Kassandra,64
AZ,F,1996,Madeline,64
AZ,F,1996,Sophia,64
AZ,F,1996,Jenna,62
AZ,F,1996,Caitlin,61
AZ,F,1996,Kaylee,61
AZ,F,1996,Amy,60
AZ,F,1996,Daniela,60
AZ,F,1996,Yesenia,60
AZ,F,1996,Guadalupe,59
AZ,F,1996,Shannon,59
AZ,F,1996,Celeste,58
AZ,F,1996,Kristen,58
AZ,F,1996,Claudia,57
AZ,F,1996,Jazmin,57
AZ,F,1996,Kylie,57
AZ,F,1996,Cassidy,56
AZ,F,1996,Kaitlin,56
AZ,F,1996,Karla,56
AZ,F,1996,Katie,56
AZ,F,1996,Michaela,56
AZ,F,1996,Summer,56
AZ,F,1996,Autumn,55
AZ,F,1996,Brittney,55
AZ,F,1996,Monique,55
AZ,F,1996,Nancy,55
AZ,F,1996,Marisa,52
AZ,F,1996,Mikayla,52
AZ,F,1996,Ciara,51
AZ,F,1996,Chloe,50
AZ,F,1996,Lindsey,50
AZ,F,1996,Valeria,50
AZ,F,1996,Erica,49
AZ,F,1996,Jade,49
AZ,F,1996,Kathryn,49
AZ,F,1996,Mia,49
AZ,F,1996,Clarissa,48
AZ,F,1996,Hayley,48
AZ,F,1996,Marisol,48
AZ,F,1996,Isabel,47
AZ,F,1996,Priscilla,47
AZ,F,1996,Kendra,46
AZ,F,1996,Kiana,46
AZ,F,1996,Grace,45
AZ,F,1996,Patricia,45
AZ,F,1996,Valerie,45
AZ,F,1996,Arianna,44
AZ,F,1996,Isabella,44
AZ,F,1996,Mercedes,44
AZ,F,1996,Jazmine,43
AZ,F,1996,Molly,43
AZ,F,1996,Caroline,42
AZ,F,1996,Joanna,42
AZ,F,1996,Adrianna,41
AZ,F,1996,Alexia,41
AZ,F,1996,Ariel,41
AZ,F,1996,Cecilia,41
AZ,F,1996,Evelyn,41
AZ,F,1996,Jasmin,41
AZ,F,1996,Leah,41
AZ,F,1996,Mckenna,40
AZ,F,1996,April,39
AZ,F,1996,Makayla,39
AZ,F,1996,Carly,38
AZ,F,1996,Dana,37
AZ,F,1996,Holly,37
AZ,F,1996,Kirsten,37
AZ,F,1996,Serena,37
AZ,F,1996,Bethany,36
AZ,F,1996,Caitlyn,36
AZ,F,1996,Katrina,36
AZ,F,1996,Leticia,36
AZ,F,1996,Cindy,35
AZ,F,1996,Zoe,35
AZ,F,1996,Angel,34
AZ,F,1996,Ashlee,34
AZ,F,1996,Lindsay,34
AZ,F,1996,Rebekah,34
AZ,F,1996,Rosa,34
AZ,F,1996,Ruby,34
AZ,F,1996,Sandra,34
AZ,F,1996,Tara,34
AZ,F,1996,Denise,33
AZ,F,1996,Felicia,33
AZ,F,1996,Hanna,33
