StateCode,Sex,YearOfBirth,Name,Number
AZ,F,2012,Helena,15
AZ,F,2012,Jaelynn,15
AZ,F,2012,Jamie,15
AZ,F,2012,Joanna,15
AZ,F,2012,Kaylynn,15
AZ,F,2012,Keyla,15
AZ,F,2012,Lainey,15
AZ,F,2012,Laura,15
AZ,F,2012,Lena,15
AZ,F,2012,Lexie,15
AZ,F,2012,Macy,15
AZ,F,2012,Maddison,15
AZ,F,2012,Mallory,15
AZ,F,2012,Myla,15
AZ,F,2012,Paula,15
AZ,F,2012,Phoebe,15
AZ,F,2012,Sarai,15
AZ,F,2012,Sasha,15
AZ,F,2012,Scarlet,15
AZ,F,2012,Shayla,15
AZ,F,2012,Skye,15
AZ,F,2012,Teresa,15
AZ,F,2012,Vera,15
AZ,F,2012,Abby,14
AZ,F,2012,Adelina,14
AZ,F,2012,Aliana,14
AZ,F,2012,Amanda,14
AZ,F,2012,Aubriana,14
AZ,F,2012,Breanna,14
AZ,F,2012,Charley,14
AZ,F,2012,Courtney,14
AZ,F,2012,Desiree,14
AZ,F,2012,Dulce,14
AZ,F,2012,Elaina,14
AZ,F,2012,Itzayana,14
AZ,F,2012,Jayde,14
AZ,F,2012,Jaylene,14
AZ,F,2012,Julie,14
AZ,F,2012,Kamryn,14
AZ,F,2012,Karen,14
AZ,F,2012,Kataleya,14
AZ,F,2012,Kayleigh,14
AZ,F,2012,Kiera,14
AZ,F,2012,Laylah,14
AZ,F,2012,Lea,14
AZ,F,2012,Lucille,14
AZ,F,2012,Madeleine,14
AZ,F,2012,Marina,14
AZ,F,2012,Miley,14
AZ,F,2012,Natasha,14
AZ,F,2012,Norah,14
AZ,F,2012,Raegan,14
AZ,F,2012,Raelyn,14
AZ,F,2012,Ryan,14
AZ,F,2012,Selah,14
AZ,F,2012,Sonia,14
AZ,F,2012,Yamileth,14
AZ,F,2012,Addisyn,13
AZ,F,2012,Adelaide,13
AZ,F,2012,Adele,13
AZ,F,2012,Amiyah,13
AZ,F,2012,Aniya,13
AZ,F,2012,Aolanis,13
AZ,F,2012,Aurelia,13
AZ,F,2012,Avianna,13
AZ,F,2012,Braelynn,13
AZ,F,2012,Brylee,13
AZ,F,2012,Caitlin,13
AZ,F,2012,Ciara,13
AZ,F,2012,Claudia,13
AZ,F,2012,Dahlia,13
AZ,F,2012,Dalilah,13
AZ,F,2012,Elayna,13
AZ,F,2012,Galilea,13
AZ,F,2012,Gisselle,13
AZ,F,2012,Gwendolyn,13
AZ,F,2012,Judith,13
AZ,F,2012,Kaelyn,13
AZ,F,2012,Kaitlynn,13
AZ,F,2012,Luz,13
