StateCode,Sex,YearOfBirth,Name,Number
AZ,M,1941,Virgil,11
AZ,M,1941,Allen,10
AZ,M,1941,Alvin,10
AZ,M,1941,Bennie,10
AZ,M,1941,Clarence,10
AZ,M,1941,Freddie,10
AZ,M,1941,Ignacio,10
AZ,M,1941,Julian,10
AZ,M,1941,Louie,10
AZ,M,1941,Patrick,10
AZ,M,1941,Pedro,10
AZ,M,1941,Ricardo,10
AZ,M,1941,Salvador,10
AZ,M,1941,Steve,10
AZ,M,1941,Calvin,9
AZ,M,1941,Cecil,9
AZ,M,1941,Dan,9
AZ,M,1941,Leslie,9
AZ,M,1941,Mark,9
AZ,M,1941,Martin,9
AZ,M,1941,Nelson,9
AZ,M,1941,Santiago,9
AZ,M,1941,Bernard,8
AZ,M,1941,Boyd,8
AZ,M,1941,Chester,8
AZ,M,1941,Everett,8
AZ,M,1941,Fernando,8
AZ,M,1941,Florencio,8
AZ,M,1941,Gabriel,8
AZ,M,1941,Herman,8
AZ,M,1941,Hugh,8
AZ,M,1941,Karl,8
AZ,M,1941,Rex,8
AZ,M,1941,Wesley,8
AZ,M,1941,Clifton,7
AZ,M,1941,Clyde,7
AZ,M,1941,Eric,7
AZ,M,1941,Frederick,7
AZ,M,1941,Glenn,7
AZ,M,1941,Gordon,7
AZ,M,1941,Guadalupe,7
AZ,M,1941,Guillermo,7
AZ,M,1941,Leon,7
AZ,M,1941,Lynn,7
AZ,M,1941,Rudolph,7
AZ,M,1941,Russell,7
AZ,M,1941,Steven,7
AZ,M,1941,Ted,7
AZ,M,1941,Winston,7
AZ,M,1941,Alan,6
AZ,M,1941,Alberto,6
AZ,M,1941,Alexander,6
AZ,M,1941,Allan,6
AZ,M,1941,Brian,6
AZ,M,1941,Charley,6
AZ,M,1941,Donnie,6
AZ,M,1941,Edwin,6
AZ,M,1941,Glen,6
AZ,M,1941,Harvey,6
AZ,M,1941,Joel,6
AZ,M,1941,Johnnie,6
AZ,M,1941,Lanny,6
AZ,M,1941,Loren,6
AZ,M,1941,Orville,6
AZ,M,1941,Pat,6
AZ,M,1941,Rene,6
AZ,M,1941,Rodney,6
AZ,M,1941,Rodolfo,6
AZ,M,1941,Warren,6
AZ,M,1941,Alfredo,5
AZ,M,1941,Andy,5
AZ,M,1941,Billie,5
AZ,M,1941,Curtis,5
AZ,M,1941,Duane,5
AZ,M,1941,Frankie,5
AZ,M,1941,Garry,5
AZ,M,1941,Grant,5
AZ,M,1941,Guy,5
AZ,M,1941,Jess,5
AZ,M,1941,Keith,5
AZ,M,1941,Lionel,5
AZ,M,1941,Mario,5
AZ,M,1941,Myron,5
AZ,M,1941,Ned,5
AZ,M,1941,Ross,5
AZ,M,1941,Vicente,5
AZ,M,1941,Wilbur,5
AZ,M,1941,Wilson,5
AZ,M,1942,Robert,275
AZ,M,1942,John,232
AZ,M,1942,James,229
AZ,M,1942,William,171
AZ,M,1942,Richard,163
AZ,M,1942,David,142
AZ,M,1942,Frank,132
AZ,M,1942,Charles,117
AZ,M,1942,Joe,110
AZ,M,1942,Jerry,100
AZ,M,1942,Thomas,99
AZ,M,1942,Manuel,87
AZ,M,1942,Ronald,84
AZ,M,1942,George,83
AZ,M,1942,Gary,79
AZ,M,1942,Michael,76
AZ,M,1942,Raymond,72
AZ,M,1942,Larry,71
AZ,M,1942,Kenneth,69
AZ,M,1942,Donald,64
AZ,M,1942,Paul,64
AZ,M,1942,Edward,62
AZ,M,1942,Arthur,57
AZ,M,1942,Henry,54
