StateCode,Sex,YearOfBirth,Name,Number
AZ,M,1970,Christian,20
AZ,M,1970,Leon,20
AZ,M,1970,Rick,20
AZ,M,1970,Alejandro,19
AZ,M,1970,Delbert,19
AZ,M,1970,Guy,19
AZ,M,1970,Pete,19
AZ,M,1970,Roland,19
AZ,M,1970,Wade,19
AZ,M,1970,Warren,19
AZ,M,1970,Darrin,18
AZ,M,1970,Louis,18
AZ,M,1970,Sergio,18
AZ,M,1970,Ben,17
AZ,M,1970,Clint,17
AZ,M,1970,Cody,17
AZ,M,1970,Javier,17
AZ,M,1970,Karl,17
AZ,M,1970,Neil,17
AZ,M,1970,Ryan,17
AZ,M,1970,Theodore,17
AZ,M,1970,Byron,16
AZ,M,1970,Clifford,16
AZ,M,1970,Harry,16
AZ,M,1970,Joey,16
AZ,M,1970,Arturo,15
AZ,M,1970,Brad,15
AZ,M,1970,Casey,15
AZ,M,1970,Corey,15
AZ,M,1970,Dan,15
AZ,M,1970,Dustin,15
AZ,M,1970,Earl,15
AZ,M,1970,Francis,15
AZ,M,1970,Garrett,15
AZ,M,1970,Glen,15
AZ,M,1970,Jamie,15
AZ,M,1970,Jared,15
AZ,M,1970,Jorge,15
AZ,M,1970,Kurt,15
AZ,M,1970,Loren,15
AZ,M,1970,Lyle,15
AZ,M,1970,Ted,15
AZ,M,1970,Tracy,15
AZ,M,1970,Trevor,15
AZ,M,1970,Adrian,14
AZ,M,1970,Derrick,14
AZ,M,1970,Ernesto,14
AZ,M,1970,Ernie,14
AZ,M,1970,Eugene,14
AZ,M,1970,Geoffrey,14
AZ,M,1970,Grant,14
AZ,M,1970,Julian,14
AZ,M,1970,Leslie,14
AZ,M,1970,Lonnie,14
AZ,M,1970,Marcos,14
AZ,M,1970,Melvin,14
AZ,M,1970,Nathaniel,14
AZ,M,1970,Rodolfo,14
AZ,M,1970,Abel,13
AZ,M,1970,Alvin,13
AZ,M,1970,Calvin,13
AZ,M,1970,Dwayne,13
AZ,M,1970,Edgar,13
AZ,M,1970,Gerardo,13
AZ,M,1970,Herbert,13
AZ,M,1970,Joshua,13
AZ,M,1970,Lorenzo,13
AZ,M,1970,Mathew,13
AZ,M,1970,Pedro,13
AZ,M,1970,Roman,13
AZ,M,1970,Stanley,13
AZ,M,1970,Tim,13
AZ,M,1970,Alfredo,12
AZ,M,1970,Damon,12
AZ,M,1970,Darin,12
AZ,M,1970,Donovan,12
AZ,M,1970,Enrique,12
AZ,M,1970,Franklin,12
AZ,M,1970,Freddie,12
AZ,M,1970,Howard,12
AZ,M,1970,Jerome,12
AZ,M,1970,Jimmie,12
AZ,M,1970,Julio,12
AZ,M,1970,Kent,12
AZ,M,1970,Kirk,12
AZ,M,1970,Andre,11
AZ,M,1970,Bret,11
AZ,M,1970,Darryl,11
AZ,M,1970,Dwight,11
AZ,M,1970,Fredrick,11
AZ,M,1970,Jody,11
AZ,M,1970,Leo,11
AZ,M,1970,Rafael,11
AZ,M,1970,Shaun,11
AZ,M,1970,Toby,11
AZ,M,1970,Virgil,11
AZ,M,1970,Andres,10
AZ,M,1970,Benny,10
AZ,M,1970,Brady,10
AZ,M,1970,Dominic,10
