StateCode,Sex,YearOfBirth,Name,Number
CA,F,1941,Nora,34
CA,F,1941,Bobbie,33
CA,F,1941,Dianna,33
CA,F,1941,Gladys,33
CA,F,1941,Jan,33
CA,F,1941,Josie,33
CA,F,1941,Renee,33
CA,F,1941,Sheryl,33
CA,F,1941,Claudette,32
CA,F,1941,Denise,32
CA,F,1941,Estella,32
CA,F,1941,Judie,32
CA,F,1941,Margo,32
CA,F,1941,Antonia,31
CA,F,1941,Dora,31
CA,F,1941,Lola,31
CA,F,1941,Marcella,31
CA,F,1941,Muriel,31
CA,F,1941,Olga,31
CA,F,1941,Sherrill,31
CA,F,1941,Earlene,30
CA,F,1941,Laurie,30
CA,F,1941,Pearl,30
CA,F,1941,Elena,29
CA,F,1941,Beth,28
CA,F,1941,Betsy,28
CA,F,1941,Carlene,28
CA,F,1941,Henrietta,28
CA,F,1941,Judi,28
CA,F,1941,Laurel,28
CA,F,1941,Patti,28
CA,F,1941,Alberta,27
CA,F,1941,Alicia,27
CA,F,1941,Angela,27
CA,F,1941,Beverley,27
CA,F,1941,Guadalupe,27
CA,F,1941,Lee,27
CA,F,1941,Lynette,27
CA,F,1941,Tamara,27
CA,F,1941,Velma,27
CA,F,1941,Violet,27
CA,F,1941,Adrienne,26
CA,F,1941,Dale,26
CA,F,1941,Ella,26
CA,F,1941,Ernestine,26
CA,F,1941,Gay,26
CA,F,1941,Lila,26
CA,F,1941,Marylou,26
CA,F,1941,Melanie,26
CA,F,1941,Miriam,26
CA,F,1941,Rae,26
CA,F,1941,Saundra,26
CA,F,1941,Sydney,26
CA,F,1941,Becky,25
CA,F,1941,Della,25
CA,F,1941,Flora,25
CA,F,1941,Gale,25
CA,F,1941,Laverne,25
CA,F,1941,Leah,25
CA,F,1941,Deborah,24
CA,F,1941,Erma,24
CA,F,1941,Jennifer,24
CA,F,1941,Rochelle,24
CA,F,1941,Ana,23
CA,F,1941,Consuelo,23
CA,F,1941,Faye,23
CA,F,1941,Helene,23
CA,F,1941,Jeri,23
CA,F,1941,Marla,23
CA,F,1941,Adele,22
CA,F,1941,Dana,22
CA,F,1941,Darleen,22
CA,F,1941,Eloise,22
CA,F,1941,Francine,22
CA,F,1941,Gertrude,22
CA,F,1941,Joanna,22
CA,F,1941,Molly,22
CA,F,1941,Susanne,22
CA,F,1941,Vickie,22
CA,F,1941,Amy,21
