StateCode,Sex,YearOfBirth,Name,Number
CA,F,1950,Manuela,14
CA,F,1950,Marcy,14
CA,F,1950,Marylou,14
CA,F,1950,Nicki,14
CA,F,1950,Randee,14
CA,F,1950,Rhoda,14
CA,F,1950,Roseanne,14
CA,F,1950,Sharman,14
CA,F,1950,Tana,14
CA,F,1950,Trina,14
CA,F,1950,Vikki,14
CA,F,1950,Blanche,13
CA,F,1950,Candis,13
CA,F,1950,Carleen,13
CA,F,1950,Danielle,13
CA,F,1950,Dawna,13
CA,F,1950,Deirdre,13
CA,F,1950,Dinah,13
CA,F,1950,Elyse,13
CA,F,1950,Gerry,13
CA,F,1950,Hannah,13
CA,F,1950,Jerilyn,13
CA,F,1950,Kendra,13
CA,F,1950,Kyle,13
CA,F,1950,Laureen,13
CA,F,1950,Lavonne,13
CA,F,1950,Leanna,13
CA,F,1950,Lenora,13
CA,F,1950,Leslee,13
CA,F,1950,Letitia,13
CA,F,1950,Lorelei,13
CA,F,1950,Lorena,13
CA,F,1950,Louisa,13
CA,F,1950,Melva,13
CA,F,1950,Mimi,13
CA,F,1950,Myrtle,13
CA,F,1950,Nicolette,13
CA,F,1950,Pennie,13
CA,F,1950,Robert,13
CA,F,1950,Roxana,13
CA,F,1950,Sharen,13
CA,F,1950,Shellie,13
CA,F,1950,Sherilyn,13
CA,F,1950,Sonya,13
CA,F,1950,Suzanna,13
CA,F,1950,Tommie,13
CA,F,1950,Unknown,13
CA,F,1950,Velia,13
CA,F,1950,Adrian,12
CA,F,1950,Adrianne,12
CA,F,1950,Beatriz,12
CA,F,1950,Beverlee,12
CA,F,1950,Candyce,12
CA,F,1950,Charla,12
CA,F,1950,Clare,12
CA,F,1950,Darleen,12
CA,F,1950,Devon,12
CA,F,1950,Francisca,12
CA,F,1950,Freda,12
CA,F,1950,Gayla,12
CA,F,1950,Greta,12
CA,F,1950,Herminia,12
CA,F,1950,Ina,12
CA,F,1950,Janeen,12
CA,F,1950,Kathi,12
CA,F,1950,Leila,12
CA,F,1950,Lela,12
CA,F,1950,Luana,12
CA,F,1950,Luann,12
CA,F,1950,Marcie,12
CA,F,1950,Margery,12
CA,F,1950,Ora,12
CA,F,1950,Pamella,12
CA,F,1950,Patrica,12
CA,F,1950,Reba,12
CA,F,1950,Ronnie,12
CA,F,1950,Roxanna,12
CA,F,1950,Shawn,12
CA,F,1950,Shiela,12
CA,F,1950,Tara,12
CA,F,1950,Valeria,12
CA,F,1950,Ava,11
CA,F,1950,Belen,11
CA,F,1950,Bessie,11
CA,F,1950,Bettie,11
CA,F,1950,Bobbi,11
CA,F,1950,Carlotta,11
CA,F,1950,Colette,11
CA,F,1950,Francis,11
CA,F,1950,Frieda,11
CA,F,1950,Gigi,11
CA,F,1950,Jewel,11
CA,F,1950,Kandy,11
CA,F,1950,Kate,11
CA,F,1950,Katrina,11
CA,F,1950,Kaye,11
CA,F,1950,Kristie,11
CA,F,1950,Leonor,11
CA,F,1950,Leta,11
CA,F,1950,Lidia,11
CA,F,1950,Lilly,11
CA,F,1950,Lindsey,11
CA,F,1950,Lolita,11
CA,F,1950,Lona,11
CA,F,1950,Loraine,11
CA,F,1950,Luz,11
CA,F,1950,Mabel,11
CA,F,1950,Maurine,11
CA,F,1950,Melba,11
CA,F,1950,Micheline,11
CA,F,1950,Mindy,11
CA,F,1950,Minnie,11
CA,F,1950,Nedra,11
CA,F,1950,Nicole,11
CA,F,1950,Robbie,11
CA,F,1950,Ronna,11
CA,F,1950,Rory,11
CA,F,1950,Rosita,11
CA,F,1950,Theodora,11
CA,F,1950,Tonya,11
CA,F,1950,Adelina,10
CA,F,1950,Aida,10
CA,F,1950,Angelita,10
CA,F,1950,Carroll,10
CA,F,1950,Cathrine,10
CA,F,1950,Darcy,10
CA,F,1950,Debrah,10
CA,F,1950,Delilah,10
CA,F,1950,Dina,10
CA,F,1950,Elma,10
CA,F,1950,Felicia,10
CA,F,1950,Hattie,10
CA,F,1950,Hortencia,10
CA,F,1950,James,10
CA,F,1950,Janene,10
CA,F,1950,Jann,10
CA,F,1950,Juliette,10
CA,F,1950,Kandra,10
CA,F,1950,Kathaleen,10
CA,F,1950,Lauri,10
CA,F,1950,Letha,10
CA,F,1950,Louann,10
CA,F,1950,Maryanne,10
CA,F,1950,Millie,10
CA,F,1950,Niki,10
CA,F,1950,Portia,10
CA,F,1950,Richard,10
CA,F,1950,Rosetta,10
CA,F,1950,Sidney,10
CA,F,1950,Valarie,10
CA,F,1950,Wilhelmina,10
CA,F,1950,William,10
CA,F,1950,Amalia,9
CA,F,1950,Antonette,9
CA,F,1950,Babette,9
CA,F,1950,Berta,9
CA,F,1950,Beryl,9
CA,F,1950,Bonny,9
CA,F,1950,Carolee,9
CA,F,1950,Catharine,9
CA,F,1950,Cathi,9
CA,F,1950,Cherry,9
CA,F,1950,Clarissa,9
CA,F,1950,Collette,9
CA,F,1950,Coral,9
CA,F,1950,Corliss,9
CA,F,1950,Darline,9
CA,F,1950,Deann,9
CA,F,1950,Debbra,9
CA,F,1950,Deena,9
CA,F,1950,Elisabeth,9
CA,F,1950,Elvia,9
CA,F,1950,Etta,9
CA,F,1950,Evonne,9
CA,F,1950,Gaylene,9
CA,F,1950,Georgiana,9
CA,F,1950,Hillary,9
CA,F,1950,Ingrid,9
CA,F,1950,Isabelle,9
CA,F,1950,Jodie,9
CA,F,1950,John,9
CA,F,1950,Joleen,9
CA,F,1950,Joni,9
CA,F,1950,Kelley,9
CA,F,1950,Kimberley,9
CA,F,1950,Laraine,9
CA,F,1950,Lauretta,9
CA,F,1950,Lavon,9
CA,F,1950,Leann,9
CA,F,1950,Louella,9
CA,F,1950,Malinda,9
CA,F,1950,Mara,9
CA,F,1950,Margot,9
CA,F,1950,Margret,9
CA,F,1950,Martina,9
CA,F,1950,Mattie,9
CA,F,1950,Mickie,9
CA,F,1950,Nancee,9
CA,F,1950,Nannette,9
CA,F,1950,Noel,9
CA,F,1950,Norine,9
CA,F,1950,Phillis,9
CA,F,1950,Raylene,9
CA,F,1950,Rebeca,9
CA,F,1950,Rebekah,9
CA,F,1950,Rosalee,9
CA,F,1950,Rosaline,9
CA,F,1950,Sharilyn,9
CA,F,1950,Sharyl,9
CA,F,1950,Sherie,9
CA,F,1950,Shirlene,9
CA,F,1950,Suzann,9
CA,F,1950,Suzie,9
CA,F,1950,Sybil,9
CA,F,1950,Tammy,9
CA,F,1950,Tari,9
CA,F,1950,Teena,9
CA,F,1950,Teryl,9
CA,F,1950,Trinidad,9
CA,F,1950,Twila,9
CA,F,1950,Vivienne,9
CA,F,1950,Wendi,9
CA,F,1950,Alfreda,8
