StateCode,Sex,YearOfBirth,Name,Number
CA,F,1973,Dalia,15
CA,F,1973,Dani,15
CA,F,1973,Delfina,15
CA,F,1973,Demetria,15
CA,F,1973,Elisha,15
CA,F,1973,Flor,15
CA,F,1973,Flora,15
CA,F,1973,Geneva,15
CA,F,1973,Gillian,15
CA,F,1973,Ivette,15
CA,F,1973,Jayme,15
CA,F,1973,Julieta,15
CA,F,1973,Maricruz,15
CA,F,1973,Marlena,15
CA,F,1973,Myesha,15
CA,F,1973,Nicki,15
CA,F,1973,Nicol,15
CA,F,1973,Petra,15
CA,F,1973,Selina,15
CA,F,1973,Shawnna,15
CA,F,1973,Shonda,15
CA,F,1973,Starla,15
CA,F,1973,Tamiko,15
CA,F,1973,Tana,15
CA,F,1973,Althea,14
CA,F,1973,America,14
CA,F,1973,Angelic,14
CA,F,1973,Annalisa,14
CA,F,1973,Brian,14
CA,F,1973,Carmela,14
CA,F,1973,Carmelita,14
CA,F,1973,Collette,14
CA,F,1973,Cristi,14
CA,F,1973,Cristine,14
CA,F,1973,Cyndi,14
CA,F,1973,Dee,14
CA,F,1973,Dori,14
CA,F,1973,Elaina,14
CA,F,1973,Elida,14
CA,F,1973,Emilia,14
CA,F,1973,Fawn,14
CA,F,1973,Giselle,14
CA,F,1973,Helene,14
CA,F,1973,Jerri,14
CA,F,1973,Jolie,14
CA,F,1973,Jonna,14
CA,F,1973,Karena,14
CA,F,1973,Kimberlie,14
CA,F,1973,Kyra,14
CA,F,1973,Laticia,14
CA,F,1973,Lawanda,14
CA,F,1973,Leonor,14
CA,F,1973,Liz,14
CA,F,1973,Lorri,14
CA,F,1973,Lucila,14
CA,F,1973,Lupita,14
CA,F,1973,Maia,14
CA,F,1973,Marni,14
CA,F,1973,May,14
CA,F,1973,Mercy,14
CA,F,1973,Micaela,14
CA,F,1973,Mindi,14
CA,F,1973,Morgan,14
CA,F,1973,Myisha,14
CA,F,1973,Nellie,14
CA,F,1973,Piper,14
CA,F,1973,Racheal,14
CA,F,1973,Shani,14
CA,F,1973,Shara,14
CA,F,1973,Shawnee,14
CA,F,1973,Soledad,14
CA,F,1973,Tiffanie,14
CA,F,1973,Valeria,14
CA,F,1973,Viviana,14
CA,F,1973,Asia,13
CA,F,1973,Blythe,13
CA,F,1973,Bree,13
CA,F,1973,Candi,13
CA,F,1973,Cecily,13
CA,F,1973,Charleen,13
CA,F,1973,Clare,13
CA,F,1973,Deidre,13
CA,F,1973,Destiny,13
CA,F,1973,Devon,13
CA,F,1973,Dolly,13
CA,F,1973,Herlinda,13
CA,F,1973,Hortencia,13
CA,F,1973,Jeni,13
CA,F,1973,Joey,13
CA,F,1973,Johnna,13
CA,F,1973,Joleen,13
CA,F,1973,Karey,13
CA,F,1973,Kira,13
CA,F,1973,Lanette,13
CA,F,1973,Lani,13
CA,F,1973,Latosha,13
CA,F,1973,Lilian,13
CA,F,1973,Louisa,13
CA,F,1973,Madeline,13
CA,F,1973,Magda,13
CA,F,1973,Nelly,13
CA,F,1973,Nichelle,13
CA,F,1973,Nicola,13
CA,F,1973,Niki,13
CA,F,1973,Nikole,13
CA,F,1973,Patience,13
CA,F,1973,Rosana,13
CA,F,1973,Sharron,13
CA,F,1973,Stacee,13
CA,F,1973,Susannah,13
CA,F,1973,Tisa,13
CA,F,1973,Toby,13
CA,F,1973,Whitney,13
CA,F,1973,William,13
CA,F,1973,Zoe,13
CA,F,1973,Anika,12
CA,F,1973,Antonette,12
CA,F,1973,Astrid,12
