StateCode,Sex,YearOfBirth,Name,Number
CA,F,1988,Letitia,7
CA,F,1988,Libby,7
CA,F,1988,Lisandra,7
CA,F,1988,Liset,7
CA,F,1988,Lissete,7
CA,F,1988,Lizzet,7
CA,F,1988,Lizzett,7
CA,F,1988,Lolita,7
CA,F,1988,Loraine,7
CA,F,1988,Lorene,7
CA,F,1988,Lorie,7
CA,F,1988,Lorissa,7
CA,F,1988,Maegen,7
CA,F,1988,Malina,7
CA,F,1988,Manda,7
CA,F,1988,Mandeep,7
CA,F,1988,Maren,7
CA,F,1988,Mariadelcarmen,7
CA,F,1988,Marialuisa,7
CA,F,1988,Mariann,7
CA,F,1988,Maricarmen,7
CA,F,1988,Marleny,7
CA,F,1988,Marlisa,7
CA,F,1988,Marquisha,7
CA,F,1988,Marrisa,7
CA,F,1988,Marsela,7
CA,F,1988,Marybeth,7
CA,F,1988,Maryellen,7
CA,F,1988,Marylynn,7
CA,F,1988,Mechelle,7
CA,F,1988,Melaine,7
CA,F,1988,Melissaann,7
CA,F,1988,Melonie,7
CA,F,1988,Meryl,7
CA,F,1988,Micole,7
CA,F,1988,Milagros,7
CA,F,1988,Mitzy,7
CA,F,1988,Mya,7
CA,F,1988,Myriam,7
CA,F,1988,Nga,7
CA,F,1988,Nichol,7
CA,F,1988,Nyesha,7
CA,F,1988,Nyssa,7
CA,F,1988,Odessa,7
CA,F,1988,Onica,7
CA,F,1988,Oralia,7
CA,F,1988,Page,7
CA,F,1988,Patrica,7
CA,F,1988,Prescilla,7
CA,F,1988,Prisma,7
CA,F,1988,Rae,7
CA,F,1988,Raeanna,7
CA,F,1988,Raeanne,7
CA,F,1988,Rafaela,7
CA,F,1988,Randee,7
CA,F,1988,Ranisha,7
CA,F,1988,Raymond,7
CA,F,1988,Renata,7
CA,F,1988,Riana,7
CA,F,1988,Rianna,7
CA,F,1988,Roneisha,7
CA,F,1988,Ronesha,7
CA,F,1988,Rosy,7
CA,F,1988,Rylee,7
CA,F,1988,Sabra,7
CA,F,1988,Sammantha,7
CA,F,1988,Samuel,7
CA,F,1988,Santana,7
CA,F,1988,Savanah,7
CA,F,1988,Seana,7
CA,F,1988,Seema,7
CA,F,1988,Serenity,7
CA,F,1988,Shalene,7
CA,F,1988,Shanay,7
CA,F,1988,Shandi,7
CA,F,1988,Shandra,7
CA,F,1988,Shanise,7
CA,F,1988,Shanta,7
CA,F,1988,Sharmaine,7
CA,F,1988,Sharonda,7
CA,F,1988,Shaundra,7
CA,F,1988,Shaunice,7
CA,F,1988,Shauntel,7
CA,F,1988,Shela,7
