StateCode,Sex,YearOfBirth,Name,Number
CA,F,1991,Denae,12
CA,F,1991,Desiray,12
CA,F,1991,Diandra,12
CA,F,1991,Doreen,12
CA,F,1991,Edlin,12
CA,F,1991,Elda,12
CA,F,1991,Farah,12
CA,F,1991,Ha,12
CA,F,1991,Holli,12
CA,F,1991,Hortencia,12
CA,F,1991,Ilana,12
CA,F,1991,Jayne,12
CA,F,1991,Jeana,12
CA,F,1991,Jenniffer,12
CA,F,1991,Jessy,12
CA,F,1991,Jocelynn,12
CA,F,1991,Kailyn,12
CA,F,1991,Kallie,12
CA,F,1991,Kassondra,12
CA,F,1991,Katherina,12
CA,F,1991,Kaylene,12
CA,F,1991,Keyanna,12
CA,F,1991,Keyla,12
CA,F,1991,Krystyna,12
CA,F,1991,Lakisha,12
CA,F,1991,Lilit,12
CA,F,1991,Lillie,12
CA,F,1991,Lisamarie,12
CA,F,1991,Lissete,12
CA,F,1991,Livier,12
CA,F,1991,Loraine,12
CA,F,1991,Lorina,12
CA,F,1991,Luciana,12
CA,F,1991,Lucinda,12
CA,F,1991,Maddison,12
CA,F,1991,Madisen,12
CA,F,1991,Malisa,12
CA,F,1991,Mariaelena,12
CA,F,1991,Mariko,12
CA,F,1991,Marivel,12
CA,F,1991,Mariya,12
CA,F,1991,Marquisha,12
CA,F,1991,Marycruz,12
CA,F,1991,Matilde,12
CA,F,1991,Mattie,12
CA,F,1991,Melany,12
CA,F,1991,Meliza,12
CA,F,1991,Montana,12
CA,F,1991,Mya,12
CA,F,1991,Neha,12
CA,F,1991,Nisha,12
CA,F,1991,Noelani,12
CA,F,1991,Oscar,12
CA,F,1991,Paisley,12
CA,F,1991,Parisa,12
CA,F,1991,Priyanka,12
CA,F,1991,Rachele,12
CA,F,1991,Rae,12
CA,F,1991,Raeann,12
CA,F,1991,Riana,12
CA,F,1991,Ruben,12
CA,F,1991,Ryanne,12
CA,F,1991,Salma,12
CA,F,1991,Sandi,12
CA,F,1991,Sarita,12
CA,F,1991,Savana,12
CA,F,1991,Sendy,12
CA,F,1991,Shakira,12
CA,F,1991,Shay,12
CA,F,1991,Shaylee,12
CA,F,1991,Shianne,12
CA,F,1991,Shireen,12
CA,F,1991,Shyanne,12
CA,F,1991,Siera,12
CA,F,1991,Spencer,12
CA,F,1991,Steffanie,12
CA,F,1991,Steven,12
CA,F,1991,Stevi,12
CA,F,1991,Stormie,12
CA,F,1991,Tabetha,12
CA,F,1991,Tamra,12
CA,F,1991,Teal,12
CA,F,1991,Tenisha,12
CA,F,1991,Tierney,12
CA,F,1991,Trinidad,12
CA,F,1991,Veronika,12
CA,F,1991,Vianney,12
CA,F,1991,Yezenia,12
CA,F,1991,Abbey,11
CA,F,1991,Abbie,11
CA,F,1991,Adreana,11
