StateCode,Sex,YearOfBirth,Name,Number
CA,F,1999,Traci,7
CA,F,1999,Trinidad,7
CA,F,1999,Tristin,7
CA,F,1999,Valorie,7
CA,F,1999,Vanity,7
CA,F,1999,Vivi,7
CA,F,1999,Windy,7
CA,F,1999,Xitlaly,7
CA,F,1999,Yakelin,7
CA,F,1999,Yanelly,7
CA,F,1999,Yuritzi,7
CA,F,1999,Zia,7
CA,F,1999,Zitlaly,7
CA,F,1999,Zoya,7
CA,F,1999,Adalia,6
CA,F,1999,Adaly,6
CA,F,1999,Adara,6
CA,F,1999,Aidee,6
CA,F,1999,Ailani,6
CA,F,1999,Aishwarya,6
CA,F,1999,Ajah,6
CA,F,1999,Alandra,6
CA,F,1999,Alessa,6
CA,F,1999,Alexcia,6
CA,F,1999,Alexiss,6
CA,F,1999,Alexzandra,6
CA,F,1999,Alizabeth,6
CA,F,1999,Alla,6
CA,F,1999,Allia,6
CA,F,1999,Allyn,6
CA,F,1999,Alyssandra,6
CA,F,1999,Amal,6
CA,F,1999,Amayah,6
CA,F,1999,Anabell,6
CA,F,1999,Andraya,6
CA,F,1999,Andriana,6
CA,F,1999,Anely,6
CA,F,1999,Angelia,6
CA,F,1999,Angelie,6
CA,F,1999,Anja,6
CA,F,1999,Ankita,6
CA,F,1999,Annabell,6
CA,F,1999,Annalyse,6
CA,F,1999,Annamaria,6
CA,F,1999,Anneke,6
CA,F,1999,Annel,6
CA,F,1999,Antonette,6
CA,F,1999,Aolani,6
CA,F,1999,Araseli,6
CA,F,1999,Areanna,6
CA,F,1999,Arin,6
CA,F,1999,Arissa,6
CA,F,1999,Ariyanna,6
CA,F,1999,Arlenne,6
CA,F,1999,Ashia,6
CA,F,1999,Ashlen,6
CA,F,1999,Asiah,6
CA,F,1999,Asma,6
CA,F,1999,Asusena,6
CA,F,1999,Athziry,6
CA,F,1999,Atziri,6
CA,F,1999,Audriana,6
CA,F,1999,Audrianna,6
CA,F,1999,Aura,6
CA,F,1999,Austin,6
CA,F,1999,Avigail,6
CA,F,1999,Azariah,6
CA,F,1999,Aziza,6
CA,F,1999,Azure,6
CA,F,1999,Baleria,6
CA,F,1999,Becca,6
CA,F,1999,Berlin,6
CA,F,1999,Betzaira,6
CA,F,1999,Brandee,6
CA,F,1999,Brennah,6
CA,F,1999,Breyana,6
CA,F,1999,Briceyda,6
CA,F,1999,Brigit,6
CA,F,1999,Britnee,6
CA,F,1999,Brittanie,6
CA,F,1999,Brittnee,6
CA,F,1999,Caley,6
CA,F,1999,Calissa,6
CA,F,1999,Cami,6
CA,F,1999,Candyce,6
CA,F,1999,Caprice,6
CA,F,1999,Carlos,6
CA,F,1999,Carole,6
CA,F,1999,Caryn,6
CA,F,1999,Cassaundra,6
CA,F,1999,Cassidie,6
CA,F,1999,Cerina,6
CA,F,1999,Charleen,6
CA,F,1999,Charli,6
CA,F,1999,Chayanne,6
CA,F,1999,Cheri,6
CA,F,1999,Cindi,6
CA,F,1999,Clarisse,6
CA,F,1999,Claudette,6
CA,F,1999,Clementine,6
