StateCode,Sex,YearOfBirth,Name,Number
CA,F,2002,Debora,15
CA,F,2002,Dejah,15
CA,F,2002,Divya,15
CA,F,2002,Emelia,15
CA,F,2002,Emmeline,15
CA,F,2002,Esme,15
CA,F,2002,Francine,15
CA,F,2002,Ileana,15
CA,F,2002,Imelda,15
CA,F,2002,Italia,15
CA,F,2002,Jadah,15
CA,F,2002,Jael,15
CA,F,2002,Janel,15
CA,F,2002,Jean,15
CA,F,2002,Josselyn,15
CA,F,2002,Karis,15
CA,F,2002,Kelsy,15
CA,F,2002,Kennedi,15
CA,F,2002,Kirra,15
CA,F,2002,Kyara,15
CA,F,2002,Leandra,15
CA,F,2002,Leeann,15
CA,F,2002,Leilany,15
CA,F,2002,Lexy,15
CA,F,2002,Loretta,15
CA,F,2002,Lucinda,15
CA,F,2002,Mabel,15
CA,F,2002,Mayeli,15
CA,F,2002,Melodie,15
CA,F,2002,Micayla,15
CA,F,2002,Michel,15
CA,F,2002,Monserrath,15
CA,F,2002,Nellie,15
CA,F,2002,Nidia,15
CA,F,2002,Noelani,15
CA,F,2002,Nylah,15
CA,F,2002,Paulette,15
CA,F,2002,Phoenix,15
CA,F,2002,Quincy,15
CA,F,2002,Raelynn,15
CA,F,2002,Rain,15
CA,F,2002,Ramona,15
CA,F,2002,Remy,15
CA,F,2002,Rosalba,15
CA,F,2002,Roselyn,15
CA,F,2002,Rosio,15
CA,F,2002,Roxy,15
CA,F,2002,Shriya,15
CA,F,2002,Sianna,15
CA,F,2002,Susie,15
CA,F,2002,Tabatha,15
CA,F,2002,Tracey,15
CA,F,2002,Vianca,15
CA,F,2002,Yadhira,15
CA,F,2002,Yael,15
CA,F,2002,Yanely,15
CA,F,2002,Yaquelin,15
CA,F,2002,Yesica,15
CA,F,2002,Yisel,15
CA,F,2002,Yoselyn,15
CA,F,2002,Zainab,15
CA,F,2002,Zuri,15
CA,F,2002,Abigayle,14
CA,F,2002,Abrianna,14
CA,F,2002,Adelle,14
CA,F,2002,Adina,14
CA,F,2002,Aixa,14
CA,F,2002,Alanah,14
CA,F,2002,Amethyst,14
CA,F,2002,Anali,14
CA,F,2002,Angelika,14
CA,F,2002,Angely,14
CA,F,2002,Antoinette,14
CA,F,2002,Azusena,14
CA,F,2002,Bryn,14
CA,F,2002,Caprice,14
CA,F,2002,Catrina,14
CA,F,2002,Caylee,14
CA,F,2002,Celene,14
CA,F,2002,Chrystal,14
CA,F,2002,Cydney,14
CA,F,2002,Daija,14
CA,F,2002,David,14
CA,F,2002,Delanie,14
CA,F,2002,Emeline,14
CA,F,2002,Emelyn,14
CA,F,2002,Emmaline,14
CA,F,2002,Enya,14
CA,F,2002,Geena,14
CA,F,2002,Gwen,14
CA,F,2002,Harper,14
CA,F,2002,Heavenly,14
CA,F,2002,Jaedyn,14
CA,F,2002,Jahaira,14
CA,F,2002,Jaliyah,14
CA,F,2002,Jamila,14
CA,F,2002,Janelly,14
CA,F,2002,Janie,14
CA,F,2002,Janis,14
CA,F,2002,Jesica,14
CA,F,2002,Jessalyn,14
CA,F,2002,Jianna,14
CA,F,2002,Joann,14
CA,F,2002,Joselyne,14
CA,F,2002,Journey,14
CA,F,2002,Kareena,14
CA,F,2002,Karmen,14
CA,F,2002,Kaylan,14
CA,F,2002,Kelsea,14
CA,F,2002,Keona,14
CA,F,2002,Kiran,14
CA,F,2002,Kiya,14
CA,F,2002,Kristiana,14
CA,F,2002,Laine,14
CA,F,2002,Larisa,14
CA,F,2002,Lexus,14
CA,F,2002,Liz,14
CA,F,2002,Lucie,14
CA,F,2002,Mackenna,14
CA,F,2002,Madysen,14
CA,F,2002,Maliah,14
CA,F,2002,Manuela,14
CA,F,2002,Margot,14
CA,F,2002,Marielena,14
CA,F,2002,Mattie,14
CA,F,2002,Maureen,14
CA,F,2002,Mikala,14
CA,F,2002,Mirka,14
CA,F,2002,Moira,14
CA,F,2002,Moncerrat,14
CA,F,2002,Nailah,14
CA,F,2002,Nandini,14
CA,F,2002,Naomy,14
CA,F,2002,Nicola,14
CA,F,2002,Portia,14
CA,F,2002,Prisilla,14
CA,F,2002,Raegan,14
CA,F,2002,Raelene,14
CA,F,2002,Rebeka,14
CA,F,2002,Riana,14
CA,F,2002,Sabine,14
CA,F,2002,Shaelyn,14
CA,F,2002,Shanna,14
CA,F,2002,Shelsy,14
CA,F,2002,Suzette,14
CA,F,2002,Tanvi,14
CA,F,2002,Thais,14
CA,F,2002,Thea,14
CA,F,2002,Trina,14
CA,F,2002,Trish,14
CA,F,2002,Venus,14
CA,F,2002,Vianna,14
CA,F,2002,Viktoria,14
CA,F,2002,Yamile,14
CA,F,2002,Zariah,14
CA,F,2002,Adamary,13
CA,F,2002,Adia,13
CA,F,2002,Ahtziri,13
CA,F,2002,Aide,13
CA,F,2002,Alaysia,13
CA,F,2002,Alessia,13
CA,F,2002,Allysa,13
CA,F,2002,Amirah,13
CA,F,2002,Anakaren,13
CA,F,2002,Anel,13
CA,F,2002,Angelena,13
CA,F,2002,Anica,13
CA,F,2002,Annissa,13
CA,F,2002,Aolani,13
CA,F,2002,Arcelia,13
CA,F,2002,Ariadne,13
CA,F,2002,Arianne,13
CA,F,2002,Audriana,13
CA,F,2002,Becky,13
CA,F,2002,Bianka,13
CA,F,2002,Briseyda,13
CA,F,2002,Callista,13
CA,F,2002,Carmela,13
CA,F,2002,Chantel,13
CA,F,2002,Cloe,13
CA,F,2002,Cyan,13
CA,F,2002,Dani,13
CA,F,2002,Dara,13
CA,F,2002,Darian,13
CA,F,2002,Darlyn,13
CA,F,2002,Darya,13
CA,F,2002,Denice,13
CA,F,2002,Destany,13
CA,F,2002,Destinie,13
CA,F,2002,Divine,13
CA,F,2002,Dorian,13
CA,F,2002,Elayna,13
CA,F,2002,Elexis,13
CA,F,2002,Elina,13
CA,F,2002,Eloise,13
CA,F,2002,Fiorella,13
CA,F,2002,Gisela,13
CA,F,2002,Glenda,13
CA,F,2002,Gracey,13
CA,F,2002,Hennessy,13
CA,F,2002,Hollie,13
CA,F,2002,Ilse,13
CA,F,2002,Irais,13
CA,F,2002,Jannette,13
CA,F,2002,Jarely,13
CA,F,2002,Jaymee,13
CA,F,2002,Jenelle,13
CA,F,2002,Jiselle,13
CA,F,2002,Jodie,13
CA,F,2002,Kacy,13
CA,F,2002,Kailah,13
CA,F,2002,Kalie,13
CA,F,2002,Kathrine,13
CA,F,2002,Kathya,13
CA,F,2002,Kayle,13
CA,F,2002,Keanna,13
CA,F,2002,Keara,13
CA,F,2002,Keeley,13
CA,F,2002,Kemberly,13
CA,F,2002,Kendyl,13
CA,F,2002,Lacy,13
CA,F,2002,Lailani,13
CA,F,2002,Laysha,13
CA,F,2002,Lilith,13
CA,F,2002,Lizzeth,13
CA,F,2002,Louisa,13
CA,F,2002,Luis,13
CA,F,2002,Madelaine,13
CA,F,2002,Magnolia,13
CA,F,2002,Malina,13
CA,F,2002,Mariafernanda,13
CA,F,2002,Marilu,13
CA,F,2002,Marjorie,13
CA,F,2002,Martina,13
CA,F,2002,Marylin,13
CA,F,2002,Matilda,13
CA,F,2002,Mayerli,13
CA,F,2002,Melonie,13
CA,F,2002,Melony,13
CA,F,2002,Mildred,13
CA,F,2002,Milena,13
CA,F,2002,Milla,13
CA,F,2002,Mirella,13
CA,F,2002,Mitzi,13
CA,F,2002,Mollie,13
CA,F,2002,Naya,13
CA,F,2002,Niki,13
CA,F,2002,Niya,13
CA,F,2002,Nour,13
CA,F,2002,Patience,13
CA,F,2002,Penny,13
CA,F,2002,Petra,13
CA,F,2002,Reem,13
CA,F,2002,Rhianna,13
CA,F,2002,Sarena,13
CA,F,2002,Shani,13
CA,F,2002,Shawna,13
CA,F,2002,Shay,13
CA,F,2002,Siobhan,13
CA,F,2002,Sofie,13
CA,F,2002,Symone,13
CA,F,2002,Tehya,13
CA,F,2002,Tristin,13
CA,F,2002,Vivienne,13
CA,F,2002,Wynter,13
CA,F,2002,Yoana,13
CA,F,2002,Yuri,13
CA,F,2002,Yuvia,13
CA,F,2002,Zahra,13
CA,F,2002,Zitlaly,13
CA,F,2002,Abriana,12
CA,F,2002,Alba,12
CA,F,2002,Alea,12
CA,F,2002,Amayrani,12
CA,F,2002,Amberly,12
CA,F,2002,Anahit,12
CA,F,2002,Anamarie,12
CA,F,2002,Anayeli,12
CA,F,2002,Anoushka,12
CA,F,2002,Anusha,12
CA,F,2002,Ariah,12
CA,F,2002,Ariela,12
CA,F,2002,Arushi,12
CA,F,2002,Arya,12
CA,F,2002,Asusena,12
CA,F,2002,Audrie,12
CA,F,2002,Bobbie,12
CA,F,2002,Brynna,12
CA,F,2002,Catelyn,12
CA,F,2002,Citlally,12
CA,F,2002,Cruz,12
CA,F,2002,Deena,12
CA,F,2002,Deyanira,12
CA,F,2002,Ember,12
CA,F,2002,Evelina,12
CA,F,2002,Georgette,12
CA,F,2002,Hafsa,12
CA,F,2002,Hali,12
CA,F,2002,Ileen,12
CA,F,2002,Irie,12
CA,F,2002,Ivon,12
