StateCode,Sex,YearOfBirth,Name,Number
CA,F,2007,Samanta,20
CA,F,2007,Sana,20
CA,F,2007,Sanaa,20
CA,F,2007,Tatyana,20
CA,F,2007,Taya,20
CA,F,2007,Thania,20
CA,F,2007,Tiara,20
CA,F,2007,Tyra,20
CA,F,2007,Vivien,20
CA,F,2007,Yana,20
CA,F,2007,Yasmeen,20
CA,F,2007,Yazmine,20
CA,F,2007,Adrina,19
CA,F,2007,Alaya,19
CA,F,2007,Alessia,19
CA,F,2007,Annabell,19
CA,F,2007,Ariella,19
CA,F,2007,Averie,19
CA,F,2007,Bria,19
CA,F,2007,Brianne,19
CA,F,2007,Briseis,19
CA,F,2007,Charity,19
CA,F,2007,Charli,19
CA,F,2007,Christiana,19
CA,F,2007,Dayra,19
CA,F,2007,Elsy,19
CA,F,2007,Emelia,19
CA,F,2007,Felicia,19
CA,F,2007,Franchesca,19
CA,F,2007,Francisca,19
CA,F,2007,Gissell,19
CA,F,2007,Imelda,19
CA,F,2007,Ines,19
CA,F,2007,Jahaira,19
CA,F,2007,Jovanna,19
CA,F,2007,Kaili,19
CA,F,2007,Kairi,19
CA,F,2007,Katelin,19
CA,F,2007,Kelis,19
CA,F,2007,Kimberley,19
CA,F,2007,Lilli,19
CA,F,2007,Marcella,19
CA,F,2007,Marian,19
CA,F,2007,Nahomy,19
CA,F,2007,Nubia,19
CA,F,2007,Nylah,19
CA,F,2007,Paulette,19
CA,F,2007,Raya,19
CA,F,2007,Stefani,19
CA,F,2007,Sunshine,19
CA,F,2007,Thea,19
CA,F,2007,Treasure,19
CA,F,2007,Vianca,19
CA,F,2007,Xochilt,19
CA,F,2007,Yesica,19
CA,F,2007,Zaida,19
CA,F,2007,Adrian,18
CA,F,2007,Ahtziri,18
CA,F,2007,Amariah,18
CA,F,2007,Angelyn,18
CA,F,2007,Annamarie,18
CA,F,2007,Arwen,18
CA,F,2007,Bernadette,18
CA,F,2007,Betty,18
CA,F,2007,Caelyn,18
CA,F,2007,Charley,18
CA,F,2007,Christy,18
CA,F,2007,Ciera,18
CA,F,2007,Eloise,18
CA,F,2007,Esha,18
CA,F,2007,Ester,18
CA,F,2007,Gwen,18
CA,F,2007,Hunter,18
CA,F,2007,Jackelin,18
