StateCode,Sex,YearOfBirth,Name,Number
CA,M,1922,Clement,6
CA,M,1922,Clifton,6
CA,M,1922,Cosme,6
CA,M,1922,Craig,6
CA,M,1922,Cruz,6
CA,M,1922,Deane,6
CA,M,1922,Enrico,6
CA,M,1922,Federico,6
CA,M,1922,Forest,6
CA,M,1922,Galen,6
CA,M,1922,Gustavo,6
CA,M,1922,Haig,6
CA,M,1922,Harrison,6
CA,M,1922,Isadore,6
CA,M,1922,Leopoldo,6
CA,M,1922,Lonnie,6
CA,M,1922,Lorin,6
CA,M,1922,Luciano,6
CA,M,1922,Lyman,6
CA,M,1922,Marcelino,6
CA,M,1922,Marcello,6
CA,M,1922,Marco,6
CA,M,1922,Mary,6
CA,M,1922,Masaru,6
CA,M,1922,Meredith,6
CA,M,1922,Merton,6
CA,M,1922,Milo,6
CA,M,1922,Morgan,6
CA,M,1922,Morton,6
CA,M,1922,Reuben,6
CA,M,1922,Reynaldo,6
CA,M,1922,Russel,6
CA,M,1922,Sadao,6
CA,M,1922,Santiago,6
CA,M,1922,Sol,6
CA,M,1922,Stanton,6
CA,M,1922,Sylvester,6
CA,M,1922,Teddy,6
CA,M,1922,Theadore,6
CA,M,1922,Vito,6
CA,M,1922,Walton,6
CA,M,1922,Will,6
CA,M,1922,Winston,6
CA,M,1922,Yoshiaki,6
CA,M,1922,Abel,5
CA,M,1922,Alejandro,5
CA,M,1922,Alonzo,5
CA,M,1922,Ambrose,5
CA,M,1922,Andres,5
CA,M,1922,Aubrey,5
CA,M,1922,Basil,5
CA,M,1922,Beverly,5
CA,M,1922,Boyd,5
CA,M,1922,Carleton,5
CA,M,1922,Carrol,5
CA,M,1922,Carter,5
CA,M,1922,Casper,5
CA,M,1922,Christian,5
CA,M,1922,Clay,5
CA,M,1922,Dante,5
CA,M,1922,Darrel,5
CA,M,1922,Denis,5
CA,M,1922,Donal,5
CA,M,1922,Eduardo,5
CA,M,1922,Elliott,5
CA,M,1922,Ellsworth,5
CA,M,1922,Freddie,5
CA,M,1922,Gonzalo,5
CA,M,1922,Hilario,5
CA,M,1922,Hisao,5
CA,M,1922,Josef,5
CA,M,1922,Justin,5
CA,M,1922,Kenichi,5
CA,M,1922,Kent,5
CA,M,1922,Loyd,5
CA,M,1922,Lucien,5
CA,M,1922,Marcos,5
CA,M,1922,Mathew,5
CA,M,1922,Maxwell,5
CA,M,1922,Melford,5
CA,M,1922,Mervyn,5
CA,M,1922,Michio,5
CA,M,1922,Mikio,5
CA,M,1922,Milford,5
CA,M,1922,Moses,5
CA,M,1922,Norton,5
CA,M,1922,Otis,5
CA,M,1922,Robin,5
CA,M,1922,Roderick,5
CA,M,1922,Rudolf,5
CA,M,1922,Salvadore,5
CA,M,1922,Satoru,5
CA,M,1922,Scott,5
CA,M,1922,Seymour,5
CA,M,1922,Susumu,5
CA,M,1922,Theron,5
CA,M,1922,Tsugio,5
CA,M,1922,Wellington,5
CA,M,1922,Weston,5
CA,M,1922,Wing,5
CA,M,1922,Yoneo,5
CA,M,1922,Yoshiro,5
CA,M,1923,Robert,2259
CA,M,1923,John,1674
CA,M,1923,William,1615
CA,M,1923,James,1060
CA,M,1923,George,970
CA,M,1923,Richard,879
CA,M,1923,Donald,754
CA,M,1923,Frank,710
CA,M,1923,Charles,700
CA,M,1923,Jack,656
CA,M,1923,Edward,540
CA,M,1923,Joseph,473
CA,M,1923,Harold,456
CA,M,1923,Thomas,428
CA,M,1923,Raymond,413
CA,M,1923,Paul,409
CA,M,1923,Joe,405
CA,M,1923,Albert,396
CA,M,1923,David,367
CA,M,1923,Walter,358
CA,M,1923,Kenneth,350
CA,M,1923,Henry,346
CA,M,1923,Arthur,338
CA,M,1923,Harry,335
CA,M,1923,Manuel,332
CA,M,1923,Ralph,309
CA,M,1923,Fred,273
CA,M,1923,Eugene,261
CA,M,1923,Roy,243
CA,M,1923,Ernest,232
CA,M,1923,Louis,229
CA,M,1923,Alfred,213
CA,M,1923,Howard,198
CA,M,1923,Jose,196
CA,M,1923,Stanley,180
CA,M,1923,Carl,173
CA,M,1923,Lawrence,173
CA,M,1923,Norman,156
CA,M,1923,Tony,153
CA,M,1923,Earl,151
CA,M,1923,Bill,143
CA,M,1923,Peter,143
CA,M,1923,Clarence,141
CA,M,1923,Warren,138
CA,M,1923,Herbert,127
CA,M,1923,Leonard,126
CA,M,1923,Daniel,125
CA,M,1923,Gordon,125
CA,M,1923,Anthony,124
CA,M,1923,Jesus,124
CA,M,1923,Ray,122
CA,M,1923,Edwin,121
CA,M,1923,Francis,120
CA,M,1923,Leo,116
CA,M,1923,Russell,116
CA,M,1923,Theodore,115
CA,M,1923,Clifford,114
CA,M,1923,Wallace,114
CA,M,1923,Lloyd,112
CA,M,1923,Bob,110
CA,M,1923,Frederick,110
CA,M,1923,Melvin,110
CA,M,1923,Philip,108
CA,M,1923,Don,105
CA,M,1923,Gerald,105
CA,M,1923,Antonio,102
CA,M,1923,Elmer,99
CA,M,1923,Victor,99
CA,M,1923,Vernon,98
CA,M,1923,Samuel,97
CA,M,1923,Juan,94
CA,M,1923,Andrew,92
CA,M,1923,Tom,92
CA,M,1923,Glenn,90
CA,M,1923,Bernard,88
CA,M,1923,Martin,87
CA,M,1923,Gilbert,86
CA,M,1923,Douglas,85
CA,M,1923,Marvin,85
CA,M,1923,Vincent,83
CA,M,1923,Leroy,82
CA,M,1923,Salvador,80
CA,M,1923,Mike,76
CA,M,1923,Bruce,74
CA,M,1923,Sam,72
CA,M,1923,Alvin,70
CA,M,1923,Francisco,70
CA,M,1923,Benjamin,69
CA,M,1923,Leslie,69
CA,M,1923,Harvey,68
CA,M,1923,Milton,68
CA,M,1923,Chester,67
CA,M,1923,Wayne,67
CA,M,1923,Pete,66
CA,M,1923,Wesley,66
CA,M,1923,Floyd,65
CA,M,1923,Lester,65
CA,M,1923,Leland,64
CA,M,1923,Carlos,63
CA,M,1923,Jim,63
CA,M,1923,Lee,63
CA,M,1923,Clyde,61
CA,M,1923,Rudolph,61
CA,M,1923,Allen,60
CA,M,1923,Calvin,59
CA,M,1923,Michael,59
CA,M,1923,Gene,58
CA,M,1923,Lewis,57
CA,M,1923,Luis,56
CA,M,1923,Louie,55
CA,M,1923,Ted,55
CA,M,1923,Alfonso,54
CA,M,1923,Claude,54
CA,M,1923,Everett,54
CA,M,1923,Alexander,53
CA,M,1923,Jerry,52
