StateCode,Sex,YearOfBirth,Name,Number
CA,M,1953,Neil,125
CA,M,1953,Dwight,124
CA,M,1953,Willie,124
CA,M,1953,Allan,123
CA,M,1953,Bryan,117
CA,M,1953,Salvador,116
CA,M,1953,Greg,112
CA,M,1953,Jeff,112
CA,M,1953,Lonnie,111
CA,M,1953,Bernard,110
CA,M,1953,Daryl,110
CA,M,1953,Fernando,109
CA,M,1953,Leroy,108
CA,M,1953,Leo,107
CA,M,1953,Lester,107
CA,M,1953,Lance,106
CA,M,1953,Clarence,105
CA,M,1953,Kelly,105
CA,M,1953,Stuart,105
CA,M,1953,Todd,105
CA,M,1953,Franklin,104
CA,M,1953,Alvin,101
CA,M,1953,Rex,101
CA,M,1953,Ramon,98
CA,M,1953,Bob,97
CA,M,1953,Fredrick,97
CA,M,1953,Laurence,97
CA,M,1953,Floyd,96
CA,M,1953,Herbert,96
CA,M,1953,Clyde,95
CA,M,1953,Louie,93
CA,M,1953,Rudolph,92
CA,M,1953,Christophe,91
CA,M,1953,Miguel,90
CA,M,1953,Bradford,89
CA,M,1953,Garry,89
CA,M,1953,Arnold,88
CA,M,1953,Roberto,88
CA,M,1953,Roland,88
CA,M,1953,Dave,86
CA,M,1953,Leon,86
CA,M,1953,Pete,86
CA,M,1953,Randal,86
CA,M,1953,Alex,84
CA,M,1953,Byron,84
CA,M,1953,Gregg,83
CA,M,1953,Hector,83
CA,M,1953,Reginald,82
CA,M,1953,Felix,81
CA,M,1953,Rocky,81
CA,M,1953,Harvey,80
CA,M,1953,Kerry,80
CA,M,1953,Lynn,78
CA,M,1953,Edmund,77
CA,M,1953,Neal,77
CA,M,1953,Oscar,76
CA,M,1953,Arturo,75
CA,M,1953,Marshall,75
CA,M,1953,Perry,75
CA,M,1953,Pedro,74
CA,M,1953,Rodger,74
CA,M,1953,Terrence,73
CA,M,1953,Loren,72
CA,M,1953,Gabriel,70
CA,M,1953,Geoffrey,70
CA,M,1953,Maurice,69
CA,M,1953,Terrance,69
CA,M,1953,Tim,69
CA,M,1953,Grant,68
CA,M,1953,Jimmie,68
CA,M,1953,Sam,68
CA,M,1953,Nick,64
CA,M,1953,Herman,63
CA,M,1953,Benny,62
CA,M,1953,Lyle,62
CA,M,1953,Freddie,61
CA,M,1953,Javier,61
CA,M,1953,Jess,61
CA,M,1953,Jorge,61
CA,M,1953,Leland,61
CA,M,1953,Marcus,61
CA,M,1953,Jackie,59
CA,M,1953,Milton,59
CA,M,1953,Shawn,59
CA,M,1953,Ron,58
CA,M,1953,Alfonso,57
CA,M,1953,Ben,57
CA,M,1953,Claude,57
CA,M,1953,Enrique,57
CA,M,1953,Roderick,57
CA,M,1953,Alfredo,56
CA,M,1953,Johnnie,56
CA,M,1953,Lewis,56
CA,M,1953,Andre,55
CA,M,1953,Dwayne,54
CA,M,1953,Nathan,54
CA,M,1953,Derek,53
CA,M,1953,Hugh,53
CA,M,1953,Max,53
CA,M,1953,Rene,53
CA,M,1953,Tyrone,53
CA,M,1953,Aaron,52
CA,M,1953,Cecil,52
CA,M,1953,Darrel,52
CA,M,1953,Chester,51
CA,M,1953,Everett,51
CA,M,1953,Sean,50
CA,M,1953,Virgil,49
CA,M,1953,Adrian,48
CA,M,1953,Angel,48
CA,M,1953,Clark,48
CA,M,1953,Ernie,48
CA,M,1953,Jeffry,48
CA,M,1953,Rafael,48
CA,M,1953,Rickie,48
CA,M,1953,Terence,48
CA,M,1953,Clinton,47
CA,M,1953,Guadalupe,47
CA,M,1953,Stephan,47
CA,M,1953,Troy,47
CA,M,1953,Denis,46
CA,M,1953,Jaime,46
CA,M,1953,Julian,46
CA,M,1953,Sidney,46
CA,M,1953,Wallace,46
CA,M,1953,Donnie,45
CA,M,1953,Vance,45
CA,M,1953,Wade,45
CA,M,1953,Cary,43
CA,M,1953,Jessie,43
CA,M,1953,Myron,43
CA,M,1953,Clayton,42
CA,M,1953,Edgar,42
CA,M,1953,Rodolfo,42
CA,M,1953,Sammy,42
CA,M,1953,Forrest,41
CA,M,1953,Wendell,41
CA,M,1953,Christian,40
CA,M,1953,Delbert,40
CA,M,1953,Ernesto,40
CA,M,1953,Ken,40
CA,M,1953,Monte,40
CA,M,1953,Abel,39
CA,M,1953,Alberto,39
CA,M,1953,Andy,39
CA,M,1953,Rory,39
CA,M,1953,Tracy,39
CA,M,1953,Clifton,38
CA,M,1953,Frankie,38
CA,M,1953,Jan,38
CA,M,1953,Stewart,38
CA,M,1953,Brett,37
CA,M,1953,Charlie,37
CA,M,1953,Lorenzo,37
CA,M,1953,Conrad,36
CA,M,1953,Gerry,36
CA,M,1953,Morris,36
CA,M,1953,Jerald,35
CA,M,1953,Jerrold,35
CA,M,1953,Malcolm,35
CA,M,1953,Preston,35
CA,M,1953,Doyle,34
CA,M,1953,Erik,34
CA,M,1953,Ivan,34
CA,M,1953,Jacob,34
CA,M,1953,Joey,34
CA,M,1953,Mickey,33
CA,M,1953,Teddy,33
CA,M,1953,Edmond,32
CA,M,1953,Ignacio,32
CA,M,1953,Lowell,32
CA,M,1953,Nelson,32
CA,M,1953,Blaine,31
CA,M,1953,Lionel,31
CA,M,1953,Casey,30
CA,M,1953,Jamie,30
CA,M,1953,Kenny,30
CA,M,1953,Boyd,29
CA,M,1953,Clay,29
CA,M,1953,Eduardo,29
CA,M,1953,Gerard,29
CA,M,1953,Hal,29
CA,M,1953,Michel,29
CA,M,1953,Pat,29
CA,M,1953,Van,29
CA,M,1953,Willard,29
CA,M,1953,Andres,28
