StateCode,Sex,YearOfBirth,Name,Number
CA,M,1962,Burt,12
CA,M,1962,Carlo,12
CA,M,1962,Cris,12
CA,M,1962,Dante,12
CA,M,1962,Dick,12
CA,M,1962,Diego,12
CA,M,1962,Douglass,12
CA,M,1962,Dudley,12
CA,M,1962,Geoff,12
CA,M,1962,Gonzalo,12
CA,M,1962,Herb,12
CA,M,1962,Hubert,12
CA,M,1962,Jefferey,12
CA,M,1962,Kristopher,12
CA,M,1962,Len,12
CA,M,1962,Lenard,12
CA,M,1962,Leopoldo,12
CA,M,1962,Loyd,12
CA,M,1962,Nickolas,12
CA,M,1962,Renaldo,12
CA,M,1962,Tommie,12
CA,M,1962,Warner,12
CA,M,1962,Wilfred,12
CA,M,1962,Aldo,11
CA,M,1962,Anton,11
CA,M,1962,Aurelio,11
CA,M,1962,Brant,11
CA,M,1962,Charley,11
CA,M,1962,Chet,11
CA,M,1962,Cole,11
CA,M,1962,Donnell,11
CA,M,1962,Dwain,11
CA,M,1962,Elliot,11
CA,M,1962,Ellis,11
CA,M,1962,Elton,11
CA,M,1962,Fredric,11
CA,M,1962,Graham,11
CA,M,1962,Harrison,11
CA,M,1962,Jacques,11
CA,M,1962,Jed,11
CA,M,1962,Lanny,11
CA,M,1962,Layne,11
CA,M,1962,Lindsay,11
CA,M,1962,Mack,11
CA,M,1962,Marion,11
CA,M,1962,Maury,11
CA,M,1962,Randel,11
CA,M,1962,Ronn,11
CA,M,1962,Scotty,11
CA,M,1962,Shon,11
CA,M,1962,Stanford,11
CA,M,1962,Taylor,11
CA,M,1962,Vic,11
CA,M,1962,Woodrow,11
CA,M,1962,Adan,10
CA,M,1962,Amado,10
CA,M,1962,Arnulfo,10
CA,M,1962,August,10
CA,M,1962,Benedict,10
CA,M,1962,Bernardo,10
CA,M,1962,Billie,10
CA,M,1962,Bobbie,10
CA,M,1962,Bruno,10
CA,M,1962,Cody,10
CA,M,1962,Coy,10
CA,M,1962,Curtiss,10
CA,M,1962,Darrick,10
CA,M,1962,Dell,10
CA,M,1962,Demetrius,10
CA,M,1962,Deron,10
CA,M,1962,Drake,10
CA,M,1962,Emmanuel,10
CA,M,1962,Errol,10
CA,M,1962,Flint,10
CA,M,1962,Genaro,10
CA,M,1962,Jamey,10
CA,M,1962,Kimberly,10
CA,M,1962,Lisa,10
CA,M,1962,Lon,10
CA,M,1962,Montgomery,10
CA,M,1962,Orville,10
CA,M,1962,Reno,10
CA,M,1962,Rey,10
CA,M,1962,Roosevelt,10
CA,M,1962,Sandra,10
CA,M,1962,Sanford,10
CA,M,1962,Timmothy,10
CA,M,1962,Tracey,10
CA,M,1962,Vern,10
CA,M,1962,Wayland,10
CA,M,1962,Abelardo,9
CA,M,1962,Adalberto,9
CA,M,1962,Andreas,9
CA,M,1962,Antony,9
CA,M,1962,Barrett,9
CA,M,1962,Berry,9
CA,M,1962,Donal,9
CA,M,1962,Dusty,9
CA,M,1962,Elbert,9
CA,M,1962,Elvis,9
CA,M,1962,Fritz,9
CA,M,1962,Hoyt,9
CA,M,1962,Josef,9
CA,M,1962,Junior,9
CA,M,1962,Keenan,9
CA,M,1962,Kieth,9
CA,M,1962,Leonel,9
CA,M,1962,Lindsey,9
CA,M,1962,Marcelino,9
CA,M,1962,Merrill,9
