StateCode,Sex,YearOfBirth,Name,Number
CA,M,1992,Jasen,7
CA,M,1992,Jayvon,7
CA,M,1992,Jeanette,7
CA,M,1992,Jeovany,7
CA,M,1992,Jereme,7
CA,M,1992,Jeremey,7
CA,M,1992,Jeric,7
CA,M,1992,Jeromy,7
CA,M,1992,Jerson,7
CA,M,1992,Jeshua,7
CA,M,1992,Jimi,7
CA,M,1992,Joeseph,7
CA,M,1992,Johnmichael,7
CA,M,1992,Jonathen,7
CA,M,1992,Jory,7
CA,M,1992,Josias,7
CA,M,1992,Josua,7
CA,M,1992,Jourdan,7
CA,M,1992,Juanjose,7
CA,M,1992,Jullian,7
CA,M,1992,Kaden,7
CA,M,1992,Karapet,7
CA,M,1992,Karlo,7
CA,M,1992,Kavon,7
CA,M,1992,Kayla,7
CA,M,1992,Khaled,7
CA,M,1992,Ky,7
CA,M,1992,Lamarr,7
CA,M,1992,Lamberto,7
CA,M,1992,Lavonte,7
CA,M,1992,Layne,7
CA,M,1992,Lucero,7
CA,M,1992,Ludwig,7
CA,M,1992,Marcanthony,7
CA,M,1992,Maurilio,7
CA,M,1992,Maury,7
CA,M,1992,Megan,7
CA,M,1992,Mick,7
CA,M,1992,Milo,7
CA,M,1992,Miriam,7
CA,M,1992,Mizael,7
CA,M,1992,Montrell,7
CA,M,1992,Moshe,7
CA,M,1992,Murad,7
CA,M,1992,Nadeem,7
CA,M,1992,Nahum,7
CA,M,1992,Nain,7
CA,M,1992,Neng,7
CA,M,1992,Niccolo,7
CA,M,1992,Nikita,7
CA,M,1992,Osama,7
CA,M,1992,Oskar,7
CA,M,1992,Oswald,7
CA,M,1992,Paige,7
CA,M,1992,Parth,7
CA,M,1992,Peng,7
CA,M,1992,Pietro,7
CA,M,1992,Prentice,7
CA,M,1992,Primitivo,7
CA,M,1992,Rakeem,7
CA,M,1992,Raleigh,7
CA,M,1992,Ramy,7
CA,M,1992,Raquel,7
CA,M,1992,Raynard,7
CA,M,1992,Rodrick,7
CA,M,1992,Rohit,7
CA,M,1992,Ronnell,7
CA,M,1992,Rowan,7
CA,M,1992,Rudi,7
CA,M,1992,Sandro,7
CA,M,1992,Sandy,7
CA,M,1992,Sang,7
CA,M,1992,Sanjay,7
CA,M,1992,Shiloh,7
CA,M,1992,Sigifredo,7
CA,M,1992,Simeon,7
CA,M,1992,Sina,7
CA,M,1992,Son,7
CA,M,1992,Tad,7
CA,M,1992,Taran,7
CA,M,1992,Tarek,7
CA,M,1992,Tate,7
CA,M,1992,Terell,7
CA,M,1992,Terran,7
CA,M,1992,Terrill,7
CA,M,1992,Terron,7
CA,M,1992,Thao,7
CA,M,1992,Theo,7
CA,M,1992,Thien,7
CA,M,1992,Timmothy,7
CA,M,1992,Tin,7
CA,M,1992,Tito,7
CA,M,1992,Tommie,7
CA,M,1992,Torrance,7
CA,M,1992,Trevell,7
CA,M,1992,Ulyses,7
CA,M,1992,Vartan,7
CA,M,1992,Veronica,7
CA,M,1992,Virgilio,7
CA,M,1992,Vivek,7
CA,M,1992,Willem,7
CA,M,1992,Woodrow,7
CA,M,1992,Yobani,7
CA,M,1992,Yonatan,7
