StateCode,Sex,YearOfBirth,Name,Number
CA,M,1996,Arik,7
CA,M,1996,Aryan,7
CA,M,1996,Aryeh,7
CA,M,1996,Aubrey,7
CA,M,1996,Augustin,7
CA,M,1996,Ayden,7
CA,M,1996,Ayrton,7
CA,M,1996,Azael,7
CA,M,1996,Basil,7
CA,M,1996,Bee,7
CA,M,1996,Bernie,7
CA,M,1996,Bob,7
CA,M,1996,Brannon,7
CA,M,1996,Branson,7
CA,M,1996,Brodie,7
CA,M,1996,Cannon,7
CA,M,1996,Carlton,7
CA,M,1996,Cary,7
CA,M,1996,Cha,7
CA,M,1996,Cheyne,7
CA,M,1996,Chistopher,7
CA,M,1996,Christina,7
CA,M,1996,Cian,7
CA,M,1996,Codi,7
CA,M,1996,Coleton,7
CA,M,1996,Cyle,7
CA,M,1996,Demarco,7
CA,M,1996,Deontae,7
CA,M,1996,Dequan,7
CA,M,1996,Desi,7
CA,M,1996,Devaughn,7
CA,M,1996,Dimas,7
CA,M,1996,Dionte,7
CA,M,1996,Donaven,7
CA,M,1996,Dontay,7
CA,M,1996,Dupree,7
CA,M,1996,Earnest,7
CA,M,1996,Eliel,7
CA,M,1996,Elizabeth,7
CA,M,1996,Ely,7
CA,M,1996,Emile,7
CA,M,1996,Emily,7
CA,M,1996,Eros,7
CA,M,1996,Esteven,7
CA,M,1996,Frederic,7
CA,M,1996,Fue,7
CA,M,1996,Gagandeep,7
CA,M,1996,Gamaliel,7
CA,M,1996,Garrick,7
CA,M,1996,Gavino,7
CA,M,1996,Gevork,7
CA,M,1996,Giacomo,7
CA,M,1996,Gibson,7
CA,M,1996,Greggory,7
CA,M,1996,Griffen,7
CA,M,1996,Gurpreet,7
CA,M,1996,Hasani,7
CA,M,1996,Henri,7
CA,M,1996,Hipolito,7
CA,M,1996,Hovanes,7
CA,M,1996,Hussein,7
CA,M,1996,Ilan,7
CA,M,1996,Indiana,7
CA,M,1996,Ira,7
CA,M,1996,Isaih,7
CA,M,1996,Jacqueline,7
