StateCode,Sex,YearOfBirth,Name,Number
CA,M,2011,Kenton,11
CA,M,2011,Keon,11
CA,M,2011,Khristian,11
CA,M,2011,Kylan,11
CA,M,2011,Kyree,11
CA,M,2011,Leopoldo,11
CA,M,2011,Levon,11
CA,M,2011,Lior,11
CA,M,2011,Lloyd,11
CA,M,2011,Lucky,11
CA,M,2011,Lyle,11
CA,M,2011,Mac,11
CA,M,2011,Maison,11
CA,M,2011,Marcell,11
CA,M,2011,Maximilliano,11
CA,M,2011,Maximino,11
CA,M,2011,Myron,11
CA,M,2011,Nikola,11
CA,M,2011,Norberto,11
CA,M,2011,Oakley,11
CA,M,2011,Olivier,11
CA,M,2011,Om,11
CA,M,2011,Parsa,11
CA,M,2011,Pavel,11
CA,M,2011,Rajon,11
CA,M,2011,Ravi,11
CA,M,2011,Reymundo,11
CA,M,2011,Rian,11
CA,M,2011,Rome,11
CA,M,2011,Rooney,11
CA,M,2011,Saeed,11
CA,M,2011,Shaurya,11
CA,M,2011,Shea,11
CA,M,2011,Sheldon,11
CA,M,2011,Shreyas,11
CA,M,2011,Stefano,11
CA,M,2011,Stephon,11
CA,M,2011,Sutton,11
CA,M,2011,Tejas,11
CA,M,2011,Trinidad,11
CA,M,2011,Triston,11
CA,M,2011,Tyce,11
CA,M,2011,Valentine,11
CA,M,2011,Varun,11
CA,M,2011,Wilfredo,11
CA,M,2011,Wolfgang,11
CA,M,2011,Yadiel,11
CA,M,2011,Zakai,11
CA,M,2011,Zayan,11
CA,M,2011,Ziggy,11
CA,M,2011,Aj,10
CA,M,2011,Anakin,10
CA,M,2011,Antoni,10
CA,M,2011,Aria,10
CA,M,2011,Arjan,10
CA,M,2011,Armen,10
CA,M,2011,Artem,10
CA,M,2011,Arvin,10
CA,M,2011,Barron,10
CA,M,2011,Bayron,10
CA,M,2011,Brad,10
CA,M,2011,Brice,10
CA,M,2011,Brogan,10
CA,M,2011,Brooklyn,10
CA,M,2011,Broxton,10
CA,M,2011,Bryton,10
CA,M,2011,Calder,10
CA,M,2011,Cale,10
CA,M,2011,Chaim,10
CA,M,2011,Clifford,10
CA,M,2011,Cordell,10
CA,M,2011,Cullen,10
CA,M,2011,Daksh,10
CA,M,2011,Dashel,10
CA,M,2011,Daven,10
CA,M,2011,Deagan,10
CA,M,2011,Demetri,10
CA,M,2011,Domenico,10
CA,M,2011,Drayden,10
CA,M,2011,Elyjah,10
CA,M,2011,Emmitt,10
CA,M,2011,Filiberto,10
CA,M,2011,Francesco,10
CA,M,2011,Freddie,10
CA,M,2011,Gavino,10
CA,M,2011,Gene,10
CA,M,2011,Giacomo,10
CA,M,2011,Graeme,10
CA,M,2011,Grey,10
CA,M,2011,Gurshan,10
