StateCode,Sex,YearOfBirth,Name,Number
CO,F,1937,Annette,12
CO,F,1937,Jeanne,12
CO,F,1937,Lila,12
CO,F,1937,Naomi,12
CO,F,1937,Nellie,12
CO,F,1937,Verna,12
CO,F,1937,Alma,11
CO,F,1937,Annie,11
CO,F,1937,Carmen,11
CO,F,1937,Cecelia,11
CO,F,1937,Cecilia,11
CO,F,1937,Genevieve,11
CO,F,1937,Jessie,11
CO,F,1937,Lydia,11
CO,F,1937,Rachel,11
CO,F,1937,Cynthia,10
CO,F,1937,Emily,10
CO,F,1937,Ernestine,10
CO,F,1937,Geneva,10
CO,F,1937,Iris,10
CO,F,1937,Madeline,10
CO,F,1937,Marcella,10
CO,F,1937,Opal,10
CO,F,1937,Sheila,10
CO,F,1937,Angelina,9
CO,F,1937,Dona,9
CO,F,1937,Flora,9
CO,F,1937,Gwendolyn,9
CO,F,1937,Henrietta,9
CO,F,1937,Isabel,9
CO,F,1937,Laverne,9
CO,F,1937,Marcia,9
CO,F,1937,Marguerite,9
CO,F,1937,Marion,9
CO,F,1937,Nadine,9
CO,F,1937,Paula,9
CO,F,1937,Sharron,9
CO,F,1937,Sue,9
CO,F,1937,Velma,9
CO,F,1937,Angie,8
CO,F,1937,Bessie,8
CO,F,1937,Carla,8
CO,F,1937,Ella,8
CO,F,1937,Eloise,8
CO,F,1937,Gertrude,8
CO,F,1937,Ilene,8
CO,F,1937,Imogene,8
CO,F,1937,Inez,8
CO,F,1937,Maryann,8
CO,F,1937,Mercy,8
CO,F,1937,Minnie,8
CO,F,1937,Nora,8
CO,F,1937,Sherry,8
CO,F,1937,Victoria,8
CO,F,1937,Anne,7
CO,F,1937,Bette,7
CO,F,1937,Christine,7
CO,F,1937,Cleo,7
CO,F,1937,Elva,7
CO,F,1937,Faye,7
CO,F,1937,Fern,7
CO,F,1937,Harriet,7
CO,F,1937,Harriett,7
CO,F,1937,Jacquelyn,7
CO,F,1937,Lavonne,7
CO,F,1937,Lenora,7
CO,F,1937,Lorna,7
CO,F,1937,Mable,7
CO,F,1937,Marianne,7
CO,F,1937,Myrtle,7
CO,F,1937,Nina,7
CO,F,1937,Nola,7
CO,F,1937,Pearl,7
CO,F,1937,Sadie,7
CO,F,1937,Amelia,6
CO,F,1937,Aurora,6
CO,F,1937,Beth,6
CO,F,1937,Earlene,6
CO,F,1937,Erma,6
CO,F,1937,Eunice,6
CO,F,1937,Freda,6
CO,F,1937,Gay,6
CO,F,1937,Hope,6
CO,F,1937,Ila,6
CO,F,1937,Isabelle,6
CO,F,1937,Lena,6
CO,F,1937,Lorene,6
CO,F,1937,Luella,6
CO,F,1937,Mabel,6
CO,F,1937,Melva,6
CO,F,1937,Mercedes,6
CO,F,1937,Muriel,6
CO,F,1937,Rosa,6
CO,F,1937,Sonya,6
CO,F,1937,Teresa,6
CO,F,1937,Tillie,6
CO,F,1937,Verla,6
CO,F,1937,Winona,6
CO,F,1937,Barbra,5
CO,F,1937,Bernadine,5
CO,F,1937,Beverley,5
CO,F,1937,Blanche,5
CO,F,1937,Bobbie,5
CO,F,1937,Dorene,5
CO,F,1937,Estella,5
CO,F,1937,Georgie,5
CO,F,1937,Glenna,5
CO,F,1937,Janie,5
CO,F,1937,Jeanie,5
CO,F,1937,Lillie,5
CO,F,1937,Marilynn,5
CO,F,1937,Marsha,5
CO,F,1937,Maureen,5
CO,F,1937,Miriam,5
CO,F,1937,Myra,5
CO,F,1937,Nelda,5
CO,F,1937,Nita,5
CO,F,1937,Nona,5
CO,F,1937,Olivia,5
CO,F,1937,Rosemarie,5
CO,F,1937,Sonja,5
CO,F,1937,Winifred,5
CO,F,1938,Mary,458
CO,F,1938,Barbara,323
CO,F,1938,Patricia,257
CO,F,1938,Shirley,246
CO,F,1938,Betty,240
CO,F,1938,Donna,202
CO,F,1938,Carol,186
CO,F,1938,Nancy,151
CO,F,1938,Margaret,147
CO,F,1938,Dorothy,141
CO,F,1938,Virginia,124
CO,F,1938,Beverly,117
CO,F,1938,Janice,104
CO,F,1938,Joyce,98
CO,F,1938,Marilyn,96
CO,F,1938,Phyllis,94
CO,F,1938,Sharon,94
CO,F,1938,Joan,90
CO,F,1938,Sandra,89
CO,F,1938,Helen,87
CO,F,1938,Ruth,86
CO,F,1938,Frances,83
CO,F,1938,Alice,82
CO,F,1938,Judith,82
CO,F,1938,Norma,82
CO,F,1938,Janet,81
CO,F,1938,Carolyn,77
CO,F,1938,Dolores,69
CO,F,1938,Gloria,69
CO,F,1938,Judy,67
CO,F,1938,Rose,67
CO,F,1938,Rosalie,65
CO,F,1938,Doris,63
CO,F,1938,Lois,61
CO,F,1938,Elizabeth,60
CO,F,1938,Darlene,59
CO,F,1938,Roberta,59
CO,F,1938,Martha,58
CO,F,1938,Loretta,54
CO,F,1938,Bonnie,51
CO,F,1938,Joann,51
CO,F,1938,Evelyn,50
CO,F,1938,Wanda,50
CO,F,1938,Connie,49
CO,F,1938,Charlotte,48
CO,F,1938,Marie,47
CO,F,1938,Linda,46
CO,F,1938,Marjorie,45
CO,F,1938,Peggy,45
CO,F,1938,Anna,43
CO,F,1938,Jean,43
CO,F,1938,Sally,43
CO,F,1938,Margie,42
CO,F,1938,Esther,41
CO,F,1938,Sylvia,39
CO,F,1938,Wilma,39
CO,F,1938,Irene,38
CO,F,1938,Marlene,38
CO,F,1938,Geraldine,37
CO,F,1938,Joanne,37
CO,F,1938,Myrna,37
CO,F,1938,Ann,36
CO,F,1938,Arlene,36
CO,F,1938,Eleanor,36
CO,F,1938,Kathleen,36
CO,F,1938,Juanita,35
CO,F,1938,Catherine,34
CO,F,1938,Jeanette,34
CO,F,1938,Josephine,34
CO,F,1938,Karen,34
CO,F,1938,Kay,34
CO,F,1938,Charlene,33
CO,F,1938,Jacqueline,33
CO,F,1938,Patsy,33
CO,F,1938,Louise,32
CO,F,1938,Pauline,31
CO,F,1938,Jane,30
CO,F,1938,Lillian,30
CO,F,1938,Rita,30
CO,F,1938,Deanna,29
CO,F,1938,Dora,29
CO,F,1938,Anita,28
CO,F,1938,Dixie,28
CO,F,1938,Elaine,28
CO,F,1938,Ramona,28
CO,F,1938,Susan,27
CO,F,1938,Edna,26
CO,F,1938,Florence,26
CO,F,1938,Gail,26
CO,F,1938,Ruby,26
CO,F,1938,Diane,25
CO,F,1938,Georgia,25
CO,F,1938,Marcia,25
CO,F,1938,Viola,25
CO,F,1938,Carole,24
CO,F,1938,Lorraine,24
CO,F,1938,Maria,24
CO,F,1938,Theresa,24
CO,F,1938,Delores,23
CO,F,1938,Eva,23
CO,F,1938,Ida,23
CO,F,1938,Jo,23
CO,F,1938,Clara,22
CO,F,1938,Eileen,22
CO,F,1938,Grace,22
CO,F,1938,Julia,22
CO,F,1938,June,22
CO,F,1938,Maxine,22
CO,F,1938,Carmen,21
CO,F,1938,Edith,21
CO,F,1938,Flora,21
CO,F,1938,Marian,21
CO,F,1938,Pat,21
CO,F,1938,Rosemary,21
CO,F,1938,Stella,21
CO,F,1938,Elsie,20
CO,F,1938,Thelma,20
CO,F,1938,Vivian,20
CO,F,1938,Yvonne,20
CO,F,1938,Della,19
CO,F,1938,Lucille,19
CO,F,1938,Patty,19
CO,F,1938,Diana,18
CO,F,1938,Ellen,18
CO,F,1938,Jackie,18
CO,F,1938,Mildred,18
CO,F,1938,Priscilla,18
CO,F,1938,Sonja,18
CO,F,1938,Alberta,17
CO,F,1938,Beatrice,17
CO,F,1938,Bernice,17
CO,F,1938,Bertha,17
CO,F,1938,Billie,17
CO,F,1938,Hazel,17
