StateCode,Sex,YearOfBirth,Name,Number
CO,F,2006,Elianna,5
CO,F,2006,Elisha,5
CO,F,2006,Ember,5
CO,F,2006,Emersyn,5
CO,F,2006,Emili,5
CO,F,2006,Emmerson,5
CO,F,2006,Estefani,5
CO,F,2006,Estefania,5
CO,F,2006,Estella,5
CO,F,2006,Farrah,5
CO,F,2006,Gema,5
CO,F,2006,Giada,5
CO,F,2006,Gina,5
CO,F,2006,Gladys,5
CO,F,2006,Gracey,5
CO,F,2006,Hilary,5
CO,F,2006,Hillary,5
CO,F,2006,Idaly,5
CO,F,2006,Irene,5
CO,F,2006,Isela,5
CO,F,2006,Jacey,5
CO,F,2006,Jackeline,5
CO,F,2006,Jaime,5
CO,F,2006,Jalissa,5
CO,F,2006,Jasmyn,5
CO,F,2006,Jaycee,5
CO,F,2006,Jaylyn,5
CO,F,2006,Jayna,5
CO,F,2006,Jewel,5
CO,F,2006,Jill,5
CO,F,2006,Joana,5
CO,F,2006,Kaida,5
CO,F,2006,Kailani,5
CO,F,2006,Kalie,5
CO,F,2006,Kallie,5
CO,F,2006,Karolina,5
CO,F,2006,Kasandra,5
CO,F,2006,Katlyn,5
CO,F,2006,Katy,5
CO,F,2006,Katya,5
CO,F,2006,Kaycee,5
CO,F,2006,Kaylen,5
CO,F,2006,Kayley,5
CO,F,2006,Kinley,5
CO,F,2006,Kristen,5
CO,F,2006,Lainey,5
CO,F,2006,Lara,5
CO,F,2006,Leanne,5
CO,F,2006,Leyla,5
CO,F,2006,Leyna,5
CO,F,2006,Liberty,5
CO,F,2006,Lidia,5
CO,F,2006,Lilyanna,5
CO,F,2006,Litzy,5
CO,F,2006,Lizette,5
CO,F,2006,Lucero,5
CO,F,2006,Luci,5
CO,F,2006,Madalynn,5
CO,F,2006,Madilynn,5
CO,F,2006,Magdalena,5
CO,F,2006,Maisy,5
CO,F,2006,Makaila,5
CO,F,2006,Marcela,5
CO,F,2006,Margo,5
CO,F,2006,Mari,5
CO,F,2006,Marian,5
CO,F,2006,Marianna,5
CO,F,2006,Marianne,5
CO,F,2006,Meagan,5
CO,F,2006,Melina,5
CO,F,2006,Mina,5
CO,F,2006,Moira,5
CO,F,2006,Nadine,5
CO,F,2006,Nalani,5
CO,F,2006,Noa,5
CO,F,2006,Nohemi,5
CO,F,2006,Peighton,5
CO,F,2006,Phoenix,5
CO,F,2006,Pilar,5
CO,F,2006,Regina,5
CO,F,2006,Riana,5
CO,F,2006,Rita,5
CO,F,2006,Robyn,5
CO,F,2006,Rory,5
CO,F,2006,Roxanna,5
CO,F,2006,Rylan,5
CO,F,2006,Rylyn,5
CO,F,2006,Sedona,5
CO,F,2006,Selina,5
CO,F,2006,Shyla,5
CO,F,2006,Sloane,5
CO,F,2006,Sora,5
CO,F,2006,Stacey,5
CO,F,2006,Star,5
CO,F,2006,Sydnie,5
CO,F,2006,Tamia,5
CO,F,2006,Tatianna,5
CO,F,2006,Winter,5
CO,F,2006,Yadhira,5
