StateCode,Sex,YearOfBirth,Name,Number
CO,M,1953,Keith,70
CO,M,1953,Carl,68
CO,M,1953,Craig,66
CO,M,1953,Roy,66
CO,M,1953,Ralph,63
CO,M,1953,Steve,63
CO,M,1953,Walter,63
CO,M,1953,Albert,62
CO,M,1953,Randall,61
CO,M,1953,Phillip,60
CO,M,1953,Andrew,57
CO,M,1953,Harold,57
CO,M,1953,Rick,56
CO,M,1953,Brian,53
CO,M,1953,Fred,53
CO,M,1953,Leonard,53
CO,M,1953,Martin,53
CO,M,1953,Ernest,52
CO,M,1953,Eugene,52
CO,M,1953,Henry,52
CO,M,1953,Russell,52
CO,M,1953,Mike,49
CO,M,1953,Ricky,49
CO,M,1953,Lee,48
CO,M,1953,Allen,46
CO,M,1953,Louis,46
CO,M,1953,Philip,46
CO,M,1953,Victor,45
CO,M,1953,Leroy,44
CO,M,1953,Micheal,44
CO,M,1953,Samuel,44
CO,M,1953,Darrell,42
CO,M,1953,Marvin,42
CO,M,1953,Clifford,41
CO,M,1953,Jay,41
CO,M,1953,Jose,41
CO,M,1953,Kim,41
CO,M,1953,Jimmy,40
CO,M,1953,Barry,39
CO,M,1953,Melvin,39
CO,M,1953,Bradley,38
CO,M,1953,Duane,38
CO,M,1953,Frederick,38
CO,M,1953,Gilbert,38
CO,M,1953,Glenn,38
CO,M,1953,Howard,38
CO,M,1953,Dan,37
CO,M,1953,Dean,37
CO,M,1953,Norman,36
CO,M,1953,Curtis,35
CO,M,1953,Kent,35
CO,M,1953,Lynn,35
CO,M,1953,Ronnie,35
CO,M,1953,Theodore,35
CO,M,1953,Chris,34
CO,M,1953,Glen,34
CO,M,1953,Jim,34
CO,M,1953,Johnny,34
CO,M,1953,Billy,33
CO,M,1953,Leslie,32
CO,M,1953,Manuel,32
CO,M,1953,Jon,31
CO,M,1953,Randolph,31
CO,M,1953,Ray,31
CO,M,1953,Earl,30
CO,M,1953,Gordon,30
CO,M,1953,Jesse,30
CO,M,1953,Kelly,30
CO,M,1953,Vernon,30
CO,M,1953,Brad,29
CO,M,1953,Harry,28
CO,M,1953,Tommy,28
CO,M,1953,Benjamin,27
CO,M,1953,Lloyd,27
CO,M,1953,Clarence,26
CO,M,1953,Don,26
CO,M,1953,Eddie,26
CO,M,1953,Tom,26
CO,M,1953,Tony,26
CO,M,1953,Edwin,25
CO,M,1953,Eric,25
CO,M,1953,Matthew,25
CO,M,1953,Warren,25
CO,M,1953,Alfred,24
CO,M,1953,Rudy,24
CO,M,1953,Wesley,24
CO,M,1953,Bobby,23
CO,M,1953,Floyd,23
CO,M,1953,Karl,23
CO,M,1953,Lonnie,23
CO,M,1953,Vincent,23
CO,M,1953,Daryl,22
CO,M,1953,Jeffery,22
CO,M,1953,Bill,21
CO,M,1953,Francis,21
CO,M,1953,Gene,21
CO,M,1953,Guy,21
CO,M,1953,Kirk,21
CO,M,1953,Nicholas,21
CO,M,1953,Ted,21
CO,M,1953,Allan,20
CO,M,1953,Byron,20
CO,M,1953,Kurt,20
CO,M,1953,Lyle,20
CO,M,1953,Marc,20
CO,M,1953,Pete,20
CO,M,1953,Bernard,18
CO,M,1953,Calvin,18
CO,M,1953,Carlos,18
CO,M,1953,Clyde,18
CO,M,1953,Gregg,18
CO,M,1953,Leo,18
CO,M,1953,Fredrick,17
CO,M,1953,Leon,17
CO,M,1953,Mario,17
CO,M,1953,Neil,17
CO,M,1953,Alvin,16
CO,M,1953,Antonio,16
CO,M,1953,Bob,16
CO,M,1953,Bryan,16
CO,M,1953,Clinton,16
CO,M,1953,Perry,16
CO,M,1953,Rex,16
CO,M,1953,Arnold,15
CO,M,1953,Clayton,15
CO,M,1953,Garry,15
CO,M,1953,Herbert,15
CO,M,1953,Loren,15
CO,M,1953,Rickey,15
CO,M,1953,Rocky,15
CO,M,1953,Aaron,14
CO,M,1953,Dana,14
CO,M,1953,Dave,14
CO,M,1953,Dwight,14
CO,M,1953,Kerry,14
CO,M,1953,Mitchell,14
CO,M,1953,Randal,14
CO,M,1953,Stuart,14
CO,M,1953,Felix,13
CO,M,1953,Jerald,13
CO,M,1953,Joel,13
CO,M,1953,Jonathan,13
CO,M,1953,Louie,13
CO,M,1953,Monte,13
CO,M,1953,Ruben,13
CO,M,1953,Andy,12
CO,M,1953,Delbert,12
CO,M,1953,Franklin,12
CO,M,1953,Grant,12
CO,M,1953,Jerome,12
CO,M,1953,Jesus,12
CO,M,1953,Rudolph,12
CO,M,1953,Todd,12
CO,M,1953,Alex,11
CO,M,1953,Benny,11
CO,M,1953,Bradford,11
CO,M,1953,Donnie,11
CO,M,1953,Dwayne,11
CO,M,1953,Francisco,11
CO,M,1953,Greg,11
CO,M,1953,Jeff,11
CO,M,1953,Juan,11
CO,M,1953,Ken,11
CO,M,1953,Lewis,11
CO,M,1953,Myron,11
CO,M,1953,Sam,11
CO,M,1953,Sammy,11
CO,M,1953,Toby,11
CO,M,1953,Ben,10
CO,M,1953,Brent,10
CO,M,1953,Darryl,10
CO,M,1953,Edgar,10
CO,M,1953,Eloy,10
CO,M,1953,Hal,10
CO,M,1953,Jacob,10
CO,M,1953,Julian,10
CO,M,1953,Maurice,10
CO,M,1953,Nick,10
CO,M,1953,Oscar,10
CO,M,1953,Roland,10
CO,M,1953,Ron,10
CO,M,1953,Ross,10
CO,M,1953,Shawn,10
CO,M,1953,Van,10
CO,M,1953,Virgil,10
CO,M,1953,Willie,10
CO,M,1953,Ernie,9
CO,M,1953,Frankie,9
CO,M,1953,Jackie,9
CO,M,1953,Lance,9
