StateCode,Sex,YearOfBirth,Name,Number
CO,M,1997,Kole,6
CO,M,1997,Kolton,6
CO,M,1997,Leo,6
CO,M,1997,Leonardo,6
CO,M,1997,Marquise,6
CO,M,1997,Nash,6
CO,M,1997,Noe,6
CO,M,1997,Quinten,6
CO,M,1997,Rodolfo,6
CO,M,1997,Shaun,6
CO,M,1997,Sheldon,6
CO,M,1997,Stephan,6
CO,M,1997,Stone,6
CO,M,1997,Tate,6
CO,M,1997,Terrell,6
CO,M,1997,Terrence,6
CO,M,1997,Terry,6
CO,M,1997,Tevin,6
CO,M,1997,Tommy,6
CO,M,1997,Trystan,6
CO,M,1997,Tyrone,6
CO,M,1997,Wade,6
CO,M,1997,Zechariah,6
CO,M,1997,Aiden,5
CO,M,1997,Aldo,5
CO,M,1997,Allan,5
CO,M,1997,Ari,5
CO,M,1997,Aric,5
CO,M,1997,Ariel,5
CO,M,1997,Asa,5
CO,M,1997,Barry,5
CO,M,1997,Bennett,5
CO,M,1997,Bobby,5
CO,M,1997,Brandyn,5
CO,M,1997,Brycen,5
CO,M,1997,Camden,5
CO,M,1997,Charlie,5
CO,M,1997,Colt,5
CO,M,1997,Colter,5
CO,M,1997,Damion,5
CO,M,1997,Deangelo,5
CO,M,1997,Dusty,5
CO,M,1997,Emiliano,5
CO,M,1997,Ernest,5
CO,M,1997,Ford,5
CO,M,1997,Fredrick,5
CO,M,1997,Gino,5
CO,M,1997,Gunner,5
CO,M,1997,Harry,5
CO,M,1997,Humberto,5
CO,M,1997,Izaiah,5
CO,M,1997,Jamison,5
CO,M,1997,Jarred,5
CO,M,1997,Jasper,5
CO,M,1997,Jeramiah,5
CO,M,1997,Joan,5
CO,M,1997,Justus,5
CO,M,1997,Kane,5
CO,M,1997,Kendrick,5
CO,M,1997,Killian,5
CO,M,1997,Kolby,5
CO,M,1997,Leon,5
CO,M,1997,Leroy,5
CO,M,1997,Lewis,5
CO,M,1997,Lloyd,5
CO,M,1997,Mackenzie,5
CO,M,1997,Markus,5
CO,M,1997,Marquis,5
CO,M,1997,Maurice,5
CO,M,1997,Milo,5
CO,M,1997,Mitchel,5
CO,M,1997,Mohammed,5
CO,M,1997,Montana,5
CO,M,1997,Myles,5
CO,M,1997,Neal,5
CO,M,1997,Nelson,5
CO,M,1997,Nicklaus,5
CO,M,1997,Osvaldo,5
CO,M,1997,Pierce,5
CO,M,1997,Ralph,5
CO,M,1997,Raphael,5
CO,M,1997,Raymundo,5
CO,M,1997,Rolando,5
CO,M,1997,Ryland,5
CO,M,1997,Simeon,5
CO,M,1997,Tristian,5
CO,M,1997,Wayne,5
CO,M,1997,Will,5
CO,M,1998,Jacob,531
CO,M,1998,Michael,497
CO,M,1998,Joshua,401
CO,M,1998,Matthew,398
CO,M,1998,Tyler,389
CO,M,1998,Nicholas,364
CO,M,1998,Daniel,359
CO,M,1998,Brandon,358
CO,M,1998,Joseph,341
CO,M,1998,Austin,335
CO,M,1998,Andrew,334
CO,M,1998,Zachary,330
CO,M,1998,Ryan,329
CO,M,1998,Alexander,312
CO,M,1998,Christopher,307
CO,M,1998,William,284
CO,M,1998,David,283
CO,M,1998,John,281
CO,M,1998,Anthony,268
CO,M,1998,Samuel,259
CO,M,1998,Kyle,256
CO,M,1998,James,248
CO,M,1998,Jonathan,248
CO,M,1998,Benjamin,243
CO,M,1998,Dylan,237
CO,M,1998,Justin,209
CO,M,1998,Jose,205
CO,M,1998,Nathan,202
CO,M,1998,Noah,201
CO,M,1998,Cody,193
CO,M,1998,Jordan,193
CO,M,1998,Christian,182
CO,M,1998,Robert,179
CO,M,1998,Cameron,170
CO,M,1998,Ethan,170
CO,M,1998,Connor,160
CO,M,1998,Isaiah,160
CO,M,1998,Thomas,160
CO,M,1998,Adam,153
CO,M,1998,Hunter,149
CO,M,1998,Aaron,147
CO,M,1998,Logan,147
CO,M,1998,Jack,146
CO,M,1998,Luis,138
CO,M,1998,Caleb,137
CO,M,1998,Trevor,132
CO,M,1998,Gabriel,131
CO,M,1998,Kevin,130
CO,M,1998,Isaac,123
CO,M,1998,Eric,122
CO,M,1998,Jason,122
CO,M,1998,Juan,121
CO,M,1998,Sean,121
CO,M,1998,Nathaniel,119
CO,M,1998,Evan,116
CO,M,1998,Adrian,112
CO,M,1998,Luke,112
CO,M,1998,Tristan,112
CO,M,1998,Jared,108
CO,M,1998,Spencer,108
CO,M,1998,Chase,107
CO,M,1998,Carlos,106
CO,M,1998,Elijah,105
CO,M,1998,Ian,103
CO,M,1998,Timothy,103
CO,M,1998,Cole,102
CO,M,1998,Tanner,101
CO,M,1998,Patrick,100
CO,M,1998,Brian,99
CO,M,1998,Dominic,98
CO,M,1998,Jesse,97
CO,M,1998,Jesus,96
CO,M,1998,Blake,93
CO,M,1998,Richard,92
CO,M,1998,Alex,90
CO,M,1998,Devin,88
CO,M,1998,Colton,87
CO,M,1998,Charles,86
CO,M,1998,Alejandro,85
CO,M,1998,Steven,85
CO,M,1998,Jackson,84
CO,M,1998,Marcus,84
CO,M,1998,Mark,84
CO,M,1998,Antonio,83
CO,M,1998,Miguel,83
CO,M,1998,Garrett,82
CO,M,1998,Seth,82
CO,M,1998,Taylor,82
CO,M,1998,Paul,79
CO,M,1998,Bryan,78
CO,M,1998,Dakota,78
CO,M,1998,Jeremy,78
CO,M,1998,Bryce,77
CO,M,1998,Jeremiah,77
CO,M,1998,Angel,76
CO,M,1998,Mitchell,75
CO,M,1998,Wyatt,75
CO,M,1998,Dalton,74
CO,M,1998,Dillon,72
CO,M,1998,Mason,72
CO,M,1998,Alec,71
CO,M,1998,Devon,71
CO,M,1998,Stephen,71
CO,M,1998,Lucas,67
CO,M,1998,Gavin,64
CO,M,1998,Travis,64
CO,M,1998,Levi,63
CO,M,1998,Brendan,62
CO,M,1998,Jorge,62
CO,M,1998,Oscar,61
CO,M,1998,Derek,60
CO,M,1998,Joel,58
CO,M,1998,Vincent,58
CO,M,1998,Dustin,57
CO,M,1998,Grant,57
CO,M,1998,Mario,57
