StateCode,Sex,YearOfBirth,Name,Number
CO,M,2010,Burke,5
CO,M,2010,Cannon,5
CO,M,2010,Clay,5
CO,M,2010,Cormac,5
CO,M,2010,Cristofer,5
CO,M,2010,Curtis,5
CO,M,2010,Dangelo,5
CO,M,2010,Darian,5
CO,M,2010,Deegan,5
CO,M,2010,Deklan,5
CO,M,2010,Demetri,5
CO,M,2010,Dennis,5
CO,M,2010,Destin,5
CO,M,2010,Dezmond,5
CO,M,2010,Domenic,5
CO,M,2010,Donavan,5
CO,M,2010,Dwayne,5
CO,M,2010,Eddie,5
CO,M,2010,Eden,5
CO,M,2010,Efrain,5
CO,M,2010,Ellis,5
CO,M,2010,Emmitt,5
CO,M,2010,Ernest,5
CO,M,2010,Gary,5
CO,M,2010,Gavyn,5
CO,M,2010,German,5
CO,M,2010,Gray,5
CO,M,2010,Hamza,5
CO,M,2010,Irving,5
CO,M,2010,Isaak,5
CO,M,2010,Ishaan,5
CO,M,2010,Jael,5
CO,M,2010,Jakobe,5
CO,M,2010,Jaydin,5
CO,M,2010,Jaykob,5
CO,M,2010,Jaziel,5
CO,M,2010,Jensen,5
CO,M,2010,Jericho,5
CO,M,2010,Josh,5
CO,M,2010,Jovani,5
CO,M,2010,Jullian,5
CO,M,2010,Kain,5
CO,M,2010,Kaison,5
CO,M,2010,Kallen,5
CO,M,2010,Kamron,5
CO,M,2010,Kegan,5
CO,M,2010,Keller,5
CO,M,2010,Khalid,5
CO,M,2010,Killian,5
CO,M,2010,Kingsley,5
CO,M,2010,Kolten,5
CO,M,2010,Kye,5
CO,M,2010,Kylan,5
CO,M,2010,Larry,5
CO,M,2010,Lionel,5
CO,M,2010,Lucius,5
CO,M,2010,Luka,5
CO,M,2010,Malcolm,5
CO,M,2010,Marek,5
CO,M,2010,Markus,5
CO,M,2010,Marlon,5
CO,M,2010,Marvin,5
CO,M,2010,Mekhi,5
CO,M,2010,Memphis,5
CO,M,2010,Messiah,5
CO,M,2010,Noel,5
CO,M,2010,Oziel,5
CO,M,2010,Paden,5
CO,M,2010,Ray,5
CO,M,2010,Remy,5
