StateCode,Sex,YearOfBirth,Name,Number
CT,F,1932,Felicia,5
CT,F,1932,Gilda,5
CT,F,1932,Jacquelyn,5
CT,F,1932,Joanna,5
CT,F,1932,Juanita,5
CT,F,1932,Karen,5
CT,F,1932,Leah,5
CT,F,1932,Linda,5
CT,F,1932,Lorna,5
CT,F,1932,Marcella,5
CT,F,1932,Marlyn,5
CT,F,1932,Nellie,5
CT,F,1932,Paula,5
CT,F,1932,Polly,5
CT,F,1932,Robert,5
CT,F,1932,Stephanie,5
CT,F,1932,Yvette,5
CT,F,1933,Barbara,510
CT,F,1933,Mary,492
CT,F,1933,Joan,451
CT,F,1933,Patricia,248
CT,F,1933,Dorothy,221
CT,F,1933,Nancy,188
CT,F,1933,Jean,186
CT,F,1933,Elizabeth,175
CT,F,1933,Ann,166
CT,F,1933,Margaret,164
CT,F,1933,Shirley,154
CT,F,1933,Janet,138
CT,F,1933,Carol,129
CT,F,1933,Marie,123
CT,F,1933,Helen,121
CT,F,1933,Lorraine,121
CT,F,1933,Ruth,121
CT,F,1933,Eleanor,119
CT,F,1933,Betty,116
CT,F,1933,Frances,112
CT,F,1933,Dolores,111
CT,F,1933,Lois,108
CT,F,1933,Marilyn,108
CT,F,1933,Joyce,107
CT,F,1933,Rose,105
CT,F,1933,Beverly,103
CT,F,1933,Doris,93
CT,F,1933,Theresa,91
CT,F,1933,Irene,86
CT,F,1933,Jane,86
CT,F,1933,Marion,84
CT,F,1933,June,83
CT,F,1933,Virginia,83
CT,F,1933,Anna,80
CT,F,1933,Alice,78
CT,F,1933,Gloria,76
CT,F,1933,Anne,74
CT,F,1933,Evelyn,73
CT,F,1933,Josephine,72
CT,F,1933,Phyllis,72
CT,F,1933,Marjorie,70
CT,F,1933,Rita,67
CT,F,1933,Lucille,65
CT,F,1933,Florence,64
CT,F,1933,Lillian,64
CT,F,1933,Catherine,60
CT,F,1933,Audrey,58
CT,F,1933,Elaine,57
CT,F,1933,Judith,57
CT,F,1933,Constance,56
CT,F,1933,Louise,54
CT,F,1933,Kathleen,49
CT,F,1933,Maureen,49
CT,F,1933,Arlene,45
CT,F,1933,Claire,45
CT,F,1933,Jacqueline,45
CT,F,1933,Geraldine,44
CT,F,1933,Grace,44
CT,F,1933,Sylvia,43
CT,F,1933,Mildred,42
CT,F,1933,Norma,42
CT,F,1933,Sally,40
CT,F,1933,Jeanne,39
CT,F,1933,Carolyn,38
CT,F,1933,Sandra,36
CT,F,1933,Janice,35
CT,F,1933,Rosemary,34
CT,F,1933,Antoinette,33
CT,F,1933,Charlotte,33
CT,F,1933,Pauline,32
CT,F,1933,Joanne,31
CT,F,1933,Marlene,31
CT,F,1933,Beatrice,29
CT,F,1933,Ellen,29
CT,F,1933,Priscilla,29
CT,F,1933,Diane,28
CT,F,1933,Edith,28
CT,F,1933,Gertrude,28
CT,F,1933,Agnes,27
CT,F,1933,Eileen,27
CT,F,1933,Lucy,27
CT,F,1933,Carole,26
CT,F,1933,Cynthia,26
CT,F,1933,Esther,26
CT,F,1933,Jeannette,26
CT,F,1933,Katherine,26
CT,F,1933,Marcia,26
CT,F,1933,Maryann,26
CT,F,1933,Anita,25
CT,F,1933,Laura,25
CT,F,1933,Susan,25
CT,F,1933,Elsie,23
CT,F,1933,Gladys,23
CT,F,1933,Loretta,23
CT,F,1933,Bernice,22
CT,F,1933,Martha,21
CT,F,1933,Muriel,21
CT,F,1933,Rosemarie,21
CT,F,1933,Harriet,20
CT,F,1933,Jeanette,20
CT,F,1933,Julia,20
CT,F,1933,Vivian,20
CT,F,1933,Roberta,19
CT,F,1933,Sheila,19
CT,F,1933,Ethel,18
CT,F,1933,Marian,18
CT,F,1933,Suzanne,18
CT,F,1933,Gail,17
CT,F,1933,Leona,17
CT,F,1933,Marguerite,17
CT,F,1933,Thelma,17
CT,F,1933,Carmella,16
CT,F,1933,Caroline,16
CT,F,1933,Clara,16
CT,F,1933,Edna,16
CT,F,1933,Genevieve,16
CT,F,1933,Jennie,16
CT,F,1933,Kathryn,16
CT,F,1933,Teresa,16
CT,F,1933,Emily,15
CT,F,1933,Faith,15
CT,F,1933,Connie,14
CT,F,1933,Natalie,14
CT,F,1933,Angela,13
CT,F,1933,Angelina,13
CT,F,1933,Arline,13
CT,F,1933,Blanche,13
CT,F,1933,Diana,13
CT,F,1933,Elinor,13
CT,F,1933,Lena,13
CT,F,1933,Miriam,13
CT,F,1933,Sarah,13
CT,F,1933,Alma,12
CT,F,1933,Amelia,12
CT,F,1933,Annette,12
CT,F,1933,Bette,12
CT,F,1933,Corinne,12
CT,F,1933,Helene,12
CT,F,1933,Joann,12
CT,F,1933,Pearl,12
CT,F,1933,Peggy,12
CT,F,1933,Alberta,11
CT,F,1933,Carmela,11
CT,F,1933,Concetta,11
CT,F,1933,Hazel,11
CT,F,1933,Madeline,11
CT,F,1933,Marianne,11
CT,F,1933,Victoria,11
CT,F,1933,Christine,10
CT,F,1933,Eleanore,10
CT,F,1933,Eva,10
CT,F,1933,Ida,10
CT,F,1933,Jacquelyn,10
CT,F,1933,Marylou,10
CT,F,1933,Regina,10
CT,F,1933,Stella,10
CT,F,1933,Therese,10
CT,F,1933,Wanda,10
CT,F,1933,Adele,9
CT,F,1933,Estelle,9
CT,F,1933,Jessie,9
CT,F,1933,Judy,9
CT,F,1933,Mabel,9
CT,F,1933,Olga,9
CT,F,1933,Rosalie,9
CT,F,1933,Vera,9
CT,F,1933,Winifred,9
CT,F,1933,Bertha,8
CT,F,1933,Donna,8
CT,F,1933,Doreen,8
CT,F,1933,Georgia,8
CT,F,1933,Violet,8
CT,F,1933,Adrienne,7
CT,F,1933,Angeline,7
CT,F,1933,Betsy,7
CT,F,1933,Cecelia,7
CT,F,1933,Cecile,7
CT,F,1933,Delores,7
CT,F,1933,Emma,7
CT,F,1933,Eunice,7
CT,F,1933,Hope,7
CT,F,1933,Irma,7
CT,F,1933,Jeannine,7
CT,F,1933,Myrna,7
CT,F,1933,Naomi,7
CT,F,1933,Valerie,7
CT,F,1933,Viola,7
CT,F,1933,Yvonne,7
CT,F,1933,Alyce,6
CT,F,1933,Bernadette,6
CT,F,1933,Dorothea,6
CT,F,1933,Ella,6
CT,F,1933,Fay,6
CT,F,1933,Greta,6
CT,F,1933,Gwendolyn,6
CT,F,1933,Isabel,6
CT,F,1933,Margery,6
CT,F,1933,Maryjane,6
CT,F,1933,Myrtle,6
CT,F,1933,Olive,6
CT,F,1933,Pat,6
CT,F,1933,Veronica,6
CT,F,1933,Yolanda,6
CT,F,1933,Aline,5
CT,F,1933,Carmel,5
CT,F,1933,Celia,5
CT,F,1933,Cora,5
CT,F,1933,Deborah,5
CT,F,1933,Edythe,5
CT,F,1933,Jayne,5
CT,F,1933,Joy,5
CT,F,1933,Juliette,5
CT,F,1933,Karen,5
CT,F,1933,Lee,5
CT,F,1933,Lynn,5
CT,F,1933,Mae,5
CT,F,1933,Matilda,5
CT,F,1933,Noreen,5
CT,F,1933,Pamela,5
CT,F,1933,Paula,5
CT,F,1933,Rachel,5
CT,F,1933,Rae,5
CT,F,1933,Rhoda,5
CT,F,1933,Sara,5
CT,F,1933,Selma,5
CT,F,1933,Sophie,5
CT,F,1933,Wilma,5
CT,F,1934,Mary,459
CT,F,1934,Barbara,449
CT,F,1934,Joan,394
CT,F,1934,Patricia,313
CT,F,1934,Dorothy,250
CT,F,1934,Jean,214
CT,F,1934,Nancy,212
CT,F,1934,Shirley,198
CT,F,1934,Ann,176
CT,F,1934,Elizabeth,176
CT,F,1934,Carol,163
CT,F,1934,Marie,146
CT,F,1934,Margaret,142
CT,F,1934,Janet,131
CT,F,1934,Beverly,126
CT,F,1934,Helen,122
CT,F,1934,Betty,120
CT,F,1934,Ruth,120
CT,F,1934,Lorraine,112
CT,F,1934,Eleanor,105
CT,F,1934,Frances,105
CT,F,1934,Marilyn,101
CT,F,1934,Dolores,100
CT,F,1934,Lois,92
CT,F,1934,Phyllis,88
CT,F,1934,Gloria,86
CT,F,1934,Doris,83
CT,F,1934,Joyce,83
CT,F,1934,Rose,83
CT,F,1934,Jane,78
CT,F,1934,Virginia,78
CT,F,1934,Alice,77
CT,F,1934,Irene,77
CT,F,1934,Elaine,76
CT,F,1934,Judith,76
CT,F,1934,Theresa,74
CT,F,1934,Florence,73
CT,F,1934,Marion,73
CT,F,1934,Lillian,66
CT,F,1934,Anna,65
CT,F,1934,Rita,65
CT,F,1934,Evelyn,62
CT,F,1934,June,62
CT,F,1934,Arlene,59
CT,F,1934,Janice,58
CT,F,1934,Catherine,56
CT,F,1934,Lucille,56
CT,F,1934,Josephine,55
CT,F,1934,Marjorie,54
CT,F,1934,Jacqueline,53
CT,F,1934,Louise,53
CT,F,1934,Norma,53
CT,F,1934,Anne,52
CT,F,1934,Kathleen,51
CT,F,1934,Sally,50
CT,F,1934,Audrey,49
CT,F,1934,Eileen,47
CT,F,1934,Constance,45
CT,F,1934,Sandra,45
CT,F,1934,Joanne,43
CT,F,1934,Carole,42
CT,F,1934,Carolyn,42
CT,F,1934,Geraldine,42
CT,F,1934,Maureen,42
CT,F,1934,Susan,40
CT,F,1934,Sylvia,39
CT,F,1934,Claire,38
CT,F,1934,Grace,38
CT,F,1934,Cynthia,37
CT,F,1934,Edith,37
CT,F,1934,Katherine,36
CT,F,1934,Charlotte,34
CT,F,1934,Loretta,34
CT,F,1934,Jeanne,33
CT,F,1934,Mildred,33
CT,F,1934,Agnes,32
CT,F,1934,Anita,32
CT,F,1934,Ellen,31
CT,F,1934,Marlene,31
CT,F,1934,Martha,31
CT,F,1934,Roberta,31
CT,F,1934,Rosemarie,30
CT,F,1934,Harriet,28
CT,F,1934,Pauline,28
CT,F,1934,Marcia,27
CT,F,1934,Rosemary,27
CT,F,1934,Diane,26
CT,F,1934,Lucy,26
CT,F,1934,Annette,24
CT,F,1934,Bernice,24
CT,F,1934,Edna,24
CT,F,1934,Gail,24
CT,F,1934,Suzanne,24
CT,F,1934,Gertrude,23
CT,F,1934,Laura,23
CT,F,1934,Vivian,23
CT,F,1934,Clara,22
CT,F,1934,Jeannette,22
CT,F,1934,Antoinette,21
CT,F,1934,Caroline,21
CT,F,1934,Ethel,21
CT,F,1934,Gladys,21
CT,F,1934,Jeanette,20
CT,F,1934,Julia,20
CT,F,1934,Marguerite,20
CT,F,1934,Maryann,20
CT,F,1934,Sheila,20
CT,F,1934,Beatrice,19
CT,F,1934,Natalie,18
CT,F,1934,Esther,17
CT,F,1934,Kathryn,17
CT,F,1934,Angela,16
CT,F,1934,Angelina,15
CT,F,1934,Diana,15
CT,F,1934,Emily,14
CT,F,1934,Ida,14
CT,F,1934,Jennie,14
CT,F,1934,Joann,14
CT,F,1934,Marianne,14
CT,F,1934,Muriel,14
CT,F,1934,Priscilla,14
CT,F,1934,Concetta,13
CT,F,1934,Eva,13
CT,F,1934,Faith,13
CT,F,1934,Linda,13
CT,F,1934,Regina,13
CT,F,1934,Victoria,13
CT,F,1934,Carmela,12
CT,F,1934,Delores,12
CT,F,1934,Georgia,12
CT,F,1934,Helene,12
CT,F,1934,Madeline,12
CT,F,1934,Marian,12
CT,F,1934,Marylou,12
CT,F,1934,Sarah,12
CT,F,1934,Viola,12
CT,F,1934,Adele,11
CT,F,1934,Angeline,11
CT,F,1934,Donna,11
CT,F,1934,Elsie,11
CT,F,1934,Jacquelyn,11
CT,F,1934,Maria,11
CT,F,1934,Valerie,11
CT,F,1934,Veronica,11
CT,F,1934,Wanda,11
CT,F,1934,Arline,10
CT,F,1934,Bette,10
CT,F,1934,Deborah,10
CT,F,1934,Lena,10
CT,F,1934,Myrna,10
CT,F,1934,Peggy,10
CT,F,1934,Teresa,10
CT,F,1934,Violet,10
CT,F,1934,Alberta,9
CT,F,1934,Bertha,9
CT,F,1934,Estelle,9
CT,F,1934,Hazel,9
CT,F,1934,Leona,9
CT,F,1934,Olga,9
CT,F,1934,Rosalie,9
CT,F,1934,Wilma,9
CT,F,1934,Betsy,8
CT,F,1934,Carmella,8
CT,F,1934,Christine,8
CT,F,1934,Connie,8
CT,F,1934,Genevieve,8
CT,F,1934,Joy,8
CT,F,1934,Myrtle,8
CT,F,1934,Pearl,8
CT,F,1934,Stella,8
CT,F,1934,Winifred,8
CT,F,1934,Bernadette,7
CT,F,1934,Beverley,7
CT,F,1934,Blanche,7
CT,F,1934,Corinne,7
CT,F,1934,Dianne,7
CT,F,1934,Elinor,7
CT,F,1934,Eunice,7
CT,F,1934,Georgette,7
CT,F,1934,Isabelle,7
CT,F,1934,Johanna,7
CT,F,1934,Julie,7
CT,F,1934,Lenore,7
CT,F,1934,Margery,7
CT,F,1934,Miriam,7
CT,F,1934,Rachel,7
CT,F,1934,Sophie,7
CT,F,1934,Angie,6
CT,F,1934,Claudette,6
CT,F,1934,Ella,6
CT,F,1934,Fay,6
CT,F,1934,Hilda,6
CT,F,1934,Inez,6
CT,F,1934,Jeannine,6
CT,F,1934,Myra,6
CT,F,1934,Nan,6
CT,F,1934,Noreen,6
CT,F,1934,Sara,6
CT,F,1934,Thelma,6
CT,F,1934,Yvonne,6
CT,F,1934,Adelaide,5
CT,F,1934,Adeline,5
CT,F,1934,Annie,5
CT,F,1934,Bessie,5
CT,F,1934,Cecelia,5
CT,F,1934,Charlene,5
CT,F,1934,Cornelia,5
CT,F,1934,Dora,5
CT,F,1934,Elvira,5
CT,F,1934,Emma,5
CT,F,1934,Flora,5
CT,F,1934,Gwendolyn,5
CT,F,1934,Hope,5
CT,F,1934,Judy,5
CT,F,1934,Lee,5
CT,F,1934,Lucia,5
CT,F,1934,Mae,5
CT,F,1934,Marcella,5
CT,F,1934,Olive,5
CT,F,1934,Sondra,5
CT,F,1934,Sue,5
CT,F,1934,Therese,5
CT,F,1935,Barbara,494
CT,F,1935,Mary,428
CT,F,1935,Joan,398
CT,F,1935,Patricia,379
CT,F,1935,Shirley,335
CT,F,1935,Dorothy,214
CT,F,1935,Nancy,197
CT,F,1935,Carol,183
CT,F,1935,Jean,172
CT,F,1935,Margaret,164
CT,F,1935,Ann,160
CT,F,1935,Elizabeth,155
CT,F,1935,Janet,135
CT,F,1935,Judith,124
CT,F,1935,Beverly,120
CT,F,1935,Eleanor,119
CT,F,1935,Lorraine,117
CT,F,1935,Dolores,114
CT,F,1935,Helen,114
CT,F,1935,Marie,114
CT,F,1935,Joyce,111
CT,F,1935,Marilyn,106
CT,F,1935,Lois,104
CT,F,1935,Frances,97
CT,F,1935,Betty,93
CT,F,1935,Elaine,85
CT,F,1935,Virginia,80
CT,F,1935,Phyllis,78
CT,F,1935,Rose,78
CT,F,1935,Irene,76
CT,F,1935,Ruth,76
CT,F,1935,Alice,75
CT,F,1935,Gloria,74
CT,F,1935,Marion,74
CT,F,1935,Anna,70
CT,F,1935,Anne,69
CT,F,1935,Theresa,69
CT,F,1935,Jane,68
CT,F,1935,Sandra,68
CT,F,1935,Doris,67
CT,F,1935,Florence,65
CT,F,1935,Catherine,62
CT,F,1935,Evelyn,60
CT,F,1935,Marjorie,60
CT,F,1935,Lucille,57
CT,F,1935,Josephine,56
CT,F,1935,Audrey,55
CT,F,1935,Claire,54
CT,F,1935,Carolyn,53
CT,F,1935,Jacqueline,53
CT,F,1935,Carole,52
CT,F,1935,Geraldine,52
CT,F,1935,Joanne,52
CT,F,1935,Gail,51
CT,F,1935,Sally,51
CT,F,1935,Maureen,50
CT,F,1935,Rita,49
CT,F,1935,Kathleen,46
CT,F,1935,Roberta,45
CT,F,1935,Janice,44
CT,F,1935,June,44
CT,F,1935,Arlene,43
CT,F,1935,Jeanne,43
CT,F,1935,Louise,43
CT,F,1935,Grace,42
CT,F,1935,Charlotte,41
CT,F,1935,Cynthia,41
CT,F,1935,Lillian,41
CT,F,1935,Susan,38
CT,F,1935,Eileen,37
CT,F,1935,Rosemary,36
CT,F,1935,Anita,35
CT,F,1935,Diane,35
CT,F,1935,Katherine,33
CT,F,1935,Marlene,33
CT,F,1935,Norma,33
CT,F,1935,Pauline,32
CT,F,1935,Edith,30
CT,F,1935,Jeannette,29
CT,F,1935,Loretta,29
CT,F,1935,Maryann,29
CT,F,1935,Mildred,29
CT,F,1935,Harriet,28
CT,F,1935,Sheila,28
CT,F,1935,Sylvia,28
CT,F,1935,Jeanette,27
CT,F,1935,Constance,26
CT,F,1935,Rosemarie,26
CT,F,1935,Ellen,25
CT,F,1935,Lucy,25
CT,F,1935,Beatrice,23
CT,F,1935,Esther,23
CT,F,1935,Laura,23
CT,F,1935,Martha,23
CT,F,1935,Gertrude,22
CT,F,1935,Clara,21
CT,F,1935,Donna,20
CT,F,1935,Marcia,20
CT,F,1935,Marian,20
CT,F,1935,Vivian,20
CT,F,1935,Annette,19
CT,F,1935,Caroline,19
CT,F,1935,Judy,19
CT,F,1935,Priscilla,19
CT,F,1935,Arline,18
CT,F,1935,Julia,18
CT,F,1935,Gladys,17
CT,F,1935,Veronica,17
CT,F,1935,Christine,16
CT,F,1935,Kathryn,16
CT,F,1935,Muriel,16
CT,F,1935,Carmela,15
CT,F,1935,Leona,15
CT,F,1935,Sarah,15
CT,F,1935,Adrienne,14
CT,F,1935,Bernice,14
CT,F,1935,Bertha,14
CT,F,1935,Elsie,14
CT,F,1935,Genevieve,14
CT,F,1935,Jacquelyn,14
CT,F,1935,Madeline,14
CT,F,1935,Marianne,14
CT,F,1935,Rosalie,14
CT,F,1935,Suzanne,14
CT,F,1935,Agnes,13
CT,F,1935,Angela,13
CT,F,1935,Antoinette,13
CT,F,1935,Cecile,13
CT,F,1935,Concetta,13
CT,F,1935,Diana,13
CT,F,1935,Natalie,13
CT,F,1935,Yvonne,13
CT,F,1935,Angelina,12
CT,F,1935,Edna,12
CT,F,1935,Elinor,12
CT,F,1935,Emily,12
CT,F,1935,Joann,12
CT,F,1935,Linda,12
CT,F,1935,Marguerite,12
CT,F,1935,Miriam,11
CT,F,1935,Vera,11
CT,F,1935,Alberta,10
CT,F,1935,Claudette,10
CT,F,1935,Connie,10
CT,F,1935,Ethel,10
CT,F,1935,Helene,10
CT,F,1935,Marylou,10
CT,F,1935,Paula,10
CT,F,1935,Sophie,10
CT,F,1935,Amelia,9
CT,F,1935,Betsy,9
CT,F,1935,Blanche,9
CT,F,1935,Carmella,9
CT,F,1935,Claudia,9
CT,F,1935,Delores,9
CT,F,1935,Edwina,9
CT,F,1935,Ida,9
CT,F,1935,Irma,9
CT,F,1935,Lynn,9
CT,F,1935,Myrna,9
CT,F,1935,Peggy,9
CT,F,1935,Regina,9
CT,F,1935,Teresa,9
CT,F,1935,Valerie,9
CT,F,1935,Bette,8
CT,F,1935,Carmel,8
CT,F,1935,Isabelle,8
CT,F,1935,Joy,8
CT,F,1935,Lena,8
CT,F,1935,Mabel,8
CT,F,1935,Mae,8
CT,F,1935,Nora,8
CT,F,1935,Rhoda,8
CT,F,1935,Roseann,8
CT,F,1935,Violet,8
CT,F,1935,Wanda,8
CT,F,1935,Winifred,8
CT,F,1935,Adele,7
CT,F,1935,Dawn,7
CT,F,1935,Doreen,7
CT,F,1935,Georgette,7
CT,F,1935,Gwendolyn,7
CT,F,1935,Hazel,7
CT,F,1935,Hope,7
CT,F,1935,Katharine,7
CT,F,1935,Margery,7
CT,F,1935,Maxine,7
CT,F,1935,Olga,7
CT,F,1935,Rachel,7
CT,F,1935,Sharon,7
CT,F,1935,Therese,7
CT,F,1935,Victoria,7
CT,F,1935,Viola,7
CT,F,1935,Yolanda,7
CT,F,1935,Alma,6
CT,F,1935,Angeline,6
CT,F,1935,Cecelia,6
CT,F,1935,Charlene,6
CT,F,1935,Colleen,6
CT,F,1935,Estelle,6
CT,F,1935,Faith,6
CT,F,1935,Gayle,6
CT,F,1935,Iris,6
CT,F,1935,Julie,6
CT,F,1935,Karen,6
CT,F,1935,Lenore,6
CT,F,1935,Lydia,6
CT,F,1935,Lynne,6
CT,F,1935,Marcella,6
CT,F,1935,Maria,6
CT,F,1935,May,6
CT,F,1935,Merle,6
CT,F,1935,Sondra,6
CT,F,1935,Sue,6
CT,F,1935,Ursula,6
CT,F,1935,William,6
CT,F,1935,Ada,5
CT,F,1935,Bernadette,5
CT,F,1935,Corinne,5
CT,F,1935,Deborah,5
CT,F,1935,Denise,5
CT,F,1935,Dixie,5
CT,F,1935,Dorothea,5
CT,F,1935,Emma,5
CT,F,1935,Ernestine,5
CT,F,1935,Eva,5
CT,F,1935,Georgianna,5
CT,F,1935,Gretchen,5
CT,F,1935,Henrietta,5
CT,F,1935,Janis,5
CT,F,1935,Jeannine,5
CT,F,1935,Jennie,5
CT,F,1935,Joanna,5
CT,F,1935,Johanna,5
CT,F,1935,John,5
CT,F,1935,Lee,5
CT,F,1935,Maryellen,5
CT,F,1935,Monica,5
CT,F,1935,Nellie,5
CT,F,1935,Nina,5
CT,F,1935,Palma,5
CT,F,1935,Pearl,5
CT,F,1935,Ruby,5
CT,F,1935,Stella,5
CT,F,1935,Verna,5
CT,F,1936,Barbara,513
CT,F,1936,Mary,422
CT,F,1936,Joan,383
CT,F,1936,Patricia,372
CT,F,1936,Carol,229
CT,F,1936,Shirley,221
CT,F,1936,Nancy,208
CT,F,1936,Dorothy,202
CT,F,1936,Margaret,168
CT,F,1936,Elizabeth,150
CT,F,1936,Jean,148
CT,F,1936,Beverly,142
CT,F,1936,Ann,137
CT,F,1936,Marilyn,121
CT,F,1936,Marie,116
CT,F,1936,Joyce,113
CT,F,1936,Lorraine,113
CT,F,1936,Janet,112
