StateCode,Sex,YearOfBirth,Name,Number
CT,F,1962,Betsy,24
CT,F,1962,Dina,24
CT,F,1962,Jeanette,24
CT,F,1962,Kimberley,24
CT,F,1962,Marybeth,24
CT,F,1962,Shari,24
CT,F,1962,Shelley,24
CT,F,1962,Vanessa,24
CT,F,1962,Bridget,23
CT,F,1962,Connie,23
CT,F,1962,Janine,23
CT,F,1962,Josephine,23
CT,F,1962,Marjorie,23
CT,F,1962,Veronica,23
CT,F,1962,Cathleen,22
CT,F,1962,Crystal,22
CT,F,1962,Dolores,22
CT,F,1962,Doris,22
CT,F,1962,Gretchen,22
CT,F,1962,Jackie,22
CT,F,1962,Lydia,22
CT,F,1962,Natalie,22
CT,F,1962,Pam,22
CT,F,1962,Peggy,22
CT,F,1962,Tamara,22
CT,F,1962,Yvette,22
CT,F,1962,Alicia,21
CT,F,1962,April,21
CT,F,1962,Charlotte,21
CT,F,1962,Claire,21
CT,F,1962,Kerry,21
CT,F,1962,Lillian,21
CT,F,1962,Lucy,21
CT,F,1962,Nicole,21
CT,F,1962,Norma,21
CT,F,1962,Stacy,21
CT,F,1962,Tami,21
CT,F,1962,Annmarie,20
CT,F,1962,Betty,20
CT,F,1962,Deanna,20
CT,F,1962,Kelley,20
CT,F,1962,Kristin,20
CT,F,1962,Nina,20
CT,F,1962,Robyn,20
CT,F,1962,Rosa,20
CT,F,1962,Sandy,20
CT,F,1962,Corinne,19
CT,F,1962,Deirdre,19
CT,F,1962,Kristen,19
CT,F,1962,Lois,19
CT,F,1962,Marsha,19
CT,F,1962,Danielle,18
CT,F,1962,Jacquelyn,18
CT,F,1962,Melinda,18
CT,F,1962,Nora,18
CT,F,1962,Susanne,18
CT,F,1962,Yolanda,18
CT,F,1962,June,17
CT,F,1962,Kristine,17
CT,F,1962,Rachel,17
CT,F,1962,Tara,17
CT,F,1962,Amanda,16
CT,F,1962,Arlene,16
CT,F,1962,Belinda,16
CT,F,1962,Bernadette,16
CT,F,1962,Francine,16
CT,F,1962,Grace,16
CT,F,1962,Irene,16
CT,F,1962,Monique,16
CT,F,1962,Therese,16
CT,F,1962,Traci,16
CT,F,1962,Antoinette,15
CT,F,1962,Elena,15
CT,F,1962,Erin,15
CT,F,1962,Jayne,15
CT,F,1962,Maryellen,15
CT,F,1962,Miriam,15
CT,F,1962,Roxanne,15
CT,F,1962,Shelly,15
CT,F,1962,Adrienne,14
CT,F,1962,Eleanor,14
CT,F,1962,Eva,14
CT,F,1962,Gladys,14
CT,F,1962,Jan,14
CT,F,1962,Joanna,14
CT,F,1962,Karin,14
CT,F,1962,Marion,14
CT,F,1962,Pauline,14
CT,F,1962,Tammie,14
CT,F,1962,Geraldine,13
CT,F,1962,Gwendolyn,13
CT,F,1962,Laureen,13
CT,F,1962,Laurel,13
CT,F,1962,Luann,13
CT,F,1962,Patrice,13
CT,F,1962,Priscilla,13
CT,F,1962,Sherrie,13
CT,F,1962,Faith,12
CT,F,1962,Felicia,12
CT,F,1962,Florence,12
CT,F,1962,Jessica,12
CT,F,1962,Johanna,12
CT,F,1962,Loriann,12
CT,F,1962,Sonya,12
CT,F,1962,Vickie,12
CT,F,1962,Cherie,11
CT,F,1962,Debora,11
CT,F,1962,Edna,11
CT,F,1962,Elisa,11
CT,F,1962,Elisabeth,11
CT,F,1962,Jeannine,11
CT,F,1962,Juanita,11
CT,F,1962,Kimberlee,11
CT,F,1962,Lorie,11
CT,F,1962,Meg,11
CT,F,1962,Teri,11
CT,F,1962,Daphne,10
CT,F,1962,Emma,10
CT,F,1962,Ingrid,10
CT,F,1962,Iris,10
CT,F,1962,Jeannette,10
CT,F,1962,Jenifer,10
CT,F,1962,Justine,10
CT,F,1962,Lesley,10
CT,F,1962,Lorrie,10
CT,F,1962,Lucille,10
CT,F,1962,Lucinda,10
CT,F,1962,Madeline,10
CT,F,1962,Marcella,10
CT,F,1962,Maritza,10
CT,F,1962,Mildred,10
CT,F,1962,Paige,10
CT,F,1962,Patti,10
CT,F,1962,Patty,10
CT,F,1962,Rae,10
CT,F,1962,Shawn,10
CT,F,1962,Vicky,10
CT,F,1962,Vivian,10
CT,F,1962,Annemarie,9
CT,F,1962,Candace,9
CT,F,1962,Cara,9
CT,F,1962,Cheri,9
CT,F,1962,Chris,9
CT,F,1962,Clare,9
CT,F,1962,Darcy,9
CT,F,1962,Dianna,9
CT,F,1962,Emily,9
CT,F,1962,Erica,9
CT,F,1962,Glenda,9
CT,F,1962,Gwen,9
CT,F,1962,Jenny,9
CT,F,1962,Julianne,9
CT,F,1962,Kara,9
CT,F,1962,Marcy,9
CT,F,1962,Margarita,9
CT,F,1962,Melody,9
CT,F,1962,Migdalia,9
CT,F,1962,Sonia,9
CT,F,1962,Suzette,9
CT,F,1962,Tracie,9
CT,F,1962,Annie,8
CT,F,1962,Cassandra,8
CT,F,1962,Christa,8
CT,F,1962,Desiree,8
CT,F,1962,Dora,8
CT,F,1962,Francesca,8
CT,F,1962,Georgia,8
CT,F,1962,Karla,8
CT,F,1962,Katharine,8
CT,F,1962,Leigh,8
CT,F,1962,Marci,8
CT,F,1962,Margot,8
CT,F,1962,Marguerite,8
CT,F,1962,Maribeth,8
CT,F,1962,Megan,8
CT,F,1962,Olga,8
CT,F,1962,Roseanne,8
CT,F,1962,Becky,7
CT,F,1962,Bernice,7
CT,F,1962,Candy,7
CT,F,1962,Claudette,7
CT,F,1962,Daria,7
CT,F,1962,Delores,7
CT,F,1962,Edith,7
CT,F,1962,Eve,7
CT,F,1962,Georgette,7
CT,F,1962,Janis,7
CT,F,1962,Jodie,7
CT,F,1962,Kristina,7
CT,F,1962,Lauri,7
CT,F,1962,Leah,7
CT,F,1962,Leanne,7
CT,F,1962,Lenora,7
CT,F,1962,Lucia,7
CT,F,1962,Luz,7
CT,F,1962,Margie,7
CT,F,1962,Marla,7
CT,F,1962,Maryanne,7
CT,F,1962,Marylou,7
CT,F,1962,Milagros,7
CT,F,1962,Minerva,7
CT,F,1962,Naomi,7
CT,F,1962,Rene,7
CT,F,1962,Rochelle,7
CT,F,1962,Roseann,7
CT,F,1962,Sabrina,7
CT,F,1962,Terrie,7
CT,F,1962,Tonya,7
CT,F,1962,Wilma,7
CT,F,1962,Awilda,6
CT,F,1962,Beatrice,6
CT,F,1962,Caryn,6
CT,F,1962,Cecilia,6
CT,F,1962,Cindi,6
CT,F,1962,Cornelia,6
CT,F,1962,Debby,6
CT,F,1962,Deidre,6
CT,F,1962,Dona,6
CT,F,1962,Elise,6
CT,F,1962,Erika,6
CT,F,1962,Esther,6
CT,F,1962,Gayle,6
CT,F,1962,Helene,6
CT,F,1962,Jocelyn,6
CT,F,1962,Johnna,6
CT,F,1962,Juliann,6
CT,F,1962,Kate,6
CT,F,1962,Katrina,6
CT,F,1962,Kelli,6
CT,F,1962,Kirsten,6
CT,F,1962,Leeann,6
CT,F,1962,Lenore,6
CT,F,1962,Lise,6
CT,F,1962,Liz,6
CT,F,1962,Liza,6
CT,F,1962,Lora,6
CT,F,1962,Margo,6
CT,F,1962,Marian,6
CT,F,1962,Marisa,6
CT,F,1962,Maryjo,6
CT,F,1962,Ramona,6
CT,F,1962,Randi,6
CT,F,1962,Ronda,6
CT,F,1962,Rosalie,6
CT,F,1962,Tanya,6
CT,F,1962,Terese,6
CT,F,1962,Abigail,5
CT,F,1962,Aileen,5
CT,F,1962,Amber,5
CT,F,1962,Angelina,5
CT,F,1962,Annamaria,5
CT,F,1962,Caren,5
CT,F,1962,Carleen,5
CT,F,1962,Cathryn,5
CT,F,1962,Celeste,5
CT,F,1962,Celia,5
CT,F,1962,Colette,5
CT,F,1962,Daisy,5
CT,F,1962,Dale,5
CT,F,1962,Dorene,5
CT,F,1962,Ethel,5
CT,F,1962,Faye,5
CT,F,1962,Gale,5
CT,F,1962,Genevieve,5
CT,F,1962,Gisele,5
CT,F,1962,Hilary,5
CT,F,1962,Hope,5
CT,F,1962,Ida,5
CT,F,1962,Ivy,5
CT,F,1962,Jennie,5
CT,F,1962,John,5
CT,F,1962,Joni,5
CT,F,1962,Kari,5
CT,F,1962,Karyn,5
CT,F,1962,Katy,5
CT,F,1962,Lena,5
CT,F,1962,Leona,5
CT,F,1962,Lorna,5
CT,F,1962,Lyn,5
CT,F,1962,Maryjane,5
CT,F,1962,Meredith,5
CT,F,1962,Mimi,5
CT,F,1962,Mindy,5
CT,F,1962,Mona,5
CT,F,1962,Muriel,5
CT,F,1962,Nanette,5
CT,F,1962,Nilda,5
CT,F,1962,Noemi,5
CT,F,1962,Paulette,5
CT,F,1962,Rena,5
CT,F,1962,Robert,5
CT,F,1962,Rosalind,5
CT,F,1962,Simone,5
CT,F,1962,Tammi,5
CT,F,1962,Tamra,5
CT,F,1962,Tricia,5
CT,F,1962,Valarie,5
CT,F,1962,Vera,5
CT,F,1963,Lisa,1086
CT,F,1963,Susan,714
CT,F,1963,Karen,597
CT,F,1963,Mary,591
CT,F,1963,Linda,453
CT,F,1963,Donna,428
CT,F,1963,Lori,412
CT,F,1963,Elizabeth,405
CT,F,1963,Deborah,402
CT,F,1963,Patricia,392
CT,F,1963,Kathleen,335
CT,F,1963,Laura,310
CT,F,1963,Cheryl,299
CT,F,1963,Sandra,294
CT,F,1963,Cynthia,293
CT,F,1963,Christine,286
CT,F,1963,Nancy,279
CT,F,1963,Diane,275
CT,F,1963,Barbara,271
CT,F,1963,Kimberly,267
CT,F,1963,Pamela,255
CT,F,1963,Robin,248
CT,F,1963,Sharon,238
CT,F,1963,Laurie,236
CT,F,1963,Denise,208
CT,F,1963,Margaret,207
CT,F,1963,Debra,204
CT,F,1963,Brenda,202
CT,F,1963,Dawn,200
CT,F,1963,Carol,197
CT,F,1963,Lynn,195
CT,F,1963,Jennifer,194
CT,F,1963,Theresa,187
CT,F,1963,Wendy,178
CT,F,1963,Catherine,173
CT,F,1963,Michele,171
CT,F,1963,Ann,169
CT,F,1963,Kim,166
CT,F,1963,Michelle,158
CT,F,1963,Tracy,156
CT,F,1963,Maria,154
CT,F,1963,Paula,151
CT,F,1963,Tammy,151
CT,F,1963,Janet,148
CT,F,1963,Beth,141
CT,F,1963,Kelly,141
CT,F,1963,Suzanne,138
CT,F,1963,Jacqueline,130
CT,F,1963,Amy,129
CT,F,1963,Maureen,128
CT,F,1963,Tina,122
CT,F,1963,Anne,121
CT,F,1963,Judith,116
CT,F,1963,Katherine,115
CT,F,1963,Leslie,113
CT,F,1963,Cindy,107
CT,F,1963,Julie,106
CT,F,1963,Jane,104
CT,F,1963,Sheila,104
CT,F,1963,Janice,102
CT,F,1963,Andrea,100
CT,F,1963,Gail,97
CT,F,1963,Ellen,96
CT,F,1963,Kathy,96
CT,F,1963,Bonnie,95
CT,F,1963,Eileen,94
CT,F,1963,Carolyn,92
CT,F,1963,Jean,91
CT,F,1963,Darlene,90
CT,F,1963,Diana,89
CT,F,1963,Teresa,89
CT,F,1963,Melissa,88
CT,F,1963,Jill,85
CT,F,1963,Valerie,83
CT,F,1963,Colleen,82
CT,F,1963,Debbie,82
CT,F,1963,Sarah,82
CT,F,1963,Heidi,81
CT,F,1963,Joan,81
CT,F,1963,Marie,81
CT,F,1963,Joanne,79
CT,F,1963,Tracey,79
CT,F,1963,Gina,78
CT,F,1963,Kathryn,78
CT,F,1963,Martha,76
CT,F,1963,Holly,72
CT,F,1963,Angela,70
CT,F,1963,Sherry,70
CT,F,1963,Doreen,69
CT,F,1963,Renee,69
CT,F,1963,Rebecca,68
CT,F,1963,Cathy,66
CT,F,1963,Elaine,65
CT,F,1963,Lynne,64
CT,F,1963,Sherri,63
CT,F,1963,Terri,63
CT,F,1963,Anna,60
CT,F,1963,Joann,60
CT,F,1963,Stephanie,60
CT,F,1963,Alison,59
CT,F,1963,Joyce,58
CT,F,1963,Judy,58
CT,F,1963,Lauren,56
CT,F,1963,Regina,55
CT,F,1963,Victoria,55
CT,F,1963,Christina,54
CT,F,1963,Heather,52
CT,F,1963,Lorraine,51
CT,F,1963,Virginia,51
CT,F,1963,Jeanne,50
CT,F,1963,Sally,50
CT,F,1963,Dana,49
CT,F,1963,Gloria,49
CT,F,1963,Ruth,48
CT,F,1963,Annette,47
CT,F,1963,Dorothy,46
CT,F,1963,Rhonda,46
CT,F,1963,Wanda,45
CT,F,1963,Anita,44
CT,F,1963,April,44
CT,F,1963,Monica,44
CT,F,1963,Evelyn,43
CT,F,1963,Helen,43
CT,F,1963,Shirley,43
CT,F,1963,Charlene,42
CT,F,1963,Marianne,42
CT,F,1963,Louise,41
CT,F,1963,Rita,41
CT,F,1963,Rose,41
CT,F,1963,Stacey,41
CT,F,1963,Penny,39
CT,F,1963,Roberta,39
CT,F,1963,Alice,38
CT,F,1963,Allison,38
CT,F,1963,Marilyn,37
CT,F,1963,Rosemary,37
CT,F,1963,Terry,37
CT,F,1963,Caroline,36
CT,F,1963,Marcia,36
CT,F,1963,Sheryl,36
CT,F,1963,Melanie,35
CT,F,1963,Phyllis,35
CT,F,1963,Sara,35
CT,F,1963,Beverly,34
CT,F,1963,Carrie,34
CT,F,1963,Marjorie,34
CT,F,1963,Loretta,33
CT,F,1963,Marlene,33
CT,F,1963,Carla,32
CT,F,1963,Julia,32
CT,F,1963,Yvonne,32
CT,F,1963,Kristin,31
CT,F,1963,Maryann,30
CT,F,1963,Maura,30
CT,F,1963,Alicia,29
CT,F,1963,Carmen,29
CT,F,1963,Connie,29
CT,F,1963,Dianne,29
CT,F,1963,Joy,29
CT,F,1963,Audrey,28
CT,F,1963,Doris,28
CT,F,1963,Rosemarie,28
CT,F,1963,Sue,28
CT,F,1963,Yvette,28
CT,F,1963,Betsy,27
CT,F,1963,Priscilla,27
CT,F,1963,Rachel,27
CT,F,1963,Stacy,27
CT,F,1963,Jodi,26
CT,F,1963,Monique,26
CT,F,1963,Sheri,26
CT,F,1963,Veronica,26
CT,F,1963,Annmarie,25
CT,F,1963,Dina,25
CT,F,1963,Erin,25
CT,F,1963,Gretchen,25
CT,F,1963,Jamie,25
CT,F,1963,Jody,25
CT,F,1963,Kristen,25
CT,F,1963,Maryellen,25
CT,F,1963,Claudia,24
CT,F,1963,Constance,24
CT,F,1963,Frances,24
CT,F,1963,Shari,24
CT,F,1963,Sylvia,24
CT,F,1963,Betty,23
CT,F,1963,Cherie,23
CT,F,1963,Crystal,23
CT,F,1963,Jo,23
CT,F,1963,Melinda,23
CT,F,1963,Peggy,23
CT,F,1963,Robyn,23
CT,F,1963,Carole,22
CT,F,1963,June,22
CT,F,1963,Kerry,22
CT,F,1963,Lee,22
CT,F,1963,Irene,21
CT,F,1963,Jessica,21
CT,F,1963,Kristine,21
CT,F,1963,Leah,21
CT,F,1963,Natalie,21
CT,F,1963,Tamara,21
CT,F,1963,Belinda,20
CT,F,1963,Danielle,20
CT,F,1963,Deirdre,20
CT,F,1963,Faith,20
CT,F,1963,Karin,20
CT,F,1963,Marybeth,20
CT,F,1963,Patty,20
CT,F,1963,Tara,20
CT,F,1963,Emily,19
CT,F,1963,Felicia,19
CT,F,1963,Kelley,19
CT,F,1963,Sandy,19
CT,F,1963,Shelly,19
CT,F,1963,Arlene,18
CT,F,1963,Bridget,18
CT,F,1963,Grace,18
