StateCode,Sex,YearOfBirth,Name,Number
CT,F,2002,Maya,54
CT,F,2002,Riley,54
CT,F,2002,Danielle,53
CT,F,2002,Gianna,53
CT,F,2002,Caitlin,52
CT,F,2002,Aaliyah,50
CT,F,2002,Isabelle,50
CT,F,2002,Katelyn,50
CT,F,2002,Faith,49
CT,F,2002,Margaret,49
CT,F,2002,Sofia,49
CT,F,2002,Zoe,48
CT,F,2002,Briana,47
CT,F,2002,Kathryn,47
CT,F,2002,Catherine,46
CT,F,2002,Haley,46
CT,F,2002,Makayla,46
CT,F,2002,Melissa,46
CT,F,2002,Juliana,45
CT,F,2002,Maria,45
CT,F,2002,Cassandra,44
CT,F,2002,Leah,44
CT,F,2002,Sierra,44
CT,F,2002,Vanessa,44
CT,F,2002,Kylie,43
CT,F,2002,Ella,42
CT,F,2002,Mikayla,42
CT,F,2002,Jacqueline,41
CT,F,2002,Jada,41
CT,F,2002,Melanie,41
CT,F,2002,Sabrina,41
CT,F,2002,Lindsey,40
CT,F,2002,Shannon,40
CT,F,2002,Kaylee,39
CT,F,2002,Lillian,39
CT,F,2002,Angela,38
CT,F,2002,Ashanti,38
CT,F,2002,Amy,37
CT,F,2002,Arianna,37
CT,F,2002,Bianca,37
CT,F,2002,Gabriela,37
CT,F,2002,Jade,37
CT,F,2002,Michelle,37
CT,F,2002,Marissa,36
CT,F,2002,Savannah,36
CT,F,2002,Julianna,35
CT,F,2002,Kiara,35
CT,F,2002,Meghan,35
CT,F,2002,Natalia,34
CT,F,2002,Laura,33
CT,F,2002,Autumn,32
CT,F,2002,Isabel,32
CT,F,2002,Kelsey,32
CT,F,2002,Alexia,31
CT,F,2002,Andrea,31
CT,F,2002,Cassidy,31
CT,F,2002,Trinity,31
CT,F,2002,Jocelyn,30
CT,F,2002,Kimberly,30
CT,F,2002,Mariah,30
CT,F,2002,Erica,29
CT,F,2002,Heather,29
CT,F,2002,Madelyn,29
CT,F,2002,Audrey,28
CT,F,2002,Caitlyn,27
CT,F,2002,Courtney,26
CT,F,2002,Lindsay,26
CT,F,2002,Skylar,26
CT,F,2002,Alicia,25
CT,F,2002,Bridget,25
CT,F,2002,Chelsea,25
CT,F,2002,Hope,25
CT,F,2002,Julie,25
CT,F,2002,Kaitlin,25
CT,F,2002,Valerie,25
CT,F,2002,Amelia,24
CT,F,2002,Avery,24
CT,F,2002,Carly,24
CT,F,2002,Lydia,24
CT,F,2002,Maeve,24
CT,F,2002,Adrianna,23
CT,F,2002,Daniela,23
CT,F,2002,Elena,23
CT,F,2002,Erika,23
CT,F,2002,Katie,23
CT,F,2002,Michaela,23
CT,F,2002,Tatiana,23
CT,F,2002,Veronica,23
CT,F,2002,Adriana,22
CT,F,2002,Delaney,22
CT,F,2002,Hanna,22
CT,F,2002,Jamie,22
CT,F,2002,Kate,22
CT,F,2002,Kathleen,22
CT,F,2002,Naomi,22
CT,F,2002,Alexandria,21
CT,F,2002,Angelica,21
CT,F,2002,Clara,21
CT,F,2002,Diana,21
CT,F,2002,Eva,21
CT,F,2002,Gillian,21
CT,F,2002,Hayley,21
CT,F,2002,Kristina,20
