StateCode,Sex,YearOfBirth,Name,Number
CT,M,1919,Gabriel,5
CT,M,1919,Guy,5
CT,M,1919,Isadore,5
CT,M,1919,Joel,5
CT,M,1919,Lloyd,5
CT,M,1919,Lucian,5
CT,M,1919,Malcolm,5
CT,M,1919,Micheal,5
CT,M,1919,Mitchell,5
CT,M,1919,Nickolas,5
CT,M,1919,Ray,5
CT,M,1919,Santo,5
CT,M,1919,Solomon,5
CT,M,1919,Sylvester,5
CT,M,1919,Timothy,5
CT,M,1919,Wilson,5
CT,M,1920,John,1037
CT,M,1920,Joseph,743
CT,M,1920,William,626
CT,M,1920,Robert,543
CT,M,1920,Edward,521
CT,M,1920,George,419
CT,M,1920,Frank,352
CT,M,1920,James,349
CT,M,1920,Charles,333
CT,M,1920,Walter,243
CT,M,1920,Anthony,227
CT,M,1920,Raymond,225
CT,M,1920,Thomas,206
CT,M,1920,Richard,199
CT,M,1920,Francis,194
CT,M,1920,Arthur,192
CT,M,1920,Albert,189
CT,M,1920,Henry,186
CT,M,1920,Michael,183
CT,M,1920,Stanley,167
CT,M,1920,Louis,159
CT,M,1920,Harold,144
CT,M,1920,Harry,134
CT,M,1920,Peter,130
CT,M,1920,Donald,122
CT,M,1920,Paul,122
CT,M,1920,Ralph,105
CT,M,1920,Andrew,94
CT,M,1920,David,92
CT,M,1920,Alfred,90
CT,M,1920,Vincent,88
CT,M,1920,Howard,87
CT,M,1920,Frederick,86
CT,M,1920,Theodore,86
CT,M,1920,Kenneth,84
CT,M,1920,Fred,83
CT,M,1920,Daniel,79
CT,M,1920,Ernest,78
CT,M,1920,Stephen,77
CT,M,1920,Eugene,72
CT,M,1920,Salvatore,70
CT,M,1920,Leonard,68
CT,M,1920,Lawrence,66
CT,M,1920,Nicholas,62
CT,M,1920,Philip,62
CT,M,1920,Victor,62
CT,M,1920,Warren,62
CT,M,1920,Carl,61
CT,M,1920,Russell,61
CT,M,1920,Norman,58
CT,M,1920,Bernard,57
CT,M,1920,Leo,56
CT,M,1920,Chester,55
CT,M,1920,Herbert,55
CT,M,1920,Alexander,54
CT,M,1920,Irving,54
CT,M,1920,Samuel,50
CT,M,1920,Edwin,46
CT,M,1920,Jack,45
CT,M,1920,Angelo,43
CT,M,1920,Milton,43
CT,M,1920,Roger,43
CT,M,1920,Clarence,41
CT,M,1920,Clifford,39
CT,M,1920,Edmund,39
CT,M,1920,Dominick,35
CT,M,1920,Benjamin,34
CT,M,1920,Dominic,33
CT,M,1920,Earl,33
CT,M,1920,Martin,33
CT,M,1920,Matthew,31
CT,M,1920,Leon,28
CT,M,1920,Steven,28
CT,M,1920,Douglas,27
CT,M,1920,Julius,27
CT,M,1920,Roy,27
CT,M,1920,Sidney,27
