StateCode,Sex,YearOfBirth,Name,Number
CT,M,1990,Gary,41
CT,M,1990,Nathaniel,41
CT,M,1990,Victor,39
CT,M,1990,Cameron,38
CT,M,1990,Edwin,37
CT,M,1990,Julian,37
CT,M,1990,Andre,36
CT,M,1990,Dennis,36
CT,M,1990,Gabriel,35
CT,M,1990,Antonio,34
CT,M,1990,Russell,34
CT,M,1990,Todd,34
CT,M,1990,Jake,33
CT,M,1990,Mathew,33
CT,M,1990,Max,33
CT,M,1990,Maxwell,33
CT,M,1990,Alan,32
CT,M,1990,Garrett,32
CT,M,1990,Lucas,32
CT,M,1990,Luke,32
CT,M,1990,Arthur,31
CT,M,1990,Chad,31
CT,M,1990,Seth,31
CT,M,1990,Cory,30
CT,M,1990,Mitchell,30
CT,M,1990,Phillip,30
CT,M,1990,Ronald,30
CT,M,1990,Wesley,30
CT,M,1990,Dustin,28
CT,M,1990,Adrian,27
CT,M,1990,Jack,27
CT,M,1990,Johnathan,27
CT,M,1990,Ricardo,26
CT,M,1990,Curtis,25
CT,M,1990,Dominic,25
CT,M,1990,Geoffrey,25
CT,M,1990,Jorge,25
CT,M,1990,Rafael,25
CT,M,1990,Troy,25
CT,M,1990,Giovanni,24
CT,M,1990,Hector,24
CT,M,1990,Henry,24
CT,M,1990,Nelson,24
CT,M,1990,Ross,24
CT,M,1990,Francisco,23
CT,M,1990,Theodore,23
CT,M,1990,Xavier,23
CT,M,1990,Albert,22
CT,M,1990,Derrick,22
CT,M,1990,Francis,22
CT,M,1990,Lawrence,22
CT,M,1990,Alexis,21
CT,M,1990,Allen,21
CT,M,1990,Bradley,21
CT,M,1990,Emmanuel,21
CT,M,1990,Wayne,21
CT,M,1990,Drew,20
CT,M,1990,Kristopher,20
CT,M,1990,Martin,20
CT,M,1990,Noah,20
CT,M,1990,Roger,20
CT,M,1990,Chase,19
CT,M,1990,Conor,19
CT,M,1990,Jamal,19
CT,M,1990,Javier,19
CT,M,1990,Jesus,19
CT,M,1990,Mario,19
CT,M,1990,Roberto,19
CT,M,1990,Walter,19
CT,M,1990,Bruce,18
CT,M,1990,Dean,18
CT,M,1990,Devon,18
CT,M,1990,Kurt,18
CT,M,1990,Omar,18
CT,M,1990,Dillon,17
CT,M,1990,Frederick,17
CT,M,1990,Jamie,17
CT,M,1990,Jermaine,17
CT,M,1990,Jerome,17
CT,M,1990,Brent,16
CT,M,1990,Gerald,16
CT,M,1990,Harrison,16
CT,M,1990,Jonathon,16
CT,M,1990,Julio,16
CT,M,1990,Orlando,16
CT,M,1990,Tyrone,16
CT,M,1990,Bryce,15
CT,M,1990,Calvin,15
CT,M,1990,Eddie,15
CT,M,1990,Graham,15
CT,M,1990,Jerry,15
CT,M,1990,Lee,15
CT,M,1990,Manuel,15
CT,M,1990,Maurice,15
CT,M,1990,Micheal,15
CT,M,1990,Alberto,14
CT,M,1990,Collin,14
CT,M,1990,Dale,14
CT,M,1990,Elijah,14
CT,M,1990,Emanuel,14
CT,M,1990,Jay,14
CT,M,1990,Jeremiah,14
CT,M,1990,Karl,14
CT,M,1990,Leonard,14
CT,M,1990,Logan,14
CT,M,1990,Rodney,14
CT,M,1990,Terrance,14
CT,M,1990,Alec,13
CT,M,1990,Angelo,13
CT,M,1990,Blake,13
CT,M,1990,Colby,13
CT,M,1990,Harry,13
CT,M,1990,Jaime,13
CT,M,1990,Johnny,13
CT,M,1990,Jon,13
CT,M,1990,Josue,13
CT,M,1990,Miles,13
CT,M,1990,Ricky,13
CT,M,1990,Sebastian,13
CT,M,1990,Terrence,13
CT,M,1990,Felix,12
CT,M,1990,Glenn,12
CT,M,1990,Gordon,12
CT,M,1990,Hunter,12
CT,M,1990,Israel,12
CT,M,1990,Jimmy,12
CT,M,1990,Neil,12
CT,M,1990,Pedro,12
CT,M,1990,Preston,12
CT,M,1990,Randall,12
CT,M,1990,Salvatore,12
CT,M,1990,Stefan,12
CT,M,1990,Bernard,11
CT,M,1990,Byron,11
CT,M,1990,Caleb,11
CT,M,1990,Dana,11
CT,M,1990,Darren,11
CT,M,1990,Dominique,11
CT,M,1990,Larry,11
CT,M,1990,Liam,11
CT,M,1990,Marquis,11
CT,M,1990,Nickolas,11
CT,M,1990,Nicolas,11
CT,M,1990,Norman,11
CT,M,1990,Ralph,11
CT,M,1990,Randy,11
CT,M,1990,Reginald,11
CT,M,1990,Shaun,11
CT,M,1990,Tristan,11
CT,M,1990,Bobby,10
CT,M,1990,Brad,10
CT,M,1990,Bryant,10
CT,M,1990,Chaz,10
CT,M,1990,Cole,10
CT,M,1990,Damon,10
CT,M,1990,Danny,10
CT,M,1990,Davon,10
CT,M,1990,Dominick,10
CT,M,1990,Dwight,10
CT,M,1990,Isaac,10
CT,M,1990,Isaiah,10
CT,M,1990,Ivan,10
CT,M,1990,Jameson,10
CT,M,1990,Malcolm,10
CT,M,1990,Marvin,10
CT,M,1990,Morgan,10
CT,M,1990,Rocco,10
CT,M,1990,Sergio,10
CT,M,1990,Terry,10
CT,M,1990,Tucker,10
CT,M,1990,Tyrell,10
CT,M,1990,Andres,9
CT,M,1990,Dwayne,9
CT,M,1990,Edgar,9
CT,M,1990,Grant,9
CT,M,1990,Ismael,9
CT,M,1990,Jeffery,9
CT,M,1990,Lamar,9
CT,M,1990,Lorenzo,9
CT,M,1990,Marco,9
CT,M,1990,Noel,9
CT,M,1990,Ruben,9
CT,M,1990,Steve,9
CT,M,1990,Terrell,9
CT,M,1990,Tory,9
CT,M,1990,Tyshawn,9
CT,M,1990,Akeem,8
CT,M,1990,Alejandro,8
CT,M,1990,Babyboy,8
CT,M,1990,Branden,8
CT,M,1990,Brendon,8
CT,M,1990,Carmen,8
CT,M,1990,Clayton,8
CT,M,1990,Damien,8
CT,M,1990,Dante,8
CT,M,1990,Daquan,8
CT,M,1990,Darrell,8
CT,M,1990,Darryl,8
CT,M,1990,Daryl,8
CT,M,1990,Elliot,8
CT,M,1990,Enrique,8
CT,M,1990,Ernest,8
CT,M,1990,Eugene,8
CT,M,1990,Gavin,8
CT,M,1990,Jamar,8
CT,M,1990,Jaquan,8
CT,M,1990,Korey,8
CT,M,1990,Lance,8
CT,M,1990,Maximilian,8
CT,M,1990,Nolan,8
CT,M,1990,Oscar,8
CT,M,1990,Owen,8
CT,M,1990,Perry,8
CT,M,1990,Ramon,8
CT,M,1990,Rashad,8
CT,M,1990,Sam,8
CT,M,1990,Shayne,8
CT,M,1990,Stanley,8
CT,M,1990,Terence,8
CT,M,1990,Tevin,8
CT,M,1990,Zachariah,8
CT,M,1990,Allan,7
CT,M,1990,Andy,7
CT,M,1990,Brenden,7
CT,M,1990,Carlton,7
CT,M,1990,Cedric,7
CT,M,1990,Clifford,7
CT,M,1990,Colton,7
CT,M,1990,Dane,7
CT,M,1990,Denzel,7
CT,M,1990,Desmond,7
CT,M,1990,Donovan,7
CT,M,1990,Efrain,7
CT,M,1990,Erick,7
CT,M,1990,Gilbert,7
CT,M,1990,Griffin,7
CT,M,1990,Heriberto,7
CT,M,1990,Jackson,7
CT,M,1990,Jordon,7
CT,M,1990,Kelly,7
CT,M,1990,Kenny,7
CT,M,1990,Leroy,7
CT,M,1990,Mason,7
CT,M,1990,Melvin,7
CT,M,1990,Mike,7
CT,M,1990,Niko,7
CT,M,1990,Pablo,7
CT,M,1990,Reynaldo,7
CT,M,1990,Ronnie,7
CT,M,1990,Stephan,7
CT,M,1990,Tony,7
CT,M,1990,Wilfredo,7
CT,M,1990,Wilson,7
CT,M,1990,Zachery,7
CT,M,1990,Alfred,6
CT,M,1990,Ali,6
CT,M,1990,Alvin,6
CT,M,1990,Anibal,6
CT,M,1990,Antoine,6
CT,M,1990,Baby,6
CT,M,1990,Billy,6
CT,M,1990,Bradford,6
CT,M,1990,Bret,6
CT,M,1990,Carmine,6
CT,M,1990,Cesar,6
CT,M,1990,Dakota,6
CT,M,1990,Damian,6
CT,M,1990,Deshawn,6
CT,M,1990,Dion,6
CT,M,1990,Eduardo,6
CT,M,1990,Elias,6
CT,M,1990,Elliott,6
CT,M,1990,Emilio,6
CT,M,1990,Frankie,6
CT,M,1990,Jayson,6
CT,M,1990,Jean,6
CT,M,1990,Jessie,6
CT,M,1990,Jovan,6
CT,M,1990,Keenan,6
CT,M,1990,Kendall,6
CT,M,1990,Leonardo,6
CT,M,1990,Marcos,6
CT,M,1990,Micahel,6
CT,M,1990,Reed,6
CT,M,1990,Shamar,6
CT,M,1990,Simon,6
CT,M,1990,Spenser,6
CT,M,1990,Thaddeus,6
CT,M,1990,Tyron,6
CT,M,1990,Willie,6
CT,M,1990,Winston,6
CT,M,1990,Wyatt,6
CT,M,1990,Abraham,5
CT,M,1990,Alfredo,5
CT,M,1990,Antwan,5
CT,M,1990,Armando,5
CT,M,1990,Avery,5
CT,M,1990,Barrett,5
CT,M,1990,Barry,5
CT,M,1990,Ben,5
CT,M,1990,Carlo,5
CT,M,1990,Clinton,5
CT,M,1990,Dashawn,5
CT,M,1990,Donnell,5
CT,M,1990,Duane,5
CT,M,1990,Earl,5
CT,M,1990,Edgardo,5
CT,M,1990,Everett,5
CT,M,1990,Gerard,5
CT,M,1990,Gino,5
CT,M,1990,Glen,5
CT,M,1990,Jamison,5
CT,M,1990,Javon,5
CT,M,1990,Kasey,5
CT,M,1990,Kelvin,5
CT,M,1990,Kent,5
CT,M,1990,Kirk,5
CT,M,1990,Kristofer,5
CT,M,1990,Kurtis,5
CT,M,1990,Leland,5
CT,M,1990,Mackenzie,5
CT,M,1990,Malik,5
CT,M,1990,Marcello,5
CT,M,1990,Marshall,5
CT,M,1990,Micah,5
CT,M,1990,Moises,5
CT,M,1990,Nikolas,5
CT,M,1990,Oliver,5
CT,M,1990,Parker,5
CT,M,1990,Ray,5
CT,M,1990,Rayshawn,5
CT,M,1990,Roland,5
CT,M,1990,Rondell,5
CT,M,1990,Rory,5
