StateCode,Sex,YearOfBirth,Name,Number
CT,M,2011,Ashton,17
CT,M,2011,Garrett,17
CT,M,2011,Grant,17
CT,M,2011,Harrison,17
CT,M,2011,Jaylen,17
CT,M,2011,Jayson,17
CT,M,2011,Miguel,17
CT,M,2011,Myles,17
CT,M,2011,Omar,17
CT,M,2011,Quinn,17
CT,M,2011,Roman,17
CT,M,2011,Spencer,17
CT,M,2011,Amari,16
CT,M,2011,Gianni,16
CT,M,2011,Lorenzo,16
CT,M,2011,Preston,16
CT,M,2011,Ricardo,16
CT,M,2011,Stephen,16
CT,M,2011,Bennett,15
CT,M,2011,Jadiel,15
CT,M,2011,Nico,15
CT,M,2011,Armani,14
CT,M,2011,Avery,14
CT,M,2011,Bentley,14
CT,M,2011,Collin,14
CT,M,2011,Damian,14
CT,M,2011,Donovan,14
CT,M,2011,Everett,14
CT,M,2011,Graham,14
CT,M,2011,Maddox,14
CT,M,2011,Peyton,14
CT,M,2011,Alan,13
CT,M,2011,Brennan,13
CT,M,2011,Bryson,13
CT,M,2011,Caiden,13
CT,M,2011,Charlie,13
CT,M,2011,Damien,13
CT,M,2011,Frank,13
CT,M,2011,Jesus,13
CT,M,2011,Julien,13
CT,M,2011,Lukas,13
CT,M,2011,Albert,12
CT,M,2011,Anderson,12
CT,M,2011,Andre,12
CT,M,2011,Braden,12
CT,M,2011,Colby,12
CT,M,2011,Conor,12
CT,M,2011,Corey,12
CT,M,2011,Darren,12
CT,M,2011,Fernando,12
CT,M,2011,Israel,12
CT,M,2011,Javier,12
CT,M,2011,Julius,12
CT,M,2011,Lincoln,12
CT,M,2011,Ronan,12
CT,M,2011,Rylan,12
CT,M,2011,Travis,12
CT,M,2011,Yadiel,12
CT,M,2011,Brodie,11
CT,M,2011,Calvin,11
CT,M,2011,Chace,11
CT,M,2011,Chance,11
CT,M,2011,Dominick,11
CT,M,2011,Easton,11
CT,M,2011,Griffin,11
CT,M,2011,Kaleb,11
CT,M,2011,Kellan,11
CT,M,2011,Manuel,11
CT,M,2011,Marcello,11
CT,M,2011,Pedro,11
CT,M,2011,Shawn,11
CT,M,2011,Tyson,11
CT,M,2011,Zion,11
CT,M,2011,Andy,10
