StateCode,Sex,YearOfBirth,Name,Number
DC,M,1993,Colin,12
DC,M,1993,Conor,12
DC,M,1993,Daquan,12
DC,M,1993,Darnell,12
DC,M,1993,Darren,12
DC,M,1993,Deon,12
DC,M,1993,Deonte,12
DC,M,1993,Edwin,12
DC,M,1993,Harry,12
DC,M,1993,Jackson,12
DC,M,1993,Jalen,12
DC,M,1993,Jeremiah,12
DC,M,1993,Marcellus,12
DC,M,1993,Miles,12
DC,M,1993,Omar,12
DC,M,1993,Rashad,12
DC,M,1993,Tony,12
DC,M,1993,Trevon,12
DC,M,1993,Wesley,12
DC,M,1993,Bernard,11
DC,M,1993,Carl,11
DC,M,1993,Cristian,11
DC,M,1993,Dandre,11
DC,M,1993,Devante,11
DC,M,1993,Franklin,11
DC,M,1993,Isaiah,11
DC,M,1993,Jerry,11
DC,M,1993,Johnathan,11
DC,M,1993,Julian,11
DC,M,1993,Larry,11
DC,M,1993,Luke,11
DC,M,1993,Marco,11
DC,M,1993,Melvin,11
DC,M,1993,Rico,11
DC,M,1993,Shaquille,11
DC,M,1993,Spencer,11
DC,M,1993,Travon,11
DC,M,1993,Craig,10
DC,M,1993,Derek,10
DC,M,1993,Dion,10
DC,M,1993,Elijah,10
DC,M,1993,Gary,10
DC,M,1993,Jermaine,10
DC,M,1993,Jorge,10
DC,M,1993,Taylor,10
DC,M,1993,Tre,10
DC,M,1993,Ethan,9
DC,M,1993,Eugene,9
DC,M,1993,Francisco,9
DC,M,1993,Harrison,9
DC,M,1993,Isaac,9
DC,M,1993,Jared,9
DC,M,1993,Javon,9
DC,M,1993,Kendall,9
DC,M,1993,Lorenzo,9
DC,M,1993,Louis,9
DC,M,1993,Maxwell,9
DC,M,1993,Miguel,9
DC,M,1993,Noah,9
DC,M,1993,Trevor,9
DC,M,1993,Willie,9
DC,M,1993,Anton,8
DC,M,1993,Antwan,8
DC,M,1993,Avery,8
DC,M,1993,Caleb,8
DC,M,1993,Clarence,8
DC,M,1993,Delonta,8
DC,M,1993,Gerald,8
DC,M,1993,Graham,8
DC,M,1993,Kristopher,8
DC,M,1993,Philip,8
DC,M,1993,Quincy,8
DC,M,1993,Ricky,8
DC,M,1993,Shane,8
DC,M,1993,Terry,8
DC,M,1993,Vernon,8
DC,M,1993,Angel,7
DC,M,1993,Blake,7
DC,M,1993,Byron,7
DC,M,1993,Carter,7
DC,M,1993,Cedric,7
DC,M,1993,Chase,7
DC,M,1993,Dangelo,7
DC,M,1993,Danny,7
DC,M,1993,Dante,7
DC,M,1993,Delante,7
DC,M,1993,Dequan,7
DC,M,1993,Devaughn,7
DC,M,1993,Devonta,7
DC,M,1993,Douglas,7
DC,M,1993,Frederick,7
DC,M,1993,Harold,7
DC,M,1993,Javier,7
DC,M,1993,Jesse,7
DC,M,1993,Kenny,7
DC,M,1993,Mitchell,7
DC,M,1993,Quinton,7
DC,M,1993,Roberto,7
DC,M,1993,Shaun,7
DC,M,1993,Terrance,7
DC,M,1993,Trey,7
DC,M,1993,Abraham,6
DC,M,1993,Allen,6
DC,M,1993,Brett,6
DC,M,1993,Bruce,6
DC,M,1993,Carlton,6
DC,M,1993,Cecil,6
DC,M,1993,Collin,6
DC,M,1993,Cordell,6
DC,M,1993,Damani,6
DC,M,1993,Damion,6
DC,M,1993,Darien,6
DC,M,1993,Darrius,6
DC,M,1993,Demarco,6
DC,M,1993,Donovan,6
DC,M,1993,Donta,6
DC,M,1993,Duane,6
DC,M,1993,Earl,6
DC,M,1993,Emanuel,6
DC,M,1993,Ernest,6
DC,M,1993,Ibrahim,6
DC,M,1993,Jarrell,6
DC,M,1993,Jovon,6
DC,M,1993,Manuel,6
DC,M,1993,Marc,6
DC,M,1993,Marcel,6
DC,M,1993,Markus,6
DC,M,1993,Marquette,6
DC,M,1993,Marquise,6
DC,M,1993,Maximilian,6
DC,M,1993,Micah,6
DC,M,1993,Myles,6
DC,M,1993,Nicolas,6
DC,M,1993,Nigel,6
DC,M,1993,Orlando,6
DC,M,1993,Paris,6
DC,M,1993,Perry,6
DC,M,1993,Quentin,6
DC,M,1993,Quinn,6
DC,M,1993,Raheem,6
DC,M,1993,Randy,6
DC,M,1993,Romeo,6
DC,M,1993,Theodore,6
DC,M,1993,Tyree,6
DC,M,1993,Tyron,6
DC,M,1993,Warren,6
DC,M,1993,Wayne,6
DC,M,1993,Ahmad,5
DC,M,1993,Alan,5
DC,M,1993,Alexandre,5
DC,M,1993,Alonzo,5
DC,M,1993,Alvin,5
DC,M,1993,Amir,5
DC,M,1993,Angelo,5
DC,M,1993,Antwon,5
DC,M,1993,Arthur,5
DC,M,1993,Ashton,5
DC,M,1993,Billy,5
DC,M,1993,Branden,5
DC,M,1993,Bryant,5
DC,M,1993,Clifton,5
DC,M,1993,Clinton,5
DC,M,1993,Dale,5
DC,M,1993,Damon,5
DC,M,1993,Darian,5
DC,M,1993,Davonta,5
DC,M,1993,Deondre,5
DC,M,1993,Dillon,5
DC,M,1993,Dimitri,5
DC,M,1993,Dominick,5
DC,M,1993,Dwight,5
DC,M,1993,Eduardo,5
DC,M,1993,Eli,5
DC,M,1993,Francis,5
DC,M,1993,Glenn,5
DC,M,1993,Jabari,5
DC,M,1993,Jaquan,5
DC,M,1993,Kevon,5
DC,M,1993,Khalil,5
DC,M,1993,Leon,5
DC,M,1993,Leonard,5
DC,M,1993,Levi,5
DC,M,1993,Markell,5
DC,M,1993,Mikal,5
DC,M,1993,Milton,5
DC,M,1993,Oliver,5
DC,M,1993,Oscar,5
DC,M,1993,Raul,5
DC,M,1993,Raynard,5
DC,M,1993,Roland,5
DC,M,1993,Ronnie,5
DC,M,1993,Samson,5
DC,M,1993,Sebastian,5
DC,M,1993,Sidney,5
DC,M,1993,Stanley,5
DC,M,1993,Tarik,5
DC,M,1994,Michael,172
DC,M,1994,James,143
DC,M,1994,Christopher,131
DC,M,1994,William,125
DC,M,1994,Anthony,123
DC,M,1994,Matthew,115
DC,M,1994,John,108
DC,M,1994,Kevin,106
DC,M,1994,David,105
DC,M,1994,Alexander,104
DC,M,1994,Nicholas,92
DC,M,1994,Daniel,91
DC,M,1994,Andrew,88
DC,M,1994,Joseph,88
DC,M,1994,Joshua,83
DC,M,1994,Brandon,78
DC,M,1994,Robert,74
DC,M,1994,Aaron,73
DC,M,1994,Marcus,73
DC,M,1994,Thomas,71
DC,M,1994,Eric,67
DC,M,1994,Jonathan,67
DC,M,1994,Ryan,67
DC,M,1994,Benjamin,63
DC,M,1994,Charles,58
DC,M,1994,Samuel,58
DC,M,1994,Zachary,57
DC,M,1994,Justin,54
DC,M,1994,Sean,53
DC,M,1994,Tyler,49
DC,M,1994,Jordan,46
DC,M,1994,Antonio,45
DC,M,1994,Brian,45
DC,M,1994,Christian,41
DC,M,1994,Jacob,41
DC,M,1994,Malik,41
DC,M,1994,Patrick,41
DC,M,1994,Mark,40
DC,M,1994,Jamal,39
DC,M,1994,Deandre,35
DC,M,1994,Kyle,35
DC,M,1994,Davon,34
DC,M,1994,Gregory,34
DC,M,1994,Kenneth,34
DC,M,1994,Andre,33
DC,M,1994,Adam,32
DC,M,1994,Stephen,32
DC,M,1994,Carlos,31
DC,M,1994,Darius,31
DC,M,1994,Richard,31
DC,M,1994,Timothy,30
DC,M,1994,Ronald,29
DC,M,1994,Devin,28
DC,M,1994,Peter,28
DC,M,1994,Reginald,28
DC,M,1994,Steven,28
DC,M,1994,Nathaniel,27
DC,M,1994,Edward,26
DC,M,1994,Keith,26
DC,M,1994,Ian,25
DC,M,1994,Terrell,25
DC,M,1994,Delonte,24
DC,M,1994,Maurice,24
DC,M,1994,Nathan,24
DC,M,1994,Paul,24
DC,M,1994,Victor,24
DC,M,1994,George,23
DC,M,1994,Julian,23
DC,M,1994,Tyrone,23
DC,M,1994,Austin,22
DC,M,1994,Jason,22
DC,M,1994,Jose,22
DC,M,1994,Raymond,22
DC,M,1994,Tavon,21
DC,M,1994,Vincent,21
DC,M,1994,Cameron,20
DC,M,1994,Edwin,20
DC,M,1994,Gabriel,20
DC,M,1994,Jeffrey,20
DC,M,1994,Juan,20
DC,M,1994,Malcolm,20
DC,M,1994,Marquis,20
DC,M,1994,Dominique,19
DC,M,1994,Jeremy,19
DC,M,1994,Troy,19
DC,M,1994,Connor,18
DC,M,1994,Darnell,18
DC,M,1994,Derek,18
DC,M,1994,Donald,18
DC,M,1994,Bryan,17
DC,M,1994,Daquan,17
DC,M,1994,Nicolas,17
DC,M,1994,Ricardo,17
DC,M,1994,Derrick,16
DC,M,1994,Devonte,16
DC,M,1994,Henry,16
DC,M,1994,Rodney,16
DC,M,1994,Stephon,16
DC,M,1994,Terrence,16
DC,M,1994,Calvin,15
DC,M,1994,Dylan,15
DC,M,1994,Elijah,15
DC,M,1994,Jared,15
DC,M,1994,Luke,15
DC,M,1994,Noah,15
DC,M,1994,Philip,15
DC,M,1994,Phillip,15
DC,M,1994,Tyrell,15
DC,M,1994,Colin,14
DC,M,1994,Corey,14
DC,M,1994,Erik,14
DC,M,1994,Ethan,14
DC,M,1994,Evan,14
DC,M,1994,Jerome,14
DC,M,1994,Marvin,14
DC,M,1994,Spencer,14
DC,M,1994,Trevon,14
DC,M,1994,Trevor,14
DC,M,1994,Walter,14
DC,M,1994,Allen,13
DC,M,1994,Bradley,13
DC,M,1994,Carl,13
DC,M,1994,Demetrius,13
DC,M,1994,Devon,13
DC,M,1994,Donnell,13
DC,M,1994,Emmanuel,13
DC,M,1994,Isaac,13
DC,M,1994,Jackson,13
DC,M,1994,Lawrence,13
DC,M,1994,Tyree,13
DC,M,1994,Wesley,13
DC,M,1994,Alex,12
DC,M,1994,Brendan,12
DC,M,1994,Darrell,12
DC,M,1994,Douglas,12
DC,M,1994,Erick,12
DC,M,1994,Franklin,12
DC,M,1994,Gary,12
DC,M,1994,Sebastian,12
DC,M,1994,Alec,11
