StateCode,Sex,YearOfBirth,Name,Number
FL,F,1919,Johnie,5
FL,F,1919,Kate,5
FL,F,1919,Keturah,5
FL,F,1919,Laurette,5
FL,F,1919,Letha,5
FL,F,1919,Linnie,5
FL,F,1919,Lorine,5
FL,F,1919,Luella,5
FL,F,1919,Marcella,5
FL,F,1919,Margarette,5
FL,F,1919,Maud,5
FL,F,1919,Maxine,5
FL,F,1919,Mozelle,5
FL,F,1919,Myrtis,5
FL,F,1919,Nina,5
FL,F,1919,Nita,5
FL,F,1919,Orene,5
FL,F,1919,Peggy,5
FL,F,1919,Pinkie,5
FL,F,1919,Robbie,5
FL,F,1919,Rosemary,5
FL,F,1919,Ruther,5
FL,F,1919,Tillie,5
FL,F,1919,Verdie,5
FL,F,1919,Vernice,5
FL,F,1919,Vina,5
FL,F,1919,Zelma,5
FL,F,1920,Mary,626
FL,F,1920,Dorothy,299
FL,F,1920,Margaret,230
FL,F,1920,Annie,206
FL,F,1920,Helen,206
FL,F,1920,Ruth,187
FL,F,1920,Mildred,163
FL,F,1920,Elizabeth,161
FL,F,1920,Frances,156
FL,F,1920,Willie,151
FL,F,1920,Doris,134
FL,F,1920,Evelyn,123
FL,F,1920,Louise,122
FL,F,1920,Alice,120
FL,F,1920,Thelma,120
FL,F,1920,Lillian,116
FL,F,1920,Edna,111
FL,F,1920,Ruby,104
FL,F,1920,Marie,103
FL,F,1920,Virginia,100
FL,F,1920,Gladys,94
FL,F,1920,Hazel,91
FL,F,1920,Edith,85
FL,F,1920,Sarah,85
FL,F,1920,Lillie,84
FL,F,1920,Rosa,84
FL,F,1920,Ethel,82
FL,F,1920,Bernice,81
FL,F,1920,Lucille,81
FL,F,1920,Martha,81
FL,F,1920,Betty,75
FL,F,1920,Juanita,75
FL,F,1920,Lois,74
FL,F,1920,Bessie,72
FL,F,1920,Florence,72
FL,F,1920,Bertha,70
FL,F,1920,Mattie,70
FL,F,1920,Nellie,69
FL,F,1920,Clara,68
FL,F,1920,Marjorie,68
FL,F,1920,Beatrice,65
FL,F,1920,Inez,64
FL,F,1920,Minnie,64
FL,F,1920,Ella,62
FL,F,1920,Josephine,62
FL,F,1920,Emma,59
FL,F,1920,Catherine,58
FL,F,1920,Ida,58
FL,F,1920,Myrtle,58
FL,F,1920,Eunice,57
FL,F,1920,Grace,57
FL,F,1920,Jessie,57
FL,F,1920,Laura,56
FL,F,1920,Eva,55
FL,F,1920,Mamie,55
FL,F,1920,Alma,54
FL,F,1920,Essie,53
FL,F,1920,Katherine,53
FL,F,1920,Maggie,53
FL,F,1920,Julia,50
FL,F,1920,Lula,50
FL,F,1920,Pauline,50
FL,F,1920,Vera,50
FL,F,1920,Anna,49
FL,F,1920,Carrie,46
FL,F,1920,Gertrude,46
FL,F,1920,Viola,46
FL,F,1920,Irene,44
FL,F,1920,Daisy,43
FL,F,1920,Hattie,43
FL,F,1920,Barbara,42
FL,F,1920,Vivian,42
FL,F,1920,Jean,41
FL,F,1920,Alberta,40
FL,F,1920,Nancy,40
FL,F,1920,Agnes,39
FL,F,1920,Eloise,39
FL,F,1920,Esther,39
FL,F,1920,Hilda,36
FL,F,1920,Ann,35
FL,F,1920,Cora,34
FL,F,1920,Wilma,34
FL,F,1920,Lucile,33
FL,F,1920,Dora,32
FL,F,1920,Mae,32
FL,F,1920,Marguerite,32
FL,F,1920,Norma,32
FL,F,1920,Pearl,32
FL,F,1920,Susie,32
FL,F,1920,Blanche,30
FL,F,1920,Eleanor,30
FL,F,1920,Elsie,30
FL,F,1920,Eula,30
FL,F,1920,June,30
FL,F,1920,Lucy,30
FL,F,1920,Rose,30
FL,F,1920,Fannie,29
FL,F,1920,Jane,29
FL,F,1920,Mabel,28
FL,F,1920,Addie,27
FL,F,1920,Flora,27
FL,F,1920,Janie,27
FL,F,1920,Katie,27
FL,F,1920,Marion,27
FL,F,1920,Nettie,27
FL,F,1920,Ernestine,26
FL,F,1920,Geneva,26
FL,F,1920,Audrey,25
FL,F,1920,Ellen,25
FL,F,1920,Estelle,25
FL,F,1920,Iris,25
FL,F,1920,Johnnie,25
FL,F,1920,Leona,25
FL,F,1920,Sara,25
FL,F,1920,Lola,24
FL,F,1920,Naomi,24
FL,F,1920,Joyce,23
FL,F,1920,Leola,23
FL,F,1920,Nell,23
FL,F,1920,Ola,23
FL,F,1920,Violet,23
FL,F,1920,Christine,22
FL,F,1920,Geraldine,22
FL,F,1920,Jennie,22
FL,F,1920,Kathleen,22
FL,F,1920,Kathryn,22
FL,F,1920,Mable,22
FL,F,1920,Anne,21
FL,F,1920,Beulah,21
FL,F,1920,Charlotte,21
FL,F,1920,Ollie,21
FL,F,1920,Patricia,21
FL,F,1920,Gwendolyn,20
FL,F,1920,Lena,20
FL,F,1920,Maude,20
FL,F,1920,Cleo,19
FL,F,1920,Erma,19
FL,F,1920,Jeanette,19
FL,F,1920,Margie,19
FL,F,1920,Velma,19
FL,F,1920,Carmen,18
FL,F,1920,Lottie,18
FL,F,1920,Maxine,18
FL,F,1920,Olga,18
FL,F,1920,Rebecca,18
FL,F,1920,Rosalie,18
FL,F,1920,Victoria,18
FL,F,1920,Gussie,17
FL,F,1920,Jewel,17
FL,F,1920,Carolyn,16
FL,F,1920,Claudia,16
FL,F,1920,Doretha,16
FL,F,1920,Elouise,16
FL,F,1920,Flossie,16
FL,F,1920,Georgia,16
FL,F,1920,Gracie,16
FL,F,1920,Jewell,16
FL,F,1920,Leila,16
FL,F,1920,Lenora,16
FL,F,1920,Melba,16
FL,F,1920,Muriel,16
FL,F,1920,Myrtice,16
FL,F,1920,Elnora,15
FL,F,1920,Irma,15
FL,F,1920,Madeline,15
FL,F,1920,Nora,15
FL,F,1920,Olivia,15
FL,F,1920,Sybil,15
FL,F,1920,Corine,14
FL,F,1920,Eddie,14
FL,F,1920,Emily,14
FL,F,1920,Genevieve,14
FL,F,1920,Gloria,14
FL,F,1920,Lela,14
FL,F,1920,Lessie,14
FL,F,1920,Lorene,14
FL,F,1920,Opal,14
FL,F,1920,Rosetta,14
FL,F,1920,Stella,14
FL,F,1920,Sylvia,14
FL,F,1920,Theresa,14
FL,F,1920,Ada,13
FL,F,1920,Earnestine,13
FL,F,1920,Merle,13
FL,F,1920,Miriam,13
FL,F,1920,Rachel,13
FL,F,1920,Sadie,13
FL,F,1920,Anita,12
FL,F,1920,Effie,12
FL,F,1920,Frankie,12
FL,F,1920,Henrietta,12
FL,F,1920,Jeanne,12
FL,F,1920,Joan,12
FL,F,1920,Lydia,12
FL,F,1920,Maria,12
FL,F,1920,Marian,12
FL,F,1920,Olive,12
FL,F,1920,Phyllis,12
FL,F,1920,Sally,12
FL,F,1920,Allie,11
FL,F,1920,Bonnie,11
FL,F,1920,Constance,11
FL,F,1920,Elma,11
FL,F,1920,Harriet,11
FL,F,1920,Isabel,11
FL,F,1920,Lila,11
FL,F,1920,Mollie,11
FL,F,1920,Ora,11
FL,F,1920,Queen,11
FL,F,1920,Roberta,11
FL,F,1920,Shirley,11
FL,F,1920,Verna,11
FL,F,1920,Winnie,11
FL,F,1920,Billie,10
FL,F,1920,Clarice,10
FL,F,1920,Dolores,10
FL,F,1920,Etta,10
FL,F,1920,Eugenia,10
FL,F,1920,Isabelle,10
FL,F,1920,Josie,10
FL,F,1920,May,10
FL,F,1920,Mercedes,10
FL,F,1920,Myra,10
FL,F,1920,Adelaide,9
FL,F,1920,Cassie,9
FL,F,1920,Cornelia,9
FL,F,1920,Estella,9
FL,F,1920,Idella,9
FL,F,1920,Lily,9
FL,F,1920,Linnie,9
FL,F,1920,Millie,9
FL,F,1920,Odessa,9
FL,F,1920,Peggy,9
FL,F,1920,Winifred,9
FL,F,1920,Albertha,8
FL,F,1920,Amelia,8
FL,F,1920,Bertie,8
FL,F,1920,Caroline,8
FL,F,1920,Coretha,8
FL,F,1920,Della,8
FL,F,1920,Dorthy,8
FL,F,1920,Florida,8
FL,F,1920,Ina,8
FL,F,1920,Iva,8
FL,F,1920,Janet,8
FL,F,1920,Jannie,8
FL,F,1920,Lelia,8
FL,F,1920,Lilly,8
FL,F,1920,Rena,8
FL,F,1920,Rosalee,8
FL,F,1920,Rosie,8
FL,F,1920,Sophie,8
FL,F,1920,Susan,8
FL,F,1920,Wilhelmina,8
FL,F,1920,Willa,8
FL,F,1920,Adele,7
FL,F,1920,Adeline,7
FL,F,1920,Amanda,7
FL,F,1920,Annette,7
FL,F,1920,Bobbie,7
FL,F,1920,Corinne,7
FL,F,1920,Dalia,7
FL,F,1920,Delia,7
FL,F,1920,Dollie,7
FL,F,1920,Eileen,7
FL,F,1920,Elaine,7
FL,F,1920,Elva,7
FL,F,1920,Ila,7
FL,F,1920,Imogene,7
FL,F,1920,Jimmie,7
FL,F,1920,Leatha,7
FL,F,1920,Lee,7
FL,F,1920,Matilda,7
FL,F,1920,Myrtis,7
FL,F,1920,Nina,7
FL,F,1920,Pearlie,7
FL,F,1920,Rhoda,7
FL,F,1920,Rita,7
FL,F,1920,Roxie,7
FL,F,1920,Sallie,7
FL,F,1920,Vida,7
FL,F,1920,Angelina,6
FL,F,1920,Beverly,6
FL,F,1920,Clyde,6
FL,F,1920,Elise,6
FL,F,1920,Erie,6
FL,F,1920,Florine,6
FL,F,1920,Francis,6
FL,F,1920,Hortense,6
FL,F,1920,Inell,6
FL,F,1920,Ira,6
FL,F,1920,Joe,6
FL,F,1920,Julie,6
FL,F,1920,Lilla,6
FL,F,1920,Lizzie,6
FL,F,1920,Loretta,6
FL,F,1920,Lorraine,6
FL,F,1920,Mazie,6
FL,F,1920,Nona,6
FL,F,1920,Ophelia,6
FL,F,1920,Ouida,6
FL,F,1920,Priscilla,6
FL,F,1920,Robbie,6
FL,F,1920,Rosebud,6
FL,F,1920,Rutha,6
FL,F,1920,Ruthie,6
FL,F,1920,Sue,6
FL,F,1920,Alfreda,5
FL,F,1920,Althea,5
FL,F,1920,Alva,5
FL,F,1920,Ara,5
FL,F,1920,Arlene,5
FL,F,1920,Berniece,5
FL,F,1920,Bettie,5
FL,F,1920,Celia,5
FL,F,1920,Charity,5
FL,F,1920,Christina,5
FL,F,1920,Dorothea,5
FL,F,1920,Dorris,5
FL,F,1920,Elease,5
FL,F,1920,Fay,5
FL,F,1920,Freddie,5
FL,F,1920,Harriett,5
FL,F,1920,Iona,5
FL,F,1920,Laverne,5
FL,F,1920,Leonora,5
FL,F,1920,Lou,5
FL,F,1920,Louisa,5
FL,F,1920,Lovie,5
FL,F,1920,Lucinda,5
FL,F,1920,Marcella,5
FL,F,1920,Mariah,5
FL,F,1920,Mittie,5
FL,F,1920,Mozell,5
FL,F,1920,Neva,5
FL,F,1920,Perry,5
FL,F,1920,Polly,5
FL,F,1920,Rosemary,5
FL,F,1920,Rossie,5
FL,F,1920,Selma,5
FL,F,1920,Veronica,5
FL,F,1921,Mary,717
FL,F,1921,Dorothy,349
FL,F,1921,Margaret,228
FL,F,1921,Helen,207
FL,F,1921,Annie,201
FL,F,1921,Mildred,198
FL,F,1921,Ruth,198
FL,F,1921,Elizabeth,158
FL,F,1921,Louise,158
FL,F,1921,Frances,153
FL,F,1921,Doris,152
FL,F,1921,Willie,149
FL,F,1921,Evelyn,140
FL,F,1921,Thelma,138
FL,F,1921,Virginia,130
FL,F,1921,Edna,125
FL,F,1921,Ruby,122
FL,F,1921,Gladys,118
FL,F,1921,Alice,112
FL,F,1921,Hazel,110
FL,F,1921,Bernice,107
FL,F,1921,Lillian,105
FL,F,1921,Juanita,104
FL,F,1921,Ethel,98
FL,F,1921,Edith,97
FL,F,1921,Lillie,92
FL,F,1921,Lois,91
FL,F,1921,Marie,91
FL,F,1921,Marjorie,87
FL,F,1921,Florence,83
FL,F,1921,Martha,83
FL,F,1921,Lucille,81
FL,F,1921,Sarah,79
FL,F,1921,Irene,78
FL,F,1921,Betty,76
FL,F,1921,Inez,73
FL,F,1921,Minnie,72
FL,F,1921,Catherine,67
FL,F,1921,Grace,67
FL,F,1921,Bertha,65
FL,F,1921,Emma,65
FL,F,1921,Ida,65
FL,F,1921,Myrtle,64
FL,F,1921,Jessie,62
FL,F,1921,Beatrice,61
FL,F,1921,Bessie,61
FL,F,1921,Eva,61
FL,F,1921,Alma,60
FL,F,1921,Josephine,60
FL,F,1921,Vera,58
FL,F,1921,Mattie,57
FL,F,1921,Rosa,57
FL,F,1921,Clara,56
FL,F,1921,Anna,55
FL,F,1921,Carrie,55
FL,F,1921,Daisy,54
