StateCode,Sex,YearOfBirth,Name,Number
FL,F,1971,Barbra,7
FL,F,1971,Bernadine,7
FL,F,1971,Brigette,7
FL,F,1971,Brittany,7
FL,F,1971,Casey,7
FL,F,1971,Chanel,7
FL,F,1971,Chantal,7
FL,F,1971,Chantelle,7
FL,F,1971,Charles,7
FL,F,1971,Cher,7
FL,F,1971,Chris,7
FL,F,1971,Claire,7
FL,F,1971,Clarissa,7
FL,F,1971,Consuelo,7
FL,F,1971,Coretta,7
FL,F,1971,Corrie,7
FL,F,1971,Crista,7
FL,F,1971,Debby,7
FL,F,1971,Delia,7
FL,F,1971,Denice,7
FL,F,1971,Dona,7
FL,F,1971,Dorene,7
FL,F,1971,Dorothea,7
FL,F,1971,Edwina,7
FL,F,1971,Estela,7
FL,F,1971,Eunice,7
FL,F,1971,Frankie,7
FL,F,1971,Geneva,7
FL,F,1971,Gladys,7
FL,F,1971,Harriet,7
FL,F,1971,Hazel,7
FL,F,1971,Hillary,7
FL,F,1971,Ines,7
FL,F,1971,Jacquline,7
FL,F,1971,Jena,7
FL,F,1971,Jenna,7
FL,F,1971,Jewell,7
FL,F,1971,Jocelyn,7
FL,F,1971,Juli,7
FL,F,1971,Julissa,7
FL,F,1971,Kandi,7
FL,F,1971,Kendall,7
FL,F,1971,Kisha,7
FL,F,1971,Krysta,7
FL,F,1971,Lashaun,7
FL,F,1971,Lashon,7
FL,F,1971,Lasonya,7
FL,F,1971,Latoya,7
FL,F,1971,Lucia,7
FL,F,1971,Mandy,7
FL,F,1971,Marguerite,7
FL,F,1971,Maritza,7
FL,F,1971,Mattie,7
FL,F,1971,Mechelle,7
FL,F,1971,Melodie,7
FL,F,1971,Melonie,7
FL,F,1971,Merry,7
FL,F,1971,Millie,7
FL,F,1971,Missy,7
FL,F,1971,Nanette,7
FL,F,1971,Natacha,7
FL,F,1971,Nichelle,7
FL,F,1971,Precious,7
FL,F,1971,Rebeca,7
FL,F,1971,Rosie,7
FL,F,1971,Salena,7
FL,F,1971,Salina,7
FL,F,1971,Saundra,7
FL,F,1971,Shalanda,7
FL,F,1971,Shawnda,7
FL,F,1971,Shayla,7
FL,F,1971,Sheena,7
FL,F,1971,Sheronda,7
FL,F,1971,Shiela,7
FL,F,1971,Tanisha,7
FL,F,1971,Tessa,7
FL,F,1971,Tonda,7
FL,F,1971,Violet,7
FL,F,1971,Vonda,7
FL,F,1971,Adria,6
FL,F,1971,Adriane,6
FL,F,1971,Adrianna,6
FL,F,1971,Adrianne,6
FL,F,1971,Agnes,6
FL,F,1971,Alana,6
FL,F,1971,Alberta,6
FL,F,1971,Alena,6
FL,F,1971,Alissa,6
FL,F,1971,Annmarie,6
FL,F,1971,Candida,6
FL,F,1971,Caprice,6
FL,F,1971,Caren,6
FL,F,1971,Carri,6
FL,F,1971,Cary,6
FL,F,1971,Charla,6
FL,F,1971,Christal,6
FL,F,1971,Coleen,6
FL,F,1971,Colette,6
FL,F,1971,David,6
FL,F,1971,Dawne,6
FL,F,1971,Dedra,6
FL,F,1971,Elvira,6
FL,F,1971,Evette,6
FL,F,1971,Fawn,6
FL,F,1971,Francesca,6
FL,F,1971,Georgette,6
FL,F,1971,Ginny,6
FL,F,1971,Hattie,6
FL,F,1971,Henrietta,6
FL,F,1971,Holli,6
FL,F,1971,Jackeline,6
FL,F,1971,Jami,6
FL,F,1971,Jeanna,6
FL,F,1971,Jerry,6
FL,F,1971,John,6
FL,F,1971,Karma,6
FL,F,1971,Katharine,6
FL,F,1971,Kathi,6
FL,F,1971,Kathie,6
FL,F,1971,Keli,6
FL,F,1971,Lasandra,6
FL,F,1971,Laverne,6
FL,F,1971,Leann,6
FL,F,1971,Leeann,6
FL,F,1971,Leila,6
FL,F,1971,Leona,6
FL,F,1971,Liza,6
FL,F,1971,Lorna,6
FL,F,1971,Lucy,6
FL,F,1971,Luz,6
FL,F,1971,Malinda,6
FL,F,1971,Marva,6
FL,F,1971,Michaela,6
FL,F,1971,Milagros,6
FL,F,1971,Nicolette,6
FL,F,1971,Nicolle,6
FL,F,1971,Nikita,6
FL,F,1971,Patrina,6
FL,F,1971,Phaedra,6
FL,F,1971,Polly,6
FL,F,1971,Prudence,6
FL,F,1971,Racheal,6
FL,F,1971,Rae,6
FL,F,1971,Randi,6
FL,F,1971,Rhoda,6
FL,F,1971,Robbie,6
FL,F,1971,Sabrena,6
FL,F,1971,Sallie,6
FL,F,1971,Saprina,6
FL,F,1971,Shea,6
FL,F,1971,Stephaine,6
FL,F,1971,Stephenie,6
FL,F,1971,Susanna,6
FL,F,1971,Teresita,6
FL,F,1971,Tresa,6
FL,F,1971,Tressa,6
FL,F,1971,Twyla,6
FL,F,1971,Tyra,6
FL,F,1971,Valeria,6
FL,F,1971,Vikki,6
FL,F,1971,Aaron,5
FL,F,1971,Angella,5
FL,F,1971,Antonette,5
FL,F,1971,Antonia,5
FL,F,1971,Bessie,5
FL,F,1971,Bonny,5
FL,F,1971,Calandra,5
FL,F,1971,Carmel,5
FL,F,1971,Carroll,5
FL,F,1971,Charlette,5
FL,F,1971,Cherri,5
FL,F,1971,Christiane,5
FL,F,1971,Cori,5
FL,F,1971,Corina,5
FL,F,1971,Corinne,5
FL,F,1971,Cory,5
FL,F,1971,Dacia,5
FL,F,1971,Danita,5
FL,F,1971,Danya,5
FL,F,1971,Deedee,5
FL,F,1971,Deedra,5
FL,F,1971,Delicia,5
FL,F,1971,Delilah,5
FL,F,1971,Deloris,5
FL,F,1971,Delphine,5
FL,F,1971,Demetrice,5
FL,F,1971,Denita,5
FL,F,1971,Diedra,5
FL,F,1971,Ebony,5
FL,F,1971,Elisabeth,5
FL,F,1971,Elisha,5
FL,F,1971,Ester,5
FL,F,1971,Evangeline,5
FL,F,1971,Fay,5
FL,F,1971,Haley,5
FL,F,1971,Inga,5
FL,F,1971,Inger,5
FL,F,1971,Iva,5
FL,F,1971,Janene,5
FL,F,1971,Jannette,5
FL,F,1971,Jayne,5
FL,F,1971,Jeanene,5
FL,F,1971,Jeanetta,5
FL,F,1971,Joelle,5
FL,F,1971,Johnetta,5
FL,F,1971,Joni,5
FL,F,1971,Jonna,5
FL,F,1971,Josette,5
FL,F,1971,Juana,5
FL,F,1971,Julianne,5
FL,F,1971,Justine,5
FL,F,1971,Karie,5
FL,F,1971,Karina,5
FL,F,1971,Katheryn,5
FL,F,1971,Kathrine,5
FL,F,1971,Katrice,5
FL,F,1971,Kelsey,5
FL,F,1971,Kris,5
FL,F,1971,Lacheryl,5
FL,F,1971,Lajuana,5
FL,F,1971,Lakesha,5
FL,F,1971,Lani,5
FL,F,1971,Larina,5
FL,F,1971,Laronda,5
FL,F,1971,Latashia,5
FL,F,1971,Latoshia,5
FL,F,1971,Latrell,5
FL,F,1971,Latunya,5
FL,F,1971,Lawanna,5
FL,F,1971,Lesa,5
FL,F,1971,Lilia,5
FL,F,1971,Lina,5
FL,F,1971,Lola,5
FL,F,1971,Lolita,5
FL,F,1971,Loraine,5
FL,F,1971,Lou,5
FL,F,1971,Lucille,5
FL,F,1971,Lula,5
FL,F,1971,Madelyn,5
FL,F,1971,Marina,5
FL,F,1971,Marlena,5
FL,F,1971,Marquita,5
FL,F,1971,Martina,5
FL,F,1971,Maura,5
FL,F,1971,Maya,5
FL,F,1971,Meridith,5
FL,F,1971,Merri,5
FL,F,1971,Mollie,5
FL,F,1971,Nannette,5
FL,F,1971,Nerissa,5
FL,F,1971,Noel,5
FL,F,1971,Patience,5
FL,F,1971,Pennie,5
FL,F,1971,Phoebe,5
FL,F,1971,Portia,5
FL,F,1971,Pricilla,5
FL,F,1971,Raina,5
FL,F,1971,Rana,5
FL,F,1971,Reva,5
FL,F,1971,Rhea,5
FL,F,1971,Rosanne,5
FL,F,1971,Roseann,5
FL,F,1971,Rosetta,5
FL,F,1971,Scarlett,5
FL,F,1971,Shalonda,5
FL,F,1971,Shandra,5
FL,F,1971,Shane,5
FL,F,1971,Shanita,5
FL,F,1971,Shanon,5
FL,F,1971,Sharri,5
FL,F,1971,Shawnee,5
FL,F,1971,Shawnna,5
FL,F,1971,Shay,5
FL,F,1971,Shonna,5
FL,F,1971,Shontel,5
FL,F,1971,Starla,5
FL,F,1971,Starr,5
FL,F,1971,Stephany,5
FL,F,1971,Summer,5
FL,F,1971,Sunday,5
FL,F,1971,Suzanna,5
FL,F,1971,Tajuana,5
FL,F,1971,Tameka,5
FL,F,1971,Tana,5
FL,F,1971,Tangi,5
FL,F,1971,Tari,5
FL,F,1971,Tena,5
FL,F,1971,Teressa,5
FL,F,1971,Tijuana,5
FL,F,1971,Tori,5
FL,F,1971,Toya,5
FL,F,1971,Tracee,5
FL,F,1971,Trellany,5
FL,F,1971,Twalla,5
FL,F,1971,Tywanda,5
FL,F,1971,Valentina,5
FL,F,1971,Vannessa,5
FL,F,1971,Wenona,5
FL,F,1971,Wilma,5
FL,F,1971,Yoland,5
FL,F,1972,Jennifer,1939
FL,F,1972,Kimberly,949
FL,F,1972,Michelle,916
FL,F,1972,Lisa,839
FL,F,1972,Angela,825
FL,F,1972,Melissa,695
FL,F,1972,Stephanie,628
FL,F,1972,Amy,621
FL,F,1972,Tammy,522
