StateCode,Sex,YearOfBirth,Name,Number
FL,F,1980,Tameika,5
FL,F,1980,Tamica,5
FL,F,1980,Tamisha,5
FL,F,1980,Taneisha,5
FL,F,1980,Tarah,5
FL,F,1980,Tashia,5
FL,F,1980,Taylor,5
FL,F,1980,Tenisha,5
FL,F,1980,Thea,5
FL,F,1980,Theodora,5
FL,F,1980,Thomas,5
FL,F,1980,Tiara,5
FL,F,1980,Tomekia,5
FL,F,1980,Trista,5
FL,F,1980,Twanna,5
FL,F,1980,Xiomara,5
FL,F,1980,Yajaira,5
FL,F,1980,Yashika,5
FL,F,1981,Jennifer,2209
FL,F,1981,Jessica,1619
FL,F,1981,Amanda,1269
FL,F,1981,Melissa,1057
FL,F,1981,Tiffany,809
FL,F,1981,Christina,754
FL,F,1981,Stephanie,747
FL,F,1981,Sarah,734
FL,F,1981,Heather,721
FL,F,1981,Michelle,717
FL,F,1981,Kimberly,699
FL,F,1981,Nicole,668
FL,F,1981,Crystal,622
FL,F,1981,Elizabeth,619
FL,F,1981,Amy,601
FL,F,1981,Rebecca,546
FL,F,1981,Angela,523
FL,F,1981,Lisa,459
FL,F,1981,Kelly,448
FL,F,1981,April,442
FL,F,1981,Mary,422
FL,F,1981,Erin,416
FL,F,1981,Danielle,414
FL,F,1981,Ashley,397
FL,F,1981,Rachel,391
FL,F,1981,Amber,390
FL,F,1981,Shannon,386
FL,F,1981,Andrea,366
FL,F,1981,Laura,362
FL,F,1981,Lauren,358
FL,F,1981,Kristin,352
FL,F,1981,Jamie,347
FL,F,1981,Kristen,304
FL,F,1981,Sara,300
FL,F,1981,Erica,298
FL,F,1981,Latoya,298
FL,F,1981,Brandy,294
FL,F,1981,Samantha,273
FL,F,1981,Katherine,261
FL,F,1981,Alicia,257
FL,F,1981,Tara,251
FL,F,1981,Emily,248
FL,F,1981,Courtney,247
FL,F,1981,Maria,245
FL,F,1981,Christine,244
FL,F,1981,Patricia,231
FL,F,1981,Julie,229
FL,F,1981,Monica,224
FL,F,1981,Vanessa,221
FL,F,1981,Brandi,212
FL,F,1981,Megan,199
FL,F,1981,Natalie,198
FL,F,1981,Jacqueline,190
FL,F,1981,Katrina,187
FL,F,1981,Kristina,187
FL,F,1981,Cynthia,184
FL,F,1981,Natasha,182
FL,F,1981,Karen,175
FL,F,1981,Carrie,169
FL,F,1981,Leslie,168
FL,F,1981,Stacy,168
FL,F,1981,Catherine,166
FL,F,1981,Brooke,165
FL,F,1981,Lindsay,164
FL,F,1981,Victoria,160
FL,F,1981,Barbara,159
FL,F,1981,Kathryn,159
FL,F,1981,Dana,157
FL,F,1981,Christy,156
FL,F,1981,Diana,155
FL,F,1981,Melanie,151
FL,F,1981,Dawn,150
FL,F,1981,Allison,149
FL,F,1981,Tracy,148
FL,F,1981,Veronica,146
FL,F,1981,Misty,143
FL,F,1981,Sandra,143
FL,F,1981,Pamela,141
FL,F,1981,Teresa,140
FL,F,1981,Candice,137
FL,F,1981,Susan,136
FL,F,1981,Holly,134
FL,F,1981,Tanya,133
FL,F,1981,Lindsey,132
FL,F,1981,Sabrina,131
FL,F,1981,Tina,131
FL,F,1981,Latasha,126
FL,F,1981,Monique,122
FL,F,1981,Krystal,121
FL,F,1981,Cassandra,119
FL,F,1981,Erika,119
FL,F,1981,Leah,119
FL,F,1981,Stacey,119
FL,F,1981,Tonya,119
FL,F,1981,Linda,118
FL,F,1981,Katie,117
FL,F,1981,Nancy,117
FL,F,1981,Anna,116
FL,F,1981,Julia,115
FL,F,1981,Wendy,111
FL,F,1981,Denise,109
FL,F,1981,Tammy,108
FL,F,1981,Cristina,107
FL,F,1981,Kathleen,107
FL,F,1981,Renee,107
FL,F,1981,Lori,106
FL,F,1981,Robin,106
FL,F,1981,Jaime,104
FL,F,1981,Nichole,104
FL,F,1981,Valerie,102
FL,F,1981,Tamara,98
FL,F,1981,Cheryl,97
FL,F,1981,Candace,96
FL,F,1981,Michele,96
FL,F,1981,Donna,93
FL,F,1981,Heidi,93
FL,F,1981,Theresa,93
FL,F,1981,Brenda,92
FL,F,1981,Kristy,92
FL,F,1981,Melinda,92
FL,F,1981,Yolanda,92
FL,F,1981,Gina,91
FL,F,1981,Casey,89
FL,F,1981,Margaret,89
FL,F,1981,Sharon,89
FL,F,1981,Angel,88
FL,F,1981,Tasha,88
FL,F,1981,Jill,86
FL,F,1981,Kelli,86
FL,F,1981,Alexis,85
FL,F,1981,Kara,85
FL,F,1981,Marie,85
FL,F,1981,Tabitha,83
FL,F,1981,Alisha,82
FL,F,1981,Ebony,82
FL,F,1981,Ana,79
FL,F,1981,Brittany,79
FL,F,1981,Carolyn,79
FL,F,1981,Felicia,79
FL,F,1981,Carla,78
FL,F,1981,Sophia,77
FL,F,1981,Deanna,75
FL,F,1981,Joy,75
FL,F,1981,Summer,75
FL,F,1981,Virginia,75
FL,F,1981,Alison,74
FL,F,1981,Deborah,74
FL,F,1981,Jenny,74
FL,F,1981,Meghan,74
FL,F,1981,Rachael,74
FL,F,1981,Regina,73
FL,F,1981,Suzanne,70
FL,F,1981,Priscilla,68
FL,F,1981,Bonnie,67
FL,F,1981,Jaclyn,66
FL,F,1981,Mandy,66
FL,F,1981,Rebekah,66
FL,F,1981,Shanna,64
FL,F,1981,Janet,63
FL,F,1981,Adrienne,62
FL,F,1981,Meredith,62
FL,F,1981,Miranda,61
FL,F,1981,Toni,61
FL,F,1981,Bethany,60
FL,F,1981,Joanna,60
FL,F,1981,Paula,60
FL,F,1981,Anne,59
FL,F,1981,Cindy,59
FL,F,1981,Krista,59
FL,F,1981,Aimee,58
FL,F,1981,Carmen,58
FL,F,1981,Rhonda,58
FL,F,1981,Alexandra,57
FL,F,1981,Audrey,57
FL,F,1981,Tia,57
FL,F,1981,Debra,56
FL,F,1981,Morgan,56
FL,F,1981,Ruth,55
FL,F,1981,Evelyn,54
FL,F,1981,Nina,54
FL,F,1981,Autumn,53
FL,F,1981,Jacquelyn,53
FL,F,1981,Latisha,53
FL,F,1981,Whitney,53
FL,F,1981,Charlene,51
FL,F,1981,Desiree,51
FL,F,1981,Diane,51
FL,F,1981,Jillian,51
FL,F,1981,Kendra,51
FL,F,1981,Latonya,51
FL,F,1981,Tamika,51
FL,F,1981,Caroline,50
FL,F,1981,Colleen,50
FL,F,1981,Frances,50
FL,F,1981,Kristi,50
FL,F,1981,Shameka,50
FL,F,1981,Tameka,50
FL,F,1981,Jodi,49
FL,F,1981,Sheila,49
FL,F,1981,Janice,48
FL,F,1981,Rose,48
FL,F,1981,Martha,47
FL,F,1981,Robyn,47
FL,F,1981,Ericka,46
FL,F,1981,Jasmine,46
FL,F,1981,Lacey,46
FL,F,1981,Beth,45
FL,F,1981,Bridget,45
FL,F,1981,Dorothy,45
FL,F,1981,Jenna,45
FL,F,1981,Stefanie,45
FL,F,1981,Ann,44
FL,F,1981,Kristine,44
FL,F,1981,Angelina,43
FL,F,1981,Carly,43
FL,F,1981,Leigh,43
FL,F,1981,Mindy,43
FL,F,1981,Sherry,43
FL,F,1981,Annette,42
FL,F,1981,Christie,42
FL,F,1981,Gloria,42
FL,F,1981,Naomi,42
FL,F,1981,Nikki,42
FL,F,1981,Trisha,42
FL,F,1981,Yvonne,42
FL,F,1981,Beverly,41
FL,F,1981,Faith,41
FL,F,1981,Kellie,41
FL,F,1981,Marissa,41
FL,F,1981,Shirley,41
FL,F,1981,Sonya,41
FL,F,1981,Hope,40
FL,F,1981,Melody,40
FL,F,1981,Shawna,40
FL,F,1981,Charlotte,39
FL,F,1981,Kari,39
FL,F,1981,Sylvia,39
FL,F,1981,Cara,38
FL,F,1981,Laurie,38
FL,F,1981,Shayla,38
FL,F,1981,Abigail,37
FL,F,1981,Cassie,37
FL,F,1981,Constance,37
FL,F,1981,Helen,37
FL,F,1981,Jami,37
FL,F,1981,Olivia,37
FL,F,1981,Rosa,37
FL,F,1981,Shelly,37
FL,F,1981,Stacie,37
FL,F,1981,Anita,36
FL,F,1981,Johanna,36
FL,F,1981,Lakisha,36
FL,F,1981,Tabatha,36
FL,F,1981,Terri,36
FL,F,1981,Adriana,35
FL,F,1981,Angelica,35
FL,F,1981,Billie,35
FL,F,1981,Kristie,35
FL,F,1981,Lakesha,35
FL,F,1981,Marsha,35
FL,F,1981,Selena,35
FL,F,1981,Carolina,34
FL,F,1981,Keri,34
FL,F,1981,Marilyn,34
FL,F,1981,Shelley,34
FL,F,1981,Toccara,34
FL,F,1981,Bianca,33
FL,F,1981,Eva,33
FL,F,1981,Jenifer,33
FL,F,1981,Juanita,33
FL,F,1981,Lynn,33
FL,F,1981,Molly,33
FL,F,1981,Randi,33
FL,F,1981,Sheri,33
FL,F,1981,Tracey,33
FL,F,1981,Angie,32
FL,F,1981,Annie,32
FL,F,1981,Jana,32
FL,F,1981,Jean,32
FL,F,1981,Jeanette,32
FL,F,1981,Joyce,32
FL,F,1981,Kelley,32
FL,F,1981,Patrice,32
FL,F,1981,Antoinette,31
FL,F,1981,Belinda,31
FL,F,1981,Brandie,31
FL,F,1981,Cecilia,31
FL,F,1981,Darlene,31
FL,F,1981,Esther,31
FL,F,1981,Hannah,31
FL,F,1981,Jennie,31
FL,F,1981,Marisa,31
FL,F,1981,Alice,30
FL,F,1981,Betty,30
FL,F,1981,Charity,30
FL,F,1981,Chasity,30
FL,F,1981,Joanne,30
FL,F,1981,Keisha,30
FL,F,1981,Kenya,30
FL,F,1981,Kerri,30
FL,F,1981,Lissette,30
FL,F,1981,Sonia,30
FL,F,1981,Yesenia,30
FL,F,1981,Becky,29
FL,F,1981,Carol,29
FL,F,1981,Christa,29
FL,F,1981,Christen,29
FL,F,1981,Grace,29
FL,F,1981,Jessie,29
FL,F,1981,Kasey,29
FL,F,1981,Shana,29
