StateCode,Sex,YearOfBirth,Name,Number
FL,F,1988,Tiana,17
FL,F,1988,Adrianne,16
FL,F,1988,Aja,16
FL,F,1988,Cameron,16
FL,F,1988,Carley,16
FL,F,1988,Cecily,16
FL,F,1988,Chrystal,16
FL,F,1988,Diandra,16
FL,F,1988,Dina,16
FL,F,1988,Dominque,16
FL,F,1988,Esmeralda,16
FL,F,1988,Jackie,16
FL,F,1988,Jazmin,16
FL,F,1988,Jennie,16
FL,F,1988,Kathrine,16
FL,F,1988,Kiera,16
FL,F,1988,Laurie,16
FL,F,1988,Lena,16
FL,F,1988,Lorena,16
FL,F,1988,Magen,16
FL,F,1988,Margarita,16
FL,F,1988,Mariah,16
FL,F,1988,Mariana,16
FL,F,1988,Marina,16
FL,F,1988,Michaela,16
FL,F,1988,Raven,16
FL,F,1988,Rosemary,16
FL,F,1988,Roxanna,16
FL,F,1988,Selina,16
FL,F,1988,Shalonda,16
FL,F,1988,Shameka,16
FL,F,1988,Shamika,16
FL,F,1988,Shante,16
FL,F,1988,Silvia,16
FL,F,1988,Sofia,16
FL,F,1988,Alanna,15
FL,F,1988,Alesha,15
FL,F,1988,Alina,15
FL,F,1988,Brenna,15
FL,F,1988,Britni,15
FL,F,1988,Chantelle,15
FL,F,1988,Cheyenne,15
FL,F,1988,Clara,15
FL,F,1988,Corey,15
FL,F,1988,Corinne,15
FL,F,1988,Doris,15
FL,F,1988,Eleanor,15
FL,F,1988,Emilie,15
FL,F,1988,Glenda,15
FL,F,1988,Guadalupe,15
FL,F,1988,Janel,15
FL,F,1988,Janie,15
FL,F,1988,Jean,15
FL,F,1988,Julianna,15
FL,F,1988,Juliette,15
FL,F,1988,Kasie,15
FL,F,1988,Kristal,15
FL,F,1988,Krysta,15
FL,F,1988,Krystina,15
FL,F,1988,Lakendra,15
FL,F,1988,Laurel,15
FL,F,1988,Leila,15
FL,F,1988,Lynette,15
FL,F,1988,Marcella,15
FL,F,1988,Marcia,15
FL,F,1988,Serena,15
FL,F,1988,Shaneka,15
FL,F,1988,Sheri,15
FL,F,1988,Stefani,15
FL,F,1988,Taja,15
FL,F,1988,Yasmin,15
FL,F,1988,Aisha,14
FL,F,1988,Amie,14
FL,F,1988,Annmarie,14
FL,F,1988,Blanca,14
FL,F,1988,Britany,14
FL,F,1988,Cari,14
FL,F,1988,Celeste,14
FL,F,1988,Celia,14
FL,F,1988,Christopher,14
FL,F,1988,Dianna,14
FL,F,1988,Fallon,14
FL,F,1988,Geneva,14
FL,F,1988,Georgia,14
FL,F,1988,Hailey,14
FL,F,1988,Hanna,14
FL,F,1988,Janell,14
FL,F,1988,Jerica,14
FL,F,1988,Jessika,14
FL,F,1988,Joann,14
FL,F,1988,Kalyn,14
FL,F,1988,Kandice,14
FL,F,1988,Karissa,14
FL,F,1988,Kaylin,14
FL,F,1988,Kelsie,14
FL,F,1988,Kimberley,14
FL,F,1988,Kristian,14
FL,F,1988,Kyra,14
FL,F,1988,Luz,14
FL,F,1988,Marisol,14
FL,F,1988,Noel,14
FL,F,1988,Rebeca,14
FL,F,1988,Savanna,14
FL,F,1988,Suzette,14
FL,F,1988,Valeria,14
FL,F,1988,Wanda,14
FL,F,1988,Alex,13
FL,F,1988,Alysia,13
FL,F,1988,Chandra,13
FL,F,1988,Charmaine,13
FL,F,1988,Daniel,13
FL,F,1988,Eden,13
FL,F,1988,Elisha,13
FL,F,1988,Eryn,13
FL,F,1988,Fatima,13
FL,F,1988,Irma,13
FL,F,1988,Janna,13
FL,F,1988,Jeanna,13
FL,F,1988,Jeannie,13
FL,F,1988,Julianne,13
FL,F,1988,Katelynn,13
FL,F,1988,Keshia,13
FL,F,1988,Kirstin,13
FL,F,1988,Lakesha,13
FL,F,1988,Lana,13
FL,F,1988,Laquanda,13
FL,F,1988,Lee,13
FL,F,1988,Leighann,13
FL,F,1988,Linsey,13
FL,F,1988,Liza,13
FL,F,1988,Logan,13
FL,F,1988,Lucy,13
FL,F,1988,Mandi,13
FL,F,1988,Marianne,13
FL,F,1988,Melisa,13
FL,F,1988,Myra,13
FL,F,1988,Nataly,13
FL,F,1988,Raina,13
FL,F,1988,Rosalinda,13
FL,F,1988,Shatara,13
FL,F,1988,Sonja,13
FL,F,1988,Susana,13
FL,F,1988,Talia,13
FL,F,1988,Ursula,13
FL,F,1988,Alesia,12
FL,F,1988,Alexandrea,12
FL,F,1988,Ali,12
FL,F,1988,Arlene,12
FL,F,1988,Ashlyn,12
FL,F,1988,Asia,12
FL,F,1988,Betsy,12
FL,F,1988,Brittaney,12
FL,F,1988,Casandra,12
FL,F,1988,Cassidy,12
FL,F,1988,Catalina,12
FL,F,1988,Cecelia,12
FL,F,1988,Christiana,12
FL,F,1988,Debbie,12
FL,F,1988,Estefania,12
FL,F,1988,Geraldine,12
FL,F,1988,Hali,12
FL,F,1988,Kacey,12
FL,F,1988,Kaela,12
FL,F,1988,Kalee,12
FL,F,1988,Kandis,12
FL,F,1988,Katy,12
FL,F,1988,Kaycee,12
FL,F,1988,Kyle,12
FL,F,1988,Lacie,12
FL,F,1988,Lakeshia,12
FL,F,1988,Latoria,12
FL,F,1988,Leeann,12
FL,F,1988,Lyndsay,12
FL,F,1988,Marquita,12
FL,F,1988,Phylicia,12
FL,F,1988,Reva,12
FL,F,1988,Samatha,12
FL,F,1988,Tanesha,12
FL,F,1988,Terra,12
FL,F,1988,Tiera,12
FL,F,1988,Tosha,12
FL,F,1988,Bernadette,11
FL,F,1988,Channing,11
FL,F,1988,Cody,11
FL,F,1988,Cristal,11
FL,F,1988,Dania,11
FL,F,1988,Davina,11
FL,F,1988,Dayna,11
FL,F,1988,Deidra,11
FL,F,1988,Deidre,11
FL,F,1988,Delia,11
FL,F,1988,Dena,11
FL,F,1988,Elyssa,11
FL,F,1988,Gabriel,11
FL,F,1988,Gwendolyn,11
FL,F,1988,Ileana,11
FL,F,1988,Ingrid,11
FL,F,1988,Isabella,11
FL,F,1988,Ivy,11
FL,F,1988,Janessa,11
FL,F,1988,Jesica,11
FL,F,1988,Juana,11
