StateCode,Sex,YearOfBirth,Name,Number
FL,F,2004,Jaydin,5
FL,F,2004,Jaymie,5
FL,F,2004,Jelena,5
FL,F,2004,Jenae,5
FL,F,2004,Jenessa,5
FL,F,2004,Jeniffer,5
FL,F,2004,Jesica,5
FL,F,2004,Jessi,5
FL,F,2004,Joceline,5
FL,F,2004,Jodie,5
FL,F,2004,Joie,5
FL,F,2004,Joscelyn,5
FL,F,2004,Jovana,5
FL,F,2004,June,5
FL,F,2004,Justyce,5
FL,F,2004,Kaili,5
FL,F,2004,Kailynn,5
FL,F,2004,Kalena,5
FL,F,2004,Kamaria,5
FL,F,2004,Kamia,5
FL,F,2004,Kamille,5
FL,F,2004,Kamiya,5
FL,F,2004,Kamora,5
FL,F,2004,Kari,5
FL,F,2004,Karime,5
FL,F,2004,Karisma,5
FL,F,2004,Karol,5
FL,F,2004,Karolina,5
FL,F,2004,Karyn,5
FL,F,2004,Kasia,5
FL,F,2004,Katelynne,5
FL,F,2004,Kathrine,5
FL,F,2004,Katya,5
FL,F,2004,Kayanna,5
FL,F,2004,Kayce,5
FL,F,2004,Kaylani,5
FL,F,2004,Kayle,5
FL,F,2004,Keiry,5
FL,F,2004,Kelci,5
FL,F,2004,Kendell,5
FL,F,2004,Kenley,5
FL,F,2004,Keondra,5
FL,F,2004,Keonna,5
FL,F,2004,Keyara,5
FL,F,2004,Khaliah,5
FL,F,2004,Khushi,5
FL,F,2004,Kiele,5
FL,F,2004,Kierstyn,5
FL,F,2004,Kilee,5
FL,F,2004,Kimberley,5
FL,F,2004,Kitana,5
FL,F,2004,Kiya,5
FL,F,2004,Klaudia,5
FL,F,2004,Kloey,5
FL,F,2004,Kortney,5
FL,F,2004,Kylea,5
FL,F,2004,Kyli,5
FL,F,2004,Laina,5
FL,F,2004,Lamaria,5
FL,F,2004,Lamia,5
FL,F,2004,Lani,5
FL,F,2004,Laniyah,5
FL,F,2004,Lashay,5
FL,F,2004,Latisha,5
FL,F,2004,Latoya,5
FL,F,2004,Layne,5
FL,F,2004,Leana,5
FL,F,2004,Leela,5
FL,F,2004,Lelani,5
FL,F,2004,Leonela,5
FL,F,2004,Lesli,5
FL,F,2004,Lilianna,5
FL,F,2004,Lilith,5
FL,F,2004,Lilyanne,5
FL,F,2004,Liyah,5
FL,F,2004,Lizet,5
FL,F,2004,Lorraine,5
FL,F,2004,Lucille,5
FL,F,2004,Luiza,5
FL,F,2004,Lynette,5
FL,F,2004,Lynnette,5
FL,F,2004,Maddox,5
FL,F,2004,Madysen,5
FL,F,2004,Magali,5
FL,F,2004,Magnolia,5
FL,F,2004,Mahala,5
FL,F,2004,Maisha,5
FL,F,2004,Maison,5
FL,F,2004,Maiya,5
FL,F,2004,Makenzi,5
FL,F,2004,Malana,5
FL,F,2004,Malayna,5
FL,F,2004,Malina,5
FL,F,2004,Mandi,5
FL,F,2004,Marcia,5
FL,F,2004,Mariya,5
FL,F,2004,Marsha,5
FL,F,2004,Marysa,5
FL,F,2004,Maryssa,5
FL,F,2004,Maureen,5
FL,F,2004,Mekenzie,5
FL,F,2004,Mel,5
FL,F,2004,Michael,5
FL,F,2004,Michell,5
FL,F,2004,Mickayla,5
FL,F,2004,Mika,5
FL,F,2004,Mikala,5
FL,F,2004,Milagro,5
FL,F,2004,Milana,5
FL,F,2004,Minerva,5
FL,F,2004,Miyah,5
FL,F,2004,Moira,5
FL,F,2004,Myasia,5
FL,F,2004,Myriam,5
FL,F,2004,Naia,5
FL,F,2004,Naisha,5
FL,F,2004,Naja,5
FL,F,2004,Nashali,5
FL,F,2004,Nathali,5
FL,F,2004,Nautica,5
FL,F,2004,Naysa,5
FL,F,2004,Neida,5
FL,F,2004,Nephtalie,5
FL,F,2004,Neveah,5
FL,F,2004,Niki,5
FL,F,2004,Nola,5
FL,F,2004,Noura,5
FL,F,2004,Nyomi,5
FL,F,2004,Pricila,5
FL,F,2004,Queen,5
FL,F,2004,Rafaela,5
FL,F,2004,Ramya,5
FL,F,2004,Rania,5
FL,F,2004,Ranya,5
FL,F,2004,Rayana,5
FL,F,2004,Reniya,5
FL,F,2004,Rilee,5
FL,F,2004,Romi,5
FL,F,2004,Romina,5
FL,F,2004,Rosalia,5
FL,F,2004,Roslyn,5
FL,F,2004,Saba,5
FL,F,2004,Sabine,5
FL,F,2004,Sailor,5
FL,F,2004,Saira,5
FL,F,2004,Sarena,5
FL,F,2004,Shamaya,5
FL,F,2004,Shanyah,5
FL,F,2004,Sharell,5
FL,F,2004,Shariah,5
FL,F,2004,Shaylynn,5
FL,F,2004,Sheena,5
FL,F,2004,Shelbi,5
FL,F,2004,Shiann,5
FL,F,2004,Shirley,5
FL,F,2004,Shreya,5
FL,F,2004,Shyanna,5
FL,F,2004,Sierrah,5
FL,F,2004,Simran,5
FL,F,2004,Skylah,5
FL,F,2004,Sloane,5
FL,F,2004,Sofie,5
FL,F,2004,Stacie,5
FL,F,2004,Suzanna,5
FL,F,2004,Syria,5
FL,F,2004,Taelor,5
FL,F,2004,Takayla,5
FL,F,2004,Talea,5
FL,F,2004,Tamar,5
FL,F,2004,Tanaya,5
FL,F,2004,Tanyia,5
FL,F,2004,Taylar,5
FL,F,2004,Terra,5
FL,F,2004,Tiani,5
FL,F,2004,Tiarra,5
FL,F,2004,Tierney,5
FL,F,2004,Timya,5
FL,F,2004,Tykira,5
FL,F,2004,Tyla,5
FL,F,2004,Viktoria,5
