StateCode,Sex,YearOfBirth,Name,Number
FL,F,2009,Jaida,59
FL,F,2009,Kamila,59
FL,F,2009,Kamryn,59
FL,F,2009,Nyla,59
FL,F,2009,Elise,58
FL,F,2009,Karla,58
FL,F,2009,Kaydence,58
FL,F,2009,Leslie,58
FL,F,2009,Camille,57
FL,F,2009,Kelly,57
FL,F,2009,Arielle,56
FL,F,2009,Catalina,56
FL,F,2009,Teagan,56
FL,F,2009,Hope,55
FL,F,2009,Jaelyn,55
FL,F,2009,Selena,55
FL,F,2009,Alaina,54
FL,F,2009,Alanna,54
FL,F,2009,Alice,54
FL,F,2009,Angie,54
FL,F,2009,Josephine,54
FL,F,2009,Juliette,54
FL,F,2009,Kyra,54
FL,F,2009,Penelope,54
FL,F,2009,Shayla,54
FL,F,2009,Allie,53
FL,F,2009,Alondra,53
FL,F,2009,Esmeralda,53
FL,F,2009,Imani,53
FL,F,2009,Joselyn,53
FL,F,2009,Zariah,53
FL,F,2009,Carmen,52
FL,F,2009,Kayden,52
FL,F,2009,Mallory,52
FL,F,2009,Paris,52
FL,F,2009,Rebekah,52
FL,F,2009,Skyler,52
FL,F,2009,Cassandra,51
FL,F,2009,Francesca,51
FL,F,2009,Janelle,51
FL,F,2009,Kiley,51
FL,F,2009,Luciana,51
FL,F,2009,Paisley,51
FL,F,2009,Savanna,51
FL,F,2009,Aubree,50
FL,F,2009,Clara,50
FL,F,2009,Dayana,50
FL,F,2009,Isla,50
FL,F,2009,Kendra,50
FL,F,2009,Lucia,50
FL,F,2009,Maddison,50
FL,F,2009,Melany,50
FL,F,2009,Talia,50
FL,F,2009,Taliyah,50
FL,F,2009,Amiyah,49
FL,F,2009,Heidi,49
FL,F,2009,Kaliyah,49
FL,F,2009,Nathalie,49
FL,F,2009,Paola,49
FL,F,2009,Sarai,49
FL,F,2009,Alani,48
FL,F,2009,Annabella,48
FL,F,2009,Crystal,48
FL,F,2009,Jakayla,48
FL,F,2009,Kailey,48
FL,F,2009,Kaylin,48
FL,F,2009,Lexi,48
FL,F,2009,Makenna,48
FL,F,2009,Michaela,48
FL,F,2009,Nayeli,48
FL,F,2009,Cynthia,47
FL,F,2009,Lia,47
FL,F,2009,Willow,47
FL,F,2009,Audrina,46
FL,F,2009,Jaylin,46
FL,F,2009,Madilyn,46
FL,F,2009,Mila,46
FL,F,2009,Natasha,46
FL,F,2009,Nia,46
FL,F,2009,Rylie,46
FL,F,2009,Serena,46
FL,F,2009,Taraji,46
FL,F,2009,Tessa,46
FL,F,2009,Angeline,45
FL,F,2009,Desiree,45
FL,F,2009,Margaret,45
FL,F,2009,Ruth,45
FL,F,2009,Erica,44
FL,F,2009,Esther,44
FL,F,2009,Giana,44
FL,F,2009,Julie,44
FL,F,2009,Lilliana,44
FL,F,2009,Madeleine,44
FL,F,2009,Presley,44
FL,F,2009,Skye,44
FL,F,2009,Gia,43
FL,F,2009,Jaylah,43
FL,F,2009,Kailyn,43
FL,F,2009,Lyric,43
FL,F,2009,Mckenna,43
FL,F,2009,Sariah,43
FL,F,2009,Ayanna,42
FL,F,2009,Bethany,42
FL,F,2009,Eliza,42
FL,F,2009,Giuliana,42
FL,F,2009,Johanna,42
FL,F,2009,Kaelyn,42
FL,F,2009,Madisyn,42
FL,F,2009,Miracle,42
FL,F,2009,Tiana,42
FL,F,2009,Cecilia,41
FL,F,2009,Janessa,41
FL,F,2009,Nora,41
FL,F,2009,Alison,40
FL,F,2009,Brenda,40
FL,F,2009,Brooklynn,40
FL,F,2009,Cali,40
FL,F,2009,Cameron,40
FL,F,2009,Cheyanne,40
FL,F,2009,Destinee,40
FL,F,2009,Holly,40
FL,F,2009,Maia,40
FL,F,2009,Marlee,40
FL,F,2009,Alyson,39
FL,F,2009,Athena,39
FL,F,2009,Emilee,39
FL,F,2009,Georgia,39
FL,F,2009,Justice,39
FL,F,2009,Mikaela,39
FL,F,2009,Priscilla,39
FL,F,2009,Samara,39
FL,F,2009,Yasmin,39
FL,F,2009,Zaria,39
FL,F,2009,Alisha,38
FL,F,2009,Anya,38
FL,F,2009,Erika,38
FL,F,2009,Kiera,38
FL,F,2009,Kinsley,38
FL,F,2009,Sage,38
FL,F,2009,Saniya,38
FL,F,2009,Amari,37
FL,F,2009,Anabelle,37
FL,F,2009,Antonella,37
FL,F,2009,Armani,37
FL,F,2009,Ayla,37
FL,F,2009,Chanel,37
FL,F,2009,Danica,37
FL,F,2009,Dulce,37
FL,F,2009,Kristina,37
FL,F,2009,Lena,37
FL,F,2009,Liana,37
FL,F,2009,Lilah,37
FL,F,2009,Lindsey,37
FL,F,2009,Macy,37
FL,F,2009,Raegan,37
FL,F,2009,Amya,36
FL,F,2009,Ansley,36
FL,F,2009,Arabella,36
FL,F,2009,Danika,36
FL,F,2009,Harley,36
FL,F,2009,Hazel,36
FL,F,2009,Myla,36
FL,F,2009,Saniyah,36
FL,F,2009,Siena,36
FL,F,2009,Aiyana,35
FL,F,2009,Alissa,35
FL,F,2009,Amelie,35
FL,F,2009,Azariah,35
FL,F,2009,Bryanna,35
FL,F,2009,Claudia,35
FL,F,2009,Deanna,35
FL,F,2009,Elaina,35
FL,F,2009,Eleanor,35
FL,F,2009,Emerson,35
FL,F,2009,Jaylen,35
FL,F,2009,Journey,35
FL,F,2009,Kaylie,35
FL,F,2009,Kristen,35
FL,F,2009,Lacey,35
FL,F,2009,Lana,35
FL,F,2009,Lilyana,35
FL,F,2009,Madyson,35
FL,F,2009,Phoebe,35
FL,F,2009,Shaniya,35
FL,F,2009,Viviana,35
FL,F,2009,Brittany,34
FL,F,2009,Emilia,34
FL,F,2009,Jaden,34
FL,F,2009,Kenya,34
FL,F,2009,Linda,34
FL,F,2009,Maleah,34
FL,F,2009,Marisol,34
FL,F,2009,Monica,34
FL,F,2009,Myah,34
FL,F,2009,Nylah,34
FL,F,2009,Skyla,34
FL,F,2009,April,33
FL,F,2009,Aryanna,33
FL,F,2009,Ashlee,33
FL,F,2009,Ayana,33
FL,F,2009,Cristina,33
FL,F,2009,Giovanna,33
FL,F,2009,Hanna,33
FL,F,2009,Kassidy,33
FL,F,2009,Kinley,33
FL,F,2009,Lea,33
FL,F,2009,Lizbeth,33
FL,F,2009,Maggie,33
FL,F,2009,Marie,33
FL,F,2009,Mariyah,33
FL,F,2009,Norah,33
FL,F,2009,Patricia,33
FL,F,2009,Zion,33
FL,F,2009,Amani,32
FL,F,2009,Celeste,32
FL,F,2009,Gloria,32
FL,F,2009,Jaylee,32
FL,F,2009,Jazlynn,32
FL,F,2009,Kadence,32
FL,F,2009,Kali,32
FL,F,2009,Katelynn,32
FL,F,2009,Lauryn,32
FL,F,2009,Marianna,32
FL,F,2009,Natalya,32
FL,F,2009,Raquel,32
FL,F,2009,Aria,31
FL,F,2009,Braelyn,31
FL,F,2009,Elisabeth,31
FL,F,2009,Emilie,31
FL,F,2009,Gemma,31
FL,F,2009,Haleigh,31
FL,F,2009,Ivy,31
FL,F,2009,Karma,31
FL,F,2009,Kassandra,31
FL,F,2009,Lindsay,31
FL,F,2009,Madalyn,31
FL,F,2009,Nataly,31
FL,F,2009,Noelle,31
FL,F,2009,Sandra,31
FL,F,2009,Sidney,31
FL,F,2009,Tabitha,31
FL,F,2009,Zaniyah,31
FL,F,2009,Abbigail,30
FL,F,2009,Amara,30
FL,F,2009,Baylee,30
FL,F,2009,Bridget,30
FL,F,2009,Brylee,30
FL,F,2009,Estrella,30
FL,F,2009,Fiona,30
FL,F,2009,Jaylynn,30
FL,F,2009,Kennedi,30
FL,F,2009,Kiana,30
FL,F,2009,Kiersten,30
FL,F,2009,Rhianna,30
FL,F,2009,Shiloh,30
FL,F,2009,Yesenia,30
FL,F,2009,Amiya,29
FL,F,2009,Angelique,29
FL,F,2009,Ashanti,29
FL,F,2009,Azaria,29
FL,F,2009,Brenna,29
FL,F,2009,Diamond,29
FL,F,2009,Dylan,29
FL,F,2009,Elle,29
FL,F,2009,Elliana,29
FL,F,2009,Helen,29
FL,F,2009,Jamiyah,29
FL,F,2009,Janae,29
FL,F,2009,Jaslene,29
FL,F,2009,Lexie,29
FL,F,2009,Sariyah,29
FL,F,2009,Shania,29
FL,F,2009,Shannon,29
FL,F,2009,Anne,28
FL,F,2009,Camilla,28
FL,F,2009,Deborah,28
FL,F,2009,Emery,28
FL,F,2009,Giada,28
FL,F,2009,Iris,28
FL,F,2009,Isis,28
FL,F,2009,Jaidyn,28
FL,F,2009,Josie,28
FL,F,2009,Krystal,28
FL,F,2009,Leanna,28
FL,F,2009,Lorena,28
FL,F,2009,Melina,28
FL,F,2009,Rosa,28
FL,F,2009,Rose,28
FL,F,2009,Tamia,28
FL,F,2009,Whitney,28
FL,F,2009,Adalyn,27
FL,F,2009,Addisyn,27
FL,F,2009,Aleah,27
FL,F,2009,Aliya,27
FL,F,2009,Annie,27
FL,F,2009,Aryana,27
FL,F,2009,Danna,27
FL,F,2009,Denise,27
FL,F,2009,Jaleah,27
FL,F,2009,Jayleen,27
FL,F,2009,Lillie,27
FL,F,2009,Lisa,27
FL,F,2009,Londyn,27
FL,F,2009,Maliah,27
FL,F,2009,Milan,27
FL,F,2009,Moriah,27
FL,F,2009,Parker,27
FL,F,2009,Precious,27
FL,F,2009,Princess,27
FL,F,2009,Raven,27
FL,F,2009,Simone,27
FL,F,2009,Tania,27
FL,F,2009,Taniyah,27
FL,F,2009,Tatianna,27
FL,F,2009,Tianna,27
FL,F,2009,Vivienne,27
FL,F,2009,Zariyah,27
FL,F,2009,Allisson,26
FL,F,2009,Amira,26
FL,F,2009,Annalise,26
FL,F,2009,Belinda,26
FL,F,2009,Cara,26
FL,F,2009,Carla,26
FL,F,2009,Christine,26
FL,F,2009,Cora,26
FL,F,2009,Demi,26
FL,F,2009,Finley,26
FL,F,2009,Hayley,26
FL,F,2009,Jaelynn,26
FL,F,2009,Jaiden,26
FL,F,2009,Jazmyn,26
FL,F,2009,Kaitlynn,26
