StateCode,Sex,YearOfBirth,Name,Number
FL,F,2013,India,15
FL,F,2013,Jakayla,15
FL,F,2013,Jamya,15
FL,F,2013,Jenny,15
FL,F,2013,Joslyn,15
FL,F,2013,Kaiya,15
FL,F,2013,Kallie,15
FL,F,2013,Kamari,15
FL,F,2013,Kamilah,15
FL,F,2013,Kamora,15
FL,F,2013,Kataleya,15
FL,F,2013,Kaylani,15
FL,F,2013,Keila,15
FL,F,2013,Kora,15
FL,F,2013,Lacy,15
FL,F,2013,Laurel,15
FL,F,2013,Lennon,15
FL,F,2013,Lesly,15
FL,F,2013,Linda,15
FL,F,2013,Livia,15
FL,F,2013,Mina,15
FL,F,2013,Mira,15
FL,F,2013,Nailah,15
FL,F,2013,Nyah,15
FL,F,2013,Rosalee,15
FL,F,2013,Salome,15
FL,F,2013,Selene,15
FL,F,2013,Sloan,15
FL,F,2013,Soleil,15
FL,F,2013,Suri,15
FL,F,2013,Tamara,15
FL,F,2013,Taylin,15
FL,F,2013,Theresa,15
FL,F,2013,Yareli,15
FL,F,2013,Anahi,14
FL,F,2013,Arden,14
FL,F,2013,Ariyana,14
FL,F,2013,Aubri,14
FL,F,2013,Ayleen,14
FL,F,2013,Braylee,14
FL,F,2013,Briley,14
FL,F,2013,Cailyn,14
FL,F,2013,Caliyah,14
FL,F,2013,Campbell,14
FL,F,2013,Carina,14
FL,F,2013,Celina,14
FL,F,2013,Charli,14
FL,F,2013,Christiana,14
FL,F,2013,Cindy,14
FL,F,2013,Drew,14
FL,F,2013,Elissa,14
FL,F,2013,Emiliana,14
FL,F,2013,Emoni,14
FL,F,2013,Fabiana,14
FL,F,2013,Frances,14
FL,F,2013,Hayleigh,14
FL,F,2013,Jewel,14
FL,F,2013,Johana,14
FL,F,2013,Joyce,14
FL,F,2013,Kailynn,14
FL,F,2013,Kayleen,14
FL,F,2013,Keily,14
FL,F,2013,Kiersten,14
FL,F,2013,Kimber,14
FL,F,2013,Krystal,14
FL,F,2013,Leilany,14
FL,F,2013,Lorena,14
FL,F,2013,Maite,14
FL,F,2013,Marianna,14
FL,F,2013,Maritza,14
FL,F,2013,Marleigh,14
FL,F,2013,Miyah,14
FL,F,2013,Nyasia,14
FL,F,2013,Rachael,14
FL,F,2013,Reyna,14
FL,F,2013,Robyn,14
FL,F,2013,Rosalyn,14
FL,F,2013,Sabella,14
FL,F,2013,Saylor,14
FL,F,2013,Shaniyah,14
FL,F,2013,Shannon,14
FL,F,2013,Shayna,14
FL,F,2013,Sheila,14
FL,F,2013,Sofie,14
FL,F,2013,Tahlia,14
FL,F,2013,Unique,14
FL,F,2013,Abigayle,13
FL,F,2013,Alanis,13
FL,F,2013,Amayah,13
FL,F,2013,Anjali,13
FL,F,2013,Anne,13
FL,F,2013,Armoni,13
FL,F,2013,Ashlee,13
FL,F,2013,Audree,13
FL,F,2013,Betsy,13
FL,F,2013,Bree,13
FL,F,2013,Bryleigh,13
FL,F,2013,Caelyn,13
FL,F,2013,Casey,13
FL,F,2013,Cattleya,13
FL,F,2013,Chasity,13
FL,F,2013,Cheyanne,13
FL,F,2013,Dalia,13
FL,F,2013,Dalilah,13
FL,F,2013,Dominique,13
FL,F,2013,Elora,13
FL,F,2013,Evalyn,13
FL,F,2013,Giavanna,13
FL,F,2013,Hana,13
FL,F,2013,Ivana,13
FL,F,2013,Iyana,13
FL,F,2013,Jayde,13
FL,F,2013,Journi,13
FL,F,2013,Julieta,13
FL,F,2013,Kaleigh,13
FL,F,2013,Kalia,13
FL,F,2013,Kaliah,13
FL,F,2013,Karis,13
FL,F,2013,Kenna,13
FL,F,2013,Keziah,13
FL,F,2013,Laniya,13
FL,F,2013,Lilyann,13
FL,F,2013,Luz,13
FL,F,2013,Mariya,13
FL,F,2013,Melania,13
FL,F,2013,Micah,13
FL,F,2013,Miya,13
FL,F,2013,Mylah,13
FL,F,2013,Myra,13
FL,F,2013,Natalee,13
FL,F,2013,Nathalia,13
FL,F,2013,Raina,13
FL,F,2013,Rhea,13
FL,F,2013,Rileigh,13
FL,F,2013,Riya,13
FL,F,2013,Rubi,13
FL,F,2013,Ryan,13
FL,F,2013,Sariya,13
FL,F,2013,Taliah,13
FL,F,2013,Tania,13
FL,F,2013,Taniyah,13
FL,F,2013,Tinsley,13
FL,F,2013,Tyra,13
FL,F,2013,Wendy,13
FL,F,2013,Yaritza,13
FL,F,2013,Abrianna,12
FL,F,2013,Aiyanna,12
FL,F,2013,Aliyana,12
FL,F,2013,Alyvia,12
FL,F,2013,Amaia,12
FL,F,2013,Ann,12
FL,F,2013,Astrid,12
FL,F,2013,Avah,12
FL,F,2013,Barbara,12
FL,F,2013,Beatrice,12
FL,F,2013,Belen,12
FL,F,2013,Brandi,12
FL,F,2013,Cayla,12
FL,F,2013,Christy,12
FL,F,2013,Daleyza,12
FL,F,2013,Deja,12
FL,F,2013,Denise,12
FL,F,2013,Elianna,12
FL,F,2013,Elina,12
FL,F,2013,Elsa,12
FL,F,2013,Emmalynn,12
FL,F,2013,Evie,12
FL,F,2013,Fabiola,12
FL,F,2013,Farah,12
FL,F,2013,Gisselle,12
FL,F,2013,Giulianna,12
FL,F,2013,Gracyn,12
FL,F,2013,Irie,12
FL,F,2013,Jadyn,12
FL,F,2013,Jaiden,12
FL,F,2013,Jaidyn,12
FL,F,2013,Jalayah,12
FL,F,2013,Jana,12
FL,F,2013,Jaydah,12
FL,F,2013,Jaylene,12
FL,F,2013,Jazmyn,12
FL,F,2013,Jazzlyn,12
FL,F,2013,Jolene,12
FL,F,2013,Judith,12
FL,F,2013,Justyce,12
FL,F,2013,Kaila,12
FL,F,2013,Kamaria,12
FL,F,2013,Katerina,12
FL,F,2013,Kayley,12
FL,F,2013,Kaylyn,12
FL,F,2013,Keilani,12
FL,F,2013,Kianna,12
FL,F,2013,Larissa,12
FL,F,2013,Lyra,12
FL,F,2013,Manuela,12
FL,F,2013,Marcela,12
FL,F,2013,Martha,12
FL,F,2013,Mercy,12
FL,F,2013,Noel,12
FL,F,2013,Noelia,12
FL,F,2013,Priya,12
FL,F,2013,Raya,12
FL,F,2013,Reina,12
FL,F,2013,Selina,12
FL,F,2013,Sheyla,12
FL,F,2013,Skylah,12
FL,F,2013,Stacey,12
FL,F,2013,Sylvia,12
FL,F,2013,Tallulah,12
FL,F,2013,Tamera,12
FL,F,2013,Taniya,12
FL,F,2013,Thea,12
FL,F,2013,Veronika,12
FL,F,2013,Violeta,12
FL,F,2013,Wren,12
FL,F,2013,Yara,12
FL,F,2013,Yazmin,12
FL,F,2013,Yoselin,12
FL,F,2013,Yuliana,12
FL,F,2013,Zaniya,12
FL,F,2013,Zelda,12
FL,F,2013,Abigale,11
FL,F,2013,Alianna,11
FL,F,2013,Alyse,11
FL,F,2013,Anaiah,11
FL,F,2013,Anika,11
FL,F,2013,Aracely,11
FL,F,2013,Arely,11
FL,F,2013,Arina,11
FL,F,2013,Aubriana,11
FL,F,2013,Bridgette,11
FL,F,2013,Brittney,11
FL,F,2013,Calliope,11
FL,F,2013,Capri,11
FL,F,2013,Carli,11
FL,F,2013,Carolyn,11
FL,F,2013,Chaya,11
FL,F,2013,Dayanna,11
FL,F,2013,Diamond,11
FL,F,2013,Diya,11
FL,F,2013,Elaine,11
FL,F,2013,Elayna,11
FL,F,2013,Elizaveta,11
FL,F,2013,Emelyn,11
FL,F,2013,Emmaline,11
FL,F,2013,Esme,11
FL,F,2013,Evelina,11
FL,F,2013,Illiana,11
FL,F,2013,Ireland,11
FL,F,2013,Jacey,11
FL,F,2013,Jadore,11
FL,F,2013,Jaela,11
FL,F,2013,Jalissa,11
FL,F,2013,Jaylen,11
FL,F,2013,Jazmyne,11
FL,F,2013,Jianna,11
FL,F,2013,Juniper,11
FL,F,2013,Jurnee,11
FL,F,2013,Karlie,11
FL,F,2013,Kirra,11
FL,F,2013,Liyah,11
FL,F,2013,Londynn,11
FL,F,2013,Lourdes,11
FL,F,2013,Lucero,11
FL,F,2013,Maeve,11
FL,F,2013,Margot,11
FL,F,2013,Mayra,11
FL,F,2013,Meadow,11
FL,F,2013,Mika,11
FL,F,2013,Milagros,11
FL,F,2013,Noemi,11
FL,F,2013,Noor,11
FL,F,2013,Polina,11
FL,F,2013,Remi,11
FL,F,2013,Renata,11
FL,F,2013,Renesmee,11
FL,F,2013,Rosalia,11
FL,F,2013,Rylynn,11
FL,F,2013,Seraphina,11
FL,F,2013,Shaylee,11
FL,F,2013,Willa,11
FL,F,2013,Wynter,11
FL,F,2013,Yamileth,11
FL,F,2013,Zarah,11
FL,F,2013,Ada,10
FL,F,2013,Adela,10
FL,F,2013,Ali,10
FL,F,2013,Alysha,10
FL,F,2013,Ameera,10
FL,F,2013,Analise,10
FL,F,2013,Annamarie,10
FL,F,2013,Annelise,10
FL,F,2013,Arianny,10
FL,F,2013,Ariyanna,10
FL,F,2013,Avalynn,10
FL,F,2013,Brandy,10
FL,F,2013,Brigitte,10
FL,F,2013,Carleigh,10
FL,F,2013,Cassie,10
FL,F,2013,Celia,10
FL,F,2013,Chiara,10
FL,F,2013,Colette,10
FL,F,2013,Cordelia,10
FL,F,2013,Daria,10
FL,F,2013,Devyn,10
FL,F,2013,Donna,10
FL,F,2013,Dorothy,10
FL,F,2013,Egypt,10
FL,F,2013,Eisley,10
FL,F,2013,Elani,10
FL,F,2013,Eleni,10
FL,F,2013,Elsie,10
FL,F,2013,Elyssa,10
FL,F,2013,Emmalee,10
FL,F,2013,Emmie,10
FL,F,2013,Estella,10
FL,F,2013,Everleigh,10
FL,F,2013,Fiorella,10
FL,F,2013,Harleigh,10
FL,F,2013,Iliana,10
FL,F,2013,Ivory,10
FL,F,2013,Jakiyah,10
FL,F,2013,Jaya,10
FL,F,2013,Jayna,10
FL,F,2013,Jazelle,10
FL,F,2013,Jessa,10
FL,F,2013,Joelle,10
FL,F,2013,Jordin,10
FL,F,2013,Juanita,10
FL,F,2013,Kaelynn,10
FL,F,2013,Kamiya,10
FL,F,2013,Kayli,10
FL,F,2013,Keisha,10
FL,F,2013,Kenzi,10
FL,F,2013,Keren,10
FL,F,2013,Kyndal,10
FL,F,2013,Laniyah,10
FL,F,2013,Layan,10
FL,F,2013,Libby,10
FL,F,2013,Liz,10
FL,F,2013,Luana,10
FL,F,2013,Lucie,10
FL,F,2013,Mabel,10
FL,F,2013,Maiya,10
FL,F,2013,Marcella,10
FL,F,2013,Mariela,10
FL,F,2013,Mariella,10
FL,F,2013,Marisa,10
FL,F,2013,Marjorie,10
FL,F,2013,Markayla,10
FL,F,2013,Marlena,10
FL,F,2013,Marlie,10
FL,F,2013,Maylin,10
FL,F,2013,Melani,10
FL,F,2013,Patience,10
FL,F,2013,Rebeca,10
FL,F,2013,Rilee,10
FL,F,2013,Roslyn,10
FL,F,2013,Sailor,10
FL,F,2013,Sarina,10
FL,F,2013,Sunny,10
FL,F,2013,Susan,10
FL,F,2013,Sutton,10
FL,F,2013,Tara,10
FL,F,2013,Tayla,10
FL,F,2013,Tesla,10
FL,F,2013,Yamilet,10
FL,F,2013,Yaretzy,10
FL,F,2013,Zahra,10
FL,F,2013,Aaleyah,9
FL,F,2013,Aarya,9
FL,F,2013,Abagail,9
FL,F,2013,Abbie,9
FL,F,2013,Abbygail,9
FL,F,2013,Abril,9
FL,F,2013,Abygail,9
FL,F,2013,Adalina,9
FL,F,2013,Addilyn,9
FL,F,2013,Aleeyah,9
FL,F,2013,Aleksandra,9
FL,F,2013,Alisson,9
FL,F,2013,Amilia,9
FL,F,2013,Aniah,9
FL,F,2013,Anniston,9
FL,F,2013,Araceli,9
FL,F,2013,Aubreigh,9
FL,F,2013,Aubriella,9
FL,F,2013,Aurelia,9
FL,F,2013,Austyn,9
FL,F,2013,Avani,9
FL,F,2013,Ayah,9
FL,F,2013,Belle,9
FL,F,2013,Berkley,9
FL,F,2013,Carlie,9
FL,F,2013,Carlota,9
FL,F,2013,Chanelle,9
FL,F,2013,Christie,9
FL,F,2013,Coraline,9
FL,F,2013,Cori,9
FL,F,2013,Dasia,9
FL,F,2013,Denisse,9
FL,F,2013,Dianna,9
FL,F,2013,Elana,9
FL,F,2013,Ellen,9
FL,F,2013,Elliot,9
FL,F,2013,Emerald,9
FL,F,2013,Emme,9
FL,F,2013,Ericka,9
FL,F,2013,Evelin,9
FL,F,2013,Everlee,9
FL,F,2013,Gisela,9
FL,F,2013,Greta,9
FL,F,2013,Gretchen,9
FL,F,2013,Gwyneth,9
FL,F,2013,Hadassa,9
FL,F,2013,Hala,9
FL,F,2013,Heidy,9
FL,F,2013,Irelynn,9
FL,F,2013,Jaden,9
FL,F,2013,Jailyn,9
FL,F,2013,Jalaya,9
FL,F,2013,Janaya,9
FL,F,2013,Janelly,9
FL,F,2013,Janie,9
FL,F,2013,Jannah,9
FL,F,2013,Jaqueline,9
FL,F,2013,Jaylyn,9
FL,F,2013,Jiselle,9
FL,F,2013,Josselyn,9
FL,F,2013,Journei,9
FL,F,2013,Kamya,9
FL,F,2013,Katarina,9
FL,F,2013,Katia,9
FL,F,2013,Kenia,9
FL,F,2013,Kierra,9
FL,F,2013,Lailani,9
FL,F,2013,Leilah,9
FL,F,2013,Lilli,9
FL,F,2013,Lillyan,9
FL,F,2013,Loren,9
FL,F,2013,Lucianna,9
FL,F,2013,Macey,9
FL,F,2013,Mae,9
FL,F,2013,Makaela,9
FL,F,2013,Makiyah,9
FL,F,2013,Makyla,9
FL,F,2013,Maliya,9
FL,F,2013,Milah,9
FL,F,2013,Nariyah,9
FL,F,2013,Nichole,9
FL,F,2013,Persephone,9
FL,F,2013,Raniya,9
FL,F,2013,Roxana,9
FL,F,2013,Samaya,9
FL,F,2013,Sapphire,9
FL,F,2013,Savanah,9
FL,F,2013,Shaila,9
FL,F,2013,Shanelle,9
FL,F,2013,Shaniya,9
FL,F,2013,Shay,9
FL,F,2013,Sidney,9
FL,F,2013,Silvia,9
FL,F,2013,Skylee,9
FL,F,2013,Starr,9
FL,F,2013,Tabatha,9
FL,F,2013,Tahiry,9
FL,F,2013,Tatianna,9
FL,F,2013,Temperance,9
FL,F,2013,Tinley,9
FL,F,2013,Vada,9
FL,F,2013,Valencia,9
FL,F,2013,Violette,9
FL,F,2013,Vivien,9
FL,F,2013,Whitley,9
FL,F,2013,Yael,9
FL,F,2013,Yaneli,9
FL,F,2013,Yasmine,9
FL,F,2013,Zaida,9
FL,F,2013,Zariya,9
FL,F,2013,Zayla,9
FL,F,2013,Ziva,9
FL,F,2013,Abigael,8
FL,F,2013,Abigaelle,8
FL,F,2013,Aislyn,8
FL,F,2013,Aislynn,8
FL,F,2013,Akira,8
FL,F,2013,Alex,8
FL,F,2013,Alexcia,8
FL,F,2013,Aliza,8
FL,F,2013,Alona,8
FL,F,2013,Alya,8
FL,F,2013,Ameerah,8
FL,F,2013,Analee,8
FL,F,2013,Annalee,8
FL,F,2013,Annaleigh,8
FL,F,2013,Ariela,8
FL,F,2013,Ashleigh,8
FL,F,2013,Ashton,8
FL,F,2013,Braylin,8
FL,F,2013,Brookelyn,8
FL,F,2013,Cailey,8
FL,F,2013,Camdyn,8
FL,F,2013,Carley,8
FL,F,2013,Catarina,8
FL,F,2013,Chana,8
FL,F,2013,Colbie,8
FL,F,2013,Coralie,8
FL,F,2013,Cristal,8
FL,F,2013,Damaris,8
FL,F,2013,Daniyah,8
FL,F,2013,Dasha,8
FL,F,2013,Della,8
FL,F,2013,Desirae,8
FL,F,2013,Eliany,8
FL,F,2013,Elin,8
FL,F,2013,Elliott,8
FL,F,2013,Ellis,8
FL,F,2013,Emalee,8
FL,F,2013,Emerie,8
FL,F,2013,Esperanza,8
FL,F,2013,Evangelina,8
FL,F,2013,Flora,8
FL,F,2013,Gisele,8
FL,F,2013,Giulia,8
FL,F,2013,Grayson,8
FL,F,2013,Gwen,8
FL,F,2013,Halle,8
FL,F,2013,Harlee,8
FL,F,2013,Harmonee,8
FL,F,2013,Ilana,8
FL,F,2013,Inara,8
FL,F,2013,Ingrid,8
FL,F,2013,Ivyonna,8
FL,F,2013,Jackeline,8
FL,F,2013,Jaclyn,8
FL,F,2013,Jacquelyn,8
FL,F,2013,Jaime,8
FL,F,2013,Jalisa,8
FL,F,2013,Jamila,8
FL,F,2013,Jamiya,8
FL,F,2013,Janet,8
FL,F,2013,Jannat,8
FL,F,2013,Jariyah,8
FL,F,2013,Jayani,8
FL,F,2013,Joslynn,8
FL,F,2013,Journie,8
FL,F,2013,Karsyn,8
FL,F,2013,Kendyl,8
FL,F,2013,Keniyah,8
FL,F,2013,Kensington,8
FL,F,2013,Kinslee,8
FL,F,2013,Kiya,8
FL,F,2013,Kori,8
FL,F,2013,Kyara,8
FL,F,2013,Kynlee,8
FL,F,2013,Kyrie,8
FL,F,2013,Lacie,8
FL,F,2013,Laylani,8
FL,F,2013,Leena,8
FL,F,2013,Leigha,8
FL,F,2013,Lidia,8
FL,F,2013,Liya,8
FL,F,2013,Lotus,8
FL,F,2013,Love,8
FL,F,2013,Madisen,8
FL,F,2013,Malika,8
FL,F,2013,Mara,8
FL,F,2013,Mariajose,8
FL,F,2013,Marisol,8
FL,F,2013,Maryah,8
FL,F,2013,Melia,8
FL,F,2013,Melisa,8
FL,F,2013,Micayla,8
FL,F,2013,Montserrat,8
FL,F,2013,Mylee,8
FL,F,2013,Nariah,8
FL,F,2013,Nayla,8
FL,F,2013,Nayomi,8
FL,F,2013,Niah,8
FL,F,2013,Nicolle,8
FL,F,2013,Nikki,8
FL,F,2013,Niyah,8
FL,F,2013,Noa,8
FL,F,2013,Pilar,8
FL,F,2013,Priscila,8
FL,F,2013,Reece,8
FL,F,2013,Roxanne,8
FL,F,2013,Ryann,8
FL,F,2013,Ryley,8
FL,F,2013,Sahara,8
FL,F,2013,Sanaa,8
FL,F,2013,Sandy,8
FL,F,2013,Santana,8
FL,F,2013,Sephora,8
FL,F,2013,Serafina,8
FL,F,2013,Shanaya,8
FL,F,2013,Shaniah,8
FL,F,2013,Shira,8
FL,F,2013,Shylah,8
FL,F,2013,Skylynn,8
FL,F,2013,Story,8
FL,F,2013,Susanna,8
FL,F,2013,Tala,8
FL,F,2013,Tamar,8
FL,F,2013,Tamya,8
FL,F,2013,Tatyana,8
FL,F,2013,Taylen,8
FL,F,2013,Tayler,8
FL,F,2013,Tina,8
FL,F,2013,Tyler,8
FL,F,2013,Zahara,8
FL,F,2013,Zaya,8
FL,F,2013,Zia,8
FL,F,2013,Zipporah,8
FL,F,2013,Aanya,7
FL,F,2013,Abriella,7
FL,F,2013,Adalia,7
FL,F,2013,Addalyn,7
FL,F,2013,Adley,7
FL,F,2013,Agatha,7
FL,F,2013,Aida,7
FL,F,2013,Alaia,7
FL,F,2013,Alanys,7
FL,F,2013,Alexus,7
FL,F,2013,Aleya,7
FL,F,2013,Aleyah,7
FL,F,2013,Aliannah,7
FL,F,2013,Allegra,7
FL,F,2013,Allisson,7
FL,F,2013,Amaria,7
FL,F,2013,Aminah,7
FL,F,2013,Amor,7
FL,F,2013,Amyah,7
FL,F,2013,Amyra,7
FL,F,2013,Anissa,7
FL,F,2013,Aniston,7
FL,F,2013,Aniylah,7
FL,F,2013,Annette,7
FL,F,2013,Annmarie,7
FL,F,2013,Ansleigh,7
FL,F,2013,Ariadne,7
FL,F,2013,Arianne,7
FL,F,2013,Aribella,7
FL,F,2013,Ashtyn,7
FL,F,2013,Austin,7
FL,F,2013,Aven,7
FL,F,2013,Avril,7
FL,F,2013,Aya,7
