StateCode,Sex,YearOfBirth,Name,Number
FL,M,1952,Gene,30
FL,M,1952,Harvey,30
FL,M,1952,Sidney,30
FL,M,1952,Jon,29
FL,M,1952,Chris,28
FL,M,1952,Gilbert,28
FL,M,1952,Lorenzo,28
FL,M,1952,Maurice,28
FL,M,1952,Morris,28
FL,M,1952,Hubert,27
FL,M,1952,Julian,27
FL,M,1952,Roosevelt,27
FL,M,1952,Chester,26
FL,M,1952,Cleveland,26
FL,M,1952,Hugh,26
FL,M,1952,Marshall,26
FL,M,1952,Rex,26
FL,M,1952,Rufus,26
FL,M,1952,Arnold,25
FL,M,1952,Bennie,25
FL,M,1952,Ellis,25
FL,M,1952,Neil,25
FL,M,1952,Unknown,25
FL,M,1952,Aaron,24
FL,M,1952,Clayton,24
FL,M,1952,Darryl,24
FL,M,1952,Malcolm,24
FL,M,1952,Perry,24
FL,M,1952,Benny,23
FL,M,1952,Ira,23
FL,M,1952,Isaac,23
FL,M,1952,Karl,23
FL,M,1952,Lynn,23
FL,M,1952,Marion,23
FL,M,1952,Otis,23
FL,M,1952,Clifton,22
FL,M,1952,Leo,22
FL,M,1952,Marc,22
FL,M,1952,Neal,22
FL,M,1952,Stuart,22
FL,M,1952,Wendell,22
FL,M,1952,Wilbert,22
FL,M,1952,Dana,21
FL,M,1952,Lamar,21
FL,M,1952,Sam,21
FL,M,1952,Sammy,21
FL,M,1952,Willis,21
FL,M,1952,Bill,20
FL,M,1952,Doyle,20
FL,M,1952,Duane,20
FL,M,1952,Jim,20
FL,M,1952,Nelson,20
FL,M,1952,Roland,20
FL,M,1952,Ted,20
FL,M,1952,Virgil,20
FL,M,1952,Garry,19
FL,M,1952,Marcus,19
FL,M,1952,Nicholas,19
FL,M,1952,Rick,19
FL,M,1952,Troy,19
FL,M,1952,Archie,18
FL,M,1952,Edgar,18
FL,M,1952,Ervin,18
FL,M,1952,Grady,18
FL,M,1952,Mack,18
FL,M,1952,Royce,18
FL,M,1952,Wade,18
FL,M,1952,Willard,18
FL,M,1952,Woodrow,18
FL,M,1952,Cornelius,17
FL,M,1952,Everett,17
FL,M,1952,Frankie,17
FL,M,1952,Homer,17
FL,M,1952,Luther,17
FL,M,1952,Moses,17
FL,M,1952,Sammie,17
FL,M,1952,Ulysses,17
FL,M,1952,Wilbur,17
FL,M,1952,Alfonso,16
FL,M,1952,Alonzo,16
FL,M,1952,Aubrey,16
FL,M,1952,Carlos,16
FL,M,1952,Jerald,16
FL,M,1952,Kurt,16
FL,M,1952,Ricardo,16
FL,M,1952,Roderick,16
FL,M,1952,Terrence,16
FL,M,1952,Alex,15
FL,M,1952,Ben,15
FL,M,1952,Bob,15
FL,M,1952,Brad,15
FL,M,1952,Bradley,15
FL,M,1952,Cary,15
FL,M,1952,Edmund,15
FL,M,1952,Gus,15
FL,M,1952,Jose,15
FL,M,1952,Julius,15
FL,M,1952,Oliver,15
FL,M,1952,Tom,15
FL,M,1952,Daryl,14
FL,M,1952,Elijah,14
FL,M,1952,Grant,14
FL,M,1952,Kenny,14
FL,M,1952,Kent,14
FL,M,1952,Sherman,14
FL,M,1952,Amos,13
FL,M,1952,Clark,13
FL,M,1952,Dallas,13
FL,M,1952,Kerry,13
FL,M,1952,Kirk,13
FL,M,1952,Lionel,13
FL,M,1952,Preston,13
FL,M,1952,Van,13
FL,M,1952,Andy,12
FL,M,1952,Barney,12
FL,M,1952,Bradford,12
FL,M,1952,Buddy,12
FL,M,1952,Byron,12
FL,M,1952,Freddy,12
FL,M,1952,Laurence,12
FL,M,1952,Myron,12
