StateCode,Sex,YearOfBirth,Name,Number
FL,M,1999,Jon,31
FL,M,1999,Kody,31
FL,M,1999,Rene,31
FL,M,1999,Steve,31
FL,M,1999,Tyrone,31
FL,M,1999,Damion,30
FL,M,1999,Duncan,30
FL,M,1999,Grayson,30
FL,M,1999,Jamar,30
FL,M,1999,Keon,30
FL,M,1999,Lee,30
FL,M,1999,Malachi,30
FL,M,1999,Alvin,29
FL,M,1999,Clay,29
FL,M,1999,Drake,29
FL,M,1999,Gianni,29
FL,M,1999,Ismael,29
FL,M,1999,Jovan,29
FL,M,1999,Kobe,29
FL,M,1999,Lewis,29
FL,M,1999,Noel,29
FL,M,1999,Quinn,29
FL,M,1999,Roderick,29
FL,M,1999,Saul,29
FL,M,1999,Tomas,29
FL,M,1999,Alfred,28
FL,M,1999,Allan,28
FL,M,1999,Braxton,28
FL,M,1999,Brayden,28
FL,M,1999,Charlie,28
FL,M,1999,Ezekiel,28
FL,M,1999,Giancarlo,28
FL,M,1999,Jarod,28
FL,M,1999,Leon,28
FL,M,1999,Reece,28
FL,M,1999,Tucker,28
FL,M,1999,Ali,27
FL,M,1999,Antwan,27
FL,M,1999,Damon,27
FL,M,1999,Darryl,27
FL,M,1999,Elvis,27
FL,M,1999,Graham,27
FL,M,1999,Harold,27
FL,M,1999,Jarvis,27
FL,M,1999,Jerome,27
FL,M,1999,Keegan,27
FL,M,1999,Marcel,27
FL,M,1999,Maximilian,27
FL,M,1999,Ronnie,27
FL,M,1999,Roy,27
FL,M,1999,Triston,27
FL,M,1999,Abel,26
FL,M,1999,Bernard,26
FL,M,1999,Brock,26
FL,M,1999,Dale,26
FL,M,1999,Darien,26
FL,M,1999,Deshawn,26
FL,M,1999,Garret,26
FL,M,1999,Harry,26
FL,M,1999,Jamari,26
FL,M,1999,Jaylon,26
FL,M,1999,Jayson,26
FL,M,1999,Rolando,26
FL,M,1999,Stefan,26
FL,M,1999,Stephan,26
FL,M,1999,Wade,26
FL,M,1999,Chris,25
FL,M,1999,Clarence,25
FL,M,1999,Dandre,25
FL,M,1999,Dangelo,25
FL,M,1999,Ernesto,25
FL,M,1999,Eugene,25
FL,M,1999,Holden,25
FL,M,1999,Jaquez,25
FL,M,1999,Nathanael,25
FL,M,1999,Skylar,25
FL,M,1999,Tyson,25
FL,M,1999,Cornelius,24
FL,M,1999,Davion,24
FL,M,1999,Donte,24
FL,M,1999,Francis,24
FL,M,1999,Johnathon,24
FL,M,1999,Leo,24
FL,M,1999,Mohammed,24
FL,M,1999,Ramiro,24
FL,M,1999,Trace,24
FL,M,1999,Antoine,23
FL,M,1999,Armani,23
FL,M,1999,Bryant,23
FL,M,1999,Caden,23
FL,M,1999,Jessie,23
FL,M,1999,Julien,23
FL,M,1999,Julius,23
FL,M,1999,Payton,23
FL,M,1999,Shamar,23
FL,M,1999,Sidney,23
FL,M,1999,Stephon,23
