StateCode,Sex,YearOfBirth,Name,Number
GA,F,1912,Lula,126
GA,F,1912,Ella,125
GA,F,1912,Laura,123
GA,F,1912,Maggie,120
GA,F,1912,Susie,115
GA,F,1912,Anna,113
GA,F,1912,Eva,113
GA,F,1912,Cora,103
GA,F,1912,Georgia,103
GA,F,1912,Viola,103
GA,F,1912,Virginia,103
GA,F,1912,Gertrude,102
GA,F,1912,Lucy,102
GA,F,1912,Lizzie,100
GA,F,1912,Inez,96
GA,F,1912,Sara,95
GA,F,1912,Pearl,94
GA,F,1912,Mae,92
GA,F,1912,Myrtle,91
GA,F,1912,Katie,88
GA,F,1912,Sallie,82
GA,F,1912,Catherine,81
GA,F,1912,Hazel,80
GA,F,1912,Vera,80
GA,F,1912,Jewell,74
GA,F,1912,Eunice,73
GA,F,1912,Agnes,72
GA,F,1912,Alberta,71
GA,F,1912,Eula,71
GA,F,1912,Lena,70
GA,F,1912,Christine,67
GA,F,1912,Florence,66
GA,F,1912,Lottie,66
GA,F,1912,Addie,65
GA,F,1912,Ola,64
GA,F,1912,Rose,64
GA,F,1912,Janie,63
GA,F,1912,Nancy,63
GA,F,1912,Nettie,63
GA,F,1912,Bernice,62
GA,F,1912,Ollie,62
GA,F,1912,Beulah,60
GA,F,1912,Estelle,60
GA,F,1912,Doris,58
GA,F,1912,Ellen,57
GA,F,1912,Esther,57
GA,F,1912,Rebecca,57
GA,F,1912,Johnnie,56
GA,F,1912,Josephine,56
GA,F,1912,Lola,55
GA,F,1912,Nora,55
GA,F,1912,Gussie,54
GA,F,1912,Edith,53
GA,F,1912,Leola,52
GA,F,1912,Mabel,52
GA,F,1912,Sadie,52
GA,F,1912,Dora,51
GA,F,1912,Ada,49
GA,F,1912,Anne,49
GA,F,1912,Vivian,49
GA,F,1912,Katherine,48
GA,F,1912,Rosie,48
GA,F,1912,Leila,47
GA,F,1912,Blanche,46
GA,F,1912,Effie,46
GA,F,1912,Geneva,46
GA,F,1912,Ann,45
GA,F,1912,Betty,45
GA,F,1912,Elsie,43
GA,F,1912,Maude,43
GA,F,1912,Marjorie,42
GA,F,1912,Roberta,40
GA,F,1912,Eleanor,39
GA,F,1912,Lessie,39
GA,F,1912,Mable,37
GA,F,1912,Velma,37
GA,F,1912,Carolyn,36
GA,F,1912,Eloise,36
GA,F,1912,Estella,36
GA,F,1912,Ora,36
GA,F,1912,Marguerite,34
GA,F,1912,Della,33
GA,F,1912,Jewel,33
GA,F,1912,Kathleen,33
GA,F,1912,Emily,32
GA,F,1912,Jane,32
GA,F,1912,Juanita,32
GA,F,1912,Marion,32
