StateCode,Sex,YearOfBirth,Name,Number
GA,F,1974,Billie,17
GA,F,1974,Catrina,17
GA,F,1974,Clarissa,17
GA,F,1974,Dena,17
GA,F,1974,Jodie,17
GA,F,1974,Karla,17
GA,F,1974,Lydia,17
GA,F,1974,Tamela,17
GA,F,1974,Tanisha,17
GA,F,1974,Alexandra,16
GA,F,1974,Brittany,16
GA,F,1974,Cicely,16
GA,F,1974,Deidre,16
GA,F,1974,Ebony,16
GA,F,1974,Ericka,16
GA,F,1974,Glenda,16
GA,F,1974,Jerri,16
GA,F,1974,Jo,16
GA,F,1974,Latarsha,16
GA,F,1974,Lillian,16
GA,F,1974,Loretta,16
GA,F,1974,Lorie,16
GA,F,1974,Marcy,16
GA,F,1974,Marjorie,16
GA,F,1974,Mindy,16
GA,F,1974,Nina,16
GA,F,1974,Ruth,16
GA,F,1974,Shanta,16
GA,F,1974,Cheri,15
GA,F,1974,Haley,15
GA,F,1974,Kristine,15
GA,F,1974,Lakesha,15
GA,F,1974,Latonia,15
GA,F,1974,Maggie,15
GA,F,1974,Myra,15
GA,F,1974,Roberta,15
GA,F,1974,Rose,15
GA,F,1974,Shalonda,15
GA,F,1974,Shana,15
GA,F,1974,Tosha,15
GA,F,1974,Allyson,14
GA,F,1974,Annette,14
GA,F,1974,Brooke,14
GA,F,1974,Constance,14
GA,F,1974,Demetrice,14
GA,F,1974,Latricia,14
GA,F,1974,Lee,14
GA,F,1974,Maranda,14
GA,F,1974,Marcie,14
GA,F,1974,Ronda,14
GA,F,1974,Serena,14
GA,F,1974,Shawna,14
GA,F,1974,Terrie,14
GA,F,1974,Vicky,14
GA,F,1974,Abigail,13
GA,F,1974,Alecia,13
GA,F,1974,Amie,13
GA,F,1974,Bernice,13
GA,F,1974,Bridgette,13
GA,F,1974,Celeste,13
GA,F,1974,Doris,13
GA,F,1974,Elaine,13
GA,F,1974,Felica,13
GA,F,1974,Jada,13
GA,F,1974,Jan,13
GA,F,1974,Joan,13
GA,F,1974,Krystal,13
GA,F,1974,Mia,13
GA,F,1974,Sheree,13
GA,F,1974,Tawanna,13
GA,F,1974,Tiffanie,13
GA,F,1974,Tisha,13
GA,F,1974,Tomika,13
GA,F,1974,Alana,12
GA,F,1974,Buffy,12
GA,F,1974,Claudia,12
GA,F,1974,Deana,12
GA,F,1974,Deidra,12
GA,F,1974,Faith,12
GA,F,1974,Grace,12
GA,F,1974,Gretchen,12
GA,F,1974,James,12
GA,F,1974,Jean,12
GA,F,1974,Jeri,12
GA,F,1974,Joanne,12
GA,F,1974,Ladonna,12
GA,F,1974,Lucretia,12
GA,F,1974,Malinda,12
GA,F,1974,Marian,12
GA,F,1974,Patti,12
GA,F,1974,Phyllis,12
GA,F,1974,Rosa,12
GA,F,1974,Rosalyn,12
GA,F,1974,Ruby,12
GA,F,1974,Sharonda,12
GA,F,1974,Shawanda,12
GA,F,1974,Tawana,12
GA,F,1974,Valarie,12
GA,F,1974,Valencia,12
GA,F,1974,Whitney,12
GA,F,1974,Windy,12
GA,F,1974,Adrian,11
GA,F,1974,Ansley,11
GA,F,1974,Ayanna,11
GA,F,1974,Cara,11
GA,F,1974,Chelsea,11
GA,F,1974,Consuela,11
GA,F,1974,Edith,11
GA,F,1974,Freda,11
GA,F,1974,Gayla,11
GA,F,1974,Georgia,11
GA,F,1974,Greta,11
GA,F,1974,Hazel,11
GA,F,1974,Jason,11
GA,F,1974,Jeanne,11
GA,F,1974,June,11
GA,F,1974,Kesha,11
GA,F,1974,Latanya,11
GA,F,1974,Latoshia,11
GA,F,1974,Lora,11
GA,F,1974,Nia,11
GA,F,1974,Ramona,11
GA,F,1974,Renae,11
GA,F,1974,Rosemary,11
GA,F,1974,Shalanda,11
GA,F,1974,Susie,11
GA,F,1974,Tami,11
GA,F,1974,Tawanda,11
GA,F,1974,Tera,11
GA,F,1974,Ursula,11
GA,F,1974,Ami,10
GA,F,1974,Antoinette,10
GA,F,1974,Ashlee,10
GA,F,1974,Chrystal,10
GA,F,1974,Colleen,10
GA,F,1974,Cora,10
GA,F,1974,Deirdre,10
GA,F,1974,Dianna,10
GA,F,1974,Dianne,10
GA,F,1974,Gail,10
GA,F,1974,Hannah,10
GA,F,1974,Joann,10
GA,F,1974,Kasey,10
GA,F,1974,Kerrie,10
GA,F,1974,Lashunda,10
GA,F,1974,Lea,10
GA,F,1974,Lorrie,10
GA,F,1974,Margo,10
GA,F,1974,Mildred,10
GA,F,1974,Mitzi,10
GA,F,1974,Octavia,10
GA,F,1974,Olivia,10
GA,F,1974,Paulette,10
GA,F,1974,Tomekia,10
GA,F,1974,Toshiba,10
GA,F,1974,Yashica,10
GA,F,1974,Angelique,9
GA,F,1974,Audra,9
GA,F,1974,Autumn,9
GA,F,1974,Bianca,9
GA,F,1974,Brande,9
GA,F,1974,Calandra,9
GA,F,1974,Caryn,9
GA,F,1974,Cecilia,9
GA,F,1974,Celena,9
GA,F,1974,Cherie,9
GA,F,1974,Contessa,9
GA,F,1974,Cristina,9
GA,F,1974,Danyell,9
GA,F,1974,Dedra,9
GA,F,1974,Demetrius,9
GA,F,1974,Dina,9
GA,F,1974,Edna,9
GA,F,1974,Esther,9
GA,F,1974,Felisha,9
GA,F,1974,Gabrielle,9
GA,F,1974,Holli,9
GA,F,1974,Ivy,9
GA,F,1974,Janie,9
GA,F,1974,Johanna,9
GA,F,1974,Kari,9
GA,F,1974,Kirsten,9
GA,F,1974,Lakeshia,9
GA,F,1974,Lasonya,9
GA,F,1974,Latashia,9
GA,F,1974,Latrelle,9
GA,F,1974,Latrice,9
GA,F,1974,Margie,9
GA,F,1974,Mattie,9
GA,F,1974,Mendy,9
GA,F,1974,Mollie,9
GA,F,1974,Nikita,9
GA,F,1974,Norma,9
GA,F,1974,Patty,9
GA,F,1974,Renita,9
GA,F,1974,Sandi,9
GA,F,1974,Shameka,9
GA,F,1974,Shauna,9
GA,F,1974,Stephaine,9
GA,F,1974,Sue,9
GA,F,1974,Syreeta,9
GA,F,1974,Tamekia,9
GA,F,1974,Tia,9
GA,F,1974,Tresa,9
GA,F,1974,Vivian,9
GA,F,1974,Alethea,8
GA,F,1974,Alexis,8
GA,F,1974,Alfreda,8
GA,F,1974,Angelica,8
GA,F,1974,Anika,8
GA,F,1974,Benita,8
GA,F,1974,Casandra,8
GA,F,1974,Cassie,8
GA,F,1974,Charles,8
GA,F,1974,Christopher,8
GA,F,1974,Clara,8
GA,F,1974,Colette,8
GA,F,1974,Dixie,8
GA,F,1974,Eleanor,8
GA,F,1974,Elena,8
GA,F,1974,Francine,8
GA,F,1974,Ida,8
GA,F,1974,Inga,8
GA,F,1974,Josephine,8
GA,F,1974,Kenyetta,8
GA,F,1974,Lakiesha,8
GA,F,1974,Laquita,8
GA,F,1974,Laurel,8
GA,F,1974,Lena,8
GA,F,1974,Lenora,8
