StateCode,Sex,YearOfBirth,Name,Number
GA,F,1985,Robert,7
GA,F,1985,Rosanna,7
GA,F,1985,Sabra,7
GA,F,1985,Santanna,7
GA,F,1985,Selina,7
GA,F,1985,Shaina,7
GA,F,1985,Shakela,7
GA,F,1985,Shaquanna,7
GA,F,1985,Shardae,7
GA,F,1985,Shavon,7
GA,F,1985,Shay,7
GA,F,1985,Shellie,7
GA,F,1985,Starla,7
GA,F,1985,Talisha,7
GA,F,1985,Tamekia,7
GA,F,1985,Tamesha,7
GA,F,1985,Tammie,7
GA,F,1985,Taneshia,7
GA,F,1985,Tatiana,7
GA,F,1985,Tawana,7
GA,F,1985,Tawanda,7
GA,F,1985,Teela,7
GA,F,1985,Tenisha,7
GA,F,1985,Tequila,7
GA,F,1985,Tera,7
GA,F,1985,Abbie,6
GA,F,1985,Alissa,6
GA,F,1985,Angelena,6
GA,F,1985,Angie,6
GA,F,1985,Annette,6
GA,F,1985,Anthony,6
GA,F,1985,Arielle,6
GA,F,1985,Bernice,6
GA,F,1985,Bobbi,6
GA,F,1985,Brigitte,6
GA,F,1985,Candie,6
GA,F,1985,Carey,6
GA,F,1985,Carley,6
GA,F,1985,Casie,6
GA,F,1985,Celeste,6
GA,F,1985,Charles,6
GA,F,1985,Cheri,6
GA,F,1985,Chrissy,6
GA,F,1985,Clare,6
GA,F,1985,Danelle,6
GA,F,1985,Darlene,6
GA,F,1985,David,6
GA,F,1985,Ieshia,6
GA,F,1985,Ivey,6
GA,F,1985,Jazmine,6
GA,F,1985,Jeanna,6
GA,F,1985,Jerrica,6
GA,F,1985,Jessika,6
GA,F,1985,Joseph,6
GA,F,1985,Josie,6
GA,F,1985,Kaitlyn,6
GA,F,1985,Kandi,6
GA,F,1985,Karina,6
GA,F,1985,Katina,6
GA,F,1985,Kaylee,6
GA,F,1985,Keturah,6
GA,F,1985,Kim,6
GA,F,1985,Kourtney,6
GA,F,1985,Lacie,6
GA,F,1985,Lakendra,6
GA,F,1985,Lamonica,6
GA,F,1985,Laquanda,6
GA,F,1985,Laquisha,6
GA,F,1985,Lasandra,6
GA,F,1985,Lasheena,6
GA,F,1985,Latanya,6
GA,F,1985,Latashia,6
GA,F,1985,Latesha,6
GA,F,1985,Lea,6
GA,F,1985,Leanne,6
GA,F,1985,Letrice,6
GA,F,1985,Marci,6
GA,F,1985,Marina,6
GA,F,1985,Marion,6
GA,F,1985,Marlena,6
GA,F,1985,Marsha,6
