StateCode,Sex,YearOfBirth,Name,Number
GA,F,1995,Kendall,71
GA,F,1995,Paige,71
GA,F,1995,Molly,70
GA,F,1995,Erika,69
GA,F,1995,Kierra,68
GA,F,1995,Mariah,68
GA,F,1995,Michaela,68
GA,F,1995,Kaylee,67
GA,F,1995,Rachael,67
GA,F,1995,Aaliyah,66
GA,F,1995,Kiara,66
GA,F,1995,Tiara,66
GA,F,1995,Caitlyn,65
GA,F,1995,Hayley,65
GA,F,1995,Meagan,65
GA,F,1995,Sabrina,65
GA,F,1995,Maya,63
GA,F,1995,Meghan,63
GA,F,1995,Asia,62
GA,F,1995,Macy,62
GA,F,1995,Vanessa,62
GA,F,1995,Monica,60
GA,F,1995,Ashlyn,59
GA,F,1995,Kara,59
GA,F,1995,Lindsay,59
GA,F,1995,Meredith,59
GA,F,1995,Brandy,58
GA,F,1995,Candace,58
GA,F,1995,Chasity,58
GA,F,1995,Chelsey,58
GA,F,1995,Claire,57
GA,F,1995,Tori,57
GA,F,1995,Carly,56
GA,F,1995,Ashleigh,55
GA,F,1995,Cierra,55
GA,F,1995,Kylie,55
GA,F,1995,Makayla,55
GA,F,1995,Angelica,54
GA,F,1995,Cynthia,54
GA,F,1995,Kiana,54
GA,F,1995,Logan,54
GA,F,1995,Patricia,54
GA,F,1995,Kendra,53
GA,F,1995,Ana,52
GA,F,1995,Chloe,52
GA,F,1995,Deanna,52
GA,F,1995,Mercedes,52
GA,F,1995,Ashton,51
GA,F,1995,Bianca,51
GA,F,1995,Cassandra,51
GA,F,1995,Kathleen,51
GA,F,1995,Selena,51
GA,F,1995,Jade,50
GA,F,1995,Lacey,50
GA,F,1995,Diana,49
GA,F,1995,Julie,49
GA,F,1995,Kirsten,49
GA,F,1995,Chandler,48
GA,F,1995,Leslie,48
GA,F,1995,Tara,48
GA,F,1995,Tierra,48
GA,F,1995,Amelia,47
GA,F,1995,Ebony,47
GA,F,1995,Imani,47
GA,F,1995,Katlyn,47
GA,F,1995,Tia,47
GA,F,1995,Abby,46
GA,F,1995,Harley,46
GA,F,1995,Melanie,46
GA,F,1995,Zoe,46
GA,F,1995,Brenda,45
GA,F,1995,Christian,45
GA,F,1995,India,45
GA,F,1995,Tamara,45
GA,F,1995,Alexa,44
GA,F,1995,Desiree,44
GA,F,1995,Lydia,44
GA,F,1995,Mckenzie,44
GA,F,1995,Alison,43
GA,F,1995,Audrey,43
GA,F,1995,Ashlee,42
GA,F,1995,Callie,42
GA,F,1995,Jessie,42
GA,F,1995,Kennedy,42
GA,F,1995,Mikayla,42
GA,F,1995,Christine,41
GA,F,1995,Ciara,41
GA,F,1995,Faith,41
GA,F,1995,Justice,41
GA,F,1995,Carrie,40
GA,F,1995,Lisa,40
GA,F,1995,Savanna,40
GA,F,1995,Hope,39
GA,F,1995,Sandra,39
GA,F,1995,Veronica,39
GA,F,1995,Alisha,38
GA,F,1995,Camille,38
GA,F,1995,Virginia,38
GA,F,1995,Alana,37
GA,F,1995,Claudia,37
GA,F,1995,Dominique,37
GA,F,1995,Jazmine,37
GA,F,1995,Marisa,37
GA,F,1995,Naomi,37
GA,F,1995,Toni,37
GA,F,1995,Brooklyn,36
GA,F,1995,Dana,36
GA,F,1995,Hunter,36
GA,F,1995,Kelsie,36
GA,F,1995,Kenya,36
GA,F,1995,Maggie,36
GA,F,1995,Sophia,36
GA,F,1995,Tabitha,36
GA,F,1995,Aliyah,35
GA,F,1995,Candice,35
GA,F,1995,Joanna,35
GA,F,1995,Kasey,35
GA,F,1995,Krista,35
GA,F,1995,Khadijah,34
GA,F,1995,Sidney,34
GA,F,1995,Yasmine,34
GA,F,1995,Alexia,33
GA,F,1995,Karen,33
GA,F,1995,Kiera,33
GA,F,1995,Linda,33
GA,F,1995,Precious,33
GA,F,1995,Valerie,33
GA,F,1995,Ashanti,32
GA,F,1995,Isabella,32
GA,F,1995,Jasmin,32
GA,F,1995,Karina,32
GA,F,1995,Nancy,32
GA,F,1995,Natasha,32
GA,F,1995,Helen,31
GA,F,1995,Katelynn,31
GA,F,1995,Kelli,31
GA,F,1995,Aubrey,30
