StateCode,Sex,YearOfBirth,Name,Number
GA,F,2013,Aviana,5
GA,F,2013,Aya,5
GA,F,2013,Ayleen,5
GA,F,2013,Ayva,5
GA,F,2013,Baileigh,5
GA,F,2013,Baylie,5
GA,F,2013,Berkley,5
GA,F,2013,Blakelynn,5
GA,F,2013,Brandy,5
GA,F,2013,Braylen,5
GA,F,2013,Bree,5
GA,F,2013,Breonna,5
GA,F,2013,Caelyn,5
GA,F,2013,Cai,5
GA,F,2013,Cailee,5
GA,F,2013,Cailey,5
GA,F,2013,Caliyah,5
GA,F,2013,Cambrie,5
GA,F,2013,Camdyn,5
GA,F,2013,Carli,5
GA,F,2013,Carmella,5
GA,F,2013,Catelyn,5
GA,F,2013,Caylen,5
GA,F,2013,Caylin,5
GA,F,2013,Cecily,5
GA,F,2013,Chana,5
GA,F,2013,Chassidy,5
GA,F,2013,China,5
GA,F,2013,Christy,5
GA,F,2013,Cing,5
GA,F,2013,Clare,5
GA,F,2013,Cordelia,5
GA,F,2013,Daijah,5
GA,F,2013,Dalilah,5
GA,F,2013,Damaris,5
GA,F,2013,Damiyah,5
GA,F,2013,Damya,5
GA,F,2013,Dani,5
GA,F,2013,Danni,5
GA,F,2013,Danya,5
GA,F,2013,Daria,5
GA,F,2013,Dayanna,5
GA,F,2013,Deetya,5
GA,F,2013,Della,5
GA,F,2013,Denisse,5
GA,F,2013,Dianna,5
GA,F,2013,Elina,5
GA,F,2013,Ellery,5
GA,F,2013,Elliot,5
GA,F,2013,Elly,5
GA,F,2013,Elora,5
GA,F,2013,Emari,5
GA,F,2013,Emme,5
GA,F,2013,Eriana,5
GA,F,2013,Eshal,5
GA,F,2013,Esperanza,5
GA,F,2013,Everlee,5
GA,F,2013,Finnley,5
GA,F,2013,Geneva,5
GA,F,2013,Gracey,5
GA,F,2013,Hafsa,5
GA,F,2013,Haiden,5
GA,F,2013,Hailie,5
GA,F,2013,Harmonii,5
GA,F,2013,Hollis,5
GA,F,2013,Isabell,5
GA,F,2013,Isha,5
GA,F,2013,Jadah,5
GA,F,2013,Jaden,5
GA,F,2013,Jaila,5
GA,F,2013,Jakyla,5
GA,F,2013,Jamaria,5
GA,F,2013,Jamia,5
GA,F,2013,Jamilah,5
GA,F,2013,Janai,5
GA,F,2013,Janayla,5
GA,F,2013,Janet,5
GA,F,2013,Janyah,5
GA,F,2013,Jaya,5
GA,F,2013,Jaycie,5
GA,F,2013,Jaylene,5
GA,F,2013,Jaylyn,5
GA,F,2013,Jazzlyn,5
GA,F,2013,Jemma,5
GA,F,2013,Josey,5
GA,F,2013,Josselyn,5
GA,F,2013,Journii,5
GA,F,2013,Juana,5
GA,F,2013,Kacey,5
GA,F,2013,Kaitlin,5
GA,F,2013,Kalyn,5
GA,F,2013,Kamdyn,5
GA,F,2013,Kameron,5
GA,F,2013,Kamilah,5
GA,F,2013,Kamira,5
GA,F,2013,Karissa,5
GA,F,2013,Kassandra,5
GA,F,2013,Katarina,5
