StateCode,Sex,YearOfBirth,Name,Number
GA,M,1922,Randall,5
GA,M,1922,Reginald,5
GA,M,1922,Render,5
GA,M,1922,Roswell,5
GA,M,1922,Royal,5
GA,M,1922,Russel,5
GA,M,1922,Sampson,5
GA,M,1922,Sandy,5
GA,M,1922,Shelton,5
GA,M,1922,Simmie,5
GA,M,1922,Spencer,5
GA,M,1922,Stanford,5
GA,M,1922,Summie,5
GA,M,1922,Taylor,5
GA,M,1922,Thelman,5
GA,M,1922,Theodis,5
GA,M,1922,Thurmon,5
GA,M,1922,Tobe,5
GA,M,1922,Tony,5
GA,M,1922,Verner,5
GA,M,1922,Warner,5
GA,M,1922,Waymond,5
GA,M,1922,Weyman,5
GA,M,1922,Zeke,5
GA,M,1923,James,2414
GA,M,1923,William,1583
GA,M,1923,John,1531
GA,M,1923,Robert,1169
GA,M,1923,Willie,1132
GA,M,1923,George,760
GA,M,1923,Charles,695
GA,M,1923,Henry,560
GA,M,1923,Thomas,539
GA,M,1923,Joseph,415
GA,M,1923,Charlie,369
GA,M,1923,Walter,342
GA,M,1923,Jack,324
GA,M,1923,Edward,315
GA,M,1923,Frank,307
GA,M,1923,Roy,256
GA,M,1923,Joe,252
GA,M,1923,Ralph,235
GA,M,1923,Albert,231
GA,M,1923,Fred,227
GA,M,1923,Arthur,222
GA,M,1923,Clarence,215
GA,M,1923,Harold,215
GA,M,1923,David,205
GA,M,1923,Eddie,200
GA,M,1923,Paul,199
GA,M,1923,Richard,193
GA,M,1923,Eugene,189
GA,M,1923,Ernest,186
GA,M,1923,Samuel,180
GA,M,1923,Johnnie,177
GA,M,1923,Clifford,162
GA,M,1923,Howard,160
GA,M,1923,Horace,157
GA,M,1923,Leroy,152
GA,M,1923,Lewis,144
GA,M,1923,Harry,143
GA,M,1923,Grady,141
GA,M,1923,Raymond,139
GA,M,1923,Benjamin,132
GA,M,1923,Jessie,131
GA,M,1923,Jesse,123
GA,M,1923,Carl,119
GA,M,1923,Marvin,112
GA,M,1923,Earl,110
GA,M,1923,Cecil,109
GA,M,1923,Jimmie,109
GA,M,1923,Herbert,105
GA,M,1923,Andrew,103
GA,M,1923,Otis,103
GA,M,1923,Rufus,103
GA,M,1923,Louis,102
