StateCode,Sex,YearOfBirth,Name,Number
GA,M,1960,Clarence,82
GA,M,1960,Joey,82
GA,M,1960,Milton,82
GA,M,1960,Kenny,80
GA,M,1960,Leon,79
GA,M,1960,Fred,78
GA,M,1960,Patrick,76
GA,M,1960,Timmy,76
GA,M,1960,Harry,75
GA,M,1960,Wesley,75
GA,M,1960,Kerry,74
GA,M,1960,Leonard,74
GA,M,1960,Mitchell,74
GA,M,1960,Jay,73
GA,M,1960,Alfred,72
GA,M,1960,Bryan,72
GA,M,1960,Johnnie,72
GA,M,1960,Vernon,72
GA,M,1960,Kelvin,71
GA,M,1960,Wendell,69
GA,M,1960,Jackie,68
GA,M,1960,Tracy,68
GA,M,1960,Jesse,66
GA,M,1960,Martin,66
GA,M,1960,Don,65
GA,M,1960,Dexter,64
GA,M,1960,Dwight,64
GA,M,1960,Philip,64
GA,M,1960,Vincent,63
GA,M,1960,Edwin,62
GA,M,1960,Lewis,62
GA,M,1960,Jimmie,61
GA,M,1960,Herbert,60
GA,M,1960,Jon,60
GA,M,1960,Jonathan,60
GA,M,1960,Jessie,59
GA,M,1960,Bill,58
GA,M,1960,Jim,58
GA,M,1960,Andy,57
GA,M,1960,Grady,57
GA,M,1960,Marion,56
GA,M,1960,Nathan,56
GA,M,1960,Norman,56
GA,M,1960,Harvey,55
GA,M,1960,Peter,55
GA,M,1960,Sammy,55
GA,M,1960,Clinton,54
GA,M,1960,Hugh,54
GA,M,1960,Marty,53
GA,M,1960,Troy,53
GA,M,1960,Aaron,52
GA,M,1960,Alton,52
GA,M,1960,Carlton,52
GA,M,1960,Floyd,52
GA,M,1960,Herman,52
GA,M,1960,Lester,52
GA,M,1960,Lonnie,52
GA,M,1960,Louis,52
GA,M,1960,Clyde,51
GA,M,1960,Wade,51
GA,M,1960,Warren,51
GA,M,1960,Cecil,50
GA,M,1960,Frankie,49
GA,M,1960,Lamar,49
GA,M,1960,Matthew,49
GA,M,1960,Gene,48
GA,M,1960,Mickey,47
GA,M,1960,Bennie,46
GA,M,1960,Earnest,46
GA,M,1960,Gordon,46
GA,M,1960,Derrick,45
GA,M,1960,Morris,45
GA,M,1960,Rufus,45
GA,M,1960,Dan,43
GA,M,1960,Horace,43
GA,M,1960,Wallace,43
GA,M,1960,Chuck,42
GA,M,1960,Leslie,42
GA,M,1960,Randolph,42
GA,M,1960,Rex,42
GA,M,1960,Sidney,42
GA,M,1960,Daryl,41
GA,M,1960,Byron,40
GA,M,1960,Ken,40
GA,M,1960,Roderick,40
GA,M,1960,Tyrone,40
GA,M,1960,Luther,39
GA,M,1960,Stevie,39
GA,M,1960,Benny,38
GA,M,1960,Todd,38
GA,M,1960,Ben,37
GA,M,1960,Dean,37
GA,M,1960,Karl,37
GA,M,1960,Maurice,36
