StateCode,Sex,YearOfBirth,Name,Number
GA,M,1976,Wade,14
GA,M,1976,Alonzo,13
GA,M,1976,Antonia,13
GA,M,1976,Antwan,13
GA,M,1976,Elton,13
GA,M,1976,Forrest,13
GA,M,1976,Gene,13
GA,M,1976,Jefferson,13
GA,M,1976,Jose,13
GA,M,1976,Kenyon,13
GA,M,1976,Landon,13
GA,M,1976,Matt,13
GA,M,1976,Neil,13
GA,M,1976,Robbie,13
GA,M,1976,Sherman,13
GA,M,1976,Sterling,13
GA,M,1976,Timmy,13
GA,M,1976,Willis,13
GA,M,1976,Cary,12
GA,M,1976,Grady,12
GA,M,1976,Guy,12
GA,M,1976,Jeff,12
GA,M,1976,Leslie,12
GA,M,1976,Lloyd,12
GA,M,1976,Mack,12
GA,M,1976,Malcolm,12
GA,M,1976,Marquis,12
GA,M,1976,Neal,12
GA,M,1976,Omar,12
GA,M,1976,Oscar,12
GA,M,1976,Reco,12
GA,M,1976,Sam,12
GA,M,1976,Sheldon,12
GA,M,1976,Tavares,12
GA,M,1976,Tobias,12
GA,M,1976,Torrance,12
GA,M,1976,Tory,12
GA,M,1976,Wallace,12
GA,M,1976,Adrain,11
GA,M,1976,Avery,11
GA,M,1976,Clyde,11
GA,M,1976,Damian,11
GA,M,1976,Demarco,11
GA,M,1976,Drew,11
GA,M,1976,Ellis,11
GA,M,1976,Glen,11
GA,M,1976,Gordon,11
GA,M,1976,Harvey,11
GA,M,1976,Jamison,11
GA,M,1976,Jasper,11
GA,M,1976,Kenyatta,11
GA,M,1976,Lester,11
GA,M,1976,Morris,11
GA,M,1976,Myron,11
GA,M,1976,Octavius,11
GA,M,1976,Sedrick,11
GA,M,1976,Stevie,11
GA,M,1976,Ted,11
GA,M,1976,Teddy,11
GA,M,1976,Tom,11
GA,M,1976,Tremayne,11
GA,M,1976,Will,11
GA,M,1976,Allan,10
GA,M,1976,Alonza,10
GA,M,1976,Archie,10
GA,M,1976,Buddy,10
GA,M,1976,Chester,10
GA,M,1976,Claude,10
GA,M,1976,Cleveland,10
GA,M,1976,Darnell,10
