StateCode,Sex,YearOfBirth,Name,Number
GA,M,1990,Jasper,16
GA,M,1990,Keon,16
GA,M,1990,Kurt,16
GA,M,1990,Landon,16
GA,M,1990,Lonnie,16
GA,M,1990,Nelson,16
GA,M,1990,Norman,16
GA,M,1990,Octavious,16
GA,M,1990,Rafael,16
GA,M,1990,Tavaris,16
GA,M,1990,Thaddeus,16
GA,M,1990,Carter,15
GA,M,1990,Cecil,15
GA,M,1990,Cole,15
GA,M,1990,Corbin,15
GA,M,1990,Darion,15
GA,M,1990,Davis,15
GA,M,1990,Donte,15
GA,M,1990,Glen,15
GA,M,1990,Jamarcus,15
GA,M,1990,Kameron,15
GA,M,1990,Pierre,15
GA,M,1990,Reid,15
GA,M,1990,Roberto,15
GA,M,1990,Rodriquez,15
GA,M,1990,Scotty,15
GA,M,1990,Sebastian,15
GA,M,1990,Toby,15
GA,M,1990,Weston,15
GA,M,1990,Alphonso,14
GA,M,1990,Baby,14
GA,M,1990,Connor,14
GA,M,1990,Dale,14
GA,M,1990,Deontae,14
GA,M,1990,Earnest,14
GA,M,1990,Eli,14
GA,M,1990,Emory,14
GA,M,1990,Hugh,14
GA,M,1990,Ivan,14
GA,M,1990,Jacques,14
GA,M,1990,Javon,14
GA,M,1990,Kasey,14
GA,M,1990,Leo,14
GA,M,1990,Manuel,14
GA,M,1990,Marion,14
GA,M,1990,Markus,14
GA,M,1990,Marques,14
GA,M,1990,Milton,14
GA,M,1990,Otis,14
GA,M,1990,Ramon,14
GA,M,1990,Stephan,14
GA,M,1990,Tobias,14
GA,M,1990,Wendell,14
GA,M,1990,Zachariah,14
GA,M,1990,Zane,14
GA,M,1990,Ahmad,13
GA,M,1990,Alec,13
GA,M,1990,Bradford,13
GA,M,1990,Brock,13
GA,M,1990,Carson,13
GA,M,1990,Deon,13
GA,M,1990,Dorian,13
GA,M,1990,Elliot,13
GA,M,1990,Freddie,13
GA,M,1990,Gordon,13
GA,M,1990,Grayson,13
GA,M,1990,Harley,13
GA,M,1990,Jamaal,13
GA,M,1990,Jamison,13
GA,M,1990,Javier,13
GA,M,1990,Jerrell,13
GA,M,1990,Kirk,13
GA,M,1990,Simon,13
GA,M,1990,Skylar,13
GA,M,1990,Stacey,13
GA,M,1990,Stacy,13
GA,M,1990,Stefan,13
GA,M,1990,Antavious,12
GA,M,1990,Brendan,12
GA,M,1990,Dean,12
GA,M,1990,Demarco,12
GA,M,1990,Ezekiel,12
GA,M,1990,Fernando,12
GA,M,1990,Frankie,12
GA,M,1990,Herman,12
GA,M,1990,Horace,12
GA,M,1990,Jody,12
GA,M,1990,Judson,12
GA,M,1990,Keaton,12
GA,M,1990,Kent,12
GA,M,1990,Luther,12
GA,M,1990,Malcom,12
GA,M,1990,Morris,12
GA,M,1990,Quintavious,12
GA,M,1990,Rakeem,12
GA,M,1990,Rodrick,12
GA,M,1990,Scottie,12
GA,M,1990,Sergio,12
GA,M,1990,Sherman,12
GA,M,1990,Stephon,12
GA,M,1990,Addison,11
GA,M,1990,Alejandro,11
GA,M,1990,Arsenio,11
GA,M,1990,Broderick,11
GA,M,1990,Bryson,11
GA,M,1990,Carey,11
GA,M,1990,Cortney,11
GA,M,1990,Demarius,11
GA,M,1990,Demond,11
GA,M,1990,Deonta,11
GA,M,1990,Derick,11
GA,M,1990,Dewayne,11
GA,M,1990,Dusty,11
GA,M,1990,Ellis,11
GA,M,1990,Francis,11
GA,M,1990,Grady,11
GA,M,1990,Isiah,11
GA,M,1990,Israel,11
GA,M,1990,Kenny,11
GA,M,1990,Kentavious,11
GA,M,1990,Kory,11
GA,M,1990,Lester,11
GA,M,1990,Marquise,11
GA,M,1990,Myles,11
GA,M,1990,Nathanael,11
GA,M,1990,Neal,11
GA,M,1990,Owen,11
GA,M,1990,Rashard,11
GA,M,1990,Ruben,11
GA,M,1990,Rusty,11
GA,M,1990,Shelby,11
GA,M,1990,Shelton,11
GA,M,1990,Stewart,11
GA,M,1990,Ty,11
GA,M,1990,Wallace,11
GA,M,1990,Abraham,10
GA,M,1990,Aubrey,10
GA,M,1990,Bennett,10
GA,M,1990,Brandan,10
GA,M,1990,Cedrick,10
GA,M,1990,Chauncey,10
GA,M,1990,Darien,10
