StateCode,Sex,YearOfBirth,Name,Number
GA,M,2000,Addison,21
GA,M,2000,Brendon,21
GA,M,2000,Clinton,21
GA,M,2000,Daquan,21
GA,M,2000,Dorian,21
GA,M,2000,Harley,21
GA,M,2000,Jaquavious,21
GA,M,2000,Jerome,21
GA,M,2000,Kendrick,21
GA,M,2000,Kyler,21
GA,M,2000,Marquavious,21
GA,M,2000,Marquise,21
GA,M,2000,Pierce,21
GA,M,2000,Xzavier,21
GA,M,2000,Ahmad,20
GA,M,2000,Axel,20
GA,M,2000,Holden,20
GA,M,2000,Jamil,20
GA,M,2000,Jay,20
GA,M,2000,Jayson,20
GA,M,2000,Keegan,20
GA,M,2000,Keenan,20
GA,M,2000,Leonard,20
GA,M,2000,Oliver,20
GA,M,2000,Roman,20
GA,M,2000,Ross,20
GA,M,2000,Ruben,20
GA,M,2000,Solomon,20
GA,M,2000,Stanley,20
GA,M,2000,Tristin,20
GA,M,2000,Aiden,19
GA,M,2000,Alberto,19
GA,M,2000,Antwan,19
GA,M,2000,Coby,19
GA,M,2000,Corbin,19
GA,M,2000,Damion,19
GA,M,2000,Deon,19
GA,M,2000,Dwayne,19
GA,M,2000,Harry,19
GA,M,2000,Jamie,19
GA,M,2000,Jaquez,19
GA,M,2000,Kaden,19
GA,M,2000,Keyshawn,19
GA,M,2000,Leon,19
GA,M,2000,Moses,19
GA,M,2000,Reid,19
GA,M,2000,Shamar,19
GA,M,2000,Sidney,19
GA,M,2000,Theodore,19
GA,M,2000,Tyrek,19
GA,M,2000,Weston,19
GA,M,2000,Amari,18
GA,M,2000,Antoine,18
GA,M,2000,Clay,18
GA,M,2000,Conor,18
GA,M,2000,Dean,18
GA,M,2000,Deontae,18
GA,M,2000,Ezra,18
GA,M,2000,Jacorey,18
GA,M,2000,Keshawn,18
GA,M,2000,Kolby,18
GA,M,2000,Saul,18
GA,M,2000,Simon,18
GA,M,2000,Skylar,18
GA,M,2000,Asa,17
GA,M,2000,Brenton,17
GA,M,2000,Brooks,17
GA,M,2000,Duncan,17
GA,M,2000,Greyson,17
GA,M,2000,Ismael,17
GA,M,2000,Jakobe,17
GA,M,2000,Jarod,17
GA,M,2000,Jarred,17
GA,M,2000,Jarrod,17
GA,M,2000,Jarvis,17
GA,M,2000,Jessie,17
GA,M,2000,Keaton,17
GA,M,2000,Kenny,17
GA,M,2000,Milton,17
GA,M,2000,Montavious,17
GA,M,2000,Sterling,17
GA,M,2000,Trevion,17
GA,M,2000,Tyrique,17
GA,M,2000,Alfredo,16
GA,M,2000,Aubrey,16
GA,M,2000,Bruce,16
GA,M,2000,Cullen,16
GA,M,2000,Darian,16
GA,M,2000,Dequan,16
GA,M,2000,Elisha,16
GA,M,2000,Ernest,16
GA,M,2000,Fabian,16
GA,M,2000,Jalyn,16
GA,M,2000,Kamron,16
GA,M,2000,Keandre,16
GA,M,2000,Keyon,16
GA,M,2000,Marlon,16
GA,M,2000,Mauricio,16
GA,M,2000,Moises,16
GA,M,2000,Ramon,16
GA,M,2000,Reese,16
GA,M,2000,Rodrigo,16
GA,M,2000,Shannon,16
GA,M,2000,Steve,16
GA,M,2000,Will,16
GA,M,2000,Alton,15
GA,M,2000,Courtney,15
GA,M,2000,Darryl,15
GA,M,2000,Davion,15
GA,M,2000,Deangelo,15
GA,M,2000,Deanthony,15
GA,M,2000,Deondre,15
GA,M,2000,Destin,15
GA,M,2000,Donte,15
GA,M,2000,Jamaal,15
GA,M,2000,Jamar,15
GA,M,2000,Jaquavius,15
GA,M,2000,Jayce,15
GA,M,2000,Josue,15
GA,M,2000,Koby,15
GA,M,2000,Omari,15
GA,M,2000,Sawyer,15
GA,M,2000,Stephon,15
GA,M,2000,Tate,15
GA,M,2000,Todd,15
GA,M,2000,Wilson,15
GA,M,2000,Ahmed,14
GA,M,2000,Alvaro,14
GA,M,2000,Brice,14
GA,M,2000,Darien,14
GA,M,2000,Deven,14
GA,M,2000,Dominick,14
GA,M,2000,Don,14
GA,M,2000,Easton,14
GA,M,2000,Elvis,14
GA,M,2000,Harold,14
GA,M,2000,Hudson,14
GA,M,2000,Jacobi,14
GA,M,2000,Javonte,14
GA,M,2000,Jordon,14
GA,M,2000,Julius,14
GA,M,2000,Kentavious,14
GA,M,2000,Keon,14
GA,M,2000,Lee,14
GA,M,2000,Mohamed,14
GA,M,2000,Nehemiah,14
GA,M,2000,Neil,14
GA,M,2000,Nikolas,14
GA,M,2000,Norman,14
