StateCode,Sex,YearOfBirth,Name,Number
GA,M,2015,Thomas,232
GA,M,2015,Hunter,230
GA,M,2015,Jace,228
GA,M,2015,Kayden,221
GA,M,2015,Nathan,220
GA,M,2015,Robert,215
GA,M,2015,Sebastian,211
GA,M,2015,Carson,201
GA,M,2015,Ryan,196
GA,M,2015,Kingston,195
GA,M,2015,Tyler,193
GA,M,2015,Asher,191
GA,M,2015,Aaron,188
GA,M,2015,Bryson,185
GA,M,2015,Austin,184
GA,M,2015,Tristan,182
GA,M,2015,Micah,179
GA,M,2015,Brandon,178
GA,M,2015,Cooper,178
GA,M,2015,Nolan,178
GA,M,2015,Easton,176
GA,M,2015,Julian,175
GA,M,2015,Parker,174
GA,M,2015,Ashton,172
GA,M,2015,Jack,171
GA,M,2015,Bentley,167
GA,M,2015,Kaiden,167
GA,M,2015,Brantley,166
GA,M,2015,Connor,165
GA,M,2015,King,162
GA,M,2015,Sawyer,160
GA,M,2015,Amir,159
GA,M,2015,Gavin,158
GA,M,2015,Justin,156
GA,M,2015,Karter,155
GA,M,2015,Angel,153
GA,M,2015,Kaleb,153
GA,M,2015,Evan,152
GA,M,2015,Jaxson,152
GA,M,2015,Jason,150
GA,M,2015,Ian,149
GA,M,2015,Zachary,146
GA,M,2015,Jayce,139
GA,M,2015,Adrian,136
GA,M,2015,Lincoln,134
GA,M,2015,Malachi,133
GA,M,2015,Nicholas,133
GA,M,2015,Bryce,129
GA,M,2015,Kevin,129
GA,M,2015,Nathaniel,127
GA,M,2015,Camden,125
GA,M,2015,Braxton,122
GA,M,2015,Maddox,122
GA,M,2015,Messiah,122
GA,M,2015,Jose,120
GA,M,2015,Mateo,120
GA,M,2015,Xavier,118
GA,M,2015,Caden,116
GA,M,2015,Adam,113
GA,M,2015,Ezra,113
GA,M,2015,Harrison,112
GA,M,2015,Kaden,111
GA,M,2015,Dominic,108
GA,M,2015,Cayden,106
GA,M,2015,Avery,105
GA,M,2015,Blake,105
GA,M,2015,Hayden,105
GA,M,2015,Timothy,104
GA,M,2015,Weston,104
GA,M,2015,Alex,103
GA,M,2015,Ryder,102
GA,M,2015,Eric,100
GA,M,2015,Emmanuel,99
GA,M,2015,Luis,99
GA,M,2015,Antonio,98
GA,M,2015,Everett,98
GA,M,2015,Brody,97
GA,M,2015,Kameron,97
GA,M,2015,Waylon,97
GA,M,2015,Kenneth,96
GA,M,2015,Tucker,96
GA,M,2015,Chance,95
GA,M,2015,Greyson,95
GA,M,2015,George,94
GA,M,2015,Zion,94
GA,M,2015,Jase,92
GA,M,2015,Roman,92
GA,M,2015,Wesley,92
GA,M,2015,Kyle,91
GA,M,2015,Brooks,90
GA,M,2015,Preston,90
GA,M,2015,Axel,88
GA,M,2015,Bennett,88
GA,M,2015,Bradley,88
GA,M,2015,Miles,88
GA,M,2015,Silas,88
GA,M,2015,Jaden,87
GA,M,2015,Juan,87
GA,M,2015,Amari,86
GA,M,2015,Steven,86
GA,M,2015,Brian,85
GA,M,2015,Miguel,85
GA,M,2015,Peyton,85
GA,M,2015,Richard,85
GA,M,2015,Elias,84
GA,M,2015,Jayceon,84
GA,M,2015,Jonah,84
GA,M,2015,Santiago,83
GA,M,2015,Vincent,82
GA,M,2015,Zayden,82
GA,M,2015,Leonardo,81
GA,M,2015,Abel,80
GA,M,2015,Alan,79
GA,M,2015,Grant,79
GA,M,2015,Kai,79
GA,M,2015,Leo,79
GA,M,2015,Dallas,78
GA,M,2015,Jaylen,78
GA,M,2015,Princeton,78
GA,M,2015,Jesus,77
GA,M,2015,Caiden,74
GA,M,2015,Carlos,74
GA,M,2015,Maxwell,74
GA,M,2015,Braylen,73
GA,M,2015,Cole,73
GA,M,2015,Marcus,73
GA,M,2015,River,73
GA,M,2015,Graham,72
GA,M,2015,Karson,72
GA,M,2015,Myles,72
GA,M,2015,Dawson,71
GA,M,2015,Diego,71
GA,M,2015,Jasper,71
GA,M,2015,Patrick,70
GA,M,2015,Declan,69
GA,M,2015,Giovanni,69
GA,M,2015,Jeremy,69
GA,M,2015,Judah,69
GA,M,2015,Iker,68
GA,M,2015,Jude,67
GA,M,2015,Bryan,66
GA,M,2015,Corbin,66
GA,M,2015,Riley,66
GA,M,2015,Edward,65
GA,M,2015,Kyrie,65
GA,M,2015,Cason,64
GA,M,2015,Jaiden,64
GA,M,2015,Rhett,64
GA,M,2015,Aidan,63
GA,M,2015,Gunner,63
GA,M,2015,Sean,63
GA,M,2015,Conner,62
GA,M,2015,Knox,61
GA,M,2015,Kyler,61
GA,M,2015,Lawson,61
GA,M,2015,Major,61
GA,M,2015,Jameson,60
GA,M,2015,Kason,60
GA,M,2015,Max,60
GA,M,2015,Royal,60
GA,M,2015,Rylan,60
GA,M,2015,Walker,60
GA,M,2015,Damian,59
GA,M,2015,Joel,59
GA,M,2015,Maverick,59
GA,M,2015,Nicolas,59
GA,M,2015,Theodore,59
GA,M,2015,Tyson,59
GA,M,2015,August,58
GA,M,2015,Ivan,58
GA,M,2015,Paul,58
GA,M,2015,Trenton,58
GA,M,2015,Aden,57
GA,M,2015,Brady,57
GA,M,2015,Calvin,57
GA,M,2015,Charlie,57
GA,M,2015,Ezekiel,57
GA,M,2015,Emmett,55
GA,M,2015,Paxton,55
GA,M,2015,Victor,55
GA,M,2015,Abraham,54
GA,M,2015,Malik,54
GA,M,2015,Tanner,54
GA,M,2015,Barrett,53
GA,M,2015,Cohen,53
GA,M,2015,Davis,53
GA,M,2015,Jeffrey,53
GA,M,2015,Chandler,52
GA,M,2015,Clayton,52
GA,M,2015,Dalton,52
GA,M,2015,Cody,51
GA,M,2015,Israel,51
GA,M,2015,Prince,51
GA,M,2015,Collin,50
GA,M,2015,Legend,50
GA,M,2015,Oscar,50
GA,M,2015,Braylon,49
GA,M,2015,Jake,49
GA,M,2015,Keegan,49
GA,M,2015,Travis,49
GA,M,2015,Beau,48
GA,M,2015,Beckett,48
GA,M,2015,Jesse,48
GA,M,2015,Anderson,47
GA,M,2015,Devin,47
GA,M,2015,Luca,47
GA,M,2015,Mark,47
GA,M,2015,Landen,46
GA,M,2015,Colin,45
GA,M,2015,Elliot,45
GA,M,2015,Gael,45
GA,M,2015,Gregory,45
GA,M,2015,Jamari,45
GA,M,2015,Khalil,45
GA,M,2015,Phillip,45
GA,M,2015,Donovan,44
GA,M,2015,Elliott,43
GA,M,2015,Jax,43
GA,M,2015,Josue,43
GA,M,2015,Titus,43
GA,M,2015,Alejandro,42
GA,M,2015,Javier,42
GA,M,2015,Kash,42
GA,M,2015,Kendrick,42
GA,M,2015,Kyree,42
GA,M,2015,Zaiden,42
GA,M,2015,Cash,41
GA,M,2015,Garrett,41
GA,M,2015,Stephen,41
GA,M,2015,Dean,40
GA,M,2015,Johnny,40
GA,M,2015,Rowan,40
GA,M,2015,Simon,40
GA,M,2015,Trevor,40
GA,M,2015,Kamden,39
GA,M,2015,Maximus,39
GA,M,2015,Nasir,39
GA,M,2015,Nehemiah,39
GA,M,2015,Peter,39
GA,M,2015,Reid,39
GA,M,2015,Walter,39
GA,M,2015,Dakota,38
GA,M,2015,Derrick,38
GA,M,2015,Grady,38
GA,M,2015,Griffin,38
GA,M,2015,Jorge,38
GA,M,2015,Leland,38
GA,M,2015,Allen,37
GA,M,2015,Andre,37
GA,M,2015,Eduardo,37
GA,M,2015,Omar,37
GA,M,2015,Omari,37
GA,M,2015,Reed,37
GA,M,2015,Ryker,37
GA,M,2015,Corey,36
GA,M,2015,Emerson,36
GA,M,2015,Finn,36
GA,M,2015,Johnathan,36
GA,M,2015,Mario,36
GA,M,2015,Remington,36
GA,M,2015,Xander,36
GA,M,2015,Alexis,35
GA,M,2015,Troy,35
GA,M,2015,Derek,34
GA,M,2015,Emanuel,34
GA,M,2015,Kayson,34
GA,M,2015,Skyler,34
GA,M,2015,Zander,34
GA,M,2015,Andres,33
GA,M,2015,Asa,33
GA,M,2015,Cristian,33
GA,M,2015,Lennox,33
GA,M,2015,Seth,33
GA,M,2015,Zane,33
GA,M,2015,Abram,32
GA,M,2015,Cade,32
GA,M,2015,Colby,32
GA,M,2015,Damien,32
GA,M,2015,Darius,32
GA,M,2015,Gage,32
GA,M,2015,Jett,32
GA,M,2015,Lorenzo,32
GA,M,2015,Matteo,32
GA,M,2015,Phoenix,32
GA,M,2015,Ace,31
GA,M,2015,Archer,31
GA,M,2015,Edwin,31
GA,M,2015,Emiliano,31
GA,M,2015,Kyson,31
GA,M,2015,Lane,31
GA,M,2015,Solomon,31
GA,M,2015,Terry,31
GA,M,2015,Ali,30
GA,M,2015,Arjun,30
GA,M,2015,Atticus,30
GA,M,2015,Colt,30
GA,M,2015,Erick,30
GA,M,2015,Jerry,30
GA,M,2015,Justice,30
GA,M,2015,Malcolm,30
GA,M,2015,Martin,30
GA,M,2015,Porter,30
GA,M,2015,Reginald,30
GA,M,2015,Andy,29
GA,M,2015,Brendan,29
